,Navn,Long,Lat
1549234,"C. J. Hambros plass 7, Oslo domkirkes sokn",59.915974,10.740756
1549235,"C. J. Hambros plass 5, Oslo domkirkes sokn",59.915407,10.740851
1549236,"C. J. Hambros plass 2, Oslo domkirkes sokn",59.916003,10.741087
1549237,"C. J. Hambros plass 1, Oslo domkirkes sokn",59.915941,10.741277
1554847,"Frederiks gate 3, Oslo domkirkes sokn",59.917023,10.734729
1554848,"Frederiks gate 2, Oslo domkirkes sokn",59.916808,10.735398
1569567,"Kristian Augusts gate 5, Oslo domkirkes sokn",59.91612,10.739905
1569568,"Kristian Augusts gate 3, Oslo domkirkes sokn",59.916016,10.740293
1569569,"Kristian Augusts gate 2, Oslo domkirkes sokn",59.915883,10.740161
1569575,"Kristian Augusts gate 13, Oslo domkirkes sokn",59.916806,10.737562
1569576,"Kristian Augusts gate 12, Oslo domkirkes sokn",59.916241,10.73891
1569577,"Kristian Augusts gate 11, Oslo domkirkes sokn",59.916759,10.737756
1569578,"Kristian Augusts gate 10, Oslo domkirkes sokn",59.916147,10.739227
1569579,"Kristian Augusts gate 9, Oslo domkirkes sokn",59.916364,10.739095
1569580,"Kristian Augusts gate 7B, Oslo domkirkes sokn",59.916279,10.739377
1569581,"Kristian Augusts gate 7A, Oslo domkirkes sokn",59.916214,10.739588
1569582,"Kristian Augusts gate 6, Oslo domkirkes sokn",59.915959,10.739861
1569584,"Kristian Augusts gate 23, Oslo domkirkes sokn",59.917248,10.736047
1569585,"Kristian Augusts gate 21, Oslo domkirkes sokn",59.917117,10.736505
1569586,"Kristian Augusts gate 15B, Oslo domkirkes sokn",59.917055,10.737384
1569587,"Kristian Augusts gate 15A, Oslo domkirkes sokn",59.916978,10.737258
1569588,"Kristian Augusts gate 14, Oslo domkirkes sokn",59.916326,10.738592
1569611,"Kristian IVs gate 4, Oslo domkirkes sokn",59.914897,10.739752
1569612,"Kristian IVs gate 1, Oslo domkirkes sokn",59.914918,10.740415
1569619,"Kristian IVs gate 13, Oslo domkirkes sokn",59.915501,10.738477
1569620,"Kristian IVs gate 12, Oslo domkirkes sokn",59.915454,10.737956
1569621,"Kristian IVs gate 9, Oslo domkirkes sokn",59.915332,10.738987
1569622,"Kristian IVs gate 8, Oslo domkirkes sokn",59.915211,10.738641
1569623,"Kristian IVs gate 7, Oslo domkirkes sokn",59.915106,10.739798
1569624,"Kristian IVs gate 6, Oslo domkirkes sokn",59.915006,10.739387
1569631,"Kristian IVs gate 15B, Oslo domkirkes sokn",59.915738,10.738204
1569632,"Kristian IVs gate 15A, Oslo domkirkes sokn",59.915614,10.738054
1583277,"Pilestredet 15B, Oslo domkirkes sokn",59.916446,10.740334
1583278,"Pilestredet 17, Oslo domkirkes sokn",59.916566,10.740143
1583279,"Pilestredet 19, Oslo domkirkes sokn",59.916676,10.739952
1583280,"Pilestredet 21, Oslo domkirkes sokn",59.916795,10.739779
1583281,"Pilestredet 25, Oslo domkirkes sokn",59.917383,10.738789
1583282,"Pilestredet 27, Oslo domkirkes sokn",59.917595,10.738354
1583290,"Pilestredet 15, Oslo domkirkes sokn",59.916309,10.740541
1587524,"Sehesteds gate 2, Oslo domkirkes sokn",59.915612,10.738895
1587525,"Sehesteds gate 3, Oslo domkirkes sokn",59.91565,10.739398
1587541,"Sehesteds gate 4, Oslo domkirkes sokn",59.915791,10.738922
1587542,"Sehesteds gate 6, Oslo domkirkes sokn",59.915896,10.739196
1599373,"Universitetsgata 10, Oslo domkirkes sokn",59.916771,10.738902
1599374,"Universitetsgata 11, Oslo domkirkes sokn",59.916704,10.738469
1599375,"Universitetsgata 12, Oslo domkirkes sokn",59.916505,10.738621
1599376,"Universitetsgata 13, Oslo domkirkes sokn",59.916148,10.737742
1599377,"Universitetsgata 14, Oslo domkirkes sokn",59.916124,10.738188
1599378,"Universitetsgata 16, Oslo domkirkes sokn",59.915956,10.738
1599379,"Universitetsgata 18, Oslo domkirkes sokn",59.915788,10.737795
1599385,"Universitetsgata 2, Oslo domkirkes sokn",59.917593,10.739857
1599386,"Universitetsgata 7, Oslo domkirkes sokn",59.917215,10.738217
1599387,"Universitetsgata 8, Oslo domkirkes sokn",59.916974,10.739163
1599388,"Universitetsgata 9, Oslo domkirkes sokn",59.916898,10.738479
2062248,"Kristian Augusts gate 15D, Oslo domkirkes sokn",59.917134,10.737533
2062268,"Kristian Augusts gate 17, Oslo domkirkes sokn",59.916994,10.737035
2082797,"Universitetsgata 5, Oslo domkirkes sokn",59.9173,10.738405
2082798,"Universitetsgata 1, Oslo domkirkes sokn",59.917211,10.739002
2082799,"Universitetsgata 3, Oslo domkirkes sokn",59.917075,10.738805
2104241,"Kristian Augusts gate 15C, Oslo domkirkes sokn",59.917105,10.737477
2192518,"C. J. Hambros plass 4, Oslo domkirkes sokn",59.915619,10.741442
2494675,"Pilestredet 20, Oslo domkirkes sokn",59.916856,10.740427
2494714,"Pilestredet 22, Oslo domkirkes sokn",59.917017,10.740131
