,Navn,Long,Lat
3695,"60/6, Tanum",59.898189,10.421153
3714,"78/5, Tanum",59.878573,10.423067
3718,"78/5-1, Tanum",59.890047,10.393086
359117,"Vestmarkveien 226, Holmen",59.884206,10.434476
359118,"Vestmarkveien 222, Holmen",59.884926,10.43431
359119,"Vestmarkveien 220, Holmen",59.885377,10.434973
359120,"Stokkerveien 100, Holmen",59.881238,10.451268
359526,"Grensefaret 30, Holmen",59.879681,10.487755
359527,"Grensefaret 28, Holmen",59.879981,10.488286
359528,"Grensefaret 26, Holmen",59.880082,10.48888
359529,"Grensefaret 24, Holmen",59.880192,10.489439
359530,"Grensefaret 22, Holmen",59.879737,10.488365
359531,"Grensefaret 20, Holmen",59.879866,10.488888
359532,"Grensefaret 18, Holmen",59.879931,10.489481
359533,"Grensefaret 16, Holmen",59.880041,10.490093
359534,"Grensefaret 14, Holmen",59.8803,10.490194
359535,"Grensefaret 12, Holmen",59.880233,10.490602
359536,"Grensefaret 10, Holmen",59.880342,10.491232
359537,"Grensefaret 8, Holmen",59.88048,10.491739
359538,"Grensefaret 6B, Holmen",59.880557,10.492135
359539,"Grensefaret 6A, Holmen",59.880502,10.492169
359540,"Grensefaret 4B, Holmen",59.880638,10.492509
359541,"Grensefaret 4A, Holmen",59.880587,10.492619
360466,"Guriåsen 9, Holmen",59.879268,10.50278
360467,"Guriåsen 8, Holmen",59.87905,10.503038
360468,"Guriåsen 6, Holmen",59.878865,10.503476
360469,"Guriåsen 5, Holmen",59.879361,10.50332
360470,"Guriåsen 4, Holmen",59.879129,10.503935
360471,"Guriåsen 3B, Holmen",59.879569,10.503937
360472,"Guriåsen 2, Holmen",59.879365,10.504499
360473,"Guriåsen 1B, Holmen",59.879931,10.504489
367468,"Grosetveien 25, Holmen",59.879081,10.448958
367469,"Grosetveien 22, Holmen",59.878179,10.449294
367470,"Grosetveien 16, Holmen",59.877024,10.453014
367471,"Vestmarkveien 224A, Holmen",59.884558,10.43441
367472,"Grosetveien 12, Holmen",59.879142,10.454821
367473,"Grosetveien 20, Holmen",59.877821,10.450815
367886,"Grosetveien 27, Holmen",59.879119,10.447138
369722,"Åstadbakken 32, Holmen",59.876112,10.468891
370565,"Stokkerveien 106, Holmen",59.880001,10.441995
370566,"Stokkerveien 102, Holmen",59.882871,10.451339
370567,"Stokkerveien 101, Holmen",59.881694,10.450609
370568,"Stokkerveien 99, Holmen",59.881378,10.45072
370569,"Stokkerveien 97, Holmen",59.880729,10.45096
370570,"Stokkerveien 95, Holmen",59.880253,10.451761
370675,"Grosetveien 14A, Holmen",59.878822,10.455343
370676,"Grosetveien 14B, Holmen",59.878886,10.455185
371456,"Guriåsen 1A, Holmen",59.879763,10.504285
371457,"Guriåsen 3A, Holmen",59.879517,10.503809
371943,"Stokkerveien 107, Holmen",59.877198,10.44048
