,Navn,Long,Lat
3716,"86/16, Helgerud",59.917596,10.521809
424790,"Brynsveien 95, Helgerud",59.907925,10.513738
424792,"Brynsveien 93B, Helgerud",59.90738,10.513468
424879,"Brynsveien 67, Helgerud",59.901907,10.517869
424880,"Brynsveien 68, Helgerud",59.901928,10.516041
424881,"Brynsveien 62, Helgerud",59.901141,10.51799
424882,"Brynsveien 66, Helgerud",59.901542,10.517323
424891,"Brynsveien 86C, Helgerud",59.905413,10.513189
424892,"Brynsveien 87, Helgerud",59.905617,10.51462
424893,"Brynsveien 86A, Helgerud",59.905288,10.513611
424894,"Brynsveien 86B, Helgerud",59.905031,10.513408
424895,"Brynsveien 90, Helgerud",59.906754,10.511818
424896,"Brynsveien 90B, Helgerud",59.906971,10.511685
424897,"Brynsveien 88A, Helgerud",59.905733,10.510849
424898,"Brynsveien 73B, Helgerud",59.903091,10.515731
424899,"Brynsveien 77B, Helgerud",59.903524,10.514905
424900,"Brynsveien 73, Helgerud",59.902935,10.515756
424901,"Brynsveien 83B, Helgerud",59.905051,10.51451
424902,"Brynsveien 85, Helgerud",59.905346,10.514776
424903,"Brynsveien 77C, Helgerud",59.903361,10.514828
424904,"Brynsveien 80A, Helgerud",59.903983,10.513837
424909,"Brynsveien 71, Helgerud",59.902496,10.515665
424995,"Bærumsveien 366, Helgerud",59.908707,10.536772
424996,"Bærumsveien 368, Helgerud",59.908465,10.536314
424997,"Bærumsveien 362, Helgerud",59.908938,10.538043
424998,"Bærumsveien 364, Helgerud",59.90886,10.53741
424999,"Bærumsveien 372, Helgerud",59.908103,10.535118
425000,"Bærumsveien 373, Helgerud",59.908771,10.534275
425001,"Bærumsveien 369, Haslum",59.908865,10.53562
425002,"Bærumsveien 370, Helgerud",59.908303,10.535753
425007,"Bærumsveien 358, Helgerud",59.909021,10.538709
425008,"Bærumsveien 360, Helgerud",59.908972,10.538295
425010,"Bærumsveien 356, Helgerud",59.909072,10.539072
425098,"Bærumsveien 437, Helgerud",59.907456,10.514836
425099,"Bærumsveien 441, Helgerud",59.907476,10.515409
425100,"Bærumsveien 435A, Helgerud",59.907032,10.51575
425101,"Bærumsveien 435B, Helgerud",59.907095,10.515633
425102,"Bærumsveien 445, Helgerud",59.908191,10.515062
425103,"Bærumsveien 447, Helgerud",59.907909,10.51474
425104,"Bærumsveien 443A, Helgerud",59.907754,10.515066
425105,"Bærumsveien 443B, Helgerud",59.907876,10.515273
425106,"Bærumsveien 383, Helgerud",59.908431,10.531584
425107,"Bærumsveien 385, Helgerud",59.908398,10.531182
425108,"Bærumsveien 375, Helgerud",59.908612,10.533837
425109,"Bærumsveien 377, Helgerud",59.908476,10.533374
