,Navn,Long,Lat
424951,"Bærumsveien 204, Haslum",59.917115,10.58878
424952,"Bærumsveien 205, Haslum",59.917244,10.586857
424953,"Bærumsveien 202, Haslum",59.917486,10.58971
424954,"Bærumsveien 209, Haslum",59.916983,10.586163
424955,"Bærumsveien 209A, Haslum",59.916996,10.586068
424956,"Bærumsveien 206, Haslum",59.917283,10.588554
424957,"Bærumsveien 207, Haslum",59.917119,10.586963
424958,"Bærumsveien 196, Haslum",59.918048,10.590803
424959,"Bærumsveien 197A, Haslum",59.918713,10.589921
424960,"Bærumsveien 190, Haslum",59.918764,10.594022
424961,"Bærumsveien 194, Haslum",59.918521,10.592112
424962,"Bærumsveien 200, Haslum",59.917848,10.590275
424963,"Bærumsveien 198, Haslum",59.918262,10.590152
424964,"Bærumsveien 215A, Haslum",59.917085,10.585885
424965,"Bærumsveien 215B, Haslum",59.916999,10.585739
424966,"Bærumsveien 213E, Haslum",59.917098,10.585982
424967,"Bærumsveien 215, Haslum",59.917026,10.585873
424968,"Bærumsveien 219B, Haslum",59.916661,10.585156
424969,"Bærumsveien 223, Haslum",59.91615,10.584298
424970,"Bærumsveien 217, Haslum",59.916692,10.585537
424971,"Bærumsveien 219, Haslum",59.916699,10.584999
424972,"Bærumsveien 211, Haslum",59.917386,10.586507
424973,"Bærumsveien 212, Haslum",59.916532,10.586518
424974,"Bærumsveien 209B, Haslum",59.91694,10.5862
424975,"Bærumsveien 210, Haslum",59.917419,10.588099
424976,"Bærumsveien 213C, Haslum",59.917219,10.586195
424977,"Bærumsveien 213D, Haslum",59.917175,10.586118
424978,"Bærumsveien 213A, Haslum",59.91731,10.586361
424979,"Bærumsveien 213B, Haslum",59.917286,10.586297
424988,"Bærumsveien 231, Haslum",59.915317,10.582831
424989,"Bærumsveien 233, Haslum",59.915026,10.58244
424990,"Bærumsveien 223B, Haslum",59.916097,10.584607
424991,"Bærumsveien 243, Haslum",59.914482,10.577362
424993,"Bærumsveien 235, Haslum",59.914837,10.581977
424994,"Bærumsveien 241, Haslum",59.913954,10.579617
425031,"Bærumsveien 188A, Haslum",59.918982,10.593973
425032,"Bærumsveien 188B, Haslum",59.91906,10.594272
425034,"Bærumsveien 186, Haslum",59.919265,10.594407
425057,"Gamle Ringeriksvei 37, Haslum",59.91788,10.587515
425058,"Gamle Ringeriksvei 38, Haslum",59.917426,10.587259
425059,"Gamle Ringeriksvei 35B, Haslum",59.91705,10.587734
425060,"Gamle Ringeriksvei 40, Haslum",59.917684,10.586761
425061,"Gamle Ringeriksvei 41, Haslum",59.918163,10.586512
425062,"Gamle Ringeriksvei 39, Haslum",59.918016,10.58714
425063,"Gamle Ringeriksvei 39B, Haslum",59.918507,10.585754
425064,"Gamle Ringeriksvei 30, Jar",59.9153,10.589125
425065,"Gamle Ringeriksvei 31, Jar",59.916219,10.58907
425067,"Gamle Ringeriksvei 32, Jar",59.915501,10.588986
425068,"Gamle Ringeriksvei 53, Haslum",59.919557,10.583454
425069,"Gamle Ringeriksvei 59, Haslum",59.920201,10.579028
425070,"Gamle Ringeriksvei 51B, Haslum",59.919019,10.582137
425071,"Gamle Ringeriksvei 52, Haslum",59.918773,10.580538
425074,"Gamle Ringeriksvei 61A, Haslum",59.920289,10.57829
425075,"Gamle Ringeriksvei 61B, Haslum",59.920348,10.578051
425076,"Gamle Ringeriksvei 43B, Haslum",59.918364,10.585388
425077,"Gamle Ringeriksvei 44, Haslum",59.918106,10.584824
425078,"Gamle Ringeriksvei 42, Haslum",59.917939,10.585682
425079,"Gamle Ringeriksvei 43A, Haslum",59.918536,10.585476
425080,"Gamle Ringeriksvei 49, Haslum",59.918598,10.582596
425081,"Gamle Ringeriksvei 51, Haslum",59.918883,10.582091
425082,"Gamle Ringeriksvei 45A, Haslum",59.918858,10.584683
425083,"Gamle Ringeriksvei 47B, Haslum",59.918781,10.583885
426168,"Bjerkelundsveien 55A, Haslum",59.923424,10.598718
426169,"Bjerkelundsveien 53, Haslum",59.923754,10.600092
426181,"Bjerkelundsveien 59, Haslum",59.923112,10.59806
426183,"Bjerkelundsveien 67A, Haslum",59.922832,10.597025
426184,"Bjerkelundsveien 67B, Haslum",59.922888,10.596542
426185,"Bjerkelundsveien 65A, Haslum",59.922426,10.597478
426188,"Bjerkelundsveien 57A, Haslum",59.923216,10.598885
426189,"Bjerkelundsveien 55B, Haslum",59.923243,10.598378
426193,"Bjerkelundsveien 57B, Haslum",59.923053,10.59843
426195,"Bjerkelundsveien 75A, Haslum",59.922529,10.595807
426196,"Bjerkelundsveien 75B, Haslum",59.922279,10.595748
426197,"Bjerkelundsveien 74, Jar",59.923767,10.601613
426198,"Bjerkelundsveien 74B, Jar",59.923569,10.601933
426199,"Bjerkelundsveien 76D, Jar",59.923805,10.600928
426200,"Bjerkelundsveien 77B, Haslum",59.92186,10.595963
426201,"Bjerkelundsveien 75C, Haslum",59.922307,10.596065
426202,"Bjerkelundsveien 75D, Haslum",59.922031,10.596143
426203,"Bjerkelundsveien 69B, Haslum",59.922559,10.596597
426204,"Bjerkelundsveien 70, Jar",59.924299,10.601944
426205,"Bjerkelundsveien 69A, Haslum",59.922725,10.596242
426206,"Bjerkelundsveien 72C, Jar",59.924201,10.601637
426207,"Bjerkelundsveien 73, Haslum",59.921897,10.59663
426208,"Bjerkelundsveien 70B, Jar",59.924057,10.602595
426209,"Bjerkelundsveien 81, Haslum",59.921585,10.596547
426210,"Bjerkelundsveien 82A, Jar",59.923004,10.599422
426211,"Bjerkelundsveien 80A, Jar",59.923173,10.599781
426212,"Bjerkelundsveien 80B, Jar",59.923103,10.60001
426213,"Bjerkelundsveien 84A, Jar",59.92288,10.598978
426214,"Bjerkelundsveien 82B, Jar",59.922936,10.59956
426215,"Bjerkelundsveien 82C, Jar",59.922791,10.599983
426216,"Bjerkelundsveien 78C, Jar",59.923167,10.601174
426217,"Bjerkelundsveien 78D, Jar",59.923191,10.600837
426218,"Bjerkelundsveien 78A, Jar",59.923561,10.600497
426219,"Bjerkelundsveien 78B, Jar",59.923349,10.601196
426220,"Bjerkelundsveien 78H, Jar",59.923273,10.600541
