,Navn,Long,Lat
414893,"Høvikkollen 20B, Høvik",59.902846,10.581145
414894,"Høvikkollen 20A, Høvik",59.902993,10.581558
414895,"Høvikkollen 18B, Høvik",59.902732,10.580992
414896,"Høvikkollen 18A, Høvik",59.902509,10.581097
414901,"Høvikkollen 12, Høvik",59.902339,10.580816
414903,"Høvikkollen 10B, Høvik",59.902328,10.581171
414904,"Høvikkollen 10A, Høvik",59.902524,10.581498
414905,"Høvikkollen 1, Høvik",59.903047,10.581847
414906,"Høvikkollen 16B, Høvik",59.902766,10.580593
414907,"Høvikkollen 16A, Høvik",59.902653,10.580655
414908,"Høvikkollen 14B, Høvik",59.902497,10.580455
414909,"Høvikkollen 14, Høvik",59.902501,10.580285
424390,"Drammensveien 442, Høvik",59.900412,10.585996
424401,"Drammensveien 503, Høvik",59.897876,10.567582
424402,"Drammensveien 507, Høvik",59.897737,10.566605
424403,"Drammensveien 444, Høvik",59.900162,10.585292
424404,"Drammensveien 501, Høvik",59.898103,10.568916
425256,"Kirkeveien 55A, Høvik",59.908324,10.564031
425257,"Kirkeveien 55B, Høvik",59.9085,10.564371
425258,"Kirkeveien 54C, Høvik",59.908063,10.563095
425259,"Kirkeveien 54D, Høvik",59.907947,10.562868
425262,"Kirkeveien 56, Høvik",59.909436,10.562228
425263,"Kirkeveien 57, Høvik",59.908503,10.563863
425264,"Kirkeveien 50, Høvik",59.907729,10.563826
425265,"Kirkeveien 47A, Høvik",59.907375,10.564876
425266,"Kirkeveien 48, Høvik",59.907357,10.563779
425267,"Kirkeveien 54A, Høvik",59.908192,10.563339
425268,"Kirkeveien 52C, Høvik",59.907775,10.563226
425269,"Kirkeveien 53, Høvik",59.908126,10.564208
425278,"Kirkeveien 59B, Høvik",59.909695,10.563946
425279,"Kirkeveien 59C, Høvik",59.909502,10.563486
425280,"Kirkeveien 59, Høvik",59.909364,10.563521
425281,"Kirkeveien 59A, Høvik",59.90965,10.563361
425283,"Kirkeveien 61, Høvik",59.909716,10.562495
425284,"Kirkeveien 59D, Høvik",59.909212,10.563567
425285,"Kirkeveien 59E, Høvik",59.909352,10.564137
425303,"Kirkeveien 54B, Høvik",59.908118,10.56318
425324,"Kirkeveien 1, Høvik",59.898845,10.570257
425335,"Kirkeveien 10A, Høvik",59.900711,10.569611
425336,"Kirkeveien 10B, Høvik",59.900569,10.569306
425337,"Kirkeveien 7D, Høvik",59.900269,10.571603
425338,"Kirkeveien 7E, Høvik",59.899951,10.570632
425339,"Kirkeveien 13B, Høvik",59.90164,10.569816
425340,"Kirkeveien 13C, Høvik",59.901549,10.569919
425341,"Kirkeveien 12, Høvik",59.900973,10.569636
425342,"Kirkeveien 13, Høvik",59.901392,10.570102
425343,"Kirkeveien 4, Høvik",59.899469,10.569763
425344,"Kirkeveien 5A, Høvik",59.899664,10.570448
425345,"Kirkeveien 2, Høvik",59.898702,10.569484
425346,"Kirkeveien 3, Høvik",59.899355,10.570653
425347,"Kirkeveien 7B, Høvik",59.900221,10.572073
425348,"Kirkeveien 7C, Høvik",59.900415,10.571921
425349,"Kirkeveien 5B, Høvik",59.899635,10.570878
425350,"Kirkeveien 7A, Høvik",59.899977,10.57108
425351,"Kirkeveien 21A, Høvik",59.903167,10.56778
425353,"Kirkeveien 21B, Høvik",59.903344,10.567606
425354,"Kirkeveien 20A, Høvik",59.902641,10.566317
425355,"Kirkeveien 20B, Høvik",59.902921,10.566141
425356,"Kirkeveien 23A, Høvik",59.903347,10.566833
425357,"Kirkeveien 23B, Høvik",59.903009,10.567248
425358,"Kirkeveien 21C, Høvik",59.903508,10.56742
425359,"Kirkeveien 22, Høvik",59.903007,10.565612
425360,"Kirkeveien 16A, Høvik",59.902599,10.567733
425361,"Kirkeveien 16B, Høvik",59.902695,10.56849
425362,"Kirkeveien 14A, Høvik",59.901442,10.569259
425363,"Kirkeveien 15, Høvik",59.902511,10.569478
425364,"Kirkeveien 19A, Høvik",59.903236,10.56836
425365,"Kirkeveien 19B, Høvik",59.90355,10.567851
425366,"Kirkeveien 17, Høvik",59.902941,10.568987
425367,"Kirkeveien 17B, Høvik",59.902917,10.569382
425368,"Kirkeveien 38, Høvik",59.905664,10.564727
425369,"Kirkeveien 33B, Høvik",59.904928,10.565828
425370,"Kirkeveien 42A, Høvik",59.906689,10.564366
425371,"Kirkeveien 42B, Høvik",59.906853,10.564284
425372,"Kirkeveien 38B, Høvik",59.90574,10.564605
425373,"Kirkeveien 40, Høvik",59.90622,10.564447
425374,"Kirkeveien 27, Høvik",59.904197,10.565985
425375,"Kirkeveien 25C, Høvik",59.903458,10.565941
425376,"Kirkeveien 25B, Høvik",59.903169,10.566385
425377,"Kirkeveien 31, Høvik",59.904493,10.566015
425378,"Kirkeveien 33, Høvik",59.905017,10.566367
425379,"Kirkeveien 29, Høvik",59.904545,10.566445
425395,"Kirkeveien 35, Høvik",59.905265,10.566155
426396,"Ballerud alle 5B, Høvik",59.905509,10.576791
426397,"Ballerud alle 6, Høvik",59.905555,10.577836
