,Navn,Long,Lat
2521,"55/446, Østenstad",59.827767,10.447853
358198,"Hagaveien 46, Holmen",59.843367,10.47216
358199,"Hagaveien 44, Holmen",59.843468,10.472717
358200,"Hagaveien 42, Holmen",59.843614,10.473384
358201,"Hagaveien 40, Holmen",59.843805,10.47391
358202,"Hagaveien 38, Holmen",59.844127,10.474103
358203,"Hagaveien 36, Holmen",59.844369,10.474096
358204,"Hagaveien 32, Holmen",59.843401,10.471483
358205,"Hagaveien 25, Holmen",59.843943,10.472042
358206,"Hagakollen 57, Asker",59.843127,10.470293
358207,"Hagakollen 55, Asker",59.843033,10.46986
358208,"Hagakollen 53, Asker",59.843011,10.469467
358209,"Hagakollen 49, Asker",59.842794,10.468012
358210,"Hagakollen 47, Asker",59.8428,10.467405
358211,"Hagakollen 45, Asker",59.842898,10.466713
358212,"Hagakollen 43, Asker",59.842908,10.466607
358213,"Hagakollen 41, Asker",59.842994,10.466182
358214,"Hagakollen 39, Asker",59.843032,10.465988
358215,"Hagakollen 37, Asker",59.84318,10.465566
358216,"Hagakollen 35, Asker",59.843146,10.465404
358217,"Hagakollen 33, Asker",59.843151,10.464976
358218,"Hagakollen 31, Asker",59.84309,10.464794
358219,"Hagakollen 29, Asker",59.843086,10.464348
358220,"Hagakollen 27, Asker",59.843025,10.464185
358221,"Hagakollen 25, Asker",59.84348,10.46524
358222,"Hagakollen 23, Asker",59.843541,10.465385
358223,"Hagakollen 21, Asker",59.843654,10.465712
358224,"Hagakollen 19, Asker",59.843742,10.465894
358225,"Hagakollen 17, Asker",59.843836,10.466309
358226,"Hagakollen 16, Asker",59.843406,10.4662
358227,"Hagakollen 15, Asker",59.844081,10.466944
358228,"Hagakollen 14, Asker",59.843626,10.466692
358229,"Hagakollen 13, Asker",59.844265,10.467327
358230,"Hagakollen 12, Asker",59.843915,10.467347
358231,"Hagakollen 11, Asker",59.844475,10.467872
358232,"Hagakollen 9, Asker",59.844648,10.468397
358233,"Hagakollen 8, Asker",59.844281,10.468327
358234,"Hagakollen 7, Asker",59.844701,10.468506
358235,"Hagakollen 6, Asker",59.844437,10.468798
358236,"Hagakollen 5, Asker",59.844902,10.468961
358237,"Hagakollen 3, Asker",59.844964,10.469071
358238,"Hagakollen 2, Asker",59.844847,10.469869
358239,"Hagakollen 1, Asker",59.84519,10.469741
361340,"Gamle Leangvei 26, Asker",59.838551,10.471519
361341,"Gamle Leangvei 25, Asker",59.839112,10.471169
361342,"Gamle Leangvei 24, Asker",59.838805,10.472083
361343,"Gamle Leangvei 23, Asker",59.839271,10.471443
361344,"Gamle Leangvei 22, Asker",59.839062,10.472451
361345,"Gamle Leangvei 21, Asker",59.839507,10.471971
361346,"Gamle Leangvei 20, Asker",59.839353,10.472875
361347,"Gamle Leangvei 19B, Asker",59.839718,10.472373
361348,"Gamle Leangvei 17, Asker",59.839737,10.4715
361349,"Gamle Leangvei 15, Asker",59.840168,10.47234
361350,"Gamle Leangvei 13B, Asker",59.840332,10.472882
361351,"Gamle Leangvei 13A, Asker",59.840394,10.472992
361352,"Gamle Leangvei 8, Holmen",59.842494,10.473941
361353,"Gamle Leangvei 6, Holmen",59.84185,10.474448
361354,"Gamle Leangvei 4A, Holmen",59.842778,10.473667
361355,"Gamle Leangvei 2, Holmen",59.843099,10.473647
361404,"Haldenveien 8, Asker",59.836098,10.456351
361448,"Haldenveien 7, Asker",59.83552,10.457414
361514,"Haldenveien 6, Asker",59.835975,10.456042
361537,"Haldenveien 5, Asker",59.835622,10.457097
361538,"Haldenveien 4, Asker",59.835737,10.456496
361539,"Båstad terrasse 33, Asker",59.836632,10.460817
361540,"Båstad terrasse 32, Asker",59.836649,10.461674
361541,"Båstad terrasse 31, Asker",59.836667,10.460908
361542,"Båstad terrasse 29B, Asker",59.836879,10.461221
361543,"Båstad terrasse 27, Asker",59.837123,10.461071
361544,"Båstad terrasse 20, Asker",59.83701,10.462368
361545,"Båstad terrasse 18, Asker",59.837105,10.462694
361546,"Båstadveien 111, Asker",59.833076,10.447798
361547,"Båstadveien 110, Asker",59.832718,10.448478
361548,"Båstadveien 109, Asker",59.833027,10.447278
361549,"Båstadveien 108, Asker",59.832752,10.448622
361550,"Båstadveien 107, Asker",59.833342,10.447274
361551,"Båstadveien 106, Asker",59.832787,10.448749
361552,"Båstadveien 104, Asker",59.832812,10.448857
361553,"Båstadveien 103, Asker",59.833286,10.448253
361554,"Båstadveien 102, Asker",59.832874,10.448967
361555,"Båstadveien 101, Asker",59.833312,10.448379
361556,"Båstadveien 100, Asker",59.832899,10.44911
361557,"Båstadveien 99, Asker",59.833338,10.448469
361558,"Båstadveien 98, Asker",59.832413,10.448394
361559,"Båstadveien 97, Asker",59.833354,10.448613
361560,"Båstadveien 96, Asker",59.832447,10.448627
361561,"Båstadveien 95, Asker",59.833371,10.448738
361562,"Båstadveien 94, Asker",59.832532,10.449023
361563,"Båstadveien 93, Asker",59.833405,10.448865
361564,"Båstadveien 92, Asker",59.832566,10.449203
361565,"Båstadveien 91, Asker",59.833447,10.449134
361566,"Båstadveien 90, Asker",59.832652,10.449528
361567,"Båstadveien 89, Asker",59.833463,10.449278
361568,"Båstadveien 88, Asker",59.832686,10.449726
361569,"Båstadveien 87, Asker",59.83348,10.449385
361570,"Båstadveien 86, Asker",59.832763,10.450104
361571,"Båstadveien 85, Asker",59.833505,10.449547
361572,"Båstadveien 84, Asker",59.832806,10.450266
361573,"Båstadveien 83, Asker",59.833533,10.44967
361574,"Båstadveien 82, Asker",59.832856,10.450643
361575,"Båstadveien 81, Asker",59.833566,10.449782
361576,"Båstadveien 80, Asker",59.832899,10.450823
361577,"Båstadveien 73, Asker",59.834532,10.451733
361578,"Båstadveien 71, Asker",59.834376,10.452047
361580,"Båstadveien 70, Asker",59.83433,10.452973
361581,"Båstadveien 68, Asker",59.834618,10.453664
361582,"Båstadveien 65, Asker",59.83484,10.453156
361583,"Øvre Båstad vei 41, Asker",59.837994,10.46193
361584,"Øvre Båstad vei 40, Asker",59.838003,10.461109
361585,"Øvre Båstad vei 39, Asker",59.837766,10.461402
361586,"Øvre Båstad vei 38, Asker",59.837873,10.460657
361587,"Øvre Båstad vei 37, Asker",59.837599,10.461092
361588,"Øvre Båstad vei 36B, Asker",59.83777,10.460225
361589,"Øvre Båstad vei 35, Asker",59.837315,10.460794
361590,"Øvre Båstad vei 34, Asker",59.837605,10.459754
361591,"Øvre Båstad vei 32, Asker",59.837383,10.459512
361592,"Øvre Båstad vei 31, Asker",59.83723,10.460344
361593,"Øvre Båstad vei 30, Asker",59.837306,10.459169
361594,"Øvre Båstad vei 28B, Asker",59.836969,10.458842
361595,"Øvre Båstad vei 27, Asker",59.836967,10.4606
361596,"Øvre Båstad vei 26, Asker",59.837058,10.459605
361620,"Undelstadveien 44A, Asker",59.841158,10.467262
361621,"Undelstadveien 43, Asker",59.841631,10.467586
