,Navn,Long,Lat
732773,"Arnestadjordet 4, LANGHUS",59.754616,10.847009
733134,"Briskeveien 58, LANGHUS",59.761776,10.853886
733135,"Briskeveien 57, LANGHUS",59.762603,10.853842
733136,"Briskeveien 56, LANGHUS",59.761803,10.853923
733137,"Briskeveien 55, LANGHUS",59.762648,10.853845
733138,"Briskeveien 54, LANGHUS",59.761839,10.853942
733139,"Briskeveien 53, LANGHUS",59.76272,10.853867
733140,"Briskeveien 52, LANGHUS",59.761875,10.853927
733141,"Briskeveien 51, LANGHUS",59.762756,10.853869
733142,"Briskeveien 67, LANGHUS",59.762312,10.85347
733143,"Briskeveien 66, LANGHUS",59.761785,10.853281
733144,"Briskeveien 65, LANGHUS",59.762347,10.853543
733145,"Briskeveien 64, LANGHUS",59.761693,10.8534
733146,"Briskeveien 63, LANGHUS",59.762373,10.853634
733147,"Briskeveien 62, LANGHUS",59.761665,10.853541
733148,"Briskeveien 60, LANGHUS",59.761725,10.85374
733149,"Briskeveien 59, LANGHUS",59.76255,10.853839
733150,"Briskeveien 70, LANGHUS",59.76194,10.853093
733151,"Briskeveien 69, LANGHUS",59.762296,10.85338
733152,"Briskeveien 68, LANGHUS",59.761867,10.853196
733153,"Briskeveien 95, LANGHUS",59.762108,10.852658
733154,"Briskeveien 93, LANGHUS",59.762198,10.852627
733155,"Briskeveien 91, LANGHUS",59.762387,10.852637
733156,"Briskeveien 24, LANGHUS",59.76231,10.854912
733157,"Briskeveien 23, LANGHUS",59.763278,10.853114
733158,"Briskeveien 22, LANGHUS",59.762408,10.854935
733159,"Briskeveien 32, LANGHUS",59.76191,10.854587
733160,"Briskeveien 31, LANGHUS",59.763051,10.85271
733161,"Briskeveien 30, LANGHUS",59.761979,10.85484
733162,"Briskeveien 29, LANGHUS",59.76314,10.85275
733163,"Briskeveien 28, LANGHUS",59.762139,10.854903
733164,"Briskeveien 27, LANGHUS",59.763247,10.85281
733165,"Briskeveien 26, LANGHUS",59.762229,10.854926
733166,"Briskeveien 25, LANGHUS",59.763252,10.853041
733167,"Briskeveien 40, LANGHUS",59.762234,10.853946
733168,"Briskeveien 39, LANGHUS",59.763176,10.854034
733169,"Briskeveien 38, LANGHUS",59.762131,10.854208
733170,"Briskeveien 37, LANGHUS",59.763265,10.854039
733171,"Briskeveien 36, LANGHUS",59.762058,10.854311
733172,"Briskeveien 34, LANGHUS",59.761939,10.854447
733173,"Briskeveien 49, LANGHUS",59.762818,10.85389
733174,"Briskeveien 47, LANGHUS",59.762854,10.853892
733175,"Briskeveien 46, LANGHUS",59.762138,10.85371
733176,"Briskeveien 45, LANGHUS",59.762908,10.853895
733177,"Briskeveien 44, LANGHUS",59.762182,10.853801
733178,"Briskeveien 43, LANGHUS",59.762988,10.85397
733179,"Briskeveien 42, LANGHUS",59.762208,10.853856
733180,"Briskeveien 41, LANGHUS",59.763077,10.853993
733192,"Briskeveien 2, LANGHUS",59.763212,10.854642
733193,"Briskeveien 1, LANGHUS",59.763627,10.854469
733195,"Briskeveien 10, LANGHUS",59.762854,10.854568
733196,"Briskeveien 9, LANGHUS",59.763473,10.853926
733197,"Briskeveien 8, LANGHUS",59.762943,10.854573
733198,"Briskeveien 7, LANGHUS",59.763508,10.854017
733199,"Briskeveien 6, LANGHUS",59.763024,10.854596
733200,"Briskeveien 5, LANGHUS",59.763534,10.854072
733201,"Briskeveien 4, LANGHUS",59.763122,10.854619
733202,"Briskeveien 3, LANGHUS",59.763568,10.854199
733203,"Bjørkekroken 44, LANGHUS",59.763505,10.857436
733204,"Bjørkekroken 42, LANGHUS",59.763364,10.856609
733205,"Bjørkekroken 40, LANGHUS",59.763301,10.85657
733206,"Bjørkekroken 39, LANGHUS",59.762924,10.856549
733207,"Bjørkekroken 38, LANGHUS",59.763257,10.856514
733208,"Bjørkekroken 37, LANGHUS",59.763122,10.855919
733209,"Bjørkekroken 36, LANGHUS",59.763222,10.856476
733210,"Bjørkekroken 35, LANGHUS",59.763105,10.855829
733211,"Blindveien 5, LANGHUS",59.752581,10.830699
733212,"Blindveien 3, LANGHUS",59.752627,10.831253
733213,"Blindveien 1, LANGHUS",59.752624,10.832125
733214,"Bjørkekroken 50, LANGHUS",59.763363,10.857303
733215,"Bjørkekroken 48, LANGHUS",59.763416,10.85736
733216,"Bjørkekroken 46, LANGHUS",59.763451,10.857397
733220,"Blindveien 6A, LANGHUS",59.752171,10.830795
733221,"Blindveien 7, LANGHUS",59.752345,10.829984
733222,"Blindveien 8, LANGHUS",59.752068,10.830112
733223,"Bjørkekroken 54, LANGHUS",59.763184,10.856932
733224,"Bjørkekroken 52, LANGHUS",59.763193,10.856991
733232,"Bjørkekroken 10, LANGHUS",59.763772,10.855706
733233,"Bjørkekroken 9, LANGHUS",59.763051,10.855238
