,Navn,Long,Lat
40280,"102/2, Nordby",59.722282,10.797825
733026,"Atriumveien 15H, SKI",59.713092,10.815491
733027,"Atriumveien 15G, SKI",59.713091,10.815562
733028,"Atriumveien 15F, SKI",59.71309,10.815651
733029,"Atriumveien 15E, SKI",59.713089,10.815722
733030,"Atriumveien 15D, SKI",59.713095,10.815953
733031,"Atriumveien 15C, SKI",59.713093,10.816042
733032,"Atriumveien 15B, SKI",59.713092,10.816113
733034,"Atriumveien 15K, SKI",59.713273,10.814958
733035,"Atriumveien 15J, SKI",59.713273,10.815641
733036,"Atriumveien 10H, SKI",59.713934,10.817267
733051,"Atriumveien 11B, SKI",59.713685,10.81611
733052,"Atriumveien 11A, SKI",59.713693,10.816181
733053,"Atriumveien 11H, SKI",59.713685,10.815487
733054,"Atriumveien 11G, SKI",59.713684,10.815559
733055,"Dagboveien 3, SKI",59.726667,10.822763
733056,"Atriumveien 11F, SKI",59.713683,10.815647
733057,"Atriumveien 11E, SKI",59.713691,10.815719
733058,"Atriumveien 11D, SKI",59.713696,10.81595
733059,"Atriumveien 11C, SKI",59.713695,10.816039
733060,"Atriumveien 15A, SKI",59.713091,10.816184
733061,"Atriumveien 5, SKI",59.714565,10.816053
733062,"Atriumveien 8A, SKI",59.714368,10.816646
733063,"Atriumveien 6C, SKI",59.714617,10.817309
733064,"Atriumveien 6B, SKI",59.714618,10.816971
733065,"Atriumveien 6A, SKI",59.714617,10.816644
733066,"Atriumveien 7F, SKI",59.714382,10.815248
733067,"Atriumveien 7G, SKI",59.714228,10.815202
733068,"Atriumveien 13F, SKI",59.713777,10.814852
733069,"Atriumveien 13E, SKI",59.713643,10.814779
733070,"Atriumveien 4H, SKI",59.714884,10.81727
733071,"Atriumveien 4J, SKI",59.714853,10.817624
733072,"Atriumveien 4K, SKI",59.714734,10.817619
733073,"Atriumveien 6D, SKI",59.714601,10.817566
733074,"Atriumveien 10C, SKI",59.713936,10.816678
733075,"Atriumveien 10F, SKI",59.713935,10.817105
733076,"Atriumveien 10E, SKI",59.713935,10.816984
733078,"Atriumveien 10D, SKI",59.713935,10.816801
733079,"Atriumveien 10G, SKI",59.713935,10.817142
733080,"Atriumveien 7B, SKI",59.714413,10.815438
733084,"Atriumveien 7A, SKI",59.71442,10.816095
733085,"Atriumveien 7C, SKI",59.714566,10.815437
733086,"Atriumveien 8C, SKI",59.714383,10.817312
733087,"Atriumveien 9H, SKI",59.714042,10.815477
733088,"Atriumveien 9G, SKI",59.714043,10.815599
733089,"Atriumveien 9F, SKI",59.714042,10.81564
733090,"Atriumveien 9C, SKI",59.714041,10.816067
