,Navn,Long,Lat
737421,"Tussestien 18, LANGHUS",59.762169,10.821288
737422,"Tussestien 16, LANGHUS",59.762042,10.822082
737423,"Tussestien 15, LANGHUS",59.76249,10.821448
739904,"Mølleveien 22, LANGHUS",59.761342,10.808609
741229,"Frydenbergveien 35, Greverud",59.779572,10.804012
741230,"Frydenbergveien 34, Greverud",59.778805,10.804897
741231,"Frydenbergveien 41B, Greverud",59.780763,10.804175
741232,"Frydenbergveien 40B, Greverud",59.780424,10.804522
741233,"Frydenbergveien 26, Greverud",59.776427,10.806789
741234,"Kryssveien 4, Greverud",59.776712,10.806649
741235,"Frydenbergveien 25A, Greverud",59.777771,10.805121
741237,"Frydenbergveien 30A, Greverud",59.777408,10.806097
741238,"Frydenbergveien 25B, Greverud",59.778079,10.804862
741239,"Frydenbergveien 30D, Greverud",59.777755,10.805867
741240,"Frydenbergveien 30C, Greverud",59.777589,10.806023
741241,"Frydenbergveien 30B, Greverud",59.777568,10.805922
741242,"Frydenbergveien 32, Greverud",59.778345,10.805239
741243,"Frydenbergveien 27A, Greverud",59.778296,10.804456
741244,"Frydenbergveien 27B, Greverud",59.778464,10.8044
741245,"Frydenbergveien 29, Greverud",59.778792,10.804172
741246,"Frydenbergveien 33, Greverud",59.779302,10.804135
741247,"Frydenbergveien 31B, Greverud",59.779087,10.804125
748339,"Bakkeveien 28, Greverud",59.779819,10.803687
748341,"Bakkeveien 26, Greverud",59.780191,10.803387
748345,"Bakkeveien 24B, Greverud",59.780557,10.803007
748346,"Bakkeveien 24A, Greverud",59.780668,10.802552
748347,"Bakkeveien 22B, Greverud",59.780826,10.802352
748348,"Bakkeveien 22A, Greverud",59.781026,10.802097
748406,"Bergstien 2, Greverud",59.766325,10.815015
748407,"Bergstien 1C, Greverud",59.766487,10.815611
748411,"Bjerkebakken 1B, Greverud",59.770474,10.81378
748412,"Bergstien 6, Greverud",59.76581,10.815859
748421,"Bergstien 4A, Greverud",59.76599,10.815193
748422,"Bergstien 4B, Greverud",59.766075,10.815571
748423,"Bjerkebakken 18, Greverud",59.771038,10.8178
748424,"Bjerkebakken 16, Greverud",59.771034,10.817425
748425,"Bjerkebakken 22, Greverud",59.771112,10.818267
748426,"Bjerkebakken 9B, Greverud",59.771082,10.816538
748427,"Bjerkebakken 20, Greverud",59.771224,10.818006
748447,"Bjerkebakken 11B, Greverud",59.771347,10.816995
748448,"Bjerkebakken 5A, Greverud",59.770922,10.815165
748449,"Bjerkebakken 11A, Greverud",59.771361,10.817126
748450,"Bjerkebakken 13B, Greverud",59.771416,10.816333
748451,"Bjerkebakken 13A, Greverud",59.771417,10.816689
748452,"Bjerkebakken 3D, Greverud",59.770471,10.814716
748453,"Bjerkebakken 5B, Greverud",59.771008,10.815583
748454,"Bjerkebakken 7B, Greverud",59.770653,10.81569
748455,"Bergstien 3A, Greverud",59.766351,10.81607
748506,"Bakkeveien 1, Greverud",59.786062,10.801672
748507,"Bakkeveien 2, Greverud",59.785219,10.801573
748509,"Bakkeveien 7A, Greverud",59.783892,10.80228
748510,"Bakkeveien 6, Greverud",59.784239,10.801581
748523,"Bakkeveien 3A, Greverud",59.785004,10.802075
748524,"Bakkeveien 8B, Greverud",59.783771,10.80167
748525,"Bakkeveien 7B, Greverud",59.783578,10.802203
748532,"Bakkeveien 3B, Greverud",59.78476,10.802261
748533,"Bakkeveien 6A, Greverud",59.784426,10.801662
748546,"Bakkeveien 4A, Greverud",59.78486,10.801574
748549,"Bakkeveien 10A, Greverud",59.783396,10.80176
748550,"Bakkeveien 15, Greverud",59.781248,10.802772
748551,"Bakkeveien 18C, Greverud",59.781689,10.801841
748552,"Bakkeveien 12B, Greverud",59.782807,10.802026
748553,"Bakkeveien 12A, Greverud",59.782991,10.801952
748554,"Bakkeveien 10B, Greverud",59.783253,10.801809
748555,"Bakkeveien 9B, Greverud",59.783107,10.802284
748556,"Bakkeveien 9A, Greverud",59.783265,10.802229
748712,"Bjerkebakken 10B, Greverud",59.770516,10.817648
748746,"Elverhøyveien 3B, Greverud",59.769231,10.815297
748747,"Elverhøyveien 3A, Greverud",59.76908,10.815218
748748,"Elverhøyveien 5, Greverud",59.769465,10.815239
748749,"Elverhøyveien 4, Greverud",59.768964,10.815746
748752,"Elverhøyveien 1, Greverud",59.768882,10.814584
748754,"Elverhøyveien 7, Greverud",59.76932,10.815692
748755,"Fageråsveien 10B, Greverud",59.764604,10.807621
748756,"Fageråsveien 5B, Greverud",59.763875,10.807065
748757,"Fageråsveien 8B, Greverud",59.764289,10.807657
748758,"Fageråsveien 23, Greverud",59.765814,10.805834
748759,"Fageråsveien 12A, Greverud",59.764524,10.806605
748760,"Fageråsveien 15A, Greverud",59.765058,10.8046
748761,"Fageråsveien 29, Greverud",59.766025,10.806148
748762,"Fageråsveien 31, Greverud",59.766125,10.806065
748763,"Fageråsveien 25, Greverud",59.765914,10.805733
748764,"Fageråsveien 27, Greverud",59.765916,10.806249
748765,"Fageråsveien 3B, Greverud",59.763912,10.808034
748766,"Fageråsveien 8A, Greverud",59.764203,10.807888
748767,"Fageråsveien 10A, Greverud",59.764354,10.807246
748768,"Fageråsveien 3A, Greverud",59.763737,10.808365
748769,"Fageråsveien 14, Greverud",59.765002,10.806403
748770,"Fageråsveien 4, Greverud",59.763866,10.808957
748771,"Eventyrveien 1, Greverud",59.780354,10.805191
748772,"Eventyrveien 5A, Greverud",59.780241,10.806174
748773,"Fageråsveien 11A, Greverud",59.764728,10.805651
748774,"Fageråsveien 19B, Greverud",59.765302,10.805377
748775,"Fageråsveien 1B, Greverud",59.76364,10.808779
748776,"Fageråsveien 19A, Greverud",59.765171,10.80531
748777,"Eventyrveien 7A, Greverud",59.780255,10.806654
748778,"Fageråsveien 37, Greverud",59.766146,10.806511
748779,"Fageråsveien 36, Greverud",59.765689,10.807056
748780,"Fageråsveien 39, Greverud",59.766255,10.806428
748781,"Fageråsveien 38, Greverud",59.765581,10.80705
748782,"Fageråsveien 33, Greverud",59.766225,10.805963
748783,"Fageråsveien 35, Greverud",59.766046,10.806595
748784,"Fageråsveien 34, Greverud",59.765806,10.807045
748785,"Fageråsveien 49, Greverud",59.766521,10.806674
748786,"Fageråsveien 47, Greverud",59.76643,10.806758
748787,"Fageråsveien 53, Greverud",59.766541,10.807138
748788,"Fageråsveien 51, Greverud",59.766441,10.807239
748789,"Fageråsveien 41, Greverud",59.766355,10.806326
748790,"Fageråsveien 40, Greverud",59.765339,10.807037
748791,"Fageråsveien 45, Greverud",59.766321,10.806859
748792,"Fageråsveien 43, Greverud",59.766221,10.806942
748793,"Fageråsveien 65, Greverud",59.767249,10.807247
748794,"Fageråsveien 63, Greverud",59.767152,10.807117
748795,"Fageråsveien 69, Greverud",59.766516,10.807653
748796,"Fageråsveien 67, Greverud",59.766416,10.807737
748797,"Fageråsveien 57, Greverud",59.76675,10.806953
748798,"Fageråsveien 55, Greverud",59.76665,10.807037
748799,"Fageråsveien 61, Greverud",59.767046,10.806987
748800,"Fageråsveien 59, Greverud",59.766949,10.806893
748801,"Fageråsveien 73, Greverud",59.766735,10.807451
748802,"Fageråsveien 71, Greverud",59.766626,10.807534
748803,"Fageråsveien 75, Greverud",59.766906,10.807389
748812,"Fageråsveien 26, Greverud",59.765386,10.806133
748813,"Fageråsveien 32, Greverud",59.765671,10.80664
748842,"Damveien 4, Greverud",59.768943,10.8262
748843,"Damveien 5, Greverud",59.769261,10.825621
748844,"Damveien 3, Greverud",59.76889,10.825581
748845,"Damveien 2, Greverud",59.768595,10.826174
748846,"Dovreveien 1B, Greverud",59.768407,10.815146
748847,"Dovreveien 10, Greverud",59.768979,10.816655
748848,"Dovreveien 8, Greverud",59.768818,10.816575
748849,"Dovreveien 3, Greverud",59.768584,10.815351
748850,"Dovreveien 6, Greverud",59.768562,10.81624
748855,"Durendalveien 20, Greverud",59.766511,10.809232
748856,"Durendalveien 18A, Greverud",59.766718,10.809085
748857,"Durendalveien 16B, Greverud",59.766889,10.808975
748858,"Durendalveien 22, Greverud",59.766588,10.808269
748859,"Dovreveien 4, Greverud",59.768346,10.815929
748860,"Durendalveien 3, Greverud",59.766231,10.809689
748861,"Dovreveien 2, Greverud",59.768048,10.815582
748863,"Durendalveien 14, Greverud",59.766885,10.809532
748865,"Damveien 7, Greverud",59.769266,10.825135
748866,"Damveien 11, Greverud",59.769472,10.825654
748867,"Damveien 9, Greverud",59.769456,10.825206
748868,"Dovreveien 5, Greverud",59.768699,10.815534
748869,"Damveien 1B, Greverud",59.768587,10.825559
748870,"Damveien 1A, Greverud",59.768381,10.825503
748871,"Damveien 6, Greverud",59.769118,10.826108
748872,"Damveien 8, Greverud",59.769277,10.826124
748873,"Damveien 10, Greverud",59.769457,10.826084
748887,"Brattåsveien 6B, Greverud",59.779239,10.789583
748891,"Byåsveien 2, Greverud",59.78599,10.797071
748892,"Byåsveien 1, Greverud",59.785483,10.797383
748893,"Byåsveien 3B, Greverud",59.785454,10.796882
748894,"Byåsveien 3A, Greverud",59.785585,10.796479
