,Navn,Long,Lat
748395,"Bekkenstenveien 6, Oppegård",59.781305,10.751569
748396,"Bekkenstenveien 2, Oppegård",59.780962,10.753012
748397,"Bekkenstenveien 29, Oppegård",59.784089,10.743448
748398,"Bekkenstenveien 27, Oppegård",59.783588,10.743315
748399,"Bekkenstenveien 31, Oppegård",59.784475,10.743522
748400,"Bekkenstenveien 8, Oppegård",59.781431,10.750881
748401,"Bekkenstenveien 7, Oppegård",59.780918,10.750925
748402,"Bekkenstenveien 13, Oppegård",59.781388,10.749382
748403,"Bekkenstenveien 9, Oppegård",59.780547,10.749801
748404,"Bekkenstenveien 71, Oppegård",59.790389,10.7364
748405,"Bekkenstenveien 70, Oppegård",59.790743,10.736792
748408,"Bekkenstenveien 67, Oppegård",59.789697,10.738466
748409,"Bekkenstenveien 69B, Oppegård",59.790213,10.736765
748410,"Bekkenstenveien 69A, Oppegård",59.790128,10.737081
748414,"Bekkenstenveien 30, Oppegård",59.785424,10.745415
748418,"Bekkenstenveien 33, Oppegård",59.784865,10.743227
748444,"Sjødalveien 30, Oppegård",59.761662,10.73603
748457,"Sjødalstrandveien 30, Oppegård",59.764391,10.730687
748459,"Sjødalstrandveien 22, Oppegård",59.765991,10.733316
748460,"Sjødalstrandveien 1, Oppegård",59.772551,10.734404
748461,"Sjødalstrandveien 21, Oppegård",59.766273,10.734025
748463,"Sjødalstrandveien 25, Oppegård",59.764457,10.733009
748464,"Sjødalveien 6, Oppegård",59.766501,10.738898
748465,"Sjødalveien 10, Oppegård",59.765945,10.738834
748473,"Brenningsmyrveien 223, Oppegård",59.763186,10.728702
749196,"Framveien 12, Oppegård",59.779116,10.742565
749197,"Framveien 1, Oppegård",59.779887,10.744754
749202,"Framveien 23, Oppegård",59.777956,10.74336
749203,"Framveien 22, Oppegård",59.778306,10.742062
749204,"Framveien 25, Oppegård",59.777143,10.743032
749205,"Framveien 24, Oppegård",59.778056,10.741922
749206,"Framveien 16, Oppegård",59.778915,10.741468
749207,"Framveien 21, Oppegård",59.777723,10.742653
749208,"Framveien 20, Oppegård",59.778416,10.741228
749209,"Framveien 38, Oppegård",59.776538,10.739866
749210,"Framveien 36, Oppegård",59.77641,10.740504
749211,"Framveien 40, Oppegård",59.776673,10.741262
749212,"Framveien 27, Oppegård",59.776784,10.743031
749213,"Framveien 26, Oppegård",59.77775,10.741265
749214,"Framveien 28, Oppegård",59.777341,10.740994
749215,"Framveien 51, Oppegård",59.774932,10.741136
749216,"Framveien 49, Oppegård",59.774977,10.741824
749217,"Framveien 53, Oppegård",59.774538,10.741026
749218,"Framveien 43, Oppegård",59.77582,10.741809
749219,"Framveien 42, Oppegård",59.776853,10.741859
749220,"Framveien 48, Oppegård",59.776082,10.740448
749221,"Framveien 47, Oppegård",59.77546,10.741253
749222,"Framveien 29, Oppegård",59.776138,10.743153
749223,"Framveien 54, Oppegård",59.775116,10.740006
749224,"Framveien 62, Oppegård",59.774097,10.740416
749225,"Framveien 60, Oppegård",59.774443,10.740573
749226,"Framveien 65, Oppegård",59.774161,10.74087
749227,"Framveien 64, Oppegård",59.773719,10.739773
749228,"Framveien 57, Oppegård",59.774872,10.742832
749229,"Framveien 55, Oppegård",59.774609,10.741743
749230,"Framveien 59, Oppegård",59.774967,10.743355
749231,"Framveien 58, Oppegård",59.774633,10.740622
749756,"Gamle Mossevei 4, Oppegård",59.823207,10.772123
749757,"Gamle Mossevei 3, Oppegård",59.822771,10.773848
749758,"Gamle Mossevei 15, Oppegård",59.820885,10.773141
749759,"Gamle Mossevei 5, Oppegård",59.823207,10.773461
749760,"Gamle Mossevei 1, Oppegård",59.823966,10.774447
749761,"Gamle Mossevei 39, Oppegård",59.795029,10.773693
749762,"Gamle Mossevei 37, Oppegård",59.795391,10.773499
749763,"Gamle Mossevei 43, Oppegård",59.794399,10.773749
749764,"Gamle Mossevei 41, Oppegård",59.794718,10.77341
749765,"Gamle Mossevei 31, Oppegård",59.794595,10.77253
749766,"Gamle Mossevei 29, Oppegård",59.797724,10.771626
749767,"Gamle Mossevei 35, Oppegård",59.794957,10.773012
749768,"Gamle Mossevei 33, Oppegård",59.794688,10.772683
749769,"Gamle Mossevei 52, Oppegård",59.792931,10.771372
749770,"Gamle Mossevei 55, Oppegård",59.792422,10.773199
749771,"Gamle Mossevei 53, Oppegård",59.792996,10.772605
749772,"Gamle Mossevei 47, Oppegård",59.794065,10.772555
749773,"Gamle Mossevei 50, Oppegård",59.793406,10.77182
749774,"Gamle Mossevei 73, Oppegård",59.786044,10.775248
749775,"Gamle Mossevei 81, Oppegård",59.782741,10.776391
749776,"Gamle Mossevei 75, Oppegård",59.785039,10.775818
749777,"Gamle Mossevei 64, Oppegård",59.790596,10.772727
749778,"Gamle Mossevei 62, Oppegård",59.790858,10.772563
749779,"Gamle Mossevei 68, Oppegård",59.784919,10.770787
749782,"Gamle Mossevei 45, Oppegård",59.794133,10.773728
749783,"Gamle Mossevei 70, Oppegård",59.784617,10.766928
749784,"Gamle Mossevei 105, Oppegård",59.765803,10.780245
749785,"Gamle Mossevei 84, Oppegård",59.778557,10.780978
749786,"Gamle Mossevei 83, Oppegård",59.782058,10.777779
749787,"Gamle Mossevei 95, Oppegård",59.770128,10.783218
749788,"Gamle Mossevei 93, Oppegård",59.770726,10.783553
749802,"Gamle Mossevei 65, Oppegård",59.78936,10.773004
749806,"Kurud, Gamle Mossevei 98, Oppegård",59.769431,10.778919
749807,"Kurud, Gamle Mossevei 100, Oppegård",59.769813,10.778797
749904,"Hvitebjørnveien 11, Oppegård",59.818093,10.769712
749905,"Hvitebjørnveien 10, Oppegård",59.818624,10.76965
749906,"Hvitebjørnveien 14, Oppegård",59.818817,10.769322
749907,"Hvitebjørnveien 12, Oppegård",59.818478,10.769126
749911,"Hvitebjørnveien 1, Oppegård",59.818857,10.771714
749913,"Hvitebjørnveien 16, Oppegård",59.818423,10.768588
749914,"Hvitebjørnveien 15, Oppegård",59.817771,10.768945
749915,"Hvitebjørnveien 23, Oppegård",59.815582,10.768794
749916,"Hvitebjørnveien 21, Oppegård",59.815616,10.767618
749921,"Hvitebjørnveien 30, Oppegård",59.813841,10.765199
750421,"Ingierstrandveien 8, Oppegård",59.826642,10.75848
750422,"Ingierstrandveien 6, Oppegård",59.825758,10.760507
750423,"Ingierstrandveien 12, Oppegård",59.825885,10.757281
750424,"Ingierstrandveien 10, Oppegård",59.826238,10.758406
750425,"Ingierstrandveien 2, Oppegård",59.827993,10.766078
750426,"Ingierstrandveien 1, Oppegård",59.825395,10.769706
750427,"Ingierstrandveien 4, Oppegård",59.828631,10.76472
750428,"Ingierstrandveien 3, Oppegård",59.825093,10.770119
750429,"Ingierstrandveien 25, Oppegård",59.820418,10.755049
750430,"Ingierstrandveien 24B, Oppegård",59.820952,10.754114
750431,"Ingierstrandveien 27, Oppegård",59.81928,10.753605
750432,"Ingierstrandveien 26, Oppegård",59.821065,10.753709
750433,"Ingierstrandveien 20, Oppegård",59.825752,10.760503
750434,"Ingierstrandveien 14, Oppegård",59.825502,10.758385
750435,"Ingierstrandveien 24A, Oppegård",59.820882,10.754645
750436,"Ingierstrandveien 22, Oppegård",59.821681,10.753992
750437,"Ingierstrandveien 38, Oppegård",59.814074,10.74587
750438,"Ingierstrandveien 36, Oppegård",59.814607,10.74629
750439,"Ingierstrandveien 42, Oppegård",59.813005,10.745527
750440,"Ingierstrandveien 40, Oppegård",59.813776,10.745717
750441,"Ingierstrandveien 30, Oppegård",59.81668,10.74845
750442,"Ingierstrandveien 28, Oppegård",59.820004,10.754012
750443,"Ingierstrandveien 34, Oppegård",59.814802,10.747044
750444,"Ingierstrandveien 32, Oppegård",59.81582,10.747638
750445,"Ingierstrandveien 50, Oppegård",59.811141,10.744879
750446,"Ingierstrandveien 49, Oppegård",59.811678,10.74537
750447,"Ingierstrandveien 54, Oppegård",59.810472,10.744487
750448,"Ingierstrandveien 52, Oppegård",59.810917,10.744831
750449,"Ingierstrandveien 46, Oppegård",59.812092,10.744251
750450,"Ingierstrandveien 45, Oppegård",59.812534,10.746129
750451,"Ingierstrandveien 48, Oppegård",59.81178,10.74486
750452,"Ingierstrandveien 47, Oppegård",59.8121,10.745678
