,Navn,Long,Lat
41438,"Hauger, 67/1, Ås",59.685668,10.847754
41441,"61/56, Ås",59.666844,10.80049
41442,"Skuterudsletta, 71/6, Ås",59.68009,10.812426
41454,"121/18, Ås",59.688612,10.815125
45469,"Hus 1, 61/148-1, Ås",59.672469,10.80255
45474,"Hus 2, 61/148-2, Ås",59.672605,10.802552
45475,"Hus 3, 61/148-3, Ås",59.672747,10.802574
738646,"Stønerudveien 8, KRÅKSTAD",59.667509,10.840634
738647,"Stønerudveien 3, KRÅKSTAD",59.66177,10.832207
738660,"Stønerudveien 5, KRÅKSTAD",59.662715,10.837211
738661,"Stønerudveien 4, KRÅKSTAD",59.663061,10.836289
739267,"Stønerudveien 6B, KRÅKSTAD",59.670206,10.835935
739279,"Stønerudveien 6A, KRÅKSTAD",59.670762,10.836246
739527,"Stønerudveien 9B, KRÅKSTAD",59.660595,10.839155
739528,"Stønerudveien 9A, KRÅKSTAD",59.660749,10.839074
740109,"Drottveien 14, Ås",59.667292,10.809747
740110,"Drottveien 19A, Ås",59.667463,10.808304
740111,"Drottveien 17B, Ås",59.667648,10.808157
740112,"Drottveien 17A, Ås",59.667742,10.808091
740113,"Drottveien 16, Ås",59.66704,10.809786
740114,"Drottveien 23, Ås",59.666977,10.807736
740115,"Drottveien 21, Ås",59.666897,10.807794
740116,"Drottveien 19B, Ås",59.667353,10.808379
740120,"Drottveien 3, Ås",59.667897,10.810896
740121,"Drottveien 2, Ås",59.667605,10.811576
740122,"Drottveien 1, Ås",59.667952,10.811341
740124,"Drottveien 7, Ås",59.667743,10.80989
740125,"Drottveien 6, Ås",59.667471,10.810925
740341,"Helles vei 12, Ås",59.671178,10.807763
740342,"Helles vei 11, Ås",59.67107,10.807214
740343,"Helles vei 10, Ås",59.671452,10.807645
740344,"Helles vei 21, Ås",59.670727,10.809115
740345,"Helles vei 19, Ås",59.670656,10.808563
740346,"Helles vei 17, Ås",59.67055,10.808145
740347,"Helles vei 14, Ås",59.670855,10.807842
740348,"Hellinga 5A, Ås",59.672881,10.800498
740349,"Hellinga 3, Ås",59.672849,10.800075
740350,"Hellinga 1, Ås",59.672677,10.799523
740351,"Helles vei 23, Ås",59.670784,10.809624
740379,"Langbakken 58, Ås",59.671691,10.801855
740380,"Langbakken 57, Ås",59.67132,10.801705
740381,"Langbakken 56, Ås",59.671707,10.800929
740382,"Langbakken 55, Ås",59.67127,10.800852
740383,"Langbakken 62, Ås",59.671733,10.803318
740384,"Langbakken 61, Ås",59.671253,10.803095
740385,"Langbakken 60, Ås",59.671753,10.802549
740386,"Langbakken 59, Ås",59.671244,10.802298
740412,"Meyers vei 13A, Ås",59.669358,10.807356
740413,"Ole Bygdevekters vei 9B, Ås",59.668955,10.807754
740414,"Ole Bygdevekters vei 9A, Ås",59.669049,10.807689
740415,"Ole Bygdevekters vei 8, Ås",59.668559,10.808682
740424,"Ole Bygdevekters vei 3, Ås",59.668987,10.809589
740425,"Ole Bygdevekters vei 2, Ås",59.668818,10.810216
740426,"Ole Bygdevekters vei 1, Ås",59.669064,10.810078
740428,"Ole Bygdevekters vei 7, Ås",59.66885,10.808547
740429,"Ole Bygdevekters vei 6, Ås",59.668648,10.809232
740430,"Ole Bygdevekters vei 5, Ås",59.668939,10.809093
740431,"Ole Bygdevekters vei 4, Ås",59.668739,10.809771
740455,"Nylenda 32, Ås",59.671326,10.80957
740456,"Nylenda 30, Ås",59.6711,10.8096
740465,"Nyborgveien 13, Ås",59.672716,10.806207
740515,"Rustadtorget 14, Ås",59.666816,10.807218
740520,"Ole Bygdevekters vei 12, Ås",59.668344,10.809509
740581,"Tårnveien 34, Ås",59.673291,10.805144
740582,"Tårnveien 32, Ås",59.673376,10.804829
740583,"Tårnveien 18, Ås",59.670638,10.802203
740584,"Tårnveien 17, Ås",59.670488,10.802692
740585,"Tårnveien 16, Ås",59.670425,10.802133
740586,"Tårnveien 15, Ås",59.670201,10.802876
740587,"Tårnveien 22, Ås",59.672068,10.802706
740588,"Tårnveien 21, Ås",59.671058,10.802863
740589,"Tårnveien 20, Ås",59.670937,10.802247
740590,"Tårnveien 19, Ås",59.670753,10.802831
740591,"Tårnveien 26, Ås",59.673415,10.803632
740592,"Tårnveien 25, Ås",59.673152,10.803924
740593,"Tårnveien 24, Ås",59.673373,10.803167
740594,"Tårnveien 23, Ås",59.672113,10.803401
740595,"Tårnveien 30B, Ås",59.673455,10.804396
740596,"Tårnveien 30A, Ås",59.673355,10.80448
740612,"Tårnveien 28, Ås",59.673443,10.803966
740613,"Tårnveien 27, Ås",59.67303,10.804604
740621,"Tårnveien 3, Ås",59.668901,10.801151
740622,"Tårnveien 2B, Ås",59.668919,10.800092
740623,"Tårnveien 2A, Ås",59.668802,10.800109
740624,"Tårnveien 6, Ås",59.669239,10.800743
740625,"Tårnveien 5B, Ås",59.669058,10.801497
740626,"Tårnveien 5A, Ås",59.669113,10.801331
740627,"Tårnveien 4, Ås",59.669069,10.800514
740628,"Tårnveien 10, Ås",59.669599,10.80119
740629,"Tårnveien 9, Ås",59.669592,10.801827
740630,"Tårnveien 8, Ås",59.669467,10.800954
740631,"Tårnveien 7, Ås",59.669364,10.801478
740632,"Tårnveien 14, Ås",59.670061,10.801877
740633,"Tårnveien 13, Ås",59.67004,10.802416
740634,"Tårnveien 12, Ås",59.669873,10.801283
740635,"Tårnveien 11, Ås",59.669756,10.80215
740642,"Torderudveien 23, Ås",59.674658,10.807736
740662,"Torderudveien 6, Ås",59.673518,10.808351
740663,"Torderudveien 5, Ås",59.67324,10.808931
740664,"Torderudveien 4, Ås",59.673321,10.808307
740665,"Torderudveien 3, Ås",59.673012,10.809222
740960,"Gamleveien 2F, Ås",59.665721,10.794816
1299927,"Vardeveien 4C, Ås",59.667127,10.796381
1299928,"Haugerudveien 52B, Ås",59.68415,10.804886
1541544,"Holstadveien 99, Ås",59.685426,10.818047
1752234,"Fjellveien 6B, Ås",59.667751,10.801192
1818838,"von Øtkens vei 5C, Ås",59.670252,10.804105
1830299,"von Øtkens vei 35, Ås",59.667997,10.80604
1867387,"Solbakken 4A, Ås",59.66763,10.802734
1923451,"Stønerudveien 2A, Ås",59.662897,10.826714
1934661,"Solveien 9B, Ås",59.667651,10.803889
1949362,"von Sibberns vei 6, Ås",59.669825,10.804198
1960549,"Solveien 15A, Ås",59.668504,10.80334
1966768,"Fjellveien 8D, Ås",59.668054,10.801125
1981976,"Gamleveien 27, Ås",59.666022,10.800297
2001772,"Solbakken 2A, Ås",59.667017,10.801169
2008619,"Haugerudveien 33, Ås",59.686237,10.807907
2032048,"Haugerudveien 13A, Ås",59.685989,10.811464
2036383,"Idrettsveien 8, Ås",59.667719,10.797102
2036384,"Idrettsveien 10, Ås",59.668151,10.796986
2039506,"Idrettsveien 6, Ås",59.667724,10.797407
2040468,"Torderudveien 1A, Ås",59.672596,10.809329
2043055,"Bestemors vei 2, Ås",59.66595,10.811201
2048225,"Torderud, Emilies vei 9, Ås",59.67361,10.82244
2054466,"Bestemors vei 6, Ås",59.666285,10.812105
2054467,"Nylenda 1, Ås",59.666319,10.811225
2054501,"Bestemors vei 4, Ås",59.665936,10.811728
2060807,"Haugerudveien 72, Ås",59.682611,10.804089
2070108,"Fjellveien 17, Ås",59.668846,10.80172
2072301,"Fjellveien 15, Ås",59.668634,10.801944
2072302,"Fjellveien 13, Ås",59.668663,10.801813
2072419,"Fjellveien 11, Ås",59.668536,10.801611
2076467,"Tårnveien 1A, Ås",59.668703,10.800688
2077978,"Haugerudveien 52A, Ås",59.684141,10.805278
2078071,"Haugerudveien 70A, Ås",59.682846,10.804338
2083876,"Solveien 17E, Ås",59.668676,10.803152
2090173,"von Sibberns vei 10, Ås",59.669359,10.805199
2090819,"Ole Bygdevekters vei 6A, Ås",59.668587,10.809397
2090820,"Ole Bygdevekters vei 6B, Ås",59.66854,10.809127
2103323,"Tårnveien 1B, Ås",59.668625,10.800683
2103324,"Fjellveien 10A, Ås",59.66852,10.800825
2103435,"Fjellveien 10B, Ås",59.668456,10.800841
2107320,"Mellomveien 5, Ås",59.670921,10.801341
2168203,"Mellomveien 7, Ås",59.671081,10.801357
2228976,"Torderud, Emilies vei 11, Ås",59.673647,10.821708
2228977,"Askimveien 95, Ås",59.682884,10.8352
2228980,"Nylenda 33, Ås",59.670935,10.812227
2228981,"Kroerveien 20, Ås",59.66447,10.815063
2228989,"Nedre Holstad, Holstadkroken 10, Ås",59.690015,10.80985
2228993,"Holstadkroken 70, Ås",59.690066,10.805038
2228994,"Holstadkroken 1, Ås",59.689648,10.811019
2229066,"Brattbakken 7, Ås",59.672083,10.800492
2229067,"Brattbakken 6, Ås",59.672462,10.800362
2229068,"Brattbakken 5, Ås",59.672011,10.800043
2229069,"Brattbakken 4, Ås",59.672411,10.799888
2229070,"Brattbakken 11, Ås",59.672143,10.801691
2229071,"Brattbakken 10, Ås",59.672539,10.80127
2229072,"Brattbakken 9, Ås",59.672115,10.801114
2229073,"Brattbakken 8, Ås",59.672504,10.800774
2229075,"Brattbakken 14, Ås",59.672656,10.802746
2229076,"Brattbakken 13, Ås",59.672141,10.802156
2229077,"Brattbakken 12, Ås",59.672728,10.801953
2229082,"Brattbakken 3, Ås",59.671907,10.799469
2229083,"Brattbakken 2, Ås",59.672299,10.799399
2229084,"Brattbakken 1, Ås",59.671781,10.799015
2229202,"Bestemors vei 11, Ås",59.665715,10.812234
2229203,"Bestemors vei 13, Ås",59.665715,10.81236
2229204,"Bestemors vei 15, Ås",59.665755,10.812512
2229205,"Bestemors vei 17, Ås",59.665754,10.812645
2229206,"Bestemors vei 3, Ås",59.665377,10.811589
2229207,"Bestemors vei 5, Ås",59.665424,10.81167
2229208,"Bestemors vei 7, Ås",59.665557,10.811801
2229209,"Bestemors vei 9, Ås",59.665617,10.811828
2229213,"Bestemors vei 1, Ås",59.66526,10.811492
2229218,"Bestefars vei 3, Ås",59.665566,10.813025
2229219,"Bestefars vei 1, Ås",59.665425,10.812409
2229222,"Bestefars vei 11, Ås",59.66518,10.813004
2229223,"Bestefars vei 9, Ås",59.665258,10.813003
2229224,"Bestefars vei 7, Ås",59.665368,10.813
2229225,"Bestefars vei 5, Ås",59.665435,10.813025
