,Navn,Long,Lat
12668,"9/159, Nesodden",59.814275,10.699623
12676,"Loftu, 13/1, Nesodden",59.792544,10.700727
12694,"6/116, Skoklefall",59.828818,10.689678
12697,"1/451, Skoklefall",59.836764,10.693382
12703,"10/99, Nesodden",59.80224,10.663056
12704,"9/47, Nesodden",59.811248,10.682887
12705,"10/86, Nesodden",59.800398,10.678668
12712,"5/145, Skoklefall",59.845346,10.686714
12721,"19/4, Nesodden",59.768214,10.656306
12725,"7/134, Skoklefall",59.822351,10.693917
12727,"6/123, Skoklefall",59.830616,10.685398
12728,"6/285, Skoklefall",59.825586,10.688926
12729,"1/928, Skoklefall",59.833401,10.683184
41386,"1/1000, Skoklefall",59.832455,10.689341
44774,"6/152, Skoklefall",59.829474,10.682725
44857,"1/152, Skoklefall",59.837656,10.686432
45539,"1/639, Skoklefall",59.844294,10.68921
51002,"Krange Nordre, 15/1, Nesodden",59.782015,10.68838
54670,"6/95, Skoklefall",59.82978,10.686037
55459,"15/64, Nesodden",59.776918,10.705771
731624,"Birkeveien 9, Skoklefall",59.843568,10.681769
731625,"Hellvikveien 202, Skoklefall",59.844705,10.691929
736378,"Eikåsveien 9, Skoklefall",59.831504,10.678449
736379,"Gamle Hellvikvei 67B, Skoklefall",59.839974,10.687531
736380,"Eikåsveien 11, Skoklefall",59.83135,10.678513
736382,"Eikåsveien 13, Skoklefall",59.831188,10.678558
736384,"Eikåsveien 25, Skoklefall",59.831786,10.679552
736385,"Kirkeveien 46, Nesodden",59.804745,10.68288
736386,"Eikåsveien 3, Skoklefall",59.831936,10.679078
736388,"Eikåsveien 5, Skoklefall",59.831888,10.678688
736389,"Fundingrudveien 63, Nesodden",59.775166,10.679663
736390,"Eikåsveien 7, Skoklefall",59.831657,10.678421
736392,"Jøtulsvingen 22, Skoklefall",59.839903,10.684636
736393,"Gamle Hellvikvei 67A, Skoklefall",59.839949,10.687405
736395,"Glenneveien 76, Nesodden",59.788673,10.701368
736396,"Flateby Skogsvei 42, Skoklefall",59.829013,10.691972
736398,"Flateby Skogsvei 44, Skoklefall",59.828902,10.692234
736399,"Bergersletta 165, Skoklefall",59.833186,10.675394
736400,"Eikåsveien 1, Skoklefall",59.831985,10.67949
736403,"Solbergveien 65, Nesodden",59.822089,10.689837
741289,"Asgerds vei 55, Skoklefall",59.825581,10.687971
741290,"Asgerds vei 57, Skoklefall",59.825227,10.687463
741293,"Asgerds vei 48, Skoklefall",59.826178,10.688278
741294,"Asgerds vei 49, Skoklefall",59.826106,10.687579
741295,"Asgerds vei 51, Skoklefall",59.825786,10.687313
741296,"Asgerds vei 54, Skoklefall",59.825499,10.688689
741297,"Asgerds vei 37, Skoklefall",59.826702,10.686663
741298,"Asgerds vei 41, Skoklefall",59.826522,10.686654
741299,"Asgerds vei 45, Skoklefall",59.826223,10.686871
741300,"Asgerds vei 46, Skoklefall",59.826357,10.68834
741301,"Asgerds vei 26, Skoklefall",59.827941,10.687332
741302,"Asgerds vei 28, Skoklefall",59.827703,10.687677
741303,"Asgerds vei 33, Skoklefall",59.827088,10.68679
741304,"Asgerds vei 34, Skoklefall",59.827253,10.687761
741305,"Asgerds vei 21A, Skoklefall",59.828178,10.686381
741306,"Asgerds vei 21B, Skoklefall",59.828292,10.68672
741307,"Asgerds vei 22, Skoklefall",59.828224,10.688417
741308,"Asgerds vei 25, Skoklefall",59.827796,10.686736
741309,"Asgerds vei 16, Skoklefall",59.828757,10.688159
741310,"Asgerds vei 18, Skoklefall",59.828423,10.687607
741311,"Asgerds vei 19, Skoklefall",59.828575,10.686918
741312,"Asgerds vei 20, Skoklefall",59.828468,10.688251
741313,"Asgerds vei 9, Skoklefall",59.829524,10.686467
741314,"Asgerds vei 11, Skoklefall",59.829057,10.686479
741315,"Asgerds vei 12, Skoklefall",59.828969,10.687741
741316,"Asgerds vei 13, Skoklefall",59.828925,10.687008
741318,"Asgerds vei 4, Skoklefall",59.829803,10.687855
741319,"Asgerds vei 7, Skoklefall",59.82958,10.687023
741320,"Asgerds vei 8, Skoklefall",59.82931,10.687741
741413,"Alex Olssons vei 33, Skoklefall",59.839139,10.681626
741417,"Alex Olssons vei 23, Skoklefall",59.839983,10.681232
741418,"Alex Olssons vei 25, Skoklefall",59.839774,10.681364
741419,"Alex Olssons vei 29, Skoklefall",59.839594,10.681462
741420,"Alex Olssons vei 32, Skoklefall",59.839243,10.682194
