,Navn,Long,Lat
569540,"Asbjørn Klosters vei 8B, Fjellhamar",59.934264,10.966632
569541,"Asbjørn Klosters vei 8A, Fjellhamar",59.934269,10.966293
569542,"Asbjørn Klosters vei 9D, Fjellhamar",59.933426,10.966816
569543,"Asbjørn Klosters vei 6, Fjellhamar",59.934587,10.966079
569544,"Asbjørn Klosters vei 5B, Fjellhamar",59.934359,10.965725
569545,"Asbjørn Klosters vei 7A, Fjellhamar",59.933934,10.965897
569546,"Asbjørn Klosters vei 7, Fjellhamar",59.934124,10.965783
569547,"Asbjørn Klosters vei 4B, Fjellhamar",59.934817,10.966325
569548,"Asbjørn Klosters vei 4A, Fjellhamar",59.934962,10.966226
569549,"Asbjørn Klosters vei 5, Fjellhamar",59.934513,10.965609
569550,"Asbjørn Klosters vei 4C, Fjellhamar",59.934869,10.965827
569551,"Asbjørn Klosters vei 2, Fjellhamar",59.935196,10.965578
569552,"Asbjørn Klosters vei 1, Fjellhamar",59.935121,10.965198
569553,"Asbjørn Klosters vei 3, Fjellhamar",59.934739,10.965515
569554,"Asbjørn Klosters vei 2B, Fjellhamar",59.935187,10.966168
569567,"Asbjørn Klosters vei 10, Fjellhamar",59.934095,10.966533
569568,"Asbjørn Klosters vei 9C, Fjellhamar",59.933651,10.966811
569570,"Asbjørn Klosters vei 11, Fjellhamar",59.933508,10.967357
569969,"Elveveien 3, Skårer",59.93078,10.967804
569970,"Elveveien 1, Skårer",59.929811,10.967103
569980,"Elveveien 22C, Fjellhamar",59.933481,10.97217
569984,"Elveveien 6J, Fjellhamar",59.931841,10.968297
569985,"Elveveien 6I, Fjellhamar",59.931905,10.968229
569986,"Elveveien 6L, Fjellhamar",59.931867,10.968388
569987,"Elveveien 6K, Fjellhamar",59.931931,10.968338
569988,"Elveveien 6F, Fjellhamar",59.931799,10.968151
569989,"Elveveien 6E, Fjellhamar",59.931854,10.968047
569990,"Elveveien 6H, Fjellhamar",59.931825,10.968224
569991,"Elveveien 6G, Fjellhamar",59.93188,10.968138
569992,"Elveveien 6B, Fjellhamar",59.931756,10.968005
569993,"Elveveien 6A, Fjellhamar",59.931802,10.967901
569994,"Elveveien 6D, Fjellhamar",59.931773,10.968096
569995,"Elveveien 6C, Fjellhamar",59.931836,10.968028
569996,"Elveveien 4B, Fjellhamar",59.931989,10.968055
569997,"Elveveien 4A, Fjellhamar",59.932053,10.967987
