,Navn,Long,Lat
553275,"Henrik Sørensens veg 10, Øvre Rælingen",59.952994,11.029902
553276,"Henrik Sørensens veg 6B, Øvre Rælingen",59.95279,11.030911
553277,"Henrik Sørensens veg 4, Øvre Rælingen",59.952888,11.031579
553285,"Henrik Sørensens veg 22, Øvre Rælingen",59.953233,11.026084
553286,"Henrik Sørensens veg 19, Øvre Rælingen",59.95345,11.026581
553287,"Henrik Sørensens veg 18, Øvre Rælingen",59.953069,11.026827
553288,"Henrik Sørensens veg 17, Øvre Rælingen",59.953391,11.026918
553289,"Henrik Sørensens veg 14, Øvre Rælingen",59.952963,11.029005
553290,"Henrik Sørensens veg 12, Øvre Rælingen",59.952947,11.02947
555510,"Henrik Sørensens veg 26C, Øvre Rælingen",59.953105,11.025056
555552,"Henrik Sørensens veg 26B, Øvre Rælingen",59.953258,11.025047
555954,"Henrik Sørensens veg 26A, Øvre Rælingen",59.953181,11.024792
555957,"Henrik Sørensens veg 6A, Øvre Rælingen",59.953071,11.030784
556367,"Henrik Sørensens veg 3, Øvre Rælingen",59.953038,11.032305
556483,"Henrik Sørensens veg 20B, Øvre Rælingen",59.953108,11.026005
556485,"Henrik Sørensens veg 20A, Øvre Rælingen",59.953168,11.026224
556504,"Henrik Sørensens veg 24, Øvre Rælingen",59.95327,11.025388
556913,"Bergringen 4, Strømmen",59.958927,11.019106
556914,"Bergringen 2, Strømmen",59.959193,11.019337
556915,"Bergringen 6, Strømmen",59.958697,11.019433
556916,"Bergringen 3, Strømmen",59.958963,11.019646
556917,"Bergringen 1, Strømmen",59.959229,11.019913
556918,"Bergringen 9, Strømmen",59.959502,11.020234
556919,"Bergringen 5, Strømmen",59.958804,11.020048
556920,"Bergringen 30, Strømmen",59.959484,11.01966
556921,"Bergringen 7, Strømmen",59.959061,11.020279
556922,"Bergringen 28, Strømmen",59.959679,11.019868
556923,"Bergringen 11, Strømmen",59.959275,11.020381
556924,"Bergringen 24, Strømmen",59.959926,11.020134
556925,"Bergringen 8, Strømmen",59.958592,11.01982
556926,"Bergringen 20, Strømmen",59.959247,11.021078
556927,"Bergringen 10, Strømmen",59.958638,11.020378
556928,"Bergringen 18, Strømmen",59.958985,11.021134
556929,"Bergringen 16, Strømmen",59.958887,11.02111
556930,"Bergringen 12, Strømmen",59.958929,11.020736
557551,"Egnehjemveien 17, Strømmen",59.961652,11.016531
557552,"Egnehjemveien 16, Strømmen",59.961615,11.017174
557553,"Egnehjemveien 15, Strømmen",59.961285,11.016437
557554,"Egnehjemveien 14, Strømmen",59.961311,11.017084
557555,"Egnehjemveien 12, Strømmen",59.961041,11.017121
557556,"Egnehjemveien 11, Strømmen",59.96067,11.016722
557557,"Egnehjemveien 10, Strømmen",59.960759,11.017337
557558,"Egnehjemveien 9, Strømmen",59.960362,11.016883
557559,"Egnehjemveien 8, Strømmen",59.960479,11.017481
557560,"Egnehjemveien 7, Strømmen",59.960081,11.017045
557561,"Egnehjemveien 6, Strømmen",59.960198,11.017643
557562,"Egnehjemveien 5, Strømmen",59.9598,11.017189
557563,"Egnehjemveien 4B, Strømmen",59.959917,11.017805
557564,"Egnehjemveien 4A, Strømmen",59.959697,11.018078
557565,"Egnehjemveien 3, Strømmen",59.959624,11.016999
557566,"Egnehjemveien 2, Strømmen",59.95929,11.017051
558135,"Engstien 13, Strømmen",59.955845,11.019778
558136,"Engstien 12B, Strømmen",59.955569,11.020191
558137,"Engstien 12A, Strømmen",59.955641,11.020196
558138,"Engstien 11, Strømmen",59.955687,11.019518
558139,"Engstien 10, Strømmen",59.955385,11.019876
558140,"Engstien 9, Strømmen",59.95583,11.018989
558141,"Engstien 7, Strømmen",59.956017,11.018481
558142,"Engstien 5, Strømmen",59.956088,11.017948
558158,"Stalsbergenga 42, Strømmen",59.954376,11.021838
558159,"Stalsbergenga 38, Strømmen",59.954196,11.021272
558160,"Stalsbergenga 36, Strømmen",59.954668,11.02096
558161,"Stalsbergenga 34, Strømmen",59.954766,11.021611
558162,"Stalsbergenga 32, Strømmen",59.954993,11.021428
558163,"Stalsbergenga 30, Strømmen",59.955219,11.021298
558164,"Stalsbergenga 29, Strømmen",59.954951,11.022392
558165,"Stalsbergenga 28, Strømmen",59.954892,11.020956
558166,"Stalsbergenga 26, Strømmen",59.955041,11.020625
558167,"Stalsbergenga 25, Strømmen",59.955491,11.021745
558168,"Stalsbergenga 24, Strømmen",59.955243,11.020369
558169,"Stalsbergenga 23, Strømmen",59.955781,11.021548
558170,"Stalsbergenga 22B, Strømmen",59.955408,11.020719
558171,"Stalsbergenga 22A, Strømmen",59.955474,11.021117
558172,"Stalsbergenga 21B, Strømmen",59.955982,11.021327
558173,"Stalsbergenga 21, Strømmen",59.956032,11.021599
558174,"Stalsbergenga 20, Strømmen",59.955675,11.020896
558175,"Stalsbergenga 19, Strømmen",59.956244,11.021253
558176,"Stalsbergenga 18, Strømmen",59.955886,11.020587
558177,"Stalsbergenga 17, Strømmen",59.956292,11.020486
558178,"Stalsbergenga 16, Strømmen",59.956058,11.019935
558179,"Stalsbergenga 15F, Strømmen",59.956669,11.020491
558180,"Stalsbergenga 15E, Strømmen",59.956692,11.020188
558181,"Stalsbergenga 15D, Strømmen",59.956723,11.019903
558182,"Stalsbergenga 15C, Strømmen",59.956745,11.019636
558183,"Stalsbergenga 15B, Strømmen",59.956485,11.020176
558184,"Stalsbergenga 15A, Strømmen",59.956325,11.020076
558185,"Stalsbergenga 13, Strømmen",59.95634,11.019683
