,Navn,Long,Lat
559305,"Finstadlia 35, Skårer",59.914254,10.968918
559306,"Finstadlia 33, Skårer",59.9142,10.968915
559307,"Finstadlia 39, Skårer",59.91409,10.968515
559308,"Finstadlia 37, Skårer",59.914089,10.968569
559309,"Finstadlia 27, Skårer",59.914101,10.968945
559310,"Finstadlia 25, Skårer",59.914065,10.968943
559311,"Finstadlia 31, Skårer",59.914174,10.968914
559312,"Finstadlia 29, Skårer",59.914129,10.968911
559313,"Finstadlia 17, Skårer",59.913836,10.969287
559314,"Finstadlia 13, Skårer",59.913755,10.9693
559315,"Finstadlia 23, Skårer",59.914038,10.968959
559316,"Finstadlia 21, Skårer",59.913985,10.968938
559317,"Finstadkroken 12, Skårer",59.909734,10.958242
559318,"Finstadkroken 10, Skårer",59.909936,10.95854
559319,"Finstadlia 11, Skårer",59.913709,10.969351
559320,"Finstadlia 3, Skårer",59.91449,10.968181
559321,"Finstadlia 51, Skårer",59.91406,10.968102
559322,"Finstadlia 49, Skårer",59.914059,10.968174
559323,"Finstadlia 55, Skårer",59.914044,10.96794
559324,"Finstadlia 53, Skårer",59.914043,10.96803
559325,"Finstadlia 43, Skårer",59.914092,10.968372
559326,"Finstadlia 61, Skårer",59.914024,10.96766
565214,"Finstadåsen 11, Skårer",59.910538,10.959756
565215,"Finstadåsen 9, Skårer",59.910203,10.959879
569769,"Blåstjerneveien 14, Skårer",59.916649,10.960742
569770,"Blåstjerneveien 12, Skårer",59.9166,10.961008
569771,"Blåstjerneveien 18, Skårer",59.916834,10.960324
569772,"Blåstjerneveien 16, Skårer",59.916732,10.96055
569773,"Blåstjerneveien 6, Skårer",59.916295,10.961598
569774,"Blåstjerneveien 4, Skårer",59.916192,10.96186
569775,"Blåstjerneveien 10, Skårer",59.916506,10.96127
569776,"Blåstjerneveien 8, Skårer",59.916404,10.961515
569779,"Blåstjerneveien 2, Skårer",59.91609,10.962087
569785,"Blåstjerneveien 20, Skårer",59.91703,10.95987
569964,"Finstadlia 41, Skårer",59.914093,10.968437
569965,"Finstadlia 47, Skårer",59.914076,10.968228
569966,"Finstadlia 45, Skårer",59.914075,10.9683
570075,"Finstadkroken 4, Skårer",59.910543,10.958754
570076,"Feiringveien 60, Skårer",59.911202,10.972422
570077,"Finstadkroken 8, Skårer",59.909989,10.958561
570078,"Finstadkroken 6, Skårer",59.910348,10.958636
570079,"Feiringveien 30, Skårer",59.909573,10.966048
570080,"Feiringveien 58, Skårer",59.910098,10.972357
570081,"Feiringveien 41, Skårer",59.908696,10.970038
570083,"Feiringveien 31, Skårer",59.90644,10.972115
570226,"Finstadrabben 31, Skårer",59.910955,10.961984
570227,"Finstadrabben 30, Skårer",59.912671,10.961223
570228,"Finstadrabben 33, Skårer",59.910989,10.962052
570229,"Finstadrabben 32, Skårer",59.912707,10.961225
