,Navn,Long,Lat
77154,"Bråtengata 45, Jeløy",59.430436,10.643208
77155,"Bråtengata 44, Jeløy",59.430884,10.645451
77156,"Bråtengata 43A, Jeløy",59.430697,10.642581
77157,"Bråtengata 43C, Jeløy",59.430789,10.642273
77390,"Fiskegata 1, Jeløy",59.43286,10.642603
77393,"Fiskegata 2C, Jeløy",59.432904,10.644052
77711,"Helgerødgata 49, Jeløy",59.43349,10.638948
77712,"Helgerødgata 47A, Jeløy",59.433405,10.639967
77713,"Helgerødgata 47, Jeløy",59.433414,10.639985
77714,"Helgerødgata 55, Jeløy",59.433381,10.637568
77715,"Helgerødgata 61, Jeløy",59.43342,10.63519
77716,"Helgerødgata 63, Jeløy",59.43347,10.634679
77717,"Helgerødgata 33, Jeløy",59.433661,10.643171
77718,"Helgerødgata 31A, Jeløy",59.433648,10.643554
77719,"Helgerødgata 31, Jeløy",59.433628,10.643698
77720,"Helgerødgata 37, Jeløy",59.43353,10.642142
77721,"Helgerødgata 35, Jeløy",59.43357,10.642549
77722,"Helgerødgata 41, Jeløy",59.433488,10.641258
77723,"Helgerødgata 39, Jeløy",59.433526,10.641789
77724,"Helgerødgata 43, Jeløy",59.433476,10.640781
77725,"Helgerødgata 13, Jeløy",59.433695,10.647615
77726,"Helgerødgata 11, Jeløy",59.433984,10.648194
77727,"Helgerødgata 15C, Jeløy",59.433979,10.647069
77728,"Helgerødgata 15B, Jeløy",59.433842,10.647089
77729,"Helgerødgata 15A, Jeløy",59.433789,10.647098
77730,"Helgerødgata 15, Jeløy",59.433728,10.647106
77731,"Ingas gate 3, Jeløy",59.433662,10.645251
77732,"Ingas gate 6, Jeløy",59.433683,10.645711
77733,"Helgerødgata 19, Jeløy",59.433695,10.64617
77734,"Tordenskiolds gate 3, Jeløy",59.433717,10.646594
77735,"Helgerødgata 29, Jeløy",59.433651,10.643981
77736,"Helgerødgata 27, Jeløy",59.433655,10.644404
77737,"Helgerødgata 25, Jeløy",59.433683,10.644888
77738,"Helgerødgata 1B, Jeløy",59.433808,10.650742
77739,"Helgerødgata 1, Jeløy",59.433803,10.650442
77740,"Helgerødgata 9, Jeløy",59.433844,10.64861
77741,"Helgerødgata 3, Jeløy",59.433834,10.64942
79022,"Torgny Segerstedts vei 4, Jeløy",59.431478,10.638715
79998,"Helgerødgata 7A, Jeløy",59.43394,10.648826
80000,"Helgerødgata 5B, Jeløy",59.43392,10.649037
80002,"Helgerødgata 5A, Jeløy",59.433772,10.649159
80006,"Helgerødgata 7B, Jeløy",59.433754,10.648836
80071,"Helgerødgata 13C, Jeløy",59.433803,10.647525
80072,"Helgerødgata 13B, Jeløy",59.433762,10.647564
80073,"Helgerødgata 13A, Jeløy",59.43374,10.647458
80591,"Helgerødgata 45, Jeløy",59.433445,10.640392
80623,"Helgerødgata 57, Jeløy",59.433339,10.636667
651872,"Helgerødgata 12, Jeløy",59.433414,10.646539
1448438,"Tordenskiolds gate 2, Jeløy",59.433649,10.646922
1713289,"Bråtengata 38B, Jeløy",59.431242,10.646476
1713290,"Bråtengata 38C, Jeløy",59.431193,10.64649
1766671,"Glassverket 42A, Jeløy",59.432062,10.648941
1777034,"Glassverket 42B, Jeløy",59.432097,10.648898
1783520,"Glassverket 45K, Jeløy",59.432863,10.648148
1783521,"Glassverket 45J, Jeløy",59.432869,10.648086
1783522,"Glassverket 45H, Jeløy",59.432918,10.648027
1783523,"Glassverket 45G, Jeløy",59.432966,10.647977
1783557,"Glassverket 45F, Jeløy",59.433004,10.647931
1783558,"Glassverket 45E, Jeløy",59.433079,10.647848
1783559,"Glassverket 45D, Jeløy",59.433099,10.647833
1783690,"Glassverket 47E, Jeløy",59.432582,10.648383
1783691,"Glassverket 47D, Jeløy",59.432632,10.648327
1790041,"Michael Sundts gate 1A, Jeløy",59.433369,10.638114
1824011,"Bråtengata 36, Jeløy",59.431317,10.646623
1824150,"Bråtengata 24, Jeløy",59.431726,10.648573
1934091,"Bråtengata 43B, Jeløy",59.430656,10.642161
1940637,"Glassverket 41B, Jeløy",59.433201,10.648573
1940638,"Glassverket 41C, Jeløy",59.433144,10.648611
1940639,"Glassverket 41A, Jeløy",59.433253,10.648595
1940680,"Glassverket 43D, Jeløy",59.432729,10.648882
1940681,"Glassverket 43B, Jeløy",59.43283,10.648813
1943276,"Bråtengata 60, Jeløy",59.429699,10.642182
1943277,"Alby gate 12, Jeløy",59.431326,10.642495
1943278,"Bråtengata 62, Jeløy",59.429653,10.641606
1948974,"Alby gate 7D, Jeløy",59.432147,10.642124
1993809,"Glassverket 2, Jeløy",59.433326,10.650143
1993810,"Helgerødgata 6, Jeløy",59.433482,10.648427
2006086,"Grimsrød gate 1, Jeløy",59.432811,10.642237
2038192,"Helgerødgata 1C, Jeløy",59.433912,10.650743
2053596,"Helgerødgata 4B, Jeløy",59.43352,10.648832
2053631,"Glassverket 29, Jeløy",59.433429,10.649434
2053632,"Helgerødgata 4A, Jeløy",59.433536,10.649159
2053980,"Glassverket 31, Jeløy",59.433293,10.649433
2053986,"Glassverket 35, Jeløy",59.433095,10.649466
2053987,"Glassverket 33, Jeløy",59.43325,10.64944
2053988,"Glassverket 37, Jeløy",59.433025,10.649542
2054334,"Glassverket 39, Jeløy",59.432984,10.649548
2105543,"Glassverket 4, Jeløy",59.432953,10.650224
2256330,"Bråtengata 66, Jeløy",59.429024,10.639773
2385999,"Bråtengata 51, Jeløy",59.42995,10.64114
2497340,"Alby gate 30, Jeløy",59.42996,10.638897
2497342,"Alby gate 28, Jeløy",59.42999,10.639379
2497352,"Alby gate 14, Jeløy",59.431303,10.641898
2497354,"Alby gate 11, Jeløy",59.431525,10.641639
2497356,"Alby gate 10B, Jeløy",59.43131,10.643004
2497358,"Alby gate 10, Jeløy",59.431495,10.642572
2497360,"Alby gate 19, Jeløy",59.430562,10.6396
2497362,"Alby gate 18, Jeløy",59.431041,10.64158
2497364,"Alby gate 17, Jeløy",59.430692,10.640047
2497366,"Alby gate 15, Jeløy",59.431344,10.640995
2497367,"Alby gate 23, Jeløy",59.430291,10.639058
2497369,"Alby gate 22, Jeløy",59.430575,10.640747
2497371,"Alby gate 21, Jeløy",59.430385,10.639433
2497373,"Alby gate 20, Jeløy",59.430829,10.641253
2497376,"Alby gate 26, Jeløy",59.430057,10.639805
2497377,"Alby gate 25, Jeløy",59.430286,10.638705
2497378,"Alby gate 24, Jeløy",59.430346,10.640383
2497387,"Alby gate 1, Jeløy",59.432392,10.644819
2497395,"Alby gate 5, Jeløy",59.431934,10.643386
2497397,"Alby gate 4, Jeløy",59.432019,10.644448
2497399,"Alby gate 3, Jeløy",59.432099,10.643871
2497401,"Alby gate 2, Jeløy",59.432074,10.645068
2497403,"Alby gate 9, Jeløy",59.431647,10.641909
2497405,"Alby gate 8, Jeløy",59.431725,10.643553
2497407,"Alby gate 7E, Jeløy",59.431928,10.641711
2497409,"Alby gate 6, Jeløy",59.431823,10.644351
2497596,"Camilla Colletts gate 15, Jeløy",59.431117,10.638375
2497597,"Camilla Colletts gate 14A, Jeløy",59.431155,10.639622
2497598,"Camilla Colletts gate 14, Jeløy",59.431238,10.639834
2497599,"Camilla Colletts gate 13, Jeløy",59.431209,10.638873
2497601,"Camilla Colletts gate 18, Jeløy",59.430874,10.639139
2497603,"Camilla Colletts gate 16, Jeløy",59.431031,10.639446
2497605,"Camilla Colletts gate 22, Jeløy",59.430648,10.638494
2497607,"Camilla Colletts gate 20, Jeløy",59.430761,10.638816
2497620,"Camilla Colletts gate 4, Jeløy",59.432161,10.6413
2497621,"Camilla Colletts gate 3, Jeløy",59.432307,10.640866
2497622,"Camilla Colletts gate 2, Jeløy",59.432384,10.641857
2497624,"Camilla Colletts gate 10, Jeløy",59.431494,10.640544
2497625,"Camilla Colletts gate 8, Jeløy",59.43177,10.640681
2497626,"Camilla Colletts gate 6, Jeløy",59.431937,10.641042
2497627,"Camilla Colletts gate 5, Jeløy",59.432149,10.640558
2497632,"Cort Adelers gate 1, Jeløy",59.432988,10.645254
2497633,"Cort Adelers gate 8, Jeløy",59.433397,10.645884
2497634,"Cort Adelers gate 5, Jeløy",59.43202,10.645414
2497635,"Cort Adelers gate 3, Jeløy",59.432511,10.645319
2497818,"Bråtengata 48, Jeløy",59.430598,10.644626
2497820,"Bråtengata 47, Jeløy",59.430213,10.642351
2497822,"Bråtengata 46, Jeløy",59.430818,10.645169
2497823,"Bråtengata 45B, Jeløy",59.430435,10.642626
2497825,"Bråtengata 52, Jeløy",59.430317,10.644101
2497828,"Bråtengata 50, Jeløy",59.430488,10.644332
2497830,"Bråtengata 49, Jeløy",59.430016,10.641654
2497832,"Bråtengata 58, Jeløy",59.429821,10.642621
2497834,"Bråtengata 57, Jeløy",59.429499,10.639143
2497836,"Bråtengata 55, Jeløy",59.429602,10.639518
2497838,"Bråtengata 53, Jeløy",59.429686,10.639998
2497841,"Bråtengata 31, Jeløy",59.430974,10.644733
2497843,"Bråtengata 29A, Jeløy",59.431315,10.644947
2497845,"Bråtengata 29, Jeløy",59.43106,10.645001
2497848,"Bråtengata 35, Jeløy",59.430713,10.644068
2497852,"Bråtengata 38A, Jeløy",59.431296,10.646505
2497854,"Bråtengata 37A, Jeløy",59.430638,10.643623
2497856,"Bråtengata 37, Jeløy",59.430682,10.643626
2497859,"Bråtengata 42, Jeløy",59.430997,10.645721
2497861,"Bråtengata 41, Jeløy",59.431027,10.642673
2497863,"Bråtengata 40A, Jeløy",59.431152,10.646136
2497865,"Bråtengata 39, Jeløy",59.430923,10.643108
2497867,"Bråtengata 11, Jeløy",59.432122,10.649143
2497869,"Bråtengata 10, Jeløy",59.432234,10.650224
2497871,"Bråtengata 8, Jeløy",59.431792,10.650397
2497873,"Bråtengata 7, Jeløy",59.432268,10.649697
2497875,"Bråtengata 18, Jeløy",59.432037,10.649492
2497877,"Bråtengata 16, Jeløy",59.432106,10.649707
2497879,"Bråtengata 14, Jeløy",59.432192,10.650028
2497881,"Bråtengata 12, Jeløy",59.432036,10.650232
2497883,"Bråtengata 23, Jeløy",59.431329,10.64579
2497885,"Bråtengata 22, Jeløy",59.431874,10.649032
2497887,"Bråtengata 21, Jeløy",59.431433,10.646113
2497889,"Bråtengata 20, Jeløy",59.431959,10.649223
2497891,"Bråtengata 27, Jeløy",59.431129,10.645216
2497893,"Bråtengata 26, Jeløy",59.431688,10.650092
2497895,"Bråtengata 25, Jeløy",59.431233,10.645521
2497913,"Bråtengata 2, Jeløy",59.432312,10.650457
2497915,"Bråtengata 1, Jeløy",59.432483,10.650413
2497921,"Bråtengata 6, Jeløy",59.4319,10.650331
2497923,"Bråtengata 5, Jeløy",59.432365,10.649843
2497925,"Bråtengata 4, Jeløy",59.432167,10.650573
2497927,"Bråtengata 3, Jeløy",59.432442,10.650111
2497991,"Bråtengata 64, Jeløy",59.429298,10.640879
2498055,"Fiskegata 2B, Jeløy",59.432884,10.64379
2498056,"Fiskegata 2A, Jeløy",59.432882,10.643516
2498057,"Fiskegata 2, Jeløy",59.432835,10.643889
2498058,"Fiskegata 5, Jeløy",59.43222,10.642801
2498059,"Fiskegata 4, Jeløy",59.432581,10.643365
2498060,"Fiskegata 3, Jeløy",59.432409,10.64274
2498061,"Fiskegata 2D, Jeløy",59.433066,10.644111
2498063,"Grimsrød gate 15B, Jeløy",59.432709,10.638928
2498065,"Grimsrød gate 15, Jeløy",59.432639,10.638713
2498067,"Grimsrød gate 14, Jeløy",59.432457,10.639938
2498069,"Grimsrød gate 13E, Jeløy",59.432693,10.639421
2498071,"Grimsrød gate 21, Jeløy",59.432638,10.637356
2498073,"Grimsrød gate 20, Jeløy",59.432354,10.638558
2498075,"Grimsrød gate 19, Jeløy",59.432624,10.637796
2498077,"Grimsrød gate 17, Jeløy",59.432683,10.638134
2498079,"Grimsrød gate 25, Jeløy",59.432755,10.636691
2498081,"Grimsrød gate 24, Jeløy",59.432264,10.637831
2498083,"Grimsrød gate 23, Jeløy",59.432906,10.636787
2498085,"Grimsrød gate 22, Jeløy",59.432223,10.63827
2498091,"Grimsrød gate 27, Jeløy",59.432529,10.636804
2498093,"Grimsrød gate 26, Jeløy",59.432224,10.637424
2498095,"Grimsrød gate 8, Jeløy",59.432562,10.642729
2498097,"Grimsrød gate 5, Jeløy",59.432842,10.641191
2498098,"Grimsrød gate 3, Jeløy",59.432825,10.64179
2498101,"Grimsrød gate 10B, Jeløy",59.43229,10.642205
2498103,"Grimsrød gate 10A, Jeløy",59.432307,10.642329
2498105,"Grimsrød gate 10, Jeløy",59.432541,10.642217
2498107,"Grimsrød gate 9, Jeløy",59.43283,10.640715
2498109,"Grimsrød gate 13, Jeløy",59.432859,10.639799
2498111,"Grimsrød gate 12A, Jeløy",59.432489,10.640663
2498113,"Grimsrød gate 12, Jeløy",59.432474,10.641156
2498115,"Grimsrød gate 11, Jeløy",59.432818,10.640238
2498117,"Grimsrød gate 13D, Jeløy",59.432717,10.639704
2498119,"Grimsrød gate 13C, Jeløy",59.432908,10.639484
2498121,"Grimsrød gate 13B, Jeløy",59.433034,10.639508
2498123,"Grimsrød gate 13A, Jeløy",59.433064,10.639852
2498199,"Fiskegata 10, Jeløy",59.431552,10.643773
2498200,"Fiskegata 9, Jeløy",59.431581,10.642893
2498201,"Fiskegata 7, Jeløy",59.431995,10.642808
2498202,"Fiskegata 6, Jeløy",59.432302,10.643422
2498203,"Fiskegata 14, Jeløy",59.43124,10.644287
2498205,"Fiskegata 13, Jeløy",59.431276,10.643584
2498207,"Fiskegata 12, Jeløy",59.431451,10.643945
2498209,"Fiskegata 11, Jeløy",59.431614,10.643142
2498210,"Fiskegata 17, Jeløy",59.431092,10.643927
2498212,"Fiskegata 15B, Jeløy",59.43122,10.643775
2498214,"Fiskegata 15A, Jeløy",59.43095,10.643744
2498216,"Fiskegata 15, Jeløy",59.431162,10.643331
2498629,"Helgerødgata 54, Jeløy",59.432946,10.637935
2498630,"Helgerødgata 52, Jeløy",59.433004,10.638477
2498631,"Helgerødgata 50, Jeløy",59.433021,10.639067
2498632,"Helgerødgata 62, Jeløy",59.432854,10.635197
2498633,"Sølyalleen 26, Jeløy",59.432883,10.635781
2498634,"Helgerødgata 56, Jeløy",59.432917,10.637334
2498637,"Helgerødgata 64, Jeløy",59.432986,10.634693
2498638,"Oda Krohgs gate 2, Jeløy",59.433283,10.644651
2498639,"Helgerødgata 38, Jeløy",59.433159,10.64237
2498640,"Helgerødgata 36, Jeløy",59.433137,10.643462
2498641,"Helgerødgata 40A, Jeløy",59.433125,10.641522
2498642,"Helgerødgata 40, Jeløy",59.433157,10.641841
2498643,"Helgerødgata 46, Jeløy",59.433044,10.640126
2498644,"Helgerødgata 44, Jeløy",59.4331,10.64064
2498645,"Helgerødgata 42, Jeløy",59.433155,10.641295
2498646,"Helgerødgata 10B, Jeløy",59.433442,10.647212
2498647,"Helgerødgata 10, Jeløy",59.433453,10.647421
2498648,"Cort Adelers gate 1A, Jeløy",59.43333,10.6452
2498665,"Helgerødgata 2A, Jeløy",59.433541,10.651293
2498666,"Helgerødgata 2, Jeløy",59.433584,10.650613
2498668,"Helgerødgata 8, Jeløy",59.433469,10.648
2498776,"Jonas Anton Hielms gate 3, Jeløy",59.431611,10.644781
2498778,"Jonas Anton Hielms gate 2, Jeløy",59.431645,10.645664
2498780,"Jonas Anton Hielms gate 1A, Jeløy",59.431735,10.644893
2498781,"Jonas Anton Hielms gate 1, Jeløy",59.431706,10.645121
2498783,"Jonas Anton Hielms gate 8, Jeløy",59.431387,10.6447
2498785,"Jonas Anton Hielms gate 6, Jeløy",59.431491,10.645058
2498786,"Jonas Anton Hielms gate 5, Jeløy",59.431727,10.644135
2498788,"Jonas Anton Hielms gate 4, Jeløy",59.431559,10.645361
2498844,"Hasselbakken 1, Jeløy",59.429796,10.640533
2498849,"Hasselbakken 6, Jeløy",59.430163,10.640639
2498850,"Hasselbakken 4, Jeløy",59.430088,10.640899
2498851,"Hasselbakken 3, Jeløy",59.429935,10.640187
2498853,"Hasselbakken 2, Jeløy",59.429323,10.641726
2499154,"Magnus Tyrholms vei 5, Jeløy",59.430519,10.641625
2499155,"Magnus Tyrholms vei 4, Jeløy",59.430411,10.640968
2499156,"Magnus Tyrholms vei 2, Jeløy",59.430199,10.641345
2499157,"Magnus Tyrholms vei 8, Jeløy",59.431043,10.639994
2499158,"Magnus Tyrholms vei 7, Jeløy",59.431151,10.640669
2499159,"Magnus Tyrholms vei 6, Jeløy",59.43085,10.640337
2499160,"Magnus Tyrholms vei 5A, Jeløy",59.430091,10.642768
2501041,"Torgny Segerstedts vei 5, Jeløy",59.431894,10.63799
2501042,"Torgny Segerstedts vei 3, Jeløy",59.431707,10.638545
2501043,"Torgny Segerstedts vei 2, Jeløy",59.431384,10.639287
2501046,"Torgny Segerstedts vei 7, Jeløy",59.431891,10.637478
2501047,"Torgny Segerstedts vei 6, Jeløy",59.431471,10.638093
2502470,"Oda Krohgs gate 4, Jeløy",59.433022,10.644744
2502471,"Oda Krohgs gate 5, Jeløy",59.432581,10.644035
2502472,"Oda Krohgs gate 6, Jeløy",59.432635,10.644796
2502649,"Grimsrød gate 18B, Jeløy",59.432316,10.638715
2502658,"Grimsrød gate 18A, Jeløy",59.432332,10.638941
2502659,"Grimsrød gate 16B, Jeløy",59.432371,10.639288
2502660,"Grimsrød gate 16A, Jeløy",59.43235,10.639581
2502696,"Oda Krohgs gate 7, Jeløy",59.432347,10.644077
2502755,"Torgny Segerstedts vei 1G, Jeløy",59.431851,10.639257
2502757,"Torgny Segerstedts vei 1F, Jeløy",59.431851,10.639257
2502759,"Torgny Segerstedts vei 1E, Jeløy",59.431851,10.639257
2502761,"Torgny Segerstedts vei 1D, Jeløy",59.431851,10.639257
2502763,"Torgny Segerstedts vei 1K, Jeløy",59.431851,10.639257
2502765,"Torgny Segerstedts vei 1J, Jeløy",59.431851,10.639257
2502767,"Torgny Segerstedts vei 1I, Jeløy",59.431851,10.639257
2502769,"Torgny Segerstedts vei 1H, Jeløy",59.431851,10.639257
2502775,"Torgny Segerstedts vei 1M, Jeløy",59.432025,10.638798
2502777,"Torgny Segerstedts vei 1L, Jeløy",59.432025,10.6388
2502806,"Torgny Segerstedts vei 1C, Jeløy",59.431851,10.639257
2502808,"Torgny Segerstedts vei 1B, Jeløy",59.431851,10.639257
2502810,"Torgny Segerstedts vei 1A, Jeløy",59.431851,10.639257
2503028,"Sølyalleen 24, Jeløy",59.432558,10.635201
2503029,"Sølyalleen 22, Jeløy",59.432558,10.635924
2503030,"Sølyalleen 20, Jeløy",59.432372,10.635839
2503031,"Sølyalleen 19, Jeløy",59.431425,10.637438
2503042,"Sølyalleen 9, Jeløy",59.430122,10.638204
2503045,"Sølyalleen 7, Jeløy",59.429779,10.638346
2503047,"Sølyalleen 13, Jeløy",59.4306,10.638033
2503049,"Sølyalleen 11, Jeløy",59.43033,10.638108
2503053,"Sølyalleen 17, Jeløy",59.431117,10.637652
2503054,"Sølyalleen 15, Jeløy",59.430908,10.637801
2503205,"Fiskegata 19C, Jeløy",59.430838,10.644312
2503208,"Fiskegata 19A, Jeløy",59.43085,10.644295
2503209,"Fiskegata 19D, Jeløy",59.430828,10.644291
2503210,"Fiskegata 19B, Jeløy",59.43084,10.64427
2503478,"Glassverket 61, Jeløy",59.432553,10.646736
2503479,"Glassverket 59, Jeløy",59.432759,10.646564
2503480,"Glassverket 57, Jeløy",59.432906,10.646463
2503482,"Glassverket 69, Jeløy",59.432577,10.646027
2503483,"Glassverket 67, Jeløy",59.432812,10.645972
2503484,"Glassverket 65, Jeløy",59.432964,10.645931
2503485,"Glassverket 63, Jeløy",59.432426,10.646829
2503488,"Glassverket 71, Jeløy",59.432367,10.646087
2503491,"Glassverket 71U, Jeløy",59.432688,10.646279
2503737,"Glassverket 40, Jeløy",59.432675,10.64994
2503748,"Glassverket 52, Jeløy",59.43207,10.647954
2503750,"Glassverket 50, Jeløy",59.431893,10.648139
2503758,"Glassverket 58, Jeløy",59.432115,10.646064
2503760,"Glassverket 56, Jeløy",59.432144,10.646764
2503762,"Glassverket 54, Jeløy",59.432166,10.647325
2503764,"Bråtengata 9A, Jeløy",59.432198,10.649296
2503777,"Bråtengata 9C, Jeløy",59.43223,10.649422
2503779,"Bråtengata 9B, Jeløy",59.432191,10.649303
2503781,"Bråtengata 19A, Jeløy",59.431769,10.646464
2503783,"Bråtengata 17B, Jeløy",59.431721,10.646726
2503785,"Bråtengata 17A, Jeløy",59.431755,10.646922
2503787,"Bråtengata 15B, Jeløy",59.431796,10.64717
2503794,"Bråtengata 19B, Jeløy",59.431843,10.646291
2503823,"Bråtengata 15A, Jeløy",59.43183,10.647348
2503889,"Glassverket 53S, Jeløy",59.432379,10.64759
2503890,"Glassverket 53R, Jeløy",59.432429,10.647533
2503891,"Glassverket 53P, Jeløy",59.432507,10.647454
2503892,"Glassverket 53N, Jeløy",59.432574,10.647394
2503893,"Glassverket 55N, Jeløy",59.432561,10.647325
2503894,"Glassverket 55M, Jeløy",59.432625,10.647257
2503895,"Glassverket 55L, Jeløy",59.432681,10.647194
2503896,"Glassverket 55K, Jeløy",59.432723,10.647142
2503898,"Glassverket 55S, Jeløy",59.432364,10.647521
2503899,"Glassverket 55R, Jeløy",59.432417,10.647466
2503900,"Glassverket 55P, Jeløy",59.432492,10.647382
2503903,"Glassverket 49P, Jeløy",59.432527,10.6476
2503904,"Glassverket 49N, Jeløy",59.432592,10.647526
2503905,"Glassverket 49M, Jeløy",59.43266,10.64747
2503906,"Glassverket 49L, Jeløy",59.432717,10.647395
2503907,"Glassverket 51L, Jeløy",59.432708,10.647327
2503908,"Glassverket 51K, Jeløy",59.432755,10.647272
2503909,"Glassverket 49S, Jeløy",59.432411,10.647716
2503910,"Glassverket 49R, Jeløy",59.432458,10.647676
2503911,"Glassverket 51R, Jeløy",59.432445,10.647599
2503912,"Glassverket 51P, Jeløy",59.432518,10.647531
2503913,"Glassverket 51N, Jeløy",59.432584,10.647466
2503914,"Glassverket 51M, Jeløy",59.432647,10.647398
2503915,"Glassverket 53M, Jeløy",59.432644,10.647335
2503916,"Glassverket 53L, Jeløy",59.432696,10.647266
2503917,"Glassverket 53K, Jeløy",59.43274,10.647206
2503918,"Glassverket 51S, Jeløy",59.432395,10.647659
2503919,"Glassverket 53G, Jeløy",59.432931,10.647018
2503920,"Glassverket 53F, Jeløy",59.432974,10.646975
2503921,"Glassverket 53E, Jeløy",59.433018,10.64692
2503922,"Glassverket 53D, Jeløy",59.433059,10.646873
2503923,"Glassverket 55B, Jeløy",59.433122,10.646714
2503924,"Glassverket 55A, Jeløy",59.43315,10.646681
2503925,"Glassverket 53J, Jeløy",59.432834,10.647099
2503926,"Glassverket 53H, Jeløy",59.432875,10.647075
2503927,"Glassverket 55F, Jeløy",59.432963,10.646894
2503928,"Glassverket 55E, Jeløy",59.433004,10.646845
2503929,"Glassverket 55D, Jeløy",59.433047,10.64679
