,Navn,Long,Lat
41453,"Brattli, 82/7, Kroer",59.605598,10.841713
727292,"Nummestadveien 251, Garder",59.566236,10.819418
727294,"Nummestadveien 241, Garder",59.566003,10.816183
731387,"Støttumveien 402, Vestby",59.627691,10.768214
731987,"Brandstadveien 479, Garder",59.567082,10.805811
731988,"Brandstadveien 477, Garder",59.567038,10.80557
731989,"Brandstadveien 487, Garder",59.571684,10.80484
731990,"Brandstadveien 483, Garder",59.570291,10.806079
731991,"Brandstadveien 473, Garder",59.564715,10.805387
731992,"Brandstadveien 470, Garder",59.574684,10.799618
731993,"Brandstadveien 475, Garder",59.566845,10.805339
731994,"Brandstadveien 476, Garder",59.575283,10.800424
731995,"Brandstadveien 489, Garder",59.57184,10.803914
731996,"Brandstadveien 500, Garder",59.576931,10.802058
731997,"Brandstadveien 496, Garder",59.576479,10.801626
731998,"Brandstadveien 533, Garder",59.578172,10.805258
731999,"Brandstadveien 531, Garder",59.578633,10.804637
732000,"Garderveien 630, Garder",59.580571,10.813126
732001,"Garderveien 632, Garder",59.580839,10.813089
732002,"Brandstadveien 495, Garder",59.576204,10.802054
732003,"Brandstadveien 491, Garder",59.571991,10.803468
732004,"Garderveien 626, Garder",59.580888,10.811988
732005,"Garderveien 641, Garder",59.581182,10.809688
732006,"Brandstadveien 469, Garder",59.571434,10.804223
732007,"Brandstadveien 465, Garder",59.57326,10.801513
732008,"Garderveien 649, Garder",59.581289,10.807816
732009,"Garderveien 651, Garder",59.580977,10.807622
732010,"Garderveien 643, Garder",59.581623,10.808721
732011,"Garderveien 645, Garder",59.581647,10.808121
732076,"Garderveien 621, Garder",59.581695,10.810303
732077,"Garderveien 610, Garder",59.582513,10.811096
732244,"Hovumveien 71, Garder",59.585256,10.833233
732245,"Hovumveien 56, Garder",59.585371,10.832725
732246,"Hovumveien 50, Garder",59.58504,10.832564
732247,"Hovumveien 67, Garder",59.584884,10.832858
732248,"Hovumveien 49, Garder",59.58101,10.836915
732250,"Hovumveien 41, Garder",59.582469,10.835365
732251,"Hovumveien 46, Garder",59.584969,10.831304
732252,"Hovumveien 61, Garder",59.583751,10.832354
732257,"Hovumveien 70, Garder",59.588516,10.833268
732265,"Hovumveien 21, Garder",59.581556,10.818081
732266,"Hovumveien 20, Garder",59.582561,10.817434
732267,"Hovumveien 30, Garder",59.58248,10.825007
732268,"Hovumveien 17, Garder",59.581391,10.817328
732269,"Hovumveien 5, Garder",59.581989,10.812219
732271,"Hovumveien 14, Garder",59.583359,10.816588
732272,"Hovumveien 8, Garder",59.582664,10.813561
732321,"Rokstiveien 50, Garder",59.565995,10.772178
732322,"Rokstiveien 57, Garder",59.568531,10.773162
732323,"Rokstiveien 58, Garder",59.56741,10.772447
732327,"Rokstiveien 24, Garder",59.56585,10.777551
732328,"Rokstiveien 47, Garder",59.570698,10.77508
732329,"Rokstiveien 43, Garder",59.570543,10.775922
732332,"Rokstiveien 68, Garder",59.568747,10.77126
732333,"Rokstiveien 70, Garder",59.568881,10.77194
732334,"Rokstiveien 39, Garder",59.569398,10.777543
732335,"Rokstiveien 90, Garder",59.570285,10.772421
732338,"Rokstiveien 33, Garder",59.566986,10.777214
732422,"Brandstadveien 456, Garder",59.573972,10.798482
732423,"Brandstadveien 455, Garder",59.573091,10.799161
732425,"Brandstadveien 485, Garder",59.571148,10.806343
732437,"Brandstadveien 230, Garder",59.559273,10.762498
732438,"Brandstadveien 227, Garder",59.558196,10.775024
732530,"Brandstadveien 426, Garder",59.576145,10.790011
732531,"Brandstadveien 427, Garder",59.571101,10.795206
732532,"Brandstadveien 445, Garder",59.563739,10.794733
732533,"Brandstadveien 441, Garder",59.572181,10.798141
732534,"Brandstadveien 420, Garder",59.573404,10.790749
732535,"Brandstadveien 425, Garder",59.57132,10.795494
732536,"Brandstadveien 422, Garder",59.574029,10.79083
732537,"Brandstadveien 268, Garder",59.561829,10.776684
732538,"Brandstadveien 266, Garder",59.561402,10.776414
732541,"Brandstadveien 260, Garder",59.561027,10.77558
732542,"Brandstadveien 254, Garder",59.56041,10.775893
732543,"Brandstadveien 258, Garder",59.561183,10.77534
732544,"Brandstadveien 256, Garder",59.560703,10.775634
732553,"Brandstadveien 272, Garder",59.562434,10.775813
732554,"Brandstadveien 464, Garder",59.577644,10.796642
732555,"Brandstadveien 274, Garder",59.562556,10.776085
732556,"Brandstadveien 451, Garder",59.563251,10.800636
732557,"Brandstadveien 449, Garder",59.56286,10.797861
732558,"Brandstadveien 463, Garder",59.574068,10.801303
732559,"Brandstadveien 460, Garder",59.578505,10.797325
732561,"Brandstadveien 239, Garder",59.558799,10.776294
732562,"Brandstadveien 248, Garder",59.559819,10.775233
732563,"Brandstadveien 247, Garder",59.559466,10.776064
732564,"Brandstadveien 327, Garder",59.560268,10.783823
732565,"Brandstadveien 325, Garder",59.561171,10.78432
732566,"Brandstadveien 234, Garder",59.558878,10.774423
732567,"Brandstadveien 233, Garder",59.558271,10.774762
732578,"Topperveien 27, Garder",59.586835,10.815289
732598,"Topperveien 182, Garder",59.59773,10.824883
732599,"Topperveien 178, Garder",59.597414,10.82415
732600,"Topperveien 179, Garder",59.597391,10.828064
732601,"Topperveien 175, Garder",59.598023,10.825937
732602,"Topperveien 176, Garder",59.596993,10.823471
732603,"Topperveien 174, Garder",59.596935,10.824106
732604,"Topperveien 190, Garder",59.598063,10.82174
732605,"Topperveien 188, Garder",59.597655,10.821399
732606,"Topperveien 291, Garder",59.607061,10.839434
732607,"Topperveien 231, Garder",59.59854,10.841169
732610,"Topperveien 220, Garder",59.601402,10.829099
732611,"Topperveien 181, Garder",59.597015,10.828026
732612,"Topperveien 221, Garder",59.599742,10.833967
732613,"Topperveien 222, Garder",59.601309,10.82878
732614,"Tønnum, Topperveien 113, Garder",59.594596,10.834496
732615,"Tønnum, Topperveien 111, Garder",59.594767,10.83419
732616,"Topperveien 123, Garder",59.588402,10.84013
732617,"Topperveien 121, Garder",59.591373,10.840221
732618,"Topperveien 49, Garder",59.588178,10.81723
732619,"Topperveien 37, Garder",59.586541,10.821595
732620,"Topperveien 101, Garder",59.593438,10.823832
732621,"Topperveien 86, Garder",59.590853,10.820864
732622,"Topperveien 147, Garder",59.595288,10.82478
732623,"Topperveien 142, Garder",59.595441,10.822289
732624,"Topperveien 172, Garder",59.596757,10.824157
732625,"Topperveien 149, Garder",59.59548,10.826012
732626,"Topperveien 133, Garder",59.590887,10.851193
732627,"Topperveien 131, Garder",59.590394,10.850238
732628,"Topperveien 140, Garder",59.595286,10.822335
732629,"Topperveien 137, Garder",59.589226,10.856866
732655,"Topperveien 235, Garder",59.599091,10.842569
732667,"Furuåsen 36, Garder",59.584689,10.78604
732668,"Furuåsen 20, Garder",59.584582,10.78828
732785,"Nummestadveien 15, Garder",59.578511,10.808694
732786,"Nummestadveien 6, Garder",59.579498,10.810313
732799,"Nummestadveien 34, Garder",59.578305,10.811215
732800,"Nummestadveien 30, Garder",59.57846,10.810413
732801,"Nummestadveien 38, Garder",59.57757,10.811452
732802,"Nummestadveien 36, Garder",59.57815,10.811384
732803,"Nummestadveien 28, Garder",59.578804,10.810576
732804,"Nummestadveien 20, Garder",59.578961,10.810227
732805,"Nummestadveien 26, Garder",59.578698,10.811653
732806,"Nummestadveien 22, Garder",59.57908,10.811027
732827,"Nummestadveien 223, Garder",59.567654,10.819267
732828,"Nummestadveien 219, Garder",59.56839,10.820686
732839,"Nummestadveien 130, Garder",59.574182,10.827407
732840,"Nummestadveien 85, Garder",59.576007,10.818245
732841,"Nummestadveien 140, Garder",59.57324,10.835642
732842,"Nummestadveien 132, Garder",59.573499,10.827458
732843,"Nummestadveien 50, Garder",59.577086,10.812947
732844,"Nummestadveien 41, Garder",59.576703,10.811243
732845,"Nummestadveien 52, Garder",59.57706,10.813557
732846,"Nummestadveien 58, Garder",59.577331,10.813821
