,Navn,Long,Lat
1943,"21/5, Våler",59.487634,10.788784
1945,"55/2-2, Våler",59.440712,10.84685
36875,"Lille Silleholmen, 4/507, Moss",59.417543,10.719727
36876,"Ospeholmen, 4/508, Moss",59.41302,10.746444
54842,"4/516, Moss",59.411695,10.749325
305517,"Ellenøy 1, Våler",59.436265,10.883374
305540,"Bjørnerødveien 310, Våler",59.428281,10.868315
305542,"Bjørnerødveien 308, Våler",59.42884,10.862511
305545,"Gressøya 1, Våler",59.417414,10.865637
305554,"Bjørnerødveien 544, Våler",59.461829,10.861414
305642,"Mosserosveien 56, Våler",59.414186,10.845018
305643,"Mosserosveien 30, Våler",59.418316,10.852768
305645,"Kreierten 1, Våler",59.399468,10.846683
305646,"Mosserosveien 68, Våler",59.409155,10.845114
305647,"Mosserosveien 50, Våler",59.41359,10.840809
305648,"Sønsterødveien 336, Våler",59.41486,10.782283
305652,"Kjellabråten 5, Våler",59.458678,10.77088
305653,"Karl Toverudsvei 1, Våler",59.459877,10.799458
305656,"Texnesbakken 33, Våler",59.459848,10.790439
305657,"Texnesbakken 35, Våler",59.460032,10.790096
305658,"Texnesbakken 37, Våler",59.460238,10.789542
305659,"Texnesbakken 39, Våler",59.459955,10.78921
305660,"Texneslia 1, Våler",59.457281,10.794238
305661,"Texneslia 2, Våler",59.45767,10.7947
305662,"Texneslia 3, Våler",59.457061,10.793926
305663,"Texneslia 4, Våler",59.457676,10.794277
305664,"Texnesbakken 21, Våler",59.459461,10.791813
305666,"Texnesbakken 22, Våler",59.460639,10.789105
305667,"Texnesbakken 23, Våler",59.459527,10.792275
305668,"Texnesbakken 24, Våler",59.460428,10.788793
305669,"Texnesbakken 26, Våler",59.460254,10.788343
305670,"Texnesbakken 27, Våler",59.459721,10.791862
305671,"Texnesbakken 29, Våler",59.459576,10.791254
305672,"Texnesbakken 31, Våler",59.459735,10.790839
305673,"Texnesbakken 19, Våler",59.459228,10.792436
305674,"Texnesbakken 20, Våler",59.460802,10.789643
305677,"Kordahlveien 10, Våler",59.457236,10.796865
305678,"Kordahlveien 11, Våler",59.458292,10.79648
305679,"Kordahlveien 12, Våler",59.457338,10.797311
305681,"Kordahlveien 13, Våler",59.458366,10.796978
305682,"Kordahlveien 14, Våler",59.457509,10.79725
305685,"Kordahlveien 2, Våler",59.457413,10.795727
305686,"Kordahlveien 3, Våler",59.457817,10.795784
305687,"Kordahlveien 4, Våler",59.457434,10.796187
305688,"Kordahlveien 5, Våler",59.457812,10.795448
305689,"Kordahlveien 6, Våler",59.457203,10.795963
305690,"Kordahlveien 7, Våler",59.458127,10.795395
305691,"Kordahlveien 8, Våler",59.457197,10.796404
305692,"Kordahlveien 9, Våler",59.458193,10.795874
305693,"Texnesåsen 16, Våler",59.458822,10.792555
305694,"Texnesåsen 17, Våler",59.458655,10.791647
305695,"Texnesåsen 18, Våler",59.458906,10.792313
305696,"Texnesåsen 19, Våler",59.45861,10.790974
305697,"Texnesåsen 20, Våler",59.459019,10.79193
305698,"Texnesåsen 21, Våler",59.458898,10.790971
305699,"Texnesåsen 22, Våler",59.459199,10.791287
305700,"Kordahlveien 1, Våler",59.457873,10.796263
305701,"Texnesåsen 8, Våler",59.458511,10.793615
305702,"Texnesåsen 9, Våler",59.45804,10.793273
305703,"Texnesåsen 10, Våler",59.458587,10.793354
305704,"Texnesåsen 11, Våler",59.458262,10.79279
305705,"Texnesåsen 12, Våler",59.458653,10.793111
305706,"Texnesåsen 13, Våler",59.458357,10.792425
305707,"Texnesåsen 14, Våler",59.458765,10.792782
305708,"Texnesåsen 15, Våler",59.458532,10.792081
305715,"Texneslia 29, Våler",59.458392,10.788527
305716,"Texneslia 30, Våler",59.459232,10.789542
305717,"Texneslia 31, Våler",59.458533,10.788111
305718,"Texneslia 32, Våler",59.459069,10.789604
305719,"Texneslia 33, Våler",59.458701,10.787644
305720,"Texneslia 34, Våler",59.458908,10.789595
305721,"Texneslia 35, Våler",59.458823,10.787209
305722,"Texneslia 36, Våler",59.458746,10.789605
305723,"Texneslia 21, Våler",59.457982,10.790905
305724,"Texneslia 22, Våler",59.458539,10.790282
305725,"Texneslia 23, Våler",59.458144,10.790243
305726,"Texneslia 24, Våler",59.458692,10.790255
305727,"Texneslia 25, Våler",59.458227,10.789471
305728,"Texneslia 26, Våler",59.458854,10.790228
305729,"Texneslia 27, Våler",59.458305,10.788964
305730,"Texneslia 28, Våler",59.459385,10.789515
305731,"Texneslia 13, Våler",59.457257,10.792067
305732,"Texneslia 14, Våler",59.457853,10.792469
305733,"Texneslia 15, Våler",59.457363,10.791561
305734,"Texneslia 16, Våler",59.458074,10.79211
305735,"Texneslia 17, Våler",59.457596,10.790938
305737,"Texneslia 18, Våler",59.458169,10.791674
305738,"Texneslia 19, Våler",59.457788,10.791301
305739,"Texneslia 20, Våler",59.458366,10.791102
305740,"Texneslia 5, Våler",59.457203,10.793405
305741,"Texneslia 6, Våler",59.457718,10.79382
305742,"Texneslia 7, Våler",59.457067,10.792798
305743,"Texneslia 8, Våler",59.457714,10.793432
305744,"Texneslia 9, Våler",59.457393,10.792621
305745,"Texneslia 10, Våler",59.457755,10.793081
305746,"Texneslia 11, Våler",59.457535,10.792117
305747,"Texneslia 12, Våler",59.457813,10.792749
305748,"Texneslia 63, Våler",59.45908,10.788828
305749,"Texnesåsen 1, Våler",59.457852,10.794551
305750,"Texnesåsen 2, Våler",59.458183,10.794586
305751,"Texnesåsen 3, Våler",59.457883,10.794235
305752,"Texnesåsen 4, Våler",59.458188,10.794233
305753,"Texnesåsen 5, Våler",59.457905,10.793901
305754,"Texnesåsen 6, Våler",59.458452,10.793983
305755,"Texnesåsen 7, Våler",59.457973,10.793587
305756,"Texneslia 53, Våler",59.460003,10.787642
305757,"Texneslia 54, Våler",59.459683,10.788084
305758,"Texneslia 55, Våler",59.460116,10.787912
305760,"Texneslia 56, Våler",59.459485,10.788091
305762,"Texneslia 57, Våler",59.459656,10.7887
305763,"Texneslia 58, Våler",59.459278,10.788115
305765,"Texneslia 59, Våler",59.459449,10.788742
305766,"Texneslia 61, Våler",59.459243,10.788731
305767,"Texneslia 45, Våler",59.459676,10.786583
305768,"Texneslia 46, Våler",59.459123,10.787631
305769,"Texneslia 47, Våler",59.459753,10.786852
305770,"Texneslia 48, Våler",59.459236,10.787266
305771,"Texneslia 49, Våler",59.45984,10.787086
305772,"Texneslia 50, Våler",59.459312,10.78697
305773,"Texneslia 51, Våler",59.459917,10.787355
305775,"Texneslia 52, Våler",59.459541,10.78734
305776,"Texneslia 37, Våler",59.458981,10.786864
305777,"Texneslia 38, Våler",59.458575,10.789595
305778,"Texneslia 39, Våler",59.45915,10.786309
305779,"Texneslia 40, Våler",59.458757,10.788811
305780,"Texneslia 41, Våler",59.45935,10.786107
305781,"Texneslia 42, Våler",59.458889,10.788306
305783,"Texneslia 43, Våler",59.459548,10.786118
305784,"Texneslia 44, Våler",59.458994,10.787906
305787,"Texnesbakken 15, Våler",59.459434,10.793117
305788,"Texnesbakken 16, Våler",59.460449,10.790489
305789,"Texnesbakken 17, Våler",59.459119,10.793153
305790,"Texnesbakken 18, Våler",59.460589,10.790125
305791,"Texnesbakken 7, Våler",59.459021,10.793801
305792,"Texnesbakken 8, Våler",59.460123,10.792042
305793,"Texnesbakken 9, Våler",59.459256,10.793637
305794,"Texnesbakken 10, Våler",59.460067,10.791527
305795,"Texnesbakken 11, Våler",59.459571,10.793636
305796,"Texnesbakken 12, Våler",59.460126,10.79116
305797,"Texnesbakken 13, Våler",59.459693,10.793254
305798,"Texnesbakken 14, Våler",59.46031,10.790852
305801,"Texnesbakken 1, Våler",59.457074,10.794933
305802,"Texnesbakken 2, Våler",59.46011,10.793629
305803,"Texnesbakken 3, Våler",59.457344,10.794859
305804,"Texnesbakken 4, Våler",59.460142,10.79308
305805,"Texnesbakken 5, Våler",59.458777,10.793859
305806,"Texnesbakken 6, Våler",59.460107,10.7925
305839,"Åkerveien 21, Våler",59.464056,10.807092
305840,"Åkerveien 23, Våler",59.464208,10.807153
305841,"Karl Toverudsvei 2, Våler",59.461941,10.809326
305842,"Karl Toverudsvei 4, Våler",59.461923,10.808708
305843,"Karl Toverudsvei 6, Våler",59.461804,10.808207
305847,"Åkerveien 5, Våler",59.463151,10.806267
305848,"Åkerveien 7, Våler",59.463288,10.806751
305849,"Åkerveien 9, Våler",59.463449,10.806813
305850,"Åkerveien 11, Våler",59.463601,10.806874
305851,"Åkerveien 13, Våler",59.463901,10.806643
305852,"Åkerveien 15, Våler",59.464061,10.806722
305853,"Åkerveien 17, Våler",59.46424,10.806784
305854,"Åkerveien 19, Våler",59.463895,10.807013
305855,"Hesteskoen 7, Våler",59.461904,10.80553
305856,"Hesteskoen 9, Våler",59.46203,10.805502
305857,"Åkerveien 1, Våler",59.46282,10.806179
305858,"Åkerveien 2, Våler",59.462819,10.807591
305859,"Åkerveien 3, Våler",59.46299,10.806223
305860,"Åkerveien 4, Våler",59.462793,10.808136
305957,"Tunveien 8, Våler",59.46212,10.804836
305965,"Våkveien 6, Våler",59.461054,10.809861
305966,"Våkveien 8, Våler",59.461341,10.809859
305967,"Tunveien 1B, Våler",59.461669,10.803665
305968,"Tunveien 1A, Våler",59.461472,10.803654
305969,"Tunveien 2, Våler",59.46184,10.804962
305970,"Tunveien 3, Våler",59.461968,10.803486
305971,"Tunveien 4, Våler",59.46176,10.804217
305972,"Tunveien 5, Våler",59.462248,10.80336
305979,"Våkveien 2A, Våler",59.460105,10.809599
305980,"Våkveien 4, Våler",59.460749,10.809792
305985,"Dammyr 14, Våler",59.462988,10.803805
305990,"Damli 12, Våler",59.463855,10.800852
305991,"Damli 14, Våler",59.463747,10.800846
305992,"Damli 16, Våler",59.463523,10.800816
305993,"Damli 18, Våler",59.463407,10.800775
305994,"Damli 20, Våler",59.4632,10.800799
305995,"Damli 22, Våler",59.463029,10.800772
305996,"Damli 24, Våler",59.462877,10.800747
305997,"Damli 26, Våler",59.46276,10.800793
305998,"Damli 4, Våler",59.464488,10.80115
305999,"Damli 5, Våler",59.463496,10.801468
306000,"Damli 6, Våler",59.464381,10.801091
306001,"Damli 7, Våler",59.463289,10.801474
306002,"Damli 8, Våler",59.464257,10.801014
306003,"Damli 9, Våler",59.463048,10.801373
306004,"Damli 10, Våler",59.46398,10.800876
306005,"Damli 11, Våler",59.462979,10.801793
306006,"Dammyråsen 21, Våler",59.464429,10.802876
306007,"Dammyråsen 23, Våler",59.464356,10.803561
306008,"Dammyråsen 25, Våler",59.464341,10.804036
306009,"Dammyråsen 27, Våler",59.464172,10.804557
306010,"Dammyråsen 29, Våler",59.463952,10.80488
306011,"Damli 1, Våler",59.463935,10.801544
306012,"Damli 2, Våler",59.464605,10.801191
306013,"Damli 3, Våler",59.463676,10.801407
306014,"Dammyråsen 13, Våler",59.463705,10.803261
306015,"Dammyråsen 14, Våler",59.463777,10.803883
306016,"Dammyråsen 15, Våler",59.463886,10.803112
306017,"Dammyråsen 16, Våler",59.463987,10.803665
306018,"Dammyråsen 17, Våler",59.464067,10.803051
306019,"Dammyråsen 18, Våler",59.463935,10.804138
306020,"Dammyråsen 19, Våler",59.464257,10.802938
306021,"Dammyråsen 20, Våler",59.463823,10.804485
306022,"Damli 28, Våler",59.462753,10.801305
306023,"Damli 30, Våler",59.462714,10.801532
306024,"Damli 32, Våler",59.462684,10.80176
306025,"Hesteskoen 1, Våler",59.461623,10.806362
306026,"Hesteskoen 2, Våler",59.462033,10.805925
306027,"Hesteskoen 3, Våler",59.461707,10.806102
306028,"Hesteskoen 4, Våler",59.462029,10.80626
306029,"Hesteskoen 5, Våler",59.461804,10.805631
306030,"Dammyr 13, Våler",59.462379,10.804973
306031,"Dammyr 16, Våler",59.463109,10.803494
306032,"Dammyr 17, Våler",59.462536,10.803976
306033,"Dammyr 18, Våler",59.463247,10.803255
306034,"Dammyr 19, Våler",59.462712,10.803632
306035,"Dammyr 20, Våler",59.463394,10.803015
306036,"Dammyr 21, Våler",59.462485,10.803126
306037,"Dammyr 5, Våler",59.461798,10.806689
306038,"Dammyr 6, Våler",59.462042,10.807214
306039,"Dammyr 7, Våler",59.462005,10.80663
306040,"Dammyr 8, Våler",59.462342,10.806965
306041,"Dammyr 9, Våler",59.462536,10.805952
306042,"Dammyr 10, Våler",59.462595,10.806838
306043,"Dammyr 11, Våler",59.462461,10.805489
306044,"Dammyr 12, Våler",59.462806,10.805225
306045,"Texnesstubben 7, Våler",59.459841,10.794868
306046,"Texnesstubben 9, Våler",59.459887,10.795488
306047,"Texnesstubben 11, Våler",59.460129,10.795518
306048,"Texnesstubben 13, Våler",59.460057,10.79615
306049,"Dammyr 1, Våler",59.461552,10.806958
306050,"Dammyr 2, Våler",59.461615,10.807562
306051,"Dammyr 3, Våler",59.46168,10.806806
306052,"Dammyr 4, Våler",59.461788,10.80743
306053,"Texnestoppen 21, Våler",59.45897,10.796198
306054,"Texnestoppen 25, Våler",59.459252,10.796566
306055,"Texnestoppen 27, Våler",59.459512,10.796615
306056,"Texnestoppen 29, Våler",59.459961,10.796639
306057,"Texnesstubben 1, Våler",59.459839,10.794356
306058,"Texnesstubben 2, Våler",59.459425,10.794458
306059,"Texnesstubben 3, Våler",59.460127,10.794336
306060,"Texnesstubben 5, Våler",59.460138,10.794866
306061,"Dammyråsen 5, Våler",59.463777,10.805189
306062,"Dammyråsen 6, Våler",59.463276,10.805021
306063,"Dammyråsen 7, Våler",59.463246,10.803943
