,Navn,Long,Lat
42615,"208/126, Fredrikstad Domkirke",59.217623,10.959263
76018,"Lislebyveien 6, Fredrikstad Domkirke",59.2096,10.954604
76037,"Sportsveien 31, Fredrikstad Domkirke",59.213994,10.95196
76042,"Utsikten 11, Fredrikstad Domkirke",59.215644,10.958735
76124,"Tore Segelckes vei 9B, Fredrikstad Domkirke",59.21278,10.957177
835415,"Stenhammerveien 9C, Fredrikstad Domkirke",59.21551,10.955459
835416,"Stenhammerveien 9D, Fredrikstad Domkirke",59.215543,10.955405
835445,"Stenhammerveien 9A, Fredrikstad Domkirke",59.215459,10.955366
835446,"Stenhammerveien 9B, Fredrikstad Domkirke",59.215481,10.955312
835447,"Stenhammerveien 11C, Fredrikstad Domkirke",59.215654,10.955666
835448,"Stenhammerveien 11D, Fredrikstad Domkirke",59.215707,10.955619
835449,"Stenhammerveien 11A, Fredrikstad Domkirke",59.215578,10.955578
835450,"Stenhammerveien 11B, Fredrikstad Domkirke",59.215614,10.955521
836949,"Stenhammerveien 3D, Fredrikstad Domkirke",59.215072,10.954691
1645143,"Sportsveien 2E, Fredrikstad Domkirke",59.211791,10.947394
1785515,"Bydalsveien 1B, Fredrikstad Domkirke",59.210983,10.950775
1803125,"Hjalmar Bjørges vei 113, Gamle Glemmen",59.219254,10.966851
1976741,"Skansen 10C, Fredrikstad Domkirke",59.210073,10.954135
1980061,"Skansen 10B, Fredrikstad Domkirke",59.21005,10.954028
1981448,"Lislebyveien 74A, Fredrikstad Domkirke",59.215432,10.960285
2061877,"Gamleveien 18A, Fredrikstad Domkirke",59.216004,10.960058
2106506,"Kapellstien 2C, Fredrikstad Domkirke",59.212622,10.955259
2114990,"Utsikten 15, Fredrikstad Domkirke",59.216067,10.959285
2116529,"Brønneløkkveien 21, Fredrikstad Domkirke",59.210821,10.956433
2299340,"Aksel Jacobsens vei 5, Fredrikstad Domkirke",59.214124,10.956002
2299341,"Albert Torps vei 3, Fredrikstad Domkirke",59.213039,10.953504
2299342,"Albert Torps vei 5, Fredrikstad Domkirke",59.213081,10.953665
2299343,"Albert Torps vei 7, Fredrikstad Domkirke",59.213115,10.953824
2299344,"Albert Torps vei 9, Fredrikstad Domkirke",59.213234,10.954269
2299345,"Albert Torps vei 10, Fredrikstad Domkirke",59.213668,10.95524
2299346,"Albert Torps vei 11, Fredrikstad Domkirke",59.21354,10.955425
2299347,"Albert Torps vei 11A, Fredrikstad Domkirke",59.213311,10.95489
2299348,"Albert Torps vei 12, Fredrikstad Domkirke",59.213822,10.955757
2299349,"Albert Torps vei 13, Fredrikstad Domkirke",59.213599,10.955709
2299350,"Albert Torps vei 14, Fredrikstad Domkirke",59.213696,10.956993
2299351,"Albert Torps vei 15, Fredrikstad Domkirke",59.213432,10.957191
2299352,"Albert Torps vei 16, Fredrikstad Domkirke",59.213689,10.957466
2299353,"Albert Torps vei 17, Fredrikstad Domkirke",59.21352,10.957374
2299354,"Albert Torps vei 19, Fredrikstad Domkirke",59.2134,10.95759
2299355,"Albert Torps vei 20, Fredrikstad Domkirke",59.213502,10.958541
2299364,"Abelsborgveien 8, Fredrikstad Domkirke",59.211858,10.953157
2299365,"Abelsborgveien 11, Fredrikstad Domkirke",59.212102,10.953696
2299366,"Abelsborgveien 13, Fredrikstad Domkirke",59.211983,10.95383
2299367,"Abelsborgveien 15, Fredrikstad Domkirke",59.212256,10.954213
2299368,"Abelsborgveien 17, Fredrikstad Domkirke",59.212414,10.95445
2299369,"Aksel Jacobsens vei 1, Fredrikstad Domkirke",59.21443,10.955389
2299370,"Aksel Jacobsens vei 2, Fredrikstad Domkirke",59.214332,10.955944
2299371,"Aksel Jacobsens vei 3, Fredrikstad Domkirke",59.21431,10.955592
2299388,"Albert Torps vei 21, Fredrikstad Domkirke",59.213449,10.957855
2299389,"Albert Torps vei 23, Fredrikstad Domkirke",59.213373,10.958149
