,Navn,Long,Lat
76112,"Pancoveien 16, Gressvik",59.23369,10.909006
76725,"Johan Selmer Karlsens vei 4, Gressvik",59.224951,10.910704
854497,"Bedriftsveien 3H, Gressvik",59.227991,10.911692
1651567,"Anton Brekkes vei 3H, Gressvik",59.228679,10.899861
1651569,"Anton Brekkes vei 3F, Gressvik",59.228565,10.899865
1940493,"Ruuds vei 5B, Gressvik",59.22648,10.911968
1991076,"Ørebekkbråten 16, Gressvik",59.231051,10.89866
2074032,"Johan Selmer Karlsens vei 1D, Gressvik",59.225313,10.910692
2074033,"Johan Selmer Karlsens vei 1E, Gressvik",59.225369,10.910689
2074034,"Johan Selmer Karlsens vei 1B, Gressvik",59.225366,10.910601
2074035,"Johan Selmer Karlsens vei 1C, Gressvik",59.225416,10.910597
2074036,"Johan Selmer Karlsens vei 1F, Gressvik",59.225417,10.910692
2074301,"Bedriftsveien 8B, Gressvik",59.227238,10.912493
2183849,"Aspelundveien 5B, Gressvik",59.231295,10.90593
2190497,"Aspelundveien 5A, Gressvik",59.231276,10.905817
2315382,"Anton Brekkes vei 2A, Gressvik",59.228629,10.900666
2315383,"Anton Brekkes vei 1D, Gressvik",59.228365,10.89972
2315384,"Anton Brekkes vei 2C, Gressvik",59.22876,10.900586
2315385,"Anton Brekkes vei 2B, Gressvik",59.228701,10.900632
2315387,"Anton Brekkes vei 3A, Gressvik",59.228516,10.899747
2315388,"Anton Brekkes vei 2D, Gressvik",59.228815,10.900555
2315389,"Anton Brekkes vei 3C, Gressvik",59.228638,10.899736
2315390,"Anton Brekkes vei 3B, Gressvik",59.228575,10.89974
2315391,"Anton Brekkes vei 4A, Gressvik",59.228958,10.900533
2315392,"Anton Brekkes vei 3D, Gressvik",59.228685,10.899731
2315393,"Anton Brekkes vei 4C, Gressvik",59.229078,10.900421
2315394,"Anton Brekkes vei 4B, Gressvik",59.229007,10.900509
2315395,"Anton Brekkes vei 5A, Gressvik",59.228821,10.899751
2315396,"Anton Brekkes vei 4D, Gressvik",59.229128,10.900433
2315397,"Anton Brekkes vei 5C, Gressvik",59.228916,10.899703
2315398,"Anton Brekkes vei 5B, Gressvik",59.228879,10.899728
2315411,"Anton Brekkes vei 1A, Gressvik",59.228221,10.899682
2315413,"Anton Brekkes vei 1C, Gressvik",59.228315,10.899748
2315414,"Anton Brekkes vei 1B, Gressvik",59.228269,10.899676
2315415,"Brattveien 5, Gressvik",59.226363,10.90919
2315416,"Brattveien 9, Gressvik",59.225905,10.908569
2315417,"Brattveien 7, Gressvik",59.226136,10.90874
2315418,"Brekkefaret 1, Gressvik",59.228799,10.899266
2315419,"Brattveien 11, Gressvik",59.225725,10.908594
2315420,"Brekkefaret 2B, Gressvik",59.229322,10.89914
2315421,"Brekkefaret 2A, Gressvik",59.229276,10.899143
2315422,"Brekkefaret 2D, Gressvik",59.229457,10.899147
2315423,"Brekkefaret 2C, Gressvik",59.229408,10.89913
2315424,"Brekkefaret 4, Gressvik",59.22914,10.898576
2315425,"Brekkefaret 3, Gressvik",59.228695,10.89898
2315426,"Brekkefaret 18, Gressvik",59.227643,10.896656
2315427,"Brekkefaret 17, Gressvik",59.225324,10.896094
2315428,"Brekkefaret 20A, Gressvik",59.227402,10.896454
2315429,"Brekkefaret 20, Gressvik",59.227413,10.896928
2315430,"Brekkefaret 22A, Gressvik",59.227169,10.896442
2315431,"Brekkefaret 22, Gressvik",59.22719,10.896828
2315432,"Brekkefaret 24A, Gressvik",59.226798,10.896018
2315433,"Brekkefaret 24, Gressvik",59.226855,10.896442
2315434,"Brekkefaret 26A, Gressvik",59.226503,10.895914
2315435,"Brekkefaret 26, Gressvik",59.226453,10.896262
2315436,"Brekkefaret 28A, Gressvik",59.22629,10.895686
2315437,"Brekkefaret 28, Gressvik",59.226099,10.895909
2315438,"Brekkefaret 32, Gressvik",59.22538,10.895326
2315439,"Brekkefaret 30, Gressvik",59.225759,10.89582
2315440,"Brekkekroken 1, Gressvik",59.225851,10.896877
2315441,"Brekkefaret 34, Gressvik",59.225128,10.894751
2315442,"Brekkefaret 5, Gressvik",59.22855,10.898481
2315443,"Brekkefaret 4A, Gressvik",59.229031,10.898396
2315444,"Brekkefaret 6, Gressvik",59.228742,10.897598
2315445,"Brekkefaret 5A, Gressvik",59.228406,10.899052
2315446,"Brekkefaret 8, Gressvik",59.228296,10.897415
2315447,"Brekkefaret 7, Gressvik",59.228364,10.89826
2315448,"Brekkefaret 10, Gressvik",59.228025,10.897321
2315449,"Brekkefaret 9, Gressvik",59.228223,10.898116
2315450,"Brekkefaret 11, Gressvik",59.227984,10.897819
2315451,"Brekkefaret 10A, Gressvik",59.228073,10.896996
2315452,"Brekkefaret 13, Gressvik",59.226016,10.896658
2315453,"Brekkefaret 12, Gressvik",59.227968,10.897306
2315454,"Brekkefaret 14A, Gressvik",59.227907,10.896819
2315455,"Brekkefaret 14, Gressvik",59.227757,10.897226
2315456,"Brekkefaret 16, Gressvik",59.227698,10.897214
2315457,"Brekkefaret 15, Gressvik",59.225599,10.896284
2315458,"Brekkekroken 3, Gressvik",59.225626,10.896952
2315459,"Brekkekroken 2, Gressvik",59.225318,10.896479
2315460,"Brekkekroken 8A, Gressvik",59.225011,10.896913
2315461,"Brekkekroken 4, Gressvik",59.22514,10.896399
2315462,"Brekkekroken 8C, Gressvik",59.225117,10.897046
2315463,"Brekkekroken 8B, Gressvik",59.225066,10.896992
2315464,"Brekkekroken 10A, Gressvik",59.225269,10.89724
2315465,"Brekkekroken 8D, Gressvik",59.225174,10.897122
2315466,"Brekkekroken 10C, Gressvik",59.225379,10.89738
2315467,"Brekkekroken 10B, Gressvik",59.225331,10.897319
2315468,"Brekkekroken 12A, Gressvik",59.225538,10.897582
2315469,"Brekkekroken 10D, Gressvik",59.22543,10.897441
2315470,"Brekkekroken 12C, Gressvik",59.225641,10.897715
2315471,"Brekkekroken 12B, Gressvik",59.225597,10.897658
2315472,"Brekkekroken 12D, Gressvik",59.225697,10.897787
2315614,"Aspelundveien 3, Gressvik",59.23112,10.906365
2315615,"Aspelundveien 2, Gressvik",59.231161,10.909669
2315616,"Aspelundveien 4, Gressvik",59.231412,10.909122
2315617,"Aspelundveien 7, Gressvik",59.231408,10.905108
2315618,"Aspelundveien 6, Gressvik",59.231644,10.905542
2315619,"Bedriftsveien 2, Gressvik",59.227321,10.911242
2315620,"Aspelundveien 9, Gressvik",59.231541,10.904607
2315621,"Bedriftsveien 2B, Gressvik",59.226923,10.911395
2315622,"Bedriftsveien 2A, Gressvik",59.22712,10.911476
2315623,"Bedriftsveien 2C, Gressvik",59.226711,10.911331
2315625,"Bedriftsveien 4, Gressvik",59.227324,10.911593
2315628,"Anton Brekkes vei 6A, Gressvik",59.229705,10.900324
2315629,"Anton Brekkes vei 5D, Gressvik",59.228978,10.899695
2315630,"Anton Brekkes vei 6C, Gressvik",59.22982,10.900259
2315631,"Anton Brekkes vei 6B, Gressvik",59.229781,10.900285
2315632,"Anton Brekkes vei 7A, Gressvik",59.229431,10.89945
2315633,"Brattveien 3, Gressvik",59.226694,10.909226
2315634,"Anton Brekkes vei 6D, Gressvik",59.22988,10.90022
2315635,"Anton Brekkes vei 8, Gressvik",59.230088,10.900162
2315636,"Anton Brekkes vei 7B, Gressvik",59.229628,10.899506
2315637,"Anton Brekkes vei 9B, Gressvik",59.229992,10.899423
2315638,"Anton Brekkes vei 9A, Gressvik",59.229775,10.899367
2315639,"Anton Brekkes vei 11A, Gressvik",59.230148,10.899287
2315640,"Anton Brekkes vei 10, Gressvik",59.230277,10.900155
2315641,"Anton Brekkes vei 12, Gressvik",59.230458,10.900042
2315642,"Anton Brekkes vei 11B, Gressvik",59.230326,10.899321
2315643,"Aspelundveien 1, Gressvik",59.231034,10.90699
2315644,"Anton Brekkes vei 14, Gressvik",59.230639,10.899929
2315747,"Brattveien 1, Gressvik",59.227008,10.909314
2315804,"Haslerudveien 32, Gressvik",59.228769,10.902447
2315805,"Haslerudveien 31, Gressvik",59.22741,10.902098
2315806,"Haslerudveien 36, Gressvik",59.228531,10.902281
2315807,"Haslerudveien 34, Gressvik",59.228609,10.902281
2315857,"Haslerudveien 6, Gressvik",59.230926,10.90431
2315858,"Haslerudveien 4, Gressvik",59.231084,10.904511
2315859,"Haslerudveien 6B, Gressvik",59.231013,10.903841
2315860,"Haslerudveien 6A, Gressvik",59.230743,10.903663
2315861,"Haslerudveien 9, Gressvik",59.230385,10.904665
2315862,"Haslerudveien 8, Gressvik",59.230623,10.904135
2315863,"Haslerudveien 12, Gressvik",59.230326,10.903778
2315864,"Haslerudveien 10, Gressvik",59.230475,10.903895
2315865,"Haslerudveien 13, Gressvik",59.228934,10.903515
2315866,"Haslerudveien 12A, Gressvik",59.23044,10.903251
2315867,"Haslerudveien 14A, Gressvik",59.230217,10.903328
2315868,"Haslerudveien 14, Gressvik",59.230197,10.903641
2315869,"Haslerudveien 16, Gressvik",59.230074,10.903561
2315870,"Haslerudveien 15, Gressvik",59.228766,10.903331
2315871,"Haslerudveien 17, Gressvik",59.228607,10.903129
2315872,"Haslerudveien 16A, Gressvik",59.23007,10.903245
2315898,"Haslerudveien 1, Gressvik",59.231052,10.905456
2315901,"Haslerudveien 3, Gressvik",59.230868,10.905183
2315903,"Haslerudveien 2, Gressvik",59.231244,10.904678
2315904,"Haslerudveien 18A, Gressvik",59.229914,10.903159
2315905,"Haslerudveien 18, Gressvik",59.22984,10.903407
2315906,"Haslerudveien 20, Gressvik",59.229728,10.903279
2315907,"Haslerudveien 19, Gressvik",59.228449,10.90291
2315908,"Haslerudveien 20B, Gressvik",59.230139,10.902794
2315909,"Haslerudveien 20A, Gressvik",59.229803,10.903055
2315910,"Haslerudveien 22, Gressvik",59.229178,10.902793
2315911,"Haslerudveien 21, Gressvik",59.22829,10.902743
2315912,"Brekkelia 3, Gressvik",59.227488,10.899228
2315913,"Brekkelia 2, Gressvik",59.227712,10.898627
2315914,"Brekkelia 5, Gressvik",59.227283,10.899059
2315915,"Brekkelia 4, Gressvik",59.227735,10.898278
2315916,"Brekkelia 7, Gressvik",59.227407,10.897962
2315917,"Brekkelia 6, Gressvik",59.22782,10.89802
2315918,"Brekkelia 7B, Gressvik",59.227016,10.89766
2315919,"Brekkelia 7A, Gressvik",59.227203,10.897793
2315920,"Brekkelia 9, Gressvik",59.227484,10.897598
2315921,"Brekkelia 7C, Gressvik",59.226812,10.897543
2315922,"Brekkelia 9B, Gressvik",59.227084,10.897348
2315923,"Brekkelia 9A, Gressvik",59.227271,10.897481
2315924,"Brekkeskrenten 1, Gressvik",59.227091,10.898681
2315925,"Brekkelia 9C, Gressvik",59.226853,10.897178
2315926,"Brekkeskrenten 3, Gressvik",59.226814,10.89863
2315927,"Brekkeskrenten 2, Gressvik",59.227215,10.898197
2315928,"Brekkelia 1, Gressvik",59.227779,10.89956
2315945,"Brekkeskrenten 5, Gressvik",59.226547,10.898457
2315946,"Brekkeskrenten 4, Gressvik",59.22692,10.898128
2315947,"Brekkeskrenten 7, Gressvik",59.22627,10.898354
2315948,"Brekkeskrenten 6, Gressvik",59.226723,10.898047
2316003,"Fugleveien 1, Gressvik",59.227375,10.908143
2316005,"Fugleveien 3, Gressvik",59.227174,10.908412
2316006,"Fugleveien 2, Gressvik",59.226902,10.907924
2316036,"Fugleveien 5, Gressvik",59.226939,10.908469
2316037,"Fugleveien 4, Gressvik",59.226545,10.907781
2316038,"Fugleveien 9, Gressvik",59.226575,10.908203
2316039,"Fugleveien 7, Gressvik",59.22677,10.908337
2316158,"Gamle Ålevei 2, Gressvik",59.233058,10.903429
2316159,"Gamle Ålevei 1, Gressvik",59.232927,10.903843
2316160,"Gamle Ålevei 8, Gressvik",59.229691,10.901324
2316161,"Gamle Ålevei 3, Gressvik",59.232689,10.903532
2316162,"Gamle Ålevei 10, Gressvik",59.229555,10.900956
2316163,"Gamle Ålevei 9, Gressvik",59.231703,10.903985
2316164,"Gamle Ålevei 13, Gressvik",59.231333,10.903509
2316165,"Gamle Ålevei 12, Gressvik",59.229219,10.901015
