,Navn,Long,Lat
1896,"Elvestad, 49/13, Råde",59.356719,10.845504
1922,"Bjørndalen, 87/7, Råde",59.370932,10.935497
1923,"Vestre Borge, 65/2, Råde",59.337915,10.908784
1924,"Strømshaug, 56/1-2, Råde",59.345325,10.871054
1926,"Langbråten, 85/7-2, Råde",59.36112,10.947841
1928,"Myren, 1/9, Råde",59.369353,10.830492
1936,"53/2, Råde",59.352302,10.869345
30396,"56/31, Råde",59.34934,10.871835
33543,"2034/12, Solli",59.334651,10.961762
44463,"Burummyra, 31/16-1, Råde",59.354673,10.851092
108126,"Isebakkeveien 40, Solli",59.33684,10.955862
108127,"Isebakkeveien 46, Solli",59.336709,10.956822
108129,"Isebakkeveien 24, Solli",59.337886,10.954375
108140,"Isebakkeveien 66, Solli",59.33673,10.960762
302282,"Ørneveien 99, Råde",59.351769,10.856352
302284,"Ørneveien 101, Råde",59.351883,10.855901
302286,"Ørneveien 103, Råde",59.351942,10.855535
302288,"Ørneveien 105, Råde",59.352021,10.855046
302289,"Ørneveien 91, Råde",59.350753,10.856646
302290,"Ørneveien 93, Råde",59.350948,10.856676
302291,"Ørneveien 95, Råde",59.351248,10.856724
302293,"Ørneveien 97, Råde",59.351522,10.856627
302294,"Ørneveien 86, Råde",59.352418,10.85491
302295,"Ørneveien 87, Råde",59.350367,10.856416
302296,"Ørneveien 88, Råde",59.35245,10.854525
302297,"Ørneveien 89, Råde",59.350621,10.856632
302298,"Ørneveien 82, Råde",59.352282,10.855641
302300,"Ørneveien 83, Råde",59.349968,10.856676
302301,"Ørneveien 84, Råde",59.352376,10.855312
302302,"Ørneveien 85, Råde",59.350141,10.856509
302303,"Rugdeveien 11, Råde",59.35296,10.85661
302304,"Rugdeveien 12, Råde",59.352556,10.856588
302305,"Bureveien 1, Råde",59.352671,10.853209
302306,"Bureveien 2, Råde",59.352551,10.853791
302307,"Rugdeveien 7, Råde",59.353025,10.85584
302308,"Rugdeveien 8, Råde",59.352611,10.855835
302309,"Rugdeveien 9, Råde",59.352983,10.856225
302310,"Rugdeveien 10, Råde",59.352588,10.856203
302311,"Rugdeveien 3, Råde",59.353099,10.855052
302312,"Rugdeveien 4, Råde",59.352695,10.854995
302313,"Rugdeveien 5, Råde",59.353066,10.85542
302314,"Rugdeveien 6, Råde",59.352654,10.85538
302315,"Ørneveien 107, Råde",59.352055,10.854556
302316,"Ørneveien 109, Råde",59.352096,10.854153
302317,"Rugdeveien 1, Råde",59.353131,10.85465
302318,"Rugdeveien 2, Råde",59.352737,10.854611
302319,"Grindveien 6, Råde",59.353247,10.852809
302320,"Grindveien 8, Råde",59.353453,10.852838
302321,"Stien 1, Råde",59.353356,10.85088
302322,"Stien 2, Råde",59.353211,10.85154
302323,"Grindveien 2, Råde",59.352791,10.852696
302324,"Grindveien 3, Råde",59.353195,10.85205
302325,"Grindveien 4, Råde",59.352997,10.852743
302326,"Grindveien 5, Råde",59.353428,10.852133
302327,"Bureveien 7, Råde",59.353434,10.853299
302328,"Bureveien 8, Råde",59.35321,10.853936
302329,"Bureveien 10, Råde",59.353384,10.85396
302330,"Grindveien 1, Råde",59.352989,10.852003
302331,"Bureveien 3, Råde",59.352871,10.853258
302332,"Bureveien 4, Råde",59.352785,10.853811
302333,"Bureveien 5, Råde",59.353223,10.853283
302334,"Bureveien 6, Råde",59.352995,10.853905
302335,"Skråtorpveien 14, Råde",59.35103,10.865335
302336,"Skråtorpveien 16, Råde",59.349758,10.863805
302337,"Skråtorpveien 18, Råde",59.34878,10.861184
302338,"Skråtorpveien 6, Råde",59.351696,10.867078
302339,"Skråtorpveien 8, Råde",59.351885,10.867053
302340,"Skråtorpveien 9, Råde",59.351072,10.866744
302341,"Skråtorpveien 10, Råde",59.351799,10.866151
302342,"Skråtorpveien 4, Råde",59.351956,10.868109
302343,"Skråtorpveien 4A, Råde",59.351699,10.867678
302344,"Skråtorpveien 4B, Råde",59.352012,10.867486
302345,"Skråtorpveien 5, Råde",59.35134,10.868114
302346,"Stien 3, Råde",59.35357,10.850944
302347,"Stien 4, Råde",59.353471,10.851607
302348,"Skråtorpveien 1, Råde",59.351037,10.87225
302349,"Skråtorpveien 3, Råde",59.351252,10.870661
302350,"Ørneveien 30, Råde",59.351073,10.859163
302351,"Ørneveien 31, Råde",59.350637,10.860255
302352,"Ørneveien 32, Råde",59.350866,10.859187
302353,"Ørneveien 33, Råde",59.350486,10.859976
302354,"Ørneveien 26, Råde",59.351456,10.858745
302355,"Ørneveien 27, Råde",59.351437,10.85943
302356,"Ørneveien 28, Råde",59.351291,10.858964
302357,"Ørneveien 29, Råde",59.351314,10.859863
302358,"Ørneveien 22, Råde",59.353117,10.858835
302359,"Ørneveien 23, Råde",59.351915,10.85935
302360,"Ørneveien 24, Råde",59.351567,10.858557
302361,"Ørneveien 25, Råde",59.351621,10.859176
302362,"Ørneveien 16, Råde",59.353223,10.857645
302363,"Ørneveien 18, Råde",59.3532,10.858031
302364,"Ørneveien 20, Råde",59.353141,10.858415
302365,"Ørneveien 21, Råde",59.352068,10.859323
302366,"Ørneveien 46, Råde",59.349431,10.857754
302367,"Ørneveien 47, Råde",59.349188,10.858445
302368,"Ørneveien 48, Råde",59.349139,10.85744
302369,"Ørneveien 49, Råde",59.349084,10.858012
302370,"Ørneveien 42, Råde",59.349846,10.858252
302371,"Ørneveien 43, Råde",59.349543,10.858763
302372,"Ørneveien 44, Råde",59.349696,10.858068
302373,"Ørneveien 45, Råde",59.34933,10.858558
302374,"Ørneveien 38, Råde",59.350362,10.858597
302375,"Ørneveien 39, Råde",59.349877,10.859221
302376,"Ørneveien 40, Råde",59.350132,10.858391
302377,"Ørneveien 41, Råde",59.349701,10.859018
302378,"Ørneveien 34, Råde",59.350651,10.85914
302379,"Ørneveien 35, Råde",59.35031,10.859755
302380,"Ørneveien 36, Råde",59.350484,10.85892
302381,"Ørneveien 37, Råde",59.350079,10.859566
302382,"Ørneveien 62, Råde",59.349854,10.85769
302383,"Ørneveien 63, Råde",59.348427,10.855765
302384,"Ørneveien 64, Råde",59.350101,10.857387
302385,"Ørneveien 65, Råde",59.348443,10.855273
302386,"Ørneveien 58, Råde",59.34928,10.85699
302387,"Ørneveien 59, Råde",59.348486,10.856612
302388,"Ørneveien 60, Råde",59.34957,10.857463
302389,"Ørneveien 61, Råde",59.348511,10.856121
302390,"Ørneveien 54, Råde",59.348842,10.856245
302391,"Ørneveien 55, Råde",59.348367,10.85745
302392,"Ørneveien 56, Råde",59.349078,10.85668
302393,"Ørneveien 57, Råde",59.348391,10.857029
302394,"Ørneveien 50, Råde",59.348927,10.857199
302395,"Ørneveien 51, Råde",59.348844,10.857969
302396,"Ørneveien 52, Råde",59.34877,10.856892
302397,"Ørneveien 53, Råde",59.348613,10.85778
302398,"Ørneveien 78, Råde",59.352252,10.856466
302399,"Ørneveien 79, Råde",59.349477,10.856455
302400,"Ørneveien 80, Råde",59.352303,10.856029
302401,"Ørneveien 81, Råde",59.349716,10.856715
302402,"Ørneveien 74, Råde",59.351076,10.857276
302403,"Ørneveien 75, Råde",59.349288,10.855794
302404,"Ørneveien 76, Råde",59.351289,10.857218
302405,"Ørneveien 77, Råde",59.349337,10.856149
302406,"Ørneveien 70, Råde",59.350737,10.857054
302407,"Ørneveien 71, Råde",59.348962,10.855372
302408,"Ørneveien 72, Råde",59.350873,10.857311
302409,"Ørneveien 73, Råde",59.349102,10.855626
302410,"Ørneveien 66, Råde",59.350344,10.857347
302411,"Ørneveien 67, Råde",59.348402,10.854972
302412,"Ørneveien 68, Råde",59.350575,10.857022
302413,"Ørneveien 69, Råde",59.348732,10.855148
302423,"Skoleveien 8, Råde",59.349697,10.86994
302424,"Skoleveien 4, Råde",59.34938,10.870767
302425,"Skoleveien 5, Råde",59.349487,10.868311
302426,"Skoleveien 6, Råde",59.349462,10.870482
302427,"Skoleveien 7, Råde",59.350223,10.86681
302428,"Skråtorpveien 20, Råde",59.348412,10.858649
302429,"Skråtorpveien 20A, Råde",59.348785,10.858986
302430,"Skoleveien 1A, Råde",59.348599,10.870742
302431,"Skoleveien 3, Råde",59.348826,10.869945
302439,"Mosseveien 36, Råde",59.35418,10.858751
302440,"Mosseveien 37, Råde",59.353855,10.855767
302441,"Mosseveien 38, Råde",59.354221,10.858412
302442,"Mosseveien 32, Råde",59.35414,10.859787
302443,"Mosseveien 33, Råde",59.353784,10.856972
302444,"Mosseveien 34, Råde",59.354167,10.859398
302445,"Ørneveien 7B, Råde",59.353808,10.856305
302446,"Mosseveien 27, Råde",59.35365,10.858822
302447,"Mosseveien 28, Råde",59.354031,10.860827
302448,"Mosseveien 30, Råde",59.354085,10.860401
302449,"Ørneveien 11, Råde",59.353688,10.857475
302450,"Mosseveien 23, Råde",59.353598,10.859674
302451,"Mosseveien 24, Råde",59.353934,10.862099
302452,"Mosseveien 25, Råde",59.353624,10.859213
302453,"Mosseveien 26, Råde",59.353987,10.861457
302454,"Stensrødveien 10, Råde",59.353749,10.848625
302455,"Stensrødveien 11, Råde",59.352717,10.851584
302456,"Stensrødveien 12, Råde",59.35377,10.848346
302457,"Stensrødveien 13, Råde",59.352829,10.851273
302458,"Stensrødveien 6, Råde",59.353674,10.849488
302459,"Stensrødveien 7, Råde",59.352544,10.852331
302460,"Stensrødveien 8, Råde",59.353726,10.849069
302461,"Stensrødveien 9, Råde",59.352657,10.85202
302462,"Ørneveien 3C, Råde",59.353849,10.855385
302463,"Stensrødveien 1, Råde",59.352148,10.853681
302464,"Stensrødveien 2, Råde",59.353522,10.850178
302465,"Stensrødveien 4, Råde",59.353587,10.849837
302466,"Stensrødveien 5, Råde",59.352406,10.852622
302467,"Mosseveien 40, Råde",59.354296,10.857618
302468,"Mosseveien 41, Råde",59.353992,10.854763
302469,"Mosseveien 42, Råde",59.354362,10.856796
302470,"Mosseveien 44, Råde",59.354575,10.855379
302471,"Stensrødveien 26, Råde",59.354061,10.849247
302472,"Stensrødveien 27, Råde",59.35352,10.847951
