,Navn,Long,Lat
76088,"H O Torgersens vei 5C, Kråkerøy",59.171809,10.948791
76122,"Holme 11, Kråkerøy",59.175014,10.942968
76139,"Sandvikaveien 37, Kråkerøy",59.180041,10.908391
119080,"Holteåsen 26, Kråkerøy",59.179874,10.932776
1659098,"Kråkerøyveien 160B, Kråkerøy",59.179901,10.929072
1825096,"Kalleraveien 4, Kråkerøy",59.180304,10.9468
1835018,"Kalleraveien 10C, Kråkerøy",59.180081,10.947364
1844918,"Alshusveien 12B, Kråkerøy",59.173173,10.948663
1897853,"Buskogen 49B, Kråkerøy",59.17627,10.933541
1912740,"Futerødveien 76, Kråkerøy",59.164218,10.948873
1912741,"Futerødveien 64, Kråkerøy",59.1649,10.949918
2000952,"Strålsundveien 47, Kråkerøy",59.169735,10.909669
2000953,"Strålsundveien 43, Kråkerøy",59.169203,10.908666
2000954,"Strålsundveien 35, Kråkerøy",59.168764,10.909736
2000959,"Strålsundveien 41, Kråkerøy",59.168537,10.908653
2020178,"Sandvikaveien 169, Kråkerøy",59.171198,10.905491
2020179,"Poseholmen 3, Kråkerøy",59.169316,10.901694
2071862,"Kråkerøyveien 164B, Kråkerøy",59.179615,10.929148
2227968,"Sandvikaveien 107, Kråkerøy",59.175929,10.907042
2312910,"Strålsundveien 39, Kråkerøy",59.167908,10.90887
2312956,"Blåveisåsen 37, Kråkerøy",59.181531,10.936302
2313083,"Barkedalen 2, Kråkerøy",59.186065,10.941374
2313084,"Barkedalen 5, Kråkerøy",59.185876,10.939
2313085,"Barkedalen 3, Kråkerøy",59.186225,10.939125
2313086,"Alshusveien 11, Kråkerøy",59.172104,10.951134
2313244,"Holmelia 3, Kråkerøy",59.168677,10.93339
2313254,"Holmelia 7, Kråkerøy",59.16901,10.933321
2313255,"Holmelia 5, Kråkerøy",59.168801,10.932889
2313256,"Holmelia 9B, Kråkerøy",59.16899,10.93409
2313257,"Holmelia 9A, Kråkerøy",59.169295,10.933477
2313258,"Holmelia 11, Kråkerøy",59.169625,10.933671
2313259,"Holmelia 9C, Kråkerøy",59.169473,10.934239
2313260,"Holmelia 15, Kråkerøy",59.170059,10.934063
2313261,"Holmelia 19, Kråkerøy",59.17181,10.936506
2313262,"Holmelia 17, Kråkerøy",59.17044,10.934452
2313420,"Femdal 4, Kråkerøy",59.168385,10.933723
2313422,"Femdal 6, Kråkerøy",59.168219,10.934011
2313424,"Femdal 8, Kråkerøy",59.168042,10.934421
2313427,"Femdal 10, Kråkerøy",59.16814,10.935091
2313429,"Femdal 12, Kråkerøy",59.168034,10.93554
2313781,"Kalleraveien 19, Kråkerøy",59.179158,10.949138
2314517,"Strålsundveien 11, Kråkerøy",59.175641,10.921113
2314518,"Strålsundveien 21, Kråkerøy",59.1726,10.925055
2314519,"Strålsundveien 23, Kråkerøy",59.171419,10.928978
2314520,"Strålsundveien 22, Kråkerøy",59.172738,10.92606
2314521,"Strålsundveien 26, Kråkerøy",59.171307,10.930476
2314522,"Strålsundveien 25, Kråkerøy",59.170311,10.929195
2314523,"Strålsundveien 28, Kråkerøy",59.171049,10.930917
2314524,"Strålsundveien 27, Kråkerøy",59.170177,10.927333
2314526,"Strålsundveien 30, Kråkerøy",59.17106,10.930217
2318746,"Kalleraveien 21, Kråkerøy",59.179311,10.949724
2320274,"Sandvikaveien 83, Kråkerøy",59.177373,10.904147
2320279,"Sandvikaveien 147, Kråkerøy",59.172865,10.904072
2320305,"Sandvikaveien 39, Kråkerøy",59.179827,10.908309
2320306,"Sandvikaveien 101, Kråkerøy",59.175813,10.905811
2320307,"Sandvikaveien 99, Kråkerøy",59.176057,10.905702
2320308,"Sandvikaveien 97, Kråkerøy",59.176476,10.905918
2320309,"Sandvikaveien 111, Kråkerøy",59.175249,10.906269
2320310,"Sandvikaveien 74, Kråkerøy",59.177055,10.906807
2320311,"Sandvikaveien 103, Kråkerøy",59.176749,10.906265
2320312,"Sandvikaveien 105, Kråkerøy",59.17599,10.90659
2320313,"Sandvikaveien 70, Kråkerøy",59.177581,10.907099
2320314,"Sandvikaveien 109, Kråkerøy",59.175669,10.906993
2320315,"Sandvikaveien 84, Kråkerøy",59.175384,10.908097
2320316,"Sandvikaveien 115, Kråkerøy",59.175083,10.907187
2320318,"Sandvikaveien 80, Kråkerøy",59.176188,10.907757
2320319,"Sandvikaveien 82, Kråkerøy",59.175734,10.908116
2320358,"Strålsundveien 49, Kråkerøy",59.17003,10.908708
2320359,"Strålsundveien 51, Kråkerøy",59.170774,10.910009
2320360,"Sandvikaveien 90, Kråkerøy",59.174701,10.908706
2320361,"Sandvikaveien 88, Kråkerøy",59.174929,10.908456
2320362,"Sandvikaveien 96, Kråkerøy",59.17383,10.907847
2320363,"Sandvikaveien 94, Kråkerøy",59.17416,10.908833
2320364,"Sandvikaveien 121, Kråkerøy",59.174185,10.907172
2320365,"Sandvikaveien 123, Kråkerøy",59.173783,10.907028
2320366,"Sandvikaveien 92, Kråkerøy",59.174451,10.908587
2320367,"Sandvikaveien 119, Kråkerøy",59.174731,10.907885
2320368,"Sandvikaveien 127, Kråkerøy",59.172823,10.907499
2320369,"Sandvikaveien 125, Kråkerøy",59.173326,10.90751
2320370,"Sandvikaveien 165, Kråkerøy",59.170926,10.904963
2320371,"Sandvikaveien 163, Kråkerøy",59.1712,10.906518
2320372,"Sandvikaveien 171, Kråkerøy",59.170694,10.904441
2320373,"Sandvikaveien 167, Kråkerøy",59.171143,10.904483
2320374,"Poseholmen 1, Kråkerøy",59.171613,10.901185
2320375,"Sandvikaveien 173, Kråkerøy",59.17029,10.905101
2320376,"Poseholmen 2, Kråkerøy",59.16978,10.901871
2320377,"Sandvikaveien 131, Kråkerøy",59.172142,10.908021
2320378,"Sandvikaveien 129, Kråkerøy",59.172396,10.907878
2320379,"Sandvikaveien 133, Kråkerøy",59.174276,10.905253
2320380,"Sandvikaveien 113, Kråkerøy",59.174834,10.906341
2320381,"Sandvikaveien 137, Kråkerøy",59.173905,10.904844
2320382,"Sandvikaveien 135, Kråkerøy",59.174869,10.903413
2320383,"Sandvikaveien 143, Kråkerøy",59.173475,10.905331
2320384,"Sandvikaveien 141, Kråkerøy",59.173328,10.904325
2320385,"Sandvikaveien 145, Kråkerøy",59.173162,10.905261
2320386,"Sandvikaveien 151, Kråkerøy",59.172418,10.905149
2320387,"Sandvikaveien 149, Kråkerøy",59.172734,10.905639
2320388,"Sandvikaveien 155, Kråkerøy",59.171895,10.904665
2320389,"Sandvikaveien 153, Kråkerøy",59.172206,10.904298
2320390,"Sandvikaveien 159, Kråkerøy",59.171621,10.904982
2320391,"Sandvikaveien 157, Kråkerøy",59.171678,10.904146
2320496,"Sandvikaveien 95, Kråkerøy",59.176892,10.902484
2320513,"Sandvikaveien 27, Kråkerøy",59.178776,10.905241
2320514,"Sandvikaveien 25, Kråkerøy",59.178842,10.904404
2320516,"Sandvikaveien 63, Kråkerøy",59.178191,10.906573
2320517,"Sandvikaveien 61, Kråkerøy",59.178384,10.906234
2320519,"Sandvikaveien 29, Kråkerøy",59.17929,10.905742
2320521,"Sandvikaveien 53, Kråkerøy",59.178294,10.906911
2320523,"Sandvikaveien 51, Kråkerøy",59.178772,10.906728
2320525,"Sandvikaveien 57, Kråkerøy",59.17912,10.906275
2320527,"Sandvikaveien 59, Kråkerøy",59.179387,10.9065
2320530,"Sandvikaveien 43, Kråkerøy",59.179589,10.906791
2320532,"Sandvikaveien 47, Kråkerøy",59.179347,10.907338
2320533,"Sandvikaveien 45, Kråkerøy",59.179671,10.907898
2320535,"Sandvikaveien 41, Kråkerøy",59.17983,10.907059
2320536,"Sandvikaveien 33, Kråkerøy",59.180503,10.908172
2320537,"Sandvikaveien 35, Kråkerøy",59.180202,10.907875
2320542,"Sandvikaveien 93, Kråkerøy",59.17687,10.904137
2320544,"Sandvikaveien 81, Kråkerøy",59.177791,10.904416
2320545,"Sandvikaveien 79, Kråkerøy",59.177926,10.903776
2320546,"Sandvikaveien 91, Kråkerøy",59.176992,10.905001
2320547,"Sandvikaveien 85, Kråkerøy",59.177116,10.904518
2320548,"Sandvikaveien 89, Kråkerøy",59.177125,10.905744
2320549,"Sandvikaveien 87, Kråkerøy",59.17736,10.905057
2320550,"Sandvikaveien 73, Kråkerøy",59.17817,10.905557
2320551,"Sandvikaveien 77, Kråkerøy",59.178516,10.903984
2320552,"Sandvikaveien 65, Kråkerøy",59.177942,10.906402
2320553,"Sandvikaveien 69, Kråkerøy",59.178063,10.906093
2320770,"Sandvikaveien 31, Kråkerøy",59.180904,10.907774
2320777,"Poseholmen 4, Kråkerøy",59.169068,10.900633
2320779,"Strålsundveien 45, Kråkerøy",59.169542,10.908314
2320780,"Sandvikaveien 175, Kråkerøy",59.169633,10.905747
2320781,"Strålsundveien 37, Kråkerøy",59.167764,10.909457
2320782,"Strålsundveien 33, Kråkerøy",59.168694,10.910383
2320783,"Skogholmene 2, Kråkerøy",59.173633,10.897605
2320784,"Skogholmene 3, Kråkerøy",59.172482,10.897051
2320786,"Skogholmene 1, Kråkerøy",59.174055,10.898836
2320807,"Sandvikaveien 54, Kråkerøy",59.177301,10.907854
2320808,"Sandvikaveien 76, Kråkerøy",59.176878,10.9079
2320809,"Sandvikaveien 56, Kråkerøy",59.177181,10.908652
2320810,"Sandvikaveien 50, Kråkerøy",59.177596,10.908552
2320811,"Sandvikaveien 64, Kråkerøy",59.176347,10.908553
2320812,"Sandvikaveien 62, Kråkerøy",59.176655,10.908395
2320813,"Sandvikaveien 66, Kråkerøy",59.17617,10.909015
2320814,"Sandvikaveien 68, Kråkerøy",59.175885,10.908807
2320815,"Sandvikaveien 52, Kråkerøy",59.17755,10.90925
2320816,"Sandvikaveien 58, Kråkerøy",59.177054,10.90938
2320817,"Sandvikaveien 67, Kråkerøy",59.177506,10.906115
2320818,"Sandvikaveien 71, Kråkerøy",59.177886,10.905401
2321085,"Sandvikaveien 117, Kråkerøy",59.174749,10.907256
2321092,"Sandvikaveien 72, Kråkerøy",59.177274,10.907187
2323087,"Futerødveien 25, Kråkerøy",59.169362,10.948248
2323261,"Holmelia 1A, Kråkerøy",59.168331,10.932478
2323278,"Holmelia 1D, Kråkerøy",59.168292,10.93251
2323279,"Holmelia 1C, Kråkerøy",59.168342,10.932393
2323280,"Holmelia 3A, Kråkerøy",59.168548,10.932739
2323345,"Holmelia 1B, Kråkerøy",59.168312,10.932564
2323383,"Kråkerøyveien 191, Kråkerøy",59.173912,10.932285
2323388,"Kråkerøyveien 158, Kråkerøy",59.180127,10.928708
2323406,"Kråkerøyveien 195, Kråkerøy",59.171892,10.932259
2323407,"Kråkerøyveien 193, Kråkerøy",59.172856,10.932068
2323602,"Holmelia 3B, Kråkerøy",59.1685,10.932832
2323603,"Holmelia 3D, Kråkerøy",59.16845,10.932772
2323604,"Holmelia 3C, Kråkerøy",59.168498,10.932686
2323660,"Buskogen 45, Kråkerøy",59.17679,10.933305
2324124,"Strålsundveien 24B, Kråkerøy",59.171754,10.930488
2324127,"Strålsundveien 24A, Kråkerøy",59.171611,10.931274
2324305,"Sandvikaveien 75, Kråkerøy",59.178437,10.905064
2324928,"Alshusveien 4C, Kråkerøy",59.17277,10.946202
2325447,"Sandvikaveien 55, Kråkerøy",59.178587,10.905913
2325534,"Sandvikaveien 23, Kråkerøy",59.179318,10.905078
2325559,"Holme 17, Kråkerøy",59.176408,10.945932
2325560,"Holme 15, Kråkerøy",59.176437,10.945748
2326482,"Sandvikaveien 78, Kråkerøy",59.176618,10.907816
2327324,"Wennersberg 1, Kråkerøy",59.167468,10.939147
2327327,"Wennersberg 3, Kråkerøy",59.167071,10.937734
2328137,"Futerødveien 26, Kråkerøy",59.167319,10.950948
2328138,"Futerødveien 28, Kråkerøy",59.167472,10.95031
2328139,"Futerødveien 22, Kråkerøy",59.168647,10.950447
2328140,"Futerødveien 24, Kråkerøy",59.167816,10.950749
2328142,"Futerødveien 30, Kråkerøy",59.167739,10.949853
2328143,"Futerødveien 20, Kråkerøy",59.169195,10.952175
2328151,"Futerødveien 58, Kråkerøy",59.165584,10.949223
