,Navn,Long,Lat
98206,"Benveien 1A, Sarpsborg",59.272789,11.087392
98209,"Benveien 1C, Sarpsborg",59.272833,11.087992
98211,"Benveien 1B, Sarpsborg",59.272829,11.087693
98276,"Benveien 3, Sarpsborg",59.27259,11.088047
98356,"Apenesbakken 8, Sarpsborg",59.27266,11.090947
98358,"Apenesbakken 6, Sarpsborg",59.272847,11.091064
98362,"Apenesbakken 10, Sarpsborg",59.272512,11.09064
98386,"Apenesbakken 3A, Sarpsborg",59.273408,11.091344
98388,"Apenesbakken 2, Sarpsborg",59.273117,11.091624
98390,"Apenesbakken 5, Sarpsborg",59.273121,11.0908
98392,"Apenesbakken 4, Sarpsborg",59.273041,11.091286
98395,"Apenesbakken 1, Sarpsborg",59.273368,11.091605
98750,"Ekegata 6, Sarpsborg",59.270749,11.086216
98751,"Ekegata 5, Sarpsborg",59.27093,11.087366
98752,"Ekegata 8, Sarpsborg",59.270739,11.085845
98753,"Ekegata 7, Sarpsborg",59.271001,11.086862
98754,"Einar Grimms vei 5B, Sarpsborg",59.282964,11.093738
98755,"Einar Grimms vei 5A, Sarpsborg",59.283017,11.093777
98756,"Ekegata 4, Sarpsborg",59.270733,11.086775
98757,"Ekegata 2, Sarpsborg",59.270672,11.087193
98758,"Ekegata 13, Sarpsborg",59.271,11.086353
98759,"Ekegata 17, Sarpsborg",59.271024,11.085424
98760,"Ekegata 15, Sarpsborg",59.27099,11.085861
98761,"Ekegata 9B, Sarpsborg",59.271179,11.086943
98762,"Ekegata 9, Sarpsborg",59.271174,11.086697
98763,"Ekegata 11, Sarpsborg",59.271183,11.086153
98772,"Einar Grimms vei 1B, Sarpsborg",59.283502,11.093824
98773,"Einar Grimms vei 1A, Sarpsborg",59.283584,11.093724
98774,"Einar Grimms vei 3B, Sarpsborg",59.283214,11.093842
98775,"Einar Grimms vei 3A, Sarpsborg",59.283277,11.093828
98940,"C. E. Holters vei 10, Sarpsborg",59.27137,11.086796
98941,"C. E. Holters vei 9E, Sarpsborg",59.27194,11.086586
98942,"C. E. Holters vei 13, Sarpsborg",59.271462,11.08503
98943,"C. E. Holters vei 11, Sarpsborg",59.27164,11.085672
98944,"C. E. Holters vei 9B, Sarpsborg",59.272194,11.085882
98945,"C. E. Holters vei 9A, Sarpsborg",59.272153,11.085598
98946,"C. E. Holters vei 9D, Sarpsborg",59.272148,11.086493
98947,"C. E. Holters vei 9C, Sarpsborg",59.272206,11.086198
98952,"C. E. Holters vei 15, Sarpsborg",59.271161,11.084713
98953,"C. E. Holters vei 14, Sarpsborg",59.271207,11.085769
98956,"C. E. Holters vei 4, Sarpsborg",59.271476,11.08747
98957,"C. E. Holters vei 3D, Sarpsborg",59.272665,11.088947
98958,"C. E. Holters vei 6, Sarpsborg",59.271201,11.087839
98959,"C. E. Holters vei 5, Sarpsborg",59.272652,11.088665
98960,"C. E. Holters vei 3A, Sarpsborg",59.272716,11.08916
98961,"C. E. Holters vei 2, Sarpsborg",59.271664,11.086972
98962,"C. E. Holters vei 3C, Sarpsborg",59.272692,11.088948
98963,"C. E. Holters vei 3B, Sarpsborg",59.272689,11.089159
98964,"C. E. Holters vei 7F, Sarpsborg",59.272056,11.087172
98965,"C. E. Holters vei 7E, Sarpsborg",59.272275,11.087519
98966,"C. E. Holters vei 8, Sarpsborg",59.2712,11.08733
98967,"C. E. Holters vei 7G, Sarpsborg",59.272014,11.087011
98968,"C. E. Holters vei 7B, Sarpsborg",59.27252,11.086814
98969,"C. E. Holters vei 7A, Sarpsborg",59.27248,11.086531
98970,"C. E. Holters vei 7D, Sarpsborg",59.272474,11.087443
98971,"C. E. Holters vei 7C, Sarpsborg",59.272533,11.087131
98972,"Doktor Johnsens gate 10, Sarpsborg",59.273811,11.088069
98973,"Doktor Johnsens gate 6, Sarpsborg",59.274324,11.088013
98975,"Doktor Johnsens gate 12, Sarpsborg",59.27362,11.088233
98978,"Doktor Johnsens gate 4, Sarpsborg",59.274463,11.088864
99103,"Buvikveien 9A, Sarpsborg",59.270359,11.084909
99104,"Buvikveien 8, Sarpsborg",59.270018,11.086012
99105,"Buvikveien 9C, Sarpsborg",59.27048,11.084636
99106,"Buvikveien 9B, Sarpsborg",59.270423,11.084791
99107,"Buvikveien 7A, Sarpsborg",59.270366,11.085559
99108,"Buvikveien 6, Sarpsborg",59.270019,11.086468
99109,"Buvikveien 7C, Sarpsborg",59.270478,11.085285
99110,"Buvikveien 7B, Sarpsborg",59.270422,11.085422
99111,"C. E. Holters vei 1B, Sarpsborg",59.27279,11.089569
99112,"C. E. Holters vei 1A, Sarpsborg",59.272817,11.08957
99113,"C. E. Holters vei 1D, Sarpsborg",59.272739,11.08939
99114,"C. E. Holters vei 1C, Sarpsborg",59.272766,11.089392
99115,"Buvikveien 12, Sarpsborg",59.270033,11.085065
99116,"Buvikveien 10, Sarpsborg",59.270025,11.085538
99117,"Buvikveien 16, Sarpsborg",59.270021,11.084099
99118,"Buvikveien 14, Sarpsborg",59.270031,11.084591
99121,"Buvikveien 1, Sarpsborg",59.270379,11.087578
99127,"Buvikveien 5A, Sarpsborg",59.270356,11.086225
99128,"Buvikveien 4, Sarpsborg",59.27002,11.08696
99129,"Buvikveien 5C, Sarpsborg",59.270477,11.085952
99130,"Buvikveien 5B, Sarpsborg",59.27042,11.086107
99131,"Buvikveien 3A, Sarpsborg",59.270354,11.086892
99132,"Buvikveien 2, Sarpsborg",59.270022,11.087433
99133,"Buvikveien 3C, Sarpsborg",59.270466,11.086636
99134,"Buvikveien 3B, Sarpsborg",59.270419,11.086773
99135,"Industriveien 32B, Sarpsborg",59.278459,11.094041
99136,"Industriveien 32A, Sarpsborg",59.278243,11.094028
99137,"Industriveien 36, Sarpsborg",59.277875,11.094023
99138,"Industriveien 34, Sarpsborg",59.278064,11.094017
99139,"Industriveien 30, Sarpsborg",59.278827,11.094011
99155,"Industriveien 48, Sarpsborg",59.276837,11.093222
99156,"Industriveien 46, Sarpsborg",59.276985,11.093494
99159,"Industriveien 40, Sarpsborg",59.277517,11.093966
99160,"Industriveien 38, Sarpsborg",59.277695,11.094012
99161,"Industriveien 44, Sarpsborg",59.277144,11.093662
99162,"Industriveien 42, Sarpsborg",59.277312,11.093848
99217,"Industriveien 17, Sarpsborg",59.279969,11.093432
99218,"Industriveien 16, Sarpsborg",59.280076,11.094035
99219,"Industriveien 18, Sarpsborg",59.279896,11.094024
99220,"Industriveien 13, Sarpsborg",59.281218,11.093385
99222,"Industriveien 12, Sarpsborg",59.280499,11.093991
99223,"Industriveien 15, Sarpsborg",59.280305,11.09335
99224,"Industriveien 14, Sarpsborg",59.280283,11.094013
99225,"Industriveien 26, Sarpsborg",59.279187,11.094015
99226,"Industriveien 24, Sarpsborg",59.279366,11.094026
99227,"Industriveien 28, Sarpsborg",59.279007,11.09404
99228,"Industriveien 27, Sarpsborg",59.277334,11.093024
99229,"Industriveien 21, Sarpsborg",59.279217,11.093245
99230,"Industriveien 20, Sarpsborg",59.279716,11.09403
