,Navn,Long,Lat
1308860,"Aspedamveien 49, Idd",59.054511,11.479258
1309068,"Nybøleveien 3, Idd",59.076284,11.590924
1309119,"Ørsveien 195, Idd",59.057615,11.510847
1309130,"Bøklevene 229, Idd",59.077985,11.463094
1309131,"Bøklevene 216, Idd",59.081677,11.466153
1309133,"Bøklevene 218, Idd",59.081802,11.467194
1309134,"Bøklevene 236, Idd",59.077171,11.464557
1309136,"Bøklevene 324, Idd",59.071482,11.472349
1309137,"Bøklevene 224, Idd",59.078889,11.464455
1309138,"Bøklevene 225, Idd",59.078479,11.461647
1309141,"Bøklevene 328, Idd",59.071837,11.470315
1309142,"Bøklevene 228, Idd",59.077721,11.465251
1309144,"Bøklevene 220, Idd",59.082374,11.467811
1309149,"Gamleveien nord 19, Idd",59.063373,11.479037
1309150,"Aspedamveien 13, Idd",59.059012,11.48006
1309151,"Aspedamveien 66, Idd",59.055234,11.482762
1309152,"Aspedamveien 31, Idd",59.05779,11.479721
1309153,"Aspedamveien 11, Idd",59.059432,11.480244
1309154,"Gamleveien nord 16, Idd",59.06282,11.478884
1309155,"Gamleveien nord 14, Idd",59.062492,11.479218
1309157,"Bøklevene 335, Idd",59.072129,11.460372
1309158,"Gamleveien nord 6, Idd",59.061277,11.480656
1309159,"Ørsveien 109, Idd",59.057808,11.499307
1309160,"Gamleveien nord 22, Idd",59.064057,11.477234
1309176,"Gamleveien nord 34, Idd",59.065703,11.4775
1309177,"Bøklevene 318, Idd",59.070837,11.470699
1309178,"Gamleveien nord 29, Idd",59.06538,11.477948
1309180,"Bøklevene 326, Idd",59.071654,11.471175
1309181,"Ørsveien 140, Idd",59.061,11.503433
1309184,"Bøklevene 212, Idd",59.079299,11.465604
1309186,"Ørsveien 146, Idd",59.060252,11.505419
1309188,"Gamleveien nord 26, Idd",59.064567,11.477433
1309189,"Bøklevene 340, Idd",59.069258,11.471528
1309190,"Bøklevene 307, Idd",59.071346,11.468973
1309191,"Bøklevene 316, Idd",59.071123,11.470301
1309202,"Aspedamveien 2, Idd",59.060301,11.480867
1309242,"Bøklevene 337, Idd",59.069888,11.470067
1309243,"Aspedamveien 46, Idd",59.056429,11.481366
1309244,"Aspedamveien 101, Idd",59.052981,11.486009
1309246,"Aspedamveien 4, Idd",59.059382,11.481605
1309247,"Aspedamveien 1, Idd",59.060293,11.480404
1309248,"Bøklevene 331, Idd",59.069439,11.464792
1309249,"Aspedamveien 12, Idd",59.059296,11.480812
1309250,"Aspedamveien 92, Idd",59.055153,11.487399
1309259,"Aspedamveien 94, Idd",59.054968,11.488242
1309298,"Aspedamveien 133, Idd",59.050644,11.489382
1309304,"Holtegrenda 24, Idd",59.054528,11.45615
1309305,"Aspedamveien 155, Idd",59.049255,11.492138
1309377,"Aspedamveien 45, Idd",59.049267,11.480474
1309379,"Aspedamveien 136, Idd",59.050906,11.491049
1309392,"Buergatene 55, Enningdal",59.01426,11.500591
1309393,"Aspedamveien 585, Enningdal",59.016915,11.51765
1309394,"Buergatene 59, Enningdal",59.013544,11.498259
1309395,"Hisåsveien 11, Enningdal",59.022159,11.528514
1309396,"Buerskogen 6, Enningdal",59.008379,11.526414
1309397,"Aspedamveien 699, Enningdal",59.007615,11.522805
1309398,"Aspedamveien 727, Enningdal",59.00467,11.524976
1309399,"Buergatene 40, Enningdal",59.015038,11.503257
1309404,"Buergatene 29, Enningdal",59.016789,11.509766
1309405,"Hisåsveien 3, Enningdal",59.019804,11.517304
1309406,"Buergatene 31, Enningdal",59.016453,11.510456
1309407,"Buergatene 45, Enningdal",59.015433,11.500399
1309408,"Buergatene 33, Enningdal",59.016679,11.506125
1309409,"Buergatene 35, Enningdal",59.017716,11.508335
1309410,"Aspedamveien 523, Enningdal",59.022054,11.513978
1309411,"Hisåsveien 1, Enningdal",59.020699,11.516655
1309412,"Buergatene 27, Enningdal",59.016815,11.511702
1309413,"Buergatene 1, Enningdal",59.018014,11.517086
1309414,"Buergatene 36, Enningdal",59.015811,11.507179
1309415,"Buergatene 39, Enningdal",59.015737,11.502878
1309416,"Buerskogen 31, Enningdal",59.013379,11.542538
1309417,"Buergatene 32, Enningdal",59.015681,11.509361
1309418,"Buerskogen 14, Enningdal",59.009717,11.524196
1309419,"Buergatene 60, Enningdal",59.011774,11.500151
1309420,"Aspedamveien 617, Enningdal",59.01407,11.518418
1309421,"Buergatene 67, Enningdal",59.005405,11.491712
1309422,"Hisåsveien 4, Enningdal",59.022909,11.515717
1309423,"Buergatene 4, Enningdal",59.01834,11.516012
1309443,"Buergatene 75, Enningdal",59.001815,11.486803
1309452,"Buergatene 71, Enningdal",59.001943,11.488129
1309464,"Ørsveien 976, Idd",59.037749,11.575503
1309465,"Ørsveien 981, Idd",59.036967,11.577146
1309466,"Ørsveien 861, Idd",59.045891,11.582927
1309486,"Hisåsveien 2, Enningdal",59.021291,11.516245
1309487,"Buergatene 11, Enningdal",59.019337,11.515579
1309488,"Buergatene 37, Enningdal",59.016219,11.503249
1309489,"Buerskogen 2, Enningdal",59.006853,11.525031
1309490,"Hisåsveien 12, Enningdal",59.031118,11.53434
1309491,"Aspedamveien 341, Enningdal",59.03501,11.501908
1309492,"Buergatene 51, Enningdal",59.01975,11.491879
1309493,"Buergatene 3, Enningdal",59.018264,11.516989
1309494,"Stenersrød 2, Enningdal",59.005372,11.528162
1309495,"Aspedamveien 458, Enningdal",59.027694,11.513663
1309496,"Buerskogen 1, Enningdal",59.00674,11.525866
1309497,"Aspedamveien 462, Enningdal",59.027345,11.514002
1309498,"Buerskogen 5, Enningdal",59.006907,11.527595
1309499,"Aspedamveien 717, Enningdal",59.005885,11.524262
1309500,"Aspedamveien 713, Enningdal",59.00586,11.522973
1309501,"Aspedamveien 701, Enningdal",59.007344,11.522855
1309502,"Ørsveien 778, Idd",59.052815,11.584476
1309503,"Ørsveien 769, Idd",59.05381,11.5842
1309504,"Hafsrødveien 8, Idd",59.080676,11.575017
1309505,"Ånerødveien 3, Idd",59.061742,11.56287
1309506,"Ørsveien 694, Idd",59.060496,11.581355
1309507,"Ørsveien 674, Idd",59.061012,11.580094
1309508,"Ørsveien 698, Idd",59.059913,11.58173
1309509,"Ørsveien 700, Idd",59.059978,11.583881
1309510,"Ørsveien 637, Idd",59.060141,11.574351
1309511,"Ånerødveien 6, Idd",59.055732,11.565228
1309512,"Ånerødveien 12, Idd",59.055342,11.56309
1309513,"Holvannsveien 38, Idd",59.063842,11.525081
1309514,"Ørsveien 487, Idd",59.065037,11.553258
1309515,"Ørsveien 592, Idd",59.066376,11.570299
1309516,"Ørsveien 611, Idd",59.064488,11.572164
1309517,"Nordgård, Ørsveien 607, Idd",59.064677,11.5708
1309531,"Aspedamveien 839, Enningdal",58.995423,11.529328
1309558,"Vestbakke, Aspedamveien 833, Enningdal",58.994566,11.528484
1313289,"Hafsrødveien 7, Idd",59.080624,11.575833
1313290,"Nordgård, Ørsveien 605, Idd",59.065122,11.570919
1313291,"Ørsveien 864, Idd",59.045074,11.583335
1313292,"Hafsrødveien 15, Idd",59.09496,11.587075
1313293,"Hafsrødveien 5, Idd",59.079875,11.57733
1313294,"Ørsveien 202, Idd",59.059125,11.513394
1313295,"Hisåsveien 14, Enningdal",59.033071,11.536001
1313296,"Hisåsveien 13, Enningdal",59.031173,11.534763
1316891,"Ørsveien 199, Idd",59.054278,11.506604
1316899,"Hisåsveien 9, Enningdal",59.018319,11.518484
1316919,"Skansen 4, Enningdal",58.995544,11.527163
1316920,"Skansen 3, Enningdal",58.995759,11.527649
1316921,"Skansen 2, Enningdal",58.996016,11.527824
1316937,"Bøklevene 342, Idd",59.06897,11.472013
1316993,"Skansen 7, Enningdal",58.996208,11.526776
1316994,"Skansen 6, Enningdal",58.995826,11.526999
1316995,"Skansen 5, Enningdal",58.995667,11.526371
1317028,"Ørsveien 42, Idd",59.058273,11.487883
1317035,"Buergatene 49, Enningdal",59.02106,11.490641
1317285,"Nybøleveien 7, Idd",59.07916,11.596494
1317286,"Hafsrødveien 18, Idd",59.097174,11.595638
1317785,"Buerskogen 56, Enningdal",59.012592,11.530629
1317802,"Aspedamveien 35, Idd",59.057326,11.479583
1317803,"Aspedamveien 20, Idd",59.0586,11.480915
1317804,"Bøklevene 333, Idd",59.071852,11.461079
1317808,"Aspedamveien 6, Idd",59.058979,11.482877
1317813,"Ørsveien 442, Idd",59.070528,11.547942
1317814,"Bøklevene 325, Idd",59.070332,11.467522
1317815,"Ørsveien 114, Idd",59.05872,11.499257
1317816,"Gamleveien sør 8, Idd",59.060892,11.48476
1317817,"Aspedamveien 16, Idd",59.058965,11.481236
1317848,"Bøklevene 330, Idd",59.072269,11.470069
1317849,"Bøklevene 320, Idd",59.071231,11.471739
1317850,"Ørsveien 121, Idd",59.058657,11.500958
1317851,"Gamleveien nord 2, Idd",59.060588,11.481484
1317852,"Ørsveien 64, Idd",59.06093,11.49297
1317853,"Bøklevene 214, Idd",59.081281,11.465795
1317854,"Gullundmosen, Holvannsveien 37, Idd",59.070342,11.516537
1317855,"Holvannsveien 35, Idd",59.078156,11.519919
1317857,"Ørsveien 142, Idd",59.059517,11.502993
1317858,"Gamleveien nord 28, Idd",59.064952,11.476537
1317859,"Ørsveien 124, Idd",59.059083,11.500816
1317903,"Aspedamveien 168, Idd",59.050063,11.494284
1317918,"Aspedamveien 75, Idd",59.054184,11.483176
1317922,"Aspedamveien 37, Idd",59.056807,11.476162
1317923,"Aspedamveien 73, Idd",59.053959,11.482672
1317924,"Stenersrød 36, Enningdal",59.005701,11.533739
1317925,"Aspedamveien 817, Enningdal",58.998655,11.520147
1317926,"Stenersrød 38, Enningdal",59.004325,11.539984
