,Navn,Long,Lat
1301366,"Ilaveien 11, Asak",59.132551,11.450847
1308849,"Heiderødveien 8, Asak",59.1403,11.432885
1308850,"Heiderød, Heiderødveien 10, Asak",59.140727,11.431674
1308857,"Olav Torgersens vei 5, Asak",59.143382,11.437489
1308859,"Vedenveien 2, Tistedal",59.135319,11.439314
1309936,"Bekkevoldveien 3, Asak",59.134356,11.449892
1309937,"Bekkevoldveien 1, Asak",59.13423,11.449463
1309948,"Bekkevoldveien 16, Asak",59.134965,11.453816
1309949,"Bekkevoldveien 14, Asak",59.134806,11.453228
1309950,"Bekkevoldveien 12, Asak",59.134566,11.452616
1309951,"Bekkevoldveien 10, Asak",59.134407,11.451958
1309953,"Bekkevoldveien 19, Asak",59.134998,11.45256
1309954,"Bekkevoldveien 18, Asak",59.135064,11.454278
1309956,"Bekkevoldveien 17, Asak",59.134784,11.452003
1309957,"Bekkevoldveien 5, Asak",59.134509,11.450375
1309958,"Bekkevoldveien 4C, Asak",59.134212,11.450423
1309959,"Bekkevoldveien 4B, Asak",59.133825,11.450431
1309960,"Bekkevoldveien 4, Asak",59.13398,11.450302
1309961,"Bekkevoldveien 8, Asak",59.134274,11.451424
1309962,"Bekkevoldveien 7, Asak",59.134794,11.450535
1309963,"Bekkevoldveien 6B, Asak",59.134079,11.451271
1309964,"Bekkevoldveien 6A, Asak",59.134114,11.450853
1310159,"Bjørkeboveien 6, Asak",59.137138,11.436737
1310160,"Bjørkeboveien 5, Asak",59.136948,11.435846
1310161,"Bjørkeboveien 4, Asak",59.136891,11.436489
1310162,"Bjørkeboveien 3, Asak",59.13672,11.43555
1310164,"Bjørkeboveien 9, Asak",59.137502,11.436445
1310165,"Bjørkeboveien 8, Asak",59.13731,11.436989
1310166,"Bjørkeboveien 7, Asak",59.137168,11.436054
1310171,"Bjørkeboveien 2, Asak",59.136706,11.436261
1310172,"Bjørkeboveien 1, Asak",59.136535,11.435362
1310754,"Damveien 10, Tistedal",59.133056,11.431636
1310755,"Damveien 9, Tistedal",59.132692,11.430876
1310756,"Damveien 8, Tistedal",59.133317,11.431603
1310757,"Damveien 7, Tistedal",59.133195,11.43093
1310760,"Damveien 14, Tistedal",59.132594,11.431831
1310761,"Damveien 11, Tistedal",59.132237,11.431211
1310762,"Damveien 2, Tistedal",59.133994,11.431441
1310763,"Damveien 1, Tistedal",59.133925,11.430807
1310766,"Damveien 6, Tistedal",59.13356,11.431567
1310767,"Damveien 5, Tistedal",59.133429,11.430894
1310768,"Damveien 4, Tistedal",59.133777,11.431478
1310769,"Damveien 3, Tistedal",59.133699,11.430878
1311023,"Engveien 3, Tistedal",59.134403,11.433592
1311024,"Engveien 2, Tistedal",59.13423,11.433831
1311025,"Engveien 1, Tistedal",59.134167,11.433313
1311027,"Engveien 7, Tistedal",59.134913,11.434027
1311028,"Engveien 6, Tistedal",59.13462,11.434252
1311029,"Engveien 5, Tistedal",59.13465,11.433788
1311030,"Engveien 4, Tistedal",59.134421,11.434037
1311039,"Engveien 22, Tistedal",59.135652,11.435929
1311040,"Engveien 20, Tistedal",59.135378,11.435735
1311041,"Engveien 18, Tistedal",59.135465,11.435391
1311042,"Engveien 16, Tistedal",59.135272,11.435133
1311046,"Engveien 24, Tistedal",59.135748,11.435621
1311047,"Engveien 13, Tistedal",59.135768,11.435011
1311048,"Engveien 11, Tistedal",59.135566,11.434786
1311049,"Engveien 9, Tistedal",59.135293,11.43447
1311050,"Engveien 8, Tistedal",59.134822,11.434477
1311148,"Femsjøveien 13, Asak",59.134675,11.453935
1311149,"Femsjøveien 11, Asak",59.134515,11.453365
1311150,"Femsjøveien 9, Asak",59.134294,11.452702
1311151,"Femsjøveien 5, Asak",59.133957,11.451559
1311160,"Femsjøveien 3, Asak",59.133856,11.451202
1311161,"Femsjøveien 1, Asak",59.133661,11.450576
1311856,"Heiderødveien 5, Asak",59.137878,11.43558
1311857,"Heimveien 4, Asak",59.136128,11.435473
1311858,"Heimveien 3, Asak",59.13647,11.435849
1311859,"Heimveien 2, Asak",59.136107,11.435877
1311860,"Heimveien 1, Asak",59.136359,11.436259
1311865,"Heiderødveien 3, Asak",59.137572,11.436083
1311866,"Heiderødveien 2A, Asak",59.138083,11.436644
1311867,"Heiderødveien 2, Asak",59.138117,11.436279
1311868,"Heiderødveien 1, Asak",59.137097,11.437483
1311869,"Heimveien 6, Asak",59.136184,11.434918
1311870,"Heimveien 5, Asak",59.136679,11.434831
1312068,"Grimsrødhøgda 125, Tistedal",59.135672,11.436822
1312076,"Grimsrødhøgda 88, Tistedal",59.134624,11.435055
1312077,"Grimsrødhøgda 109, Tistedal",59.132866,11.429746
1312078,"Grimsrødhøgda 107, Tistedal",59.132828,11.428439
1312080,"Grimsrødhøgda 94, Asak",59.136121,11.437273
1312100,"Grimsrødhøgda 70, Tistedal",59.134087,11.429804
1312113,"Grimsrødhøgda 82, Tistedal",59.134365,11.430824
1312115,"Grimsrødhøgda 80, Tistedal",59.134346,11.430399
1312117,"Grimsrødhøgda 86, Tistedal",59.134492,11.431668
1312119,"Grimsrødhøgda 84, Tistedal",59.134878,11.431696
1312121,"Grimsrødhøgda 74, Tistedal",59.134627,11.429738
1312123,"Grimsrødhøgda 72, Tistedal",59.134285,11.429801
1312125,"Grimsrødhøgda 78, Tistedal",59.134856,11.430943
1312127,"Grimsrødhøgda 76, Tistedal",59.134752,11.430306
1312208,"Hageveien 7, Asak",59.137689,11.441826
1312209,"Hageveien 6B, Asak",59.138036,11.442971
