,Navn,Long,Lat
330149,"Langnesveien 111, Askim",59.595748,11.130378
330175,"Langnesveien 73, Askim",59.590628,11.133528
330328,"Frydenlundveien 5, Askim",59.585195,11.133844
330329,"Frydenlundveien 11, Askim",59.585389,11.130968
330330,"Frydenlundveien 9, Askim",59.585331,11.13155
330331,"Glimmerveien 10, Askim",59.586114,11.132131
330332,"Frydenlundveien 7, Askim",59.585234,11.132047
330333,"Revaugveien 97, Askim",59.564357,11.151199
330334,"Revaugveien 31, Askim",59.562694,11.159483
330335,"Revaugveien 29, Askim",59.562529,11.15965
330336,"Frydenlundveien 13, Askim",59.585417,11.130755
330337,"Engerveien 106, Askim",59.556168,11.1495
330338,"Engerveien 87, Askim",59.55813,11.15331
330339,"Engerveien 84, Askim",59.557386,11.151763
330340,"Engerveien 82, Askim",59.557693,11.151676
330341,"Engerveien 160, Askim",59.551451,11.159183
330342,"Engerveien 138, Askim",59.553675,11.154881
330343,"Engerveien 127, Askim",59.554807,11.156276
330344,"Engerveien 120, Askim",59.556047,11.154341
330353,"Revaugveien 125, Askim",59.562151,11.149235
330354,"Revaugveien 123, Askim",59.562316,11.149541
330355,"Revaugveien 121, Askim",59.562586,11.148197
330356,"Revaugveien 119, Askim",59.563911,11.144977
330357,"Revaugveien 136, Askim",59.565739,11.142434
330358,"Revaugveien 132, Askim",59.566369,11.143591
330359,"Revaugveien 130, Askim",59.567135,11.145911
330360,"Revaugveien 126, Askim",59.56536,11.145793
330361,"Engerveien 38, Askim",59.56177,11.151193
330362,"Revaugveien 183, Askim",59.560861,11.141984
330363,"Revaugveien 144, Askim",59.564732,11.143115
330364,"Revaugveien 141, Askim",59.564624,11.144052
330365,"Engerveien 81, Askim",59.558735,11.152419
330366,"Engerveien 72, Askim",59.558814,11.151488
330367,"Engerveien 70, Askim",59.558836,11.151146
330368,"Engerveien 41, Askim",59.561171,11.153729
330427,"Romsveien 6, Askim",59.586304,11.123274
330428,"Romsveien 2, Askim",59.586654,11.122527
330429,"Kjellåsveien 90, Askim",59.602711,11.109929
330430,"Kjellåsveien 80, Askim",59.602729,11.112943
330431,"Romsveien 30, Askim",59.586485,11.126254
330432,"Romsveien 29, Askim",59.586825,11.126602
330433,"Romsveien 28, Askim",59.586434,11.125525
330434,"Romsveien 10, Askim",59.586366,11.124227
330435,"Frydenlundveien 2, Askim",59.586486,11.133411
330436,"Romsveien 36, Askim",59.586381,11.127169
330437,"Romsveien 34, Askim",59.586558,11.12679
330438,"Romsveien 31, Askim",59.586761,11.127016
330439,"Frydenlundveien 4, Askim",59.586174,11.133231
330440,"Kjellåsveien 5, Askim",59.59659,11.107455
330441,"Kjellåsveien 2, Askim",59.596442,11.10826
330442,"Kjellåsveien 1, Askim",59.596247,11.107504
330443,"Løkkekroken 125, Askim",59.596704,11.099626
330444,"Kjellåsveien 13, Askim",59.597468,11.106996
330445,"Kjellåsveien 11, Askim",59.597199,11.106959
330446,"Kjellåsveien 9, Askim",59.596914,11.107386
330447,"Kjellåsveien 7, Askim",59.596666,11.107176
330448,"Kjellåsveien 27, Askim",59.597197,11.105536
330449,"Kjellåsveien 25, Askim",59.597017,11.10577
330450,"Kjellåsveien 17, Askim",59.597126,11.106478
330451,"Kjellåsveien 15, Askim",59.597404,11.106393
330452,"Kjellåsveien 50, Askim",59.599859,11.109873
330453,"Kjellåsveien 45, Askim",59.59872,11.104567
330454,"Kjellåsveien 33, Askim",59.59774,11.105152
330455,"Kjellåsveien 29, Askim",59.597367,11.105246
330456,"Vammeliveien 60, Askim",59.547046,11.15289
330457,"Vammeliveien 58, Askim",59.546866,11.154047
330458,"Vammeliveien 55, Askim",59.546313,11.153764
330459,"Vammeliveien 47, Askim",59.545399,11.155763
330460,"Glomvikveien 61, Askim",59.581517,11.114189
330461,"Glomvikveien 51, Askim",59.580465,11.112813
330462,"Vammeliveien 90, Askim",59.549101,11.147573
330463,"Vammeliveien 70, Askim",59.547293,11.149166
330464,"Glomvikveien 89, Askim",59.580039,11.11193
330465,"Glomvikveien 85, Askim",59.579996,11.112263
330466,"Glomvikveien 79, Askim",59.579804,11.113343
330467,"Glomvikveien 63, Askim",59.581323,11.114335
330468,"Glomvikveien 131, Askim",59.574777,11.111526
330469,"Glomvikveien 111, Askim",59.578026,11.114457
330470,"Glomvikveien 110, Askim",59.577993,11.112578
330471,"Glomvikveien 91, Askim",59.580393,11.111946
330472,"Svenskebyveien 69, Askim",59.550285,11.181742
330473,"Svenskebyveien 64, Askim",59.549648,11.180766
330474,"Svenskebyveien 60, Askim",59.548887,11.182239
330475,"Svenskebyveien 59, Askim",59.551418,11.181461
