,Navn,Long,Lat
382501,"Gaupefaret 31, Hobøl",59.627522,11.028007
382502,"Gaupefaret 30, Hobøl",59.627996,11.029295
382503,"Gaupefaret 29, Hobøl",59.627239,11.027742
382504,"Gaupefaret 28, Hobøl",59.627913,11.029528
382505,"Gaupefaret 27, Hobøl",59.627032,11.027747
382506,"Gaupefaret 26, Hobøl",59.627701,11.029791
382507,"Gaupefaret 25, Hobøl",59.62692,11.028627
382508,"Gaupefaret 24, Hobøl",59.627467,11.029813
382509,"Gaupefaret 22, Hobøl",59.62733,11.029964
382510,"Gaupefaret 21, Hobøl",59.626927,11.029301
382511,"Gaupefaret 20, Hobøl",59.627112,11.030128
382512,"Gaupefaret 19, Hobøl",59.626627,11.029567
382513,"Gaupefaret 18, Hobøl",59.62694,11.030224
382514,"Gaupefaret 17, Hobøl",59.626385,11.029517
382515,"Gaupefaret 15, Hobøl",59.626187,11.029558
382516,"Gaupefaret 13, Hobøl",59.625979,11.029599
382524,"Gaupefaret 43, Hobøl",59.62829,11.027752
382525,"Gaupefaret 41, Hobøl",59.627888,11.028136
382526,"Gaupefaret 40, Hobøl",59.628701,11.027865
382527,"Gaupefaret 38, Hobøl",59.628633,11.028216
382528,"Gaupefaret 36, Hobøl",59.628466,11.028525
382529,"Gaupefaret 35, Hobøl",59.627489,11.028963
382530,"Gaupefaret 34, Hobøl",59.628346,11.028766
382531,"Gaupefaret 33, Hobøl",59.627514,11.028521
382532,"Gaupefaret 32, Hobøl",59.628206,11.029112
382533,"Jervefaret 2, Hobøl",59.625998,11.027827
382534,"Jervefaret 1, Hobøl",59.62616,11.027233
382535,"Revestien 27, Hobøl",59.62484,11.027774
382536,"Revestien 25, Hobøl",59.625055,11.027805
382538,"Revestien 23, Hobøl",59.625028,11.028371
382539,"Revestien 21, Hobøl",59.625285,11.028617
382540,"Revestien 19, Hobøl",59.625358,11.027983
382541,"Revestien 17, Hobøl",59.625543,11.028189
382542,"Revestien 15, Hobøl",59.62551,11.028613
382543,"Revestien 13, Hobøl",59.625768,11.028753
382544,"Revestien 12, Hobøl",59.624931,11.027141
382545,"Revestien 11, Hobøl",59.626026,11.02891
382546,"Revestien 10, Hobøl",59.625208,11.027229
382547,"Revestien 9, Hobøl",59.626461,11.028688
382548,"Revestien 8, Hobøl",59.62543,11.027349
382549,"Revestien 7, Hobøl",59.626133,11.028384
382550,"Gaupefaret 11, Hobøl",59.625781,11.029622
382551,"Gaupefaret 9, Hobøl",59.62561,11.029683
382552,"Gaupefaret 7, Hobøl",59.625373,11.029899
382553,"Bjørneveien 112, Hobøl",59.623876,11.027397
382554,"Bjørneveien 110, Hobøl",59.623624,11.027417
382555,"Bjørneveien 108, Hobøl",59.623393,11.027226
382556,"Bjørneveien 106, Hobøl",59.623135,11.027086
382557,"Bjørneveien 104, Hobøl",59.62293,11.026968
382558,"Bjørneveien 102, Hobøl",59.622154,11.026619
382559,"Jervefaret 9, Hobøl",59.626629,11.027652
382560,"Jervefaret 7, Hobøl",59.626818,11.027042
382561,"Jervefaret 6, Hobøl",59.626547,11.028356
382562,"Jervefaret 5, Hobøl",59.626544,11.02676
382563,"Jervefaret 4, Hobøl",59.62621,11.02807
382564,"Jervefaret 3, Hobøl",59.626381,11.027442
382565,"Revestien 6, Hobøl",59.625699,11.027418
382566,"Revestien 5, Hobøl",59.625947,11.028214
382567,"Revestien 4, Hobøl",59.625824,11.026841
382568,"Revestien 3, Hobøl",59.626266,11.026725
382569,"Revestien 2, Hobøl",59.626007,11.026089
382570,"Revestien 1, Hobøl",59.62639,11.02629
382571,"Harestien 9, Hobøl",59.625651,11.025873
382572,"Harestien 8, Hobøl",59.625636,11.026829
382573,"Harestien 7, Hobøl",59.625393,11.02568
382574,"Harestien 6, Hobøl",59.625333,11.026687
382575,"Harestien 5, Hobøl",59.625053,11.025606
382576,"Harestien 4, Hobøl",59.625065,11.026547
382577,"Harestien 3, Hobøl",59.624803,11.025502
382578,"Ekornveien 18B, Hobøl",59.623241,11.027784
382579,"Ekornveien 18A, Hobøl",59.623321,11.027807
382580,"Ekornveien 17, Hobøl",59.622797,11.028024
382581,"Ekornveien 16, Hobøl",59.623544,11.027962
382582,"Ekornveien 15, Hobøl",59.623009,11.028231
382583,"Ekornveien 14, Hobøl",59.623813,11.027961
382584,"Ekornveien 13, Hobøl",59.623249,11.028388
382585,"Ekornveien 12, Hobøl",59.624075,11.027852
382586,"Ekornveien 11, Hobøl",59.623589,11.028532
382587,"Ekornveien 10, Hobøl",59.624308,11.027884
382588,"Ekornveien 9, Hobøl",59.62384,11.02853
382589,"Ekornveien 8, Hobøl",59.62435,11.027514
382590,"Ekornveien 7, Hobøl",59.624146,11.028495
382591,"Ekornveien 6, Hobøl",59.624146,11.026757
382592,"Ekornveien 5, Hobøl",59.624398,11.028457
382593,"Ekornveien 4, Hobøl",59.624124,11.025869
382594,"Harestien 2, Hobøl",59.624754,11.026351
382595,"Harestien 1, Hobøl",59.624518,11.025379
382596,"Ekornveien 24, Hobøl",59.622697,11.026918
382597,"Ekornveien 23, Hobøl",59.62234,11.026808
382598,"Ekornveien 22, Hobøl",59.622897,11.027374
382599,"Ekornveien 21, Hobøl",59.62245,11.027258
382600,"Ekornveien 20B, Hobøl",59.623102,11.027457
382601,"Ekornveien 20A, Hobøl",59.623081,11.027651
382602,"Ekornveien 19, Hobøl",59.622623,11.027676
382603,"Tomterveien 15, Hobøl",59.62481,11.023304
382604,"Tomterveien 14, Hobøl",59.623706,11.024993
382605,"Tomterveien 13, Hobøl",59.624185,11.024224
382606,"Tomterveien 12, Hobøl",59.623448,11.024871
382607,"Tomterveien 10, Hobøl",59.623127,11.02471
382608,"Tomterveien 9, Hobøl",59.624081,11.022852
382609,"Tomterveien 7, Hobøl",59.624007,11.022369
382610,"Tomterveien 6B, Hobøl",59.622546,11.024498
382611,"Tomterveien 5, Hobøl",59.6237,11.023095
382612,"Tomterveien 4, Hobøl",59.622144,11.024349
382613,"Tomterveien 3, Hobøl",59.623758,11.023985
382614,"Tomterveien 2, Hobøl",59.621415,11.023897
382615,"Pinnsvinveien 20, Hobøl",59.623887,11.026671
382616,"Pinnsvinveien 19, Hobøl",59.623901,11.025785
382617,"Pinnsvinveien 18, Hobøl",59.623637,11.026585
382618,"Ekornveien 3, Hobøl",59.624661,11.028278
382619,"Ekornveien 2, Hobøl",59.624161,11.025198
382620,"Ekornveien 1, Hobøl",59.624478,11.02621
382621,"Østlibakken 3, Hobøl",59.623455,11.031929
382622,"Østlibakken 2, Hobøl",59.623816,11.031809
382623,"Østlibakken 1, Hobøl",59.623694,11.032741
382624,"Erleveien 4, Hobøl",59.623192,11.031488
382625,"Erleveien 3, Hobøl",59.622715,11.031601
382626,"Erleveien 2, Hobøl",59.623239,11.031969
382627,"Erleveien 1, Hobøl",59.622909,11.031843
382628,"Svaleveien 2, Hobøl",59.622418,11.0316
382629,"Svaleveien 1, Hobøl",59.622037,11.031294
