,Navn,Long,Lat
578634,"Garveriveien 3, Blaker",59.975683,11.360926
579273,"Haugergrenda 5, Blaker",60.00549,11.378371
580628,"Harkerudveien 8, Blaker",59.963342,11.379809
580629,"Harkerudveien 44, Blaker",59.96048,11.379586
580643,"Harkerudveien 10, Blaker",59.963223,11.379442
580644,"Harkerudveien 27, Blaker",59.96159,11.378806
580645,"Staurhaugveien 7, Blaker",60.001694,11.379889
580646,"Staurhaugveien 5, Blaker",60.001604,11.380686
580647,"Staurhaugveien 3, Blaker",60.001516,11.381565
580648,"Haugergrenda 13, Blaker",60.004427,11.378546
580649,"Haugergrenda 1, Blaker",60.00505,11.379344
580650,"Haugergrenda 8, Blaker",60.003488,11.379321
580651,"Haugergrenda 6, Blaker",60.003761,11.379308
580652,"Haugergrenda 4, Blaker",60.004203,11.379443
580653,"Haugergrenda 19, Blaker",60.003415,11.378383
580654,"Staurhaugveien 6, Blaker",60.001355,11.380496
580655,"Staurhaugveien 2, Blaker",60.001104,11.381984
580677,"Staurhaugveien 8, Blaker",60.001382,11.379995
580678,"Haugergrenda 17, Blaker",60.00364,11.378364
580679,"Haugergrenda 9, Blaker",60.004879,11.378399
580680,"Haugergrenda 7, Blaker",60.005209,11.37853
580681,"Staurhaugveien 13, Blaker",60.001888,11.378363
580682,"Staurhaugveien 11, Blaker",60.001836,11.378754
580683,"Staurhaugveien 9, Blaker",60.001752,11.37943
580820,"Kauserudveien 26, Blaker",59.972391,11.359115
581000,"Stagrimveien 59, Blaker",60.001207,11.393668
581001,"Stagrimveien 38, Blaker",59.998297,11.395108
581002,"Stagrimveien 13, Blaker",59.999241,11.387123
581003,"Stagrimveien 56, Blaker",60.000535,11.393266
581227,"Grindvollstubben 4, Blaker",59.977344,11.360973
581228,"Nathalie Mørks vei 5, Blaker",59.977784,11.361972
581229,"Nathalie Mørks vei 8, Blaker",59.977682,11.36114
581270,"Skanseveien 32, Blaker",60.00417,11.304354
581298,"Nathalie Mørks vei 16, Blaker",59.978356,11.36065
581299,"Nathalie Mørks vei 12, Blaker",59.97812,11.360777
581300,"Nathalie Mørks vei 14, Blaker",59.978264,11.360769
581457,"Vesthagan 31B, Blaker",59.974698,11.361214
581458,"Vesthagan 31A, Blaker",59.97466,11.361875
581529,"Harkerudveien 72, Blaker",59.957517,11.378012
581788,"Toreidveien 21, Blaker",60.000761,11.315918
581789,"Lilloveien 3, Blaker",59.98009,11.362638
581790,"Lilloveien 1, Blaker",59.979957,11.363005
581791,"Lilloveien 32, Blaker",59.979799,11.362331
581792,"Lilloveien 30, Blaker",59.979546,11.361882
581895,"Harkerudveien 6, Blaker",59.963681,11.379923
582153,"Sørliveien 21, Blaker",59.980848,11.287495
582154,"Lilloveien 42, Blaker",59.980252,11.361108
582155,"Lilloveien 40, Blaker",59.980175,11.361372
582156,"Lilloveien 38, Blaker",59.980097,11.36124
582157,"Lilloveien 36, Blaker",59.980068,11.361346
582158,"Lilloveien 34, Blaker",59.980138,11.361459
583157,"Ringkollveien 86, Aurskog",59.924327,11.348086
583158,"Vigernesveien 232, Aurskog",59.932862,11.354647
583159,"Vigernesveien 301, Aurskog",59.925306,11.35878
583160,"Ringkollveien 57, Aurskog",59.926968,11.348445
583161,"Ringkollveien 54, Aurskog",59.927174,11.349662
585937,"Vigernesveien 315, Aurskog",59.923884,11.360114
585939,"Vigernesveien 316, Aurskog",59.924003,11.360507
586203,"Ringkollveien 102, Aurskog",59.923135,11.353736
586962,"Husmoveien 104, Blaker",59.977459,11.384067
586963,"Husmoveien 102, Blaker",59.977745,11.383729
586964,"Husmoveien 111, Blaker",59.97646,11.383654
586965,"Husmoveien 109, Blaker",59.976706,11.383941
586966,"Husmoveien 127, Blaker",59.975291,11.383696
586967,"Husmoveien 113, Blaker",59.976124,11.383827
586968,"Husmoveien 7, Blaker",59.972174,11.378932
586969,"Husmoveien 78, Blaker",59.979196,11.379854
586970,"Husmoveien 85, Blaker",59.977953,11.381358
586971,"Husmoveien 86, Blaker",59.978767,11.380737
587184,"Husmoveien 9, Blaker",59.971992,11.379387
824317,"Blakerveien 370, Blaker",59.993207,11.300991
824318,"Blakerveien 361, Blaker",59.992289,11.301088
824319,"Blakerveien 368, Blaker",59.992927,11.300595
835758,"Blakerveien 288A, Blaker",59.989196,11.291642
835759,"Blakerveien 290, Blaker",59.989164,11.292265
835760,"Blakerveien 284, Blaker",59.989535,11.292613
835761,"Blakerveien 286, Blaker",59.989405,11.292353
835762,"Blakerveien 261, Blaker",59.987898,11.28705
835763,"Blakerveien 282, Blaker",59.989316,11.291289
835764,"Blakerveien 260, Blaker",59.988197,11.286371
835802,"Blakerveien 450, Blaker",59.999004,11.308029
835844,"Blakerveien 388, Blaker",59.995278,11.301224
835845,"Blakerveien 449, Blaker",59.998441,11.307847
836863,"Blakerveien 977, Blaker",59.970459,11.374675
836865,"Blakerveien 1032, Blaker",59.96683,11.379647
836866,"Blakerveien 915, Blaker",59.974593,11.367576
836867,"Blakerveien 979, Blaker",59.970639,11.37519
836868,"Blakerveien 1017, Blaker",59.968186,11.378221
836869,"Blakerveien 1019, Blaker",59.968097,11.378179
836870,"Blakerveien 910, Blaker",59.97566,11.368219
836871,"Blakerveien 917, Blaker",59.974321,11.367729
836872,"Blakerveien 960, Blaker",59.972925,11.376447
836951,"Fjukveien 397, Blaker",60.008853,11.390615
836952,"Kurland, Fjukveien 398, Blaker",60.009421,11.389899
836953,"Kurland, Fjukveien 396, Blaker",60.009044,11.389517
836982,"Blakerveien 1109, Blaker",59.960348,11.382461
837002,"Blakerveien 681, Blaker",59.985735,11.335738
837003,"Blakerveien 678, Blaker",59.9867,11.334926
837004,"Blakerveien 1089, Blaker",59.962183,11.381302
837005,"Fjukveien 180, Blaker",59.992828,11.375113
837006,"Fjukveien 98, Blaker",59.986443,11.36752
837030,"Skåningsrudveien 47, Blaker",59.989707,11.36786
837031,"Fjukveien 177, Blaker",59.99138,11.379321
837032,"Fjukveien 179, Blaker",59.991178,11.379459
837033,"Fjukveien 135, Blaker",59.98705,11.37676
837034,"Fjuk, Fjukveien 181, Blaker",59.990233,11.384556
837035,"Fjukveien 83, Blaker",59.985146,11.371245
837094,"Blakerveien 599, Blaker",59.989787,11.321355
837095,"Blakerveien 590, Blaker",59.990867,11.321789
837096,"Huseby, Blakerveien 525, Blaker",59.994934,11.315446
837097,"Huseby, Blakerveien 529, Blaker",59.994803,11.317618
837105,"Fjukveien 31, Blaker",59.980342,11.36409
837106,"Fjukveien 28, Blaker",59.980172,11.363056
837107,"Fjukveien 25, Blaker",59.97986,11.364934
837108,"Fjukveien 23, Blaker",59.979654,11.364884
837109,"Fjukveien 7, Blaker",59.978657,11.363862
837130,"Fjukveien 112, Blaker",59.987854,11.366975
