,Navn,Long,Lat
556856,"Tomtveien 101, Skedsmo",59.981997,11.076148
557570,"Duebakken 13, Skedsmo",59.994473,11.103433
557571,"Duebakken 11, Skedsmo",59.99461,11.103818
557572,"Duebakken 9, Skedsmo",59.994803,11.103525
557573,"Duebakken 7B, Skedsmo",59.994775,11.103039
557574,"Duebakken 5, Skedsmo",59.994749,11.102464
557575,"Duebakken 3, Skedsmo",59.994775,11.10191
557576,"Duebakken 1, Skedsmo",59.994821,11.101267
557652,"Branderudveien 256, Skedsmo",59.985928,11.131053
557653,"Branderudveien 251, Skedsmo",59.987561,11.130603
557654,"Branderudveien 245, Skedsmo",59.986427,11.130727
557655,"Branderudveien 220, Skedsmo",59.984875,11.124998
557656,"Branderudveien 152, Skedsmo",59.985777,11.110249
557657,"Branderudveien 150, Skedsmo",59.985993,11.109617
557658,"Branderudveien 148, Skedsmo",59.986114,11.109356
557659,"Branderudveien 146, Skedsmo",59.986183,11.10902
557660,"Branderudveien 143, Skedsmo",59.987663,11.106855
557661,"Branderudveien 142A, Skedsmo",59.986458,11.108073
557662,"Branderudveien 139, Skedsmo",59.98841,11.106203
557663,"Branderudveien 137, Skedsmo",59.988021,11.106411
557664,"Branderudveien 135, Skedsmo",59.988103,11.106865
557665,"Branderudveien 131, Skedsmo",59.988628,11.106629
557666,"Branderudveien 130, Skedsmo",59.988942,11.103817
557667,"Branderudveien 129, Skedsmo",59.989131,11.106625
557668,"Branderudveien 127B, Skedsmo",59.989496,11.106878
557669,"Branderudveien 126, Skedsmo",59.989254,11.104536
557670,"Branderudveien 125, Skedsmo",59.989905,11.107069
557671,"Branderudveien 123, Skedsmo",59.990167,11.106996
557672,"Branderudveien 121B, Skedsmo",59.990464,11.106979
557673,"Branderudveien 121A, Skedsmo",59.990513,11.107251
557674,"Branderudveien 119, Skedsmo",59.990652,11.107547
557675,"Branderudveien 118, Skedsmo",59.989455,11.106037
557676,"Branderudveien 116, Skedsmo",59.989563,11.106008
557677,"Branderudveien 115, Skedsmo",59.991179,11.10776
557678,"Branderudveien 113, Skedsmo",59.991439,11.107812
557679,"Branderudveien 108B, Skedsmo",59.990786,11.105924
557680,"Branderudveien 108A, Skedsmo",59.99099,11.106062
557682,"Veslefjellet 12, Skedsmo",59.991769,11.108685
557683,"Branderudveien 105, Skedsmo",59.99182,11.108105
557684,"Branderudveien 103, Skedsmo",59.991814,11.107334
557685,"Branderudveien 104, Skedsmo",59.991622,11.105332
557686,"Branderudveien 102A, Skedsmo",59.991751,11.10568
557687,"Branderudveien 99, Skedsmo",59.992066,11.108462
557688,"Branderudveien 98, Skedsmo",59.99251,11.104814
557689,"Branderudveien 97, Skedsmo",59.992185,11.107752
557690,"Branderudveien 96B, Skedsmo",59.992126,11.10583
557691,"Branderudveien 96A, Skedsmo",59.992206,11.105871
