,Navn,Long,Lat
17218,"51/1-1, Gjerdrum",60.085471,11.0217
17219,"42/103-1, Gjerdrum",60.080816,11.052768
17220,"54/76, Gjerdrum",60.085032,10.970448
17221,"54/77, Gjerdrum",60.084183,10.969534
17222,"54/27, Gjerdrum",60.081909,10.970855
17223,"54/32, Gjerdrum",60.081059,10.970624
17224,"54/24, Gjerdrum",60.083123,10.970118
17225,"54/33, Gjerdrum",60.082656,10.970047
17226,"54/89, Gjerdrum",60.084168,10.971727
17227,"54/42, Gjerdrum",60.083508,10.969045
17228,"46/65, Gjerdrum",60.073513,11.004791
38080,"53/24, Gjerdrum",60.08066,10.998777
901471,"Skibakkvegen 3, Gjerdrum",60.075317,11.020197
901472,"Skibakkvegen 4, Gjerdrum",60.075788,11.022293
901473,"Skibakkvegen 1C, Gjerdrum",60.076038,11.021823
901474,"Skibakkvegen 2C, Gjerdrum",60.075674,11.022718
901475,"Skibakkvegen 1A, Gjerdrum",60.076351,11.021285
901476,"Skibakkvegen 1B, Gjerdrum",60.076177,11.021544
901477,"Bjørklundvegen 13, Gjerdrum",60.075749,11.026605
901478,"Bjørklundvegen 15, Gjerdrum",60.075922,11.026454
901479,"Skibakkvegen 11, Gjerdrum",60.074785,11.019176
901480,"Skibakkvegen 12, Gjerdrum",60.07509,11.020938
901481,"Skibakkvegen 9, Gjerdrum",60.074869,11.019523
901482,"Skibakkvegen 10, Gjerdrum",60.075257,11.021218
901483,"Skibakkvegen 7, Gjerdrum",60.075015,11.019981
901484,"Skibakkvegen 8, Gjerdrum",60.075459,11.021482
901485,"Skibakkvegen 5, Gjerdrum",60.075177,11.02055
901486,"Skibakkvegen 6, Gjerdrum",60.075358,11.022213
901487,"Orvegen 2, Gjerdrum",60.079143,11.018436
901488,"Skibakkvegen 18, Gjerdrum",60.074582,11.019523
901490,"Orvegen 1, Gjerdrum",60.079026,11.01611
901491,"Skibakkvegen 14, Gjerdrum",60.074873,11.020371
901492,"Skibakkvegen 16, Gjerdrum",60.074743,11.019853
901494,"Rognvegen 9B, Gjerdrum",60.075291,11.035519
901496,"Rognvegen 10, Gjerdrum",60.076305,11.034836
901498,"Rognvegen 8, Gjerdrum",60.076074,11.034696
901499,"Rognvegen 9A, Gjerdrum",60.07532,11.035429
901500,"Rognvegen 6, Gjerdrum",60.075837,11.034897
901501,"Rognvegen 7, Gjerdrum",60.075143,11.03507
901502,"Rognvegen 4, Gjerdrum",60.075619,11.034488
901504,"Rognvegen 5, Gjerdrum",60.074931,11.034805
901506,"Rognvegen 16, Gjerdrum",60.07499,11.036265
901508,"Rognvegen 17A, Gjerdrum",60.076579,11.035715
901510,"Rognvegen 14, Gjerdrum",60.074869,11.035934
901512,"Rognvegen 15, Gjerdrum",60.076291,11.03577
901514,"Rognvegen 13A, Gjerdrum",60.075815,11.035489
901516,"Rognvegen 13B, Gjerdrum",60.075888,11.035513
901518,"Rognvegen 11, Gjerdrum",60.075559,11.035437
901520,"Rognvegen 12, Gjerdrum",60.076535,11.035102
901522,"Bjørklundvegen 3B, Gjerdrum",60.074948,11.027886
901524,"Bjørklundvegen 4, Gjerdrum",60.075352,11.026149
901526,"Rognvegen 23, Gjerdrum",60.074446,11.036591
901528,"Bjørklundvegen 1A, Gjerdrum",60.074993,11.026684
901530,"Rognvegen 19, Gjerdrum",60.074705,11.03551
901532,"Rognvegen 21, Gjerdrum",60.074501,11.035947
901534,"Rognvegen 17B, Gjerdrum",60.076689,11.035659
901535,"Rognvegen 18, Gjerdrum",60.075145,11.036076
901536,"Bjørklundvegen 11, Gjerdrum",60.075584,11.026828
901538,"Bjørklundvegen 12, Gjerdrum",60.075942,11.025125
901540,"Bjørklundvegen 9, Gjerdrum",60.075455,11.027036
901541,"Bjørklundvegen 10, Gjerdrum",60.075786,11.025385
901542,"Bjørklundvegen 7, Gjerdrum",60.075265,11.027132
901543,"Bjørklundvegen 8, Gjerdrum",60.075647,11.025664
901544,"Bjørklundvegen 5, Gjerdrum",60.075117,11.027375
901545,"Bjørklundvegen 6, Gjerdrum",60.075491,11.025888
901546,"Solheimsvingen 13, Gjerdrum",60.077957,11.081676
901547,"Solheimsvingen 14, Gjerdrum",60.078621,11.081089
901548,"Solheimsvingen 11, Gjerdrum",60.077827,11.081327
901549,"Solheimsvingen 12, Gjerdrum",60.07819,11.081098
901550,"Solheimsvingen 9, Gjerdrum",60.077721,11.080795
901551,"Solheimsvingen 10, Gjerdrum",60.078007,11.080781
901552,"Solheimsvingen 7, Gjerdrum",60.077561,11.080224
901553,"Solheimsvingen 8, Gjerdrum",60.077914,11.080397
901554,"Solheimsvingen 21, Gjerdrum",60.079186,11.081736
901555,"Solheimsvingen 23, Gjerdrum",60.079372,11.081316
901556,"Solheimsvingen 19, Gjerdrum",60.078932,11.0819
901557,"Solheimsvingen 20, Gjerdrum",60.078692,11.080572
901558,"Solheimsvingen 17, Gjerdrum",60.078547,11.081803
901559,"Solheimsvingen 18, Gjerdrum",60.078941,11.080732
901560,"Solheimsvingen 15, Gjerdrum",60.078148,11.081755
901562,"Solheimsvingen 16, Gjerdrum",60.078844,11.081229
901563,"Askhøgda 4, Gjerdrum",60.074111,11.036768
901564,"Askhøgda 5, Gjerdrum",60.073447,11.037859
901565,"Askhøgda 2, Gjerdrum",60.073766,11.036423
901566,"Askhøgda 3A, Gjerdrum",60.073359,11.037153
901567,"Solheimsvingen 29, Gjerdrum",60.078757,11.079893
901568,"Askhøgda 1, Gjerdrum",60.073258,11.036559
901569,"Solheimsvingen 25, Gjerdrum",60.079407,11.080815
901570,"Solheimsvingen 27, Gjerdrum",60.079068,11.080092
901571,"Rognvegen 2, Gjerdrum",60.075266,11.034646
901572,"Rognvegen 3, Gjerdrum",60.074809,11.033989
901573,"Askhøgda 14, Gjerdrum",60.074646,11.041114
901574,"Rognvegen 1, Gjerdrum",60.074696,11.033209
901575,"Askhøgda 10, Gjerdrum",60.074304,11.038088
901576,"Askhøgda 12, Gjerdrum",60.074384,11.040613
901577,"Askhøgda 7, Gjerdrum",60.073749,11.041023
901578,"Askhøgda 8, Gjerdrum",60.074036,11.037872
901579,"Seljevegen 6, Gjerdrum",60.081625,11.034103
901580,"Seljevegen 3, Gjerdrum",60.08191,11.036008
901581,"Seljevegen 5, Gjerdrum",60.082265,11.035131
901582,"Seljevegen 1, Gjerdrum",60.081504,11.036145
901583,"Seljevegen 24A, Gjerdrum",60.086756,11.036579
901584,"Seljevegen 24B, Gjerdrum",60.086986,11.036679
901585,"Seljevegen 20, Gjerdrum",60.084808,11.034479
901586,"Hellenvegen 30, Gjerdrum",60.08786,11.034849
901587,"Seljevegen 16, Gjerdrum",60.083909,11.033902
901588,"Seljevegen 18, Gjerdrum",60.084327,11.03418
901589,"Seljevegen 10, Gjerdrum",60.082709,11.033666
901590,"Seljevegen 12, Gjerdrum",60.083061,11.033638
901591,"Solheimsvingen 5, Gjerdrum",60.077561,11.079386
901592,"Solheimsvingen 6, Gjerdrum",60.077797,11.079901
901593,"Solheimsvingen 3, Gjerdrum",60.078078,11.079077
901594,"Solheimsvingen 4, Gjerdrum",60.078064,11.079993
901595,"Solheimsvingen 2A, Gjerdrum",60.078384,11.080193
901596,"Solheimsvingen 2B, Gjerdrum",60.078322,11.080693
901597,"Seljevegen 24C, Gjerdrum",60.087021,11.037239
901598,"Solheimsvingen 1, Gjerdrum",60.078402,11.079637
901787,"Måltrostvegen 6B, Gjerdrum",60.074859,11.004244
901788,"Måltrostvegen 6C, Gjerdrum",60.074893,11.004408
901789,"Måltrostvegen 5, Gjerdrum",60.074755,11.003393
901790,"Måltrostvegen 6A, Gjerdrum",60.074817,11.00408
901791,"Måltrostvegen 4B, Gjerdrum",60.075068,11.004095
901792,"Måltrostvegen 4C, Gjerdrum",60.075154,11.004388
901793,"Måltrostvegen 2E, Gjerdrum",60.075273,11.004215
901794,"Måltrostvegen 3, Gjerdrum",60.075002,11.003138
901795,"Måltrostvegen 12, Gjerdrum",60.074215,11.002929
901796,"Måltrostvegen 14, Gjerdrum",60.073975,11.002752
901797,"Måltrostvegen 10, Gjerdrum",60.07435,11.003476
901798,"Måltrostvegen 11, Gjerdrum",60.074535,11.001941
901799,"Måltrostvegen 8, Gjerdrum",60.074511,11.004115
901800,"Måltrostvegen 9, Gjerdrum",60.074554,11.002428
901801,"Måltrostvegen 6D, Gjerdrum",60.074935,11.00459
901802,"Måltrostvegen 7, Gjerdrum",60.074664,11.002884
901803,"Kulsrudgutua 2F, Gjerdrum",60.075478,11.020836
901804,"Kulsrudgutua 2G, Gjerdrum",60.076222,11.020918
901805,"Kulsrudgutua 2D, Gjerdrum",60.075637,11.020497
901806,"Kulsrudgutua 2E, Gjerdrum",60.075569,11.02033
901807,"Kulsrudgutua 2B, Gjerdrum",60.075916,11.020831
901808,"Kulsrudgutua 2C, Gjerdrum",60.075817,11.020997
901809,"Kulsrudgutua 1, Gjerdrum",60.07727,11.021144
901810,"Kulsrudgutua 2, Gjerdrum",60.076087,11.020388
901811,"Kulsrudgutua 10, Gjerdrum",60.075825,11.019409
901812,"Kulsrudgutua 12, Gjerdrum",60.075805,11.019339
901813,"Kulsrudgutua 6, Gjerdrum",60.075867,11.019546
901814,"Kulsrudgutua 8, Gjerdrum",60.075848,11.019478
901815,"Kulsrudgutua 3, Gjerdrum",60.076831,11.021045
901816,"Kulsrudgutua 4, Gjerdrum",60.076043,11.019879
901817,"Kulsrudgutua 2H, Gjerdrum",60.076083,11.021197
901818,"Kulsrudgutua 2I, Gjerdrum",60.075908,11.021528
901819,"Hubrosvingen 8, Gjerdrum",60.071773,11.001037
901820,"Hubrosvingen 9, Gjerdrum",60.071168,11.001881
901821,"Hubrosvingen 6, Gjerdrum",60.071954,11.00094
901822,"Hubrosvingen 7, Gjerdrum",60.071241,11.001203
901823,"Hubrosvingen 4, Gjerdrum",60.071729,11.000369
901824,"Hubrosvingen 5, Gjerdrum",60.071474,11.001217
901825,"Hubrosvingen 2, Gjerdrum",60.071697,10.999889
901826,"Hubrosvingen 3, Gjerdrum",60.07133,11.000669
901827,"Tiurvegen 3, Gjerdrum",60.070885,10.999186
901828,"Tiurvegen 4, Gjerdrum",60.070853,10.998304
901829,"Tiurvegen 1, Gjerdrum",60.070702,10.999409
901830,"Tiurvegen 2, Gjerdrum",60.070642,10.998632
901831,"Hubrosvingen 14, Gjerdrum",60.071525,11.001975
901832,"Hubrosvingen 16, Gjerdrum",60.071324,11.002196
901833,"Hubrosvingen 10, Gjerdrum",60.071822,11.0014
901834,"Hubrosvingen 12, Gjerdrum",60.071682,11.00175
901835,"Tiurvegen 11, Gjerdrum",60.071695,10.997887
901836,"Tiurvegen 12, Gjerdrum",60.071503,10.996923
901837,"Tiurvegen 9, Gjerdrum",60.071556,10.998166
901838,"Tiurvegen 10, Gjerdrum",60.071371,10.997364
901839,"Tiurvegen 7, Gjerdrum",60.071419,10.998338
901840,"Tiurvegen 8, Gjerdrum",60.071195,10.997695
901841,"Tiurvegen 5, Gjerdrum",60.071058,10.998999
901842,"Tiurvegen 6, Gjerdrum",60.071029,10.997973
901843,"Måltrostvegen 2C, Gjerdrum",60.075382,11.004114
901844,"Måltrostvegen 2D, Gjerdrum",60.075199,11.003761
901845,"Måltrostvegen 1, Gjerdrum",60.075236,11.003098
