,Navn,Long,Lat
36002,"7/186, Hovin",60.148499,11.185969
38027,"142/76, Hovin",60.154705,11.179722
903907,"Furuvegen 4, Hovin",60.157405,11.186388
903908,"Furuvegen 3, Hovin",60.15668,11.185132
903909,"Furuvegen 2, Hovin",60.157003,11.185136
903910,"Furuvegen 1, Hovin",60.156525,11.184743
903918,"Furuvegen 21, Hovin",60.157912,11.18507
903919,"Furuvegen 19, Hovin",60.157868,11.185535
903920,"Furuvegen 17, Hovin",60.157761,11.186015
903921,"Furuvegen 15, Hovin",60.157685,11.186803
903924,"Furuvegen 25, Hovin",60.157318,11.184544
903925,"Furuvegen 23, Hovin",60.157594,11.184724
903926,"Furuvegen 8, Hovin",60.157522,11.18526
903927,"Furuvegen 7, Hovin",60.157013,11.186163
903928,"Furuvegen 6, Hovin",60.157514,11.185728
903929,"Furuvegen 5, Hovin",60.156851,11.18563
903930,"Furuvegen 13, Hovin",60.157581,11.187156
903932,"Furuvegen 11, Hovin",60.157405,11.187469
903933,"Furuvegen 10, Hovin",60.157228,11.185115
903934,"Furuvegen 9, Hovin",60.157216,11.186916
904373,"Haugan nord 17, Hovin",60.152023,11.174463
904398,"Harestien 3, Hovin",60.157478,11.190627
904399,"Harestien 1, Hovin",60.157629,11.190223
904409,"Haugan nord 12, Hovin",60.152199,11.174129
904410,"Haugan nord 11, Hovin",60.152282,11.173976
904411,"Haugan nord 10, Hovin",60.15232,11.173888
904412,"Haugan nord 9, Hovin",60.152358,11.173764
904413,"Haugan nord 16, Hovin",60.15206,11.174375
904414,"Haugan nord 15, Hovin",60.1521,11.174268
904415,"Haugan nord 14, Hovin",60.152123,11.174237
904416,"Haugan nord 13, Hovin",60.152182,11.174158
904417,"Haugan nord 4, Hovin",60.152573,11.174337
904418,"Haugan nord 3, Hovin",60.152575,11.174193
904419,"Haugan nord 2, Hovin",60.152559,11.174066
904420,"Haugan nord 1, Hovin",60.152553,11.173939
904421,"Haugan nord 8, Hovin",60.152395,11.173659
904422,"Haugan nord 7, Hovin",60.152301,11.174481
904423,"Haugan nord 6, Hovin",60.152364,11.174485
904424,"Haugan nord 5, Hovin",60.152436,11.174454
904441,"Grevlingvegen 1, Hovin",60.15616,11.189404
904445,"Grevlingvegen 5, Hovin",60.155659,11.188776
904446,"Grevlingvegen 4, Hovin",60.155797,11.189651
904447,"Grevlingvegen 3, Hovin",60.155931,11.189137
904448,"Grevlingvegen 2, Hovin",60.156024,11.190062
904566,"Grevlingvegen 19, Hovin",60.15501,11.189977
904567,"Grevlingvegen 17, Hovin",60.154871,11.189679
904568,"Grevlingvegen 15, Hovin",60.15465,11.189448
904569,"Grevlingvegen 14, Hovin",60.155672,11.190129
904570,"Grevlingvegen 27, Hovin",60.155908,11.190541
904571,"Grevlingvegen 25, Hovin",60.155784,11.190965
904572,"Grevlingvegen 23, Hovin",60.15561,11.190647
904573,"Grevlingvegen 21, Hovin",60.155372,11.190343
904574,"Grevlingvegen 9, Hovin",60.155166,11.188149
904575,"Grevlingvegen 8, Hovin",60.155252,11.188912
