,Navn,Long,Lat
17300,"Ladderud, 92/7, Råholt",60.260969,11.194667
17302,"Kjerkev 35, 94/33, Råholt",60.275554,11.189315
17310,"96/249, Råholt",60.274498,11.177055
17311,"95/154, Råholt",60.273033,11.182618
17312,"95/554, Råholt",60.279799,11.171493
17315,"Støvner, 95/50, Råholt",60.268139,11.183612
17368,"92/59, Råholt",60.267465,11.192915
17370,"92/339, Råholt",60.269914,11.197979
17373,"94/252, Råholt",60.275841,11.181195
17390,"128/27, Råholt",60.281331,11.156852
17391,"95/31, Råholt",60.280338,11.174784
17415,"96/218, Råholt",60.259703,11.178784
17472,"138/15, Råholt",60.286525,11.17212
17473,"95/483, Råholt",60.281502,11.174446
17555,"94/521, Råholt",60.275047,11.1874
17572,"94/523, Råholt",60.268484,11.192115
17573,"96/19, Råholt",60.275301,11.168626
17574,"95/445, Råholt",60.277961,11.175115
17581,"96/40, Råholt",60.269453,11.168095
17594,"94/37, Råholt",60.274713,11.188571
17618,"94/5-1, Råholt",60.279854,11.186238
17643,"96/477, Råholt",60.265458,11.179528
17644,"96/475, Råholt",60.265747,11.179981
17645,"96/469, Råholt",60.266423,11.180388
17646,"96/468, Råholt",60.267084,11.180016
17684,"129/148, Råholt",60.28343,11.162544
17709,"96/429, Råholt",60.277301,11.168795
17710,"96/11, Råholt",60.277655,11.170229
43530,"96/132, Råholt",60.260097,11.17734
44472,"94/4, Råholt",60.279713,11.18659
46774,"Fuglerud, 94/5, Råholt",60.279854,11.186238
46777,"Solheim, 95/18, Råholt",60.269936,11.182902
46779,"Bekkevold, 94/118, Råholt",60.264634,11.185946
46780,"Barstad, 92/180, Råholt",60.27556,11.193837
46781,"Kjerkev, 92/51, Råholt",60.273317,11.19839
47009,"Fjeldet, 96/2, Råholt",60.26129,11.178419
890587,"Øvre Grindaveg 4, Råholt",60.281674,11.157851
890588,"Øvre Grindaveg 3, Råholt",60.281618,11.158553
890589,"Øvre Grindaveg 2, Råholt",60.281486,11.157803
890590,"Øvre Grindaveg 1, Råholt",60.281856,11.159365
890591,"Øvre Grindaveg 9A, Råholt",60.282268,11.159186
890592,"Øvre Grindaveg 8, Råholt",60.282049,11.158021
890593,"Øvre Grindaveg 7, Råholt",60.281971,11.15892
890594,"Øvre Grindaveg 6, Råholt",60.281845,11.157845
890595,"Fuglerudgutua 1, Råholt",60.277137,11.185948
890596,"Fuglerudgutua 4, Råholt",60.276975,11.187022
890597,"Øvre Grindaveg 14, Råholt",60.282538,11.158849
890598,"Øvre Grindaveg 13, Råholt",60.282508,11.159625
890600,"Fuglerudgutua 2, Råholt",60.277208,11.186533
905667,"Bekkedalshøgda 4A, Råholt",60.279534,11.160225
905668,"Bekkedalshøgda 2E, Råholt",60.279978,11.160543
905669,"Bekkedalshøgda 7, Råholt",60.278759,11.16039
905670,"Bekkedalshøgda 6, Råholt",60.279215,11.161036
905671,"Bekkedalshøgda 5, Råholt",60.27905,11.160156
905672,"Bekkedalshøgda 4B, Råholt",60.279515,11.160838
905674,"Bekkedalshøgda 12, Råholt",60.278187,11.160769
905675,"Bekkedalshøgda 11B, Råholt",60.278162,11.160328
905676,"Bekkedalshøgda 10, Råholt",60.278467,11.161221
905677,"Bekkedalshøgda 9, Råholt",60.278503,11.160066
911056,"Falkevegen 16, Råholt",60.265789,11.1981
911057,"Falkevegen 14, Råholt",60.265787,11.198227
911058,"Falkevegen 12, Råholt",60.265784,11.198389
911059,"Falkevegen 11, Råholt",60.265892,11.196227
911060,"Falkevegen 24, Råholt",60.265702,11.197389
911061,"Falkevegen 22, Råholt",60.265745,11.197483
911062,"Falkevegen 20, Råholt",60.26577,11.197629
911063,"Falkevegen 18, Råholt",60.265792,11.197956
911064,"Falkevegen 32, Råholt",60.265614,11.196732
911065,"Falkevegen 30, Råholt",60.265612,11.196841
911066,"Falkevegen 28, Råholt",60.265601,11.196967
911067,"Falkevegen 26, Råholt",60.265677,11.197261
911068,"Rugdevegen 3, Råholt",60.266789,11.197914
911069,"Rugdevegen 2, Råholt",60.267241,11.197221
911070,"Rugdevegen 1, Råholt",60.266822,11.197555
911071,"Falkevegen 34, Råholt",60.265626,11.196552
911072,"Lerkevegen 6, Råholt",60.269077,11.198104
911073,"Lerkevegen 4, Råholt",60.268862,11.198017
911074,"Lerkevegen 2, Råholt",60.268701,11.197988
911075,"Tiurvegen 22, Råholt",60.268031,11.19778
911076,"Falkevegen 2, Råholt",60.266447,11.199066
911077,"Falkevegen 1, Råholt",60.266232,11.198491
911078,"Lerkevegen 10, Råholt",60.269414,11.197783
911079,"Lerkevegen 8, Råholt",60.26924,11.198024
911081,"Falkevegen 6, Råholt",60.265928,11.198941
911082,"Falkevegen 5, Råholt",60.266182,11.197675
911083,"Falkevegen 4, Råholt",60.265953,11.199069
911084,"Falkevegen 3, Råholt",60.266031,11.198134
911085,"Falkevegen 10, Råholt",60.265842,11.1987
911086,"Falkevegen 9, Råholt",60.266041,11.196454
911087,"Falkevegen 8, Råholt",60.265876,11.198793
911088,"Falkevegen 7, Råholt",60.266161,11.196805
911089,"Spurvevegen 11, Råholt",60.266117,11.195121
911090,"Spurvevegen 10, Råholt",60.265815,11.19548
916408,"Svenskerudvegen 15, Råholt",60.276462,11.194204
916410,"Svenskerudvegen 13, Råholt",60.276218,11.194279
916414,"Kroken 4C, Råholt",60.27541,11.178418
916668,"Huldertjernvegen 30A, Råholt",60.266709,11.190821
916669,"Kroken 4D, Råholt",60.275149,11.177912
916670,"Kroken 4B, Råholt",60.275522,11.177611
916671,"Fjellet 43, Råholt",60.263761,11.180536
916672,"Vestengavegen 19, Råholt",60.272858,11.174957
916674,"Bekkedalshøgda 2C, Råholt",60.280415,11.162381
916675,"Fjellet 31, Råholt",60.263849,11.181735
916676,"Fjellet 51, Råholt",60.263553,11.181733
916690,"Fjellet 37, Råholt",60.264051,11.180897
916759,"Råholtvegen 98A, Råholt",60.277543,11.17818
916760,"Råholtvegen 98F, Råholt",60.278177,11.17786
916788,"Bråtagutua 5, Råholt",60.276337,11.181066
916790,"Bråtagutua 4, Råholt",60.2767,11.181361
916792,"Bråtagutua 3, Råholt",60.276337,11.181066
916793,"Bråtagutua 2, Råholt",60.276685,11.180619
916795,"Bråtagutua 10, Råholt",60.276447,11.183081
916797,"Bråtagutua 9, Råholt",60.276266,11.18211
916799,"Bråtagutua 8B, Råholt",60.276419,11.18259
916801,"Bråtagutua 6, Råholt",60.276511,11.181945
916809,"Bråtagutua 11, Råholt",60.276121,11.182697
916844,"Bønsmovegen 14, Råholt",60.284728,11.175492
916846,"Bønsmovegen 13B, Råholt",60.283898,11.176812
916848,"Bønsmovegen 13A, Råholt",60.283819,11.177222
916850,"Bønsmovegen 12, Råholt",60.284533,11.175877
916852,"Bønsmovegen 21, Råholt",60.285297,11.179047
916854,"Bønsmovegen 20, Råholt",60.285235,11.177407
916856,"Bønsmovegen 18, Råholt",60.284907,11.177168
916857,"Solheimvegen 14A, Råholt",60.268353,11.186892
916858,"Bønsmovegen 15, Råholt",60.284062,11.176642
916860,"Bønsmovegen 27, Råholt",60.28592,11.181686
916861,"Bønsmovegen 25, Råholt",60.285838,11.181156
916863,"Bønsmovegen 23, Råholt",60.285707,11.180387
916865,"Bønsmovegen 22, Råholt",60.285244,11.177969
916866,"Bønsmovegen 32, Råholt",60.287004,11.183495
916868,"Bønsmovegen 31, Råholt",60.286472,11.183043
916870,"Bønsmovegen 30, Råholt",60.286873,11.182726
916872,"Bønsmovegen 29, Råholt",60.286212,11.181941
916894,"Bønsmovegen 9B, Råholt",60.28346,11.176674
916896,"Bønsmovegen 9A, Råholt",60.283727,11.176276
916898,"Bønsmovegen 3, Råholt",60.283027,11.175108
916913,"Bønsmovegen 36, Råholt",60.28722,11.18398
916915,"Bønsmovegen 35, Råholt",60.286486,11.184401
916916,"Bønsmovegen 34, Råholt",60.287012,11.184093
916917,"Bønsmovegen 33, Råholt",60.286513,11.183806
916919,"Bønsmovegen 40, Råholt",60.286937,11.184829
916920,"Bønsmovegen 39, Råholt",60.286063,11.184988
916922,"Bønsmovegen 38, Råholt",60.287265,11.184508
916923,"Bønsmovegen 37, Råholt",60.286299,11.184262
917204,"Huldertjernvegen 49, Råholt",60.266142,11.190874
917205,"Huldertjernvegen 47, Råholt",60.265831,11.190654
917206,"Huldertjernvegen 45, Råholt",60.265715,11.191171
917219,"Huldertjernvegen 36C, Råholt",60.267409,11.19358
917220,"Huldertjernvegen 36B, Råholt",60.267211,11.193585
917221,"Huldertjernvegen 36A, Råholt",60.266969,11.19299
917222,"Huldertjernvegen 35A, Råholt",60.26684,11.192132
917223,"Huldertjernvegen 37, Råholt",60.267217,11.192121
917224,"Huldertjernvegen 36F, Råholt",60.267849,11.194098
917225,"Huldertjernvegen 36E, Råholt",60.26769,11.193979
917226,"Huldertjernvegen 36D, Råholt",60.26755,11.193752
917227,"Huldertjernvegen 40C, Råholt",60.265885,11.19337
917228,"Huldertjernvegen 40B, Råholt",60.265831,11.192878
917229,"Huldertjernvegen 40A, Råholt",60.266358,11.192461
917230,"Nyvegen 12, Råholt",60.287018,11.173871
917231,"Huldertjernvegen 38, Råholt",60.267394,11.192856
917232,"Huldertjernvegen 43, Råholt",60.266097,11.191431
917233,"Huldertjernvegen 40F, Råholt",60.26645,11.193444
917234,"Huldertjernvegen 40E, Råholt",60.266274,11.193793
917235,"Huldertjernvegen 40D, Råholt",60.265996,11.193739
917270,"Kjeldevegen 2, Råholt",60.281549,11.176004
917271,"Kjeldevegen 1, Råholt",60.281803,11.176401
917274,"Kjeldevegen 6, Råholt",60.281763,11.175548
917275,"Kjeldevegen 5, Råholt",60.282194,11.176065
917276,"Kjeldevegen 4, Råholt",60.281642,11.175775
917277,"Kjeldevegen 3, Råholt",60.282002,11.17627
917278,"Kjerkevegen 1, Råholt",60.274783,11.179407
917279,"Kjeldevegen 12, Råholt",60.282273,11.175076
917280,"Kjeldevegen 10, Råholt",60.282119,11.17521
917281,"Kjeldevegen 8, Råholt",60.281964,11.175344
917298,"Kjerkevegen 34B, Råholt",60.276277,11.189616
917299,"Kjerkevegen 32, Råholt",60.276359,11.188971
917300,"Kjerkevegen 31, Råholt",60.27591,11.18847
917301,"Kroken 2, Råholt",60.275994,11.17786
917302,"Kroken 1B, Råholt",60.276322,11.177574
917303,"Kroken 1A, Råholt",60.27638,11.177867
917304,"Kjerkevegen 36, Råholt",60.276127,11.189968
917305,"Kroken 6A, Råholt",60.275485,11.176017
917306,"Kroken 5, Råholt",60.27604,11.176705
917307,"Kroken 4A, Råholt",60.275733,11.177372
917308,"Kroken 3, Råholt",60.276159,11.177093
917309,"Kroken 6B, Råholt",60.27533,11.176188
917310,"Kjerkevegen 7B, Råholt",60.275557,11.182045
917311,"Kjerkevegen 7A, Råholt",60.275419,11.181692
917312,"Kjerkevegen 5, Råholt",60.275144,11.181493
917313,"Kjerkevegen 4, Råholt",60.275767,11.181281
917314,"Kjerkevegen 17, Råholt",60.275981,11.184153
917315,"Kjerkevegen 16, Råholt",60.276445,11.184292
917316,"Kjerkevegen 15, Råholt",60.275891,11.183604
917317,"Kjerkevegen 9, Råholt",60.275576,11.182552
917318,"Kjerkevegen 26, Råholt",60.27663,11.186746
917319,"Kjerkevegen 21B, Råholt",60.276049,11.185275
917320,"Kjerkevegen 21A, Råholt",60.275946,11.185263
917321,"Kjerkevegen 20, Råholt",60.276379,11.185065
917322,"Kjerkevegen 30B, Råholt",60.276465,11.18858
917323,"Kjerkevegen 30A, Råholt",60.276487,11.188328
