,Navn,Long,Lat
17291,"76/4, Råholt",60.24952,11.223556
17292,"Nylund, 77/9, Eidsvoll",60.277777,11.260889
17293,"83/6, Råholt",60.258021,11.230297
17295,"Kolberg Løkenvangen, 82/2, Eidsvoll",60.269775,11.247046
17296,"90/134, Råholt",60.244791,11.17286
17297,"90/128, Råholt",60.251145,11.180871
17298,"92/751, Råholt",60.248791,11.190708
17299,"92/801, Råholt",60.252345,11.19893
17301,"Risebrobakken, 90/16, Råholt",60.240543,11.17173
17303,"75/80, Råholt",60.248379,11.224671
17304,"Malthes Minde, 93/22, Råholt",60.251107,11.205465
17306,"Smedstuen, 75/5, Råholt",60.249279,11.224552
17307,"Finstad, 83/6-1, Råholt",60.252048,11.227367
17358,"92/598, Råholt",60.260667,11.18682
17372,"93/106, Råholt",60.267913,11.208115
17396,"90/1, Råholt",60.24692,11.181042
17407,"84/1, Råholt",60.240529,11.255497
17408,"92/298, Råholt",60.266306,11.206488
17409,"92/297, Råholt",60.266654,11.205535
17457,"81/10, Eidsvoll",60.266875,11.226705
17458,"76/47, Eidsvoll",60.26531,11.222548
17481,"90/50, Råholt",60.247601,11.199664
17552,"88/197, Råholt",60.261291,11.214213
17559,"75/85, Råholt",60.249279,11.224552
17575,"93/1, Råholt",60.250635,11.206265
17579,"90/126, Råholt",60.250138,11.186949
17600,"89/10, Råholt",60.249988,11.205733
17617,"83/1-1, Råholt",60.26563,11.240415
17619,"93/25-1, Råholt",60.268683,11.208836
17639,"90/139, Råholt",60.249696,11.185925
17640,"84/5, Råholt",60.238552,11.247616
17642,"81/28, Eidsvoll",60.269837,11.232186
17657,"76/58, Eidsvoll",60.268516,11.227431
17658,"76/19, Eidsvoll",60.268516,11.227431
17659,"76/15, Eidsvoll",60.268516,11.227431
17660,"75/27, Eidsvoll",60.268516,11.227431
17662,"79/10, Eidsvoll",60.268516,11.227431
17663,"93/149, Råholt",60.251955,11.186763
17667,"88/200, Råholt",60.249013,11.207655
17680,"76/177, Råholt",60.258495,11.213789
17707,"93/156, Råholt",60.251251,11.187529
17711,"92/157, Råholt",60.263282,11.200861
46754,"Linnerud, 79/2, Eidsvoll",60.268516,11.227431
46758,"Risebrobakken, 90/107, Råholt",60.240606,11.171192
46759,"Bjørnsrud, 90/29, Råholt",60.24545,11.192346
46760,"Hjæra Nedre, 92/5, Råholt",60.279302,11.207653
46782,"Møllerhaugen, 92/492, Råholt",60.265973,11.205399
46783,"Stoksflod, 93/6, Råholt",60.254077,11.185567
908184,"Skinnstudumpa 29, Mogreina",60.255825,11.184653
908185,"Skinnstudumpa 27, Mogreina",60.255892,11.183338
908186,"Skinnstudumpa 25, Mogreina",60.256218,11.184282
908189,"Skinnstudumpa 39, Mogreina",60.254673,11.183709
908190,"Skinnstudumpa 35, Mogreina",60.255408,11.184372
908277,"Bergerlinna 35, Mogreina",60.252478,11.168862
909653,"Skinnstudumpa 37, Mogreina",60.254896,11.183796
910330,"Skinnstudumpa 23, Mogreina",60.256146,11.185379
910436,"Vardevegen 50, Mogreina",60.247324,11.201777
911504,"Risebruvegen 59, Mogreina",60.24135,11.170511
911770,"Kolonivegen 10, Mogreina",60.247441,11.172313
