,Navn,Long,Lat
664045,"Vestsida 196, Mo",60.449137,11.616137
664046,"Vestsida 188, Mo",60.448838,11.616113
664049,"Vestsida 220, Mo",60.4508,11.618974
664057,"Vestsida 60, Mo",60.437055,11.611699
664058,"Inngjerdingsvegen 6, Mo",60.449737,11.616984
664061,"Vonheimvegen 42, Mo",60.43517,11.624711
664062,"Storsjøvegen 2389, Mo",60.430982,11.629916
664063,"Vonheimvegen 24, Mo",60.433533,11.624385
664064,"Sjøvegen 30, Mo",60.429464,11.616947
664065,"Sjøvegen 6, Mo",60.43158,11.617585
664066,"Sjøvegen 31, Mo",60.429306,11.615733
664067,"Vestereng, Sjøvegen 7, Mo",60.431432,11.616722
664068,"Midtsida 165, Mo",60.442122,11.628398
664069,"Midtsida 183, Mo",60.443505,11.62722
664074,"Storsjøvegen 2590, Mo",60.425662,11.603674
664075,"Midtsida 50, Mo",60.432738,11.634647
664076,"Midtsida 30, Mo",60.430749,11.633283
664077,"Midtsida 193, Mo",60.444253,11.627224
664079,"Stormoen, Storsjøvegen 2368, Mo",60.425462,11.629756
664090,"Midtsida 191, Mo",60.44427,11.626389
664092,"Sjøvegen 5, Mo",60.431965,11.616959
664094,"Vestsida 31, Mo",60.434914,11.613502
664096,"Storsjøvegen 2392, Mo",60.430062,11.62828
664097,"Sjøvegen 19, Mo",60.430607,11.616305
664099,"Storsjøvegen 2473, Mo",60.432548,11.614191
664102,"Vonheimvegen 45, Mo",60.435389,11.627989
664107,"Storsjøvegen 2592, Mo",60.425068,11.599777
664108,"Storsjøvegen 2501, Mo",60.432385,11.610315
664115,"Vestsida 45, Mo",60.436211,11.613025
664116,"Vestsida 42, Mo",60.435601,11.61117
664117,"Storsjøvegen 2441, Mo",60.433275,11.620123
664118,"Vonheimvegen 50, Mo",60.435644,11.624919
664120,"Kretavegen 47, Mo",60.443497,11.620915
664122,"Midtsida 104, Mo",60.436797,11.630246
664126,"Skulstad, Vestsida 20, Mo",60.434462,11.611131
664127,"Inngjerdingsvegen 33, Mo",60.451186,11.613395
664128,"Midtsida 287, Mo",60.452343,11.623053
664129,"Kretavegen 37, Mo",60.441768,11.621779
664130,"Fjellskolebakken 14, Mo",60.433375,11.585066
664131,"Øverfjellvegen 11, Mo",60.430459,11.602135
