,Navn,Long,Lat
654781,"Dr.Aamodts veg 3, Vinger",60.195725,12.019704
654783,"Dr.Aamodts veg 5, Vinger",60.195931,12.019723
654784,"Dr.Aamodts veg 7, Vinger",60.196172,12.019781
654785,"Dr.Aamodts veg 9, Vinger",60.196431,12.019859
654786,"Dr.Aamodts veg 11, Vinger",60.196654,12.019916
654787,"Dr.Aamodts veg 13, Vinger",60.196924,12.019905
654792,"Doblougbakken 1, Vinger",60.193447,12.006068
654793,"Doblougbakken 3, Vinger",60.193769,12.006116
654794,"Doblougbakken 6, Vinger",60.19374,12.006997
654795,"Doblougbakken 8, Vinger",60.193685,12.00748
654796,"Doblougbakken 10, Vinger",60.193673,12.007966
654797,"Doblougbakken 12, Vinger",60.193633,12.00854
654798,"Doblougbakken 15, Vinger",60.193959,12.008046
654799,"Doblougbakken 17, Vinger",60.193964,12.008624
654800,"Doblougbakken 19, Vinger",60.194091,12.008979
655092,"Alfs gate 2, Vinger",60.19495,12.007144
655093,"Alfs gate 4, Vinger",60.195354,12.007181
655094,"Alfs gate 6, Vinger",60.195316,12.006871
655095,"Alfs gate 10, Vinger",60.195431,12.006557
655096,"Alfs gate 11, Vinger",60.195663,12.005405
655160,"Bergvegen 1, Vinger",60.195849,12.013868
655161,"Bergvegen 2, Vinger",60.196052,12.014789
655162,"Bergvegen 3, Vinger",60.19635,12.014347
655163,"Bergvegen 4, Vinger",60.196232,12.015203
655164,"Bergvegen 5, Vinger",60.196573,12.014819
655165,"Bergvegen 6, Vinger",60.196428,12.015636
655166,"Bergvegen 7, Vinger",60.196792,12.015074
655167,"Bergvegen 8, Vinger",60.196848,12.016162
655168,"Bergvegen 10, Vinger",60.197155,12.016479
655169,"Blindvegen 2, Vinger",60.19783,12.00138
655170,"Blindvegen 6, Vinger",60.197794,12.000185
655280,"Ekornvegen 9, Vinger",60.193083,12.015365
655281,"Ekornvegen 10, Vinger",60.192499,12.015744
655282,"Ekornvegen 11, Vinger",60.193076,12.015274
655283,"Ekornvegen 12, Vinger",60.192497,12.015834
655284,"Ekornvegen 13, Vinger",60.193079,12.015166
655285,"Ekornvegen 14, Vinger",60.192504,12.015943
655286,"Ekornvegen 15, Vinger",60.19308,12.015094
655287,"Ekornvegen 16, Vinger",60.192502,12.016033
655288,"Ekornvegen 18, Vinger",60.192701,12.016358
655289,"Ekornvegen 20, Vinger",60.192699,12.016448
655290,"Ekornvegen 22, Vinger",60.192705,12.016557
655291,"Ekornvegen 24, Vinger",60.192703,12.016647
655292,"Ekornvegen 26, Vinger",60.192998,12.017144
655293,"Ekornvegen 28, Vinger",60.193002,12.017361
655294,"Ekornvegen 29, Vinger",60.193475,12.016285
655295,"Ekornvegen 31, Vinger",60.193463,12.016049
655303,"Ekornvegen 1, Vinger",60.192787,12.01532
655304,"Ekornvegen 2, Vinger",60.192334,12.015116
655305,"Ekornvegen 3, Vinger",60.19279,12.015212
655306,"Ekornvegen 4, Vinger",60.192332,12.015188
655307,"Ekornvegen 5, Vinger",60.192792,12.015122
655308,"Ekornvegen 6, Vinger",60.19233,12.015296
655309,"Ekornvegen 7, Vinger",60.192785,12.015013
655310,"Ekornvegen 8, Vinger",60.192336,12.015405
655311,"Granvegen 7, Vinger",60.202816,12.012107
655312,"Granvegen 9, Vinger",60.202859,12.011407
655313,"Granvegen 11, Vinger",60.202871,12.010902
655314,"Granvegen 12, Vinger",60.203405,12.010338
655327,"Glåmlivegen 13, Vinger",60.201569,12.012823
655328,"Glåmlivegen 14, Vinger",60.202398,12.011924
655329,"Glåmlivegen 15, Vinger",60.201706,12.011915
655330,"Glåmlivegen 16, Vinger",60.202509,12.011393
655331,"Glåmlivegen 17, Vinger",60.202006,12.01178
655332,"Glåmlivegen 19, Vinger",60.202062,12.011298
655333,"Glåmlivegen 20, Vinger",60.202566,12.010459
655334,"Glåmlivegen 21, Vinger",60.201739,12.011286
655335,"Glåmlivegen 23, Vinger",60.20183,12.010428
