,Navn,Long,Lat
657894,"Gamlevegen 21, Brandval",60.313311,12.024584
657916,"Gamlevegen 1, Brandval",60.31442,12.023237
657917,"Gamlevegen 2, Brandval",60.314444,12.022587
657918,"Gamlevegen 3, Brandval",60.314247,12.023728
657919,"Gamlevegen 4, Brandval",60.31386,12.022588
657920,"Gamlevegen 5, Brandval",60.314134,12.023193
657921,"Gamlevegen 7, Brandval",60.313954,12.023592
657922,"Gamlevegen 8, Brandval",60.313451,12.023184
657923,"Gamlevegen 10, Brandval",60.313155,12.023971
657924,"Gamlevegen 13, Brandval",60.313806,12.024158
657925,"Gamlevegen 19, Brandval",60.313435,12.024305
659417,"Einarsrudvegen 251, Brandval",60.341553,11.916003
659418,"Einarsrudvegen 274, Brandval",60.343444,11.914559
659419,"Odalsvegen 418, Brandval",60.350521,11.9485
659420,"Odalsvegen 475, Brandval",60.35261,11.939803
659421,"Odalsvegen 459, Brandval",60.350741,11.939399
659422,"Odalsvegen 471, Brandval",60.351614,11.938916
659423,"Odalsvegen 477, Brandval",60.352334,11.941284
659424,"Odalsvegen 469, Brandval",60.35215,11.940402
659425,"Odalsvegen 773, Brandval",60.352273,11.893297
659426,"Djupdalsvegen 152, Brandval",60.346823,11.889823
659427,"Odalsvegen 344, Brandval",60.351458,11.962928
659428,"Hyndensvingen 242, Brandval",60.347595,11.961707
659445,"Odalsvegen 360, Brandval",60.351821,11.959153
659446,"Einarsrudvegen 89, Brandval",60.346848,11.941551
659447,"Agnåvegen 7, Brandval",60.351697,11.955026
659448,"Odalsvegen 350, Brandval",60.351352,11.961232
659449,"Odalsvegen 352, Brandval",60.351725,11.96103
659920,"Lysenvegen 581, Brandval",60.261811,11.947694
659936,"Odalsvegen 337, Brandval",60.349831,11.963796
659937,"Odalsvegen 333, Brandval",60.34866,11.964723
659938,"Engesetervegen 19, Brandval",60.349514,11.917204
659939,"Hyndensvingen 267, Brandval",60.348327,11.949825
659940,"Hyndensvingen 288, Brandval",60.349616,11.9484
659941,"Odalsvegen 919, Brandval",60.352148,11.872143
659942,"Odalsvegen 873, Brandval",60.351153,11.877876
659943,"Hyndensvingen 152, Brandval",60.343611,11.964718
659944,"Hagasetervegen 487, Brandval",60.306512,11.946939
659945,"Storhaugvegen 701, Brandval",60.285351,11.921816
659946,"Storhaugvegen 593, Brandval",60.277488,11.938139
659957,"Odalsvegen 288, Brandval",60.353582,11.973639
659958,"Norderhaug 40, Brandval",60.349641,11.989146
659959,"Odalsvegen 286, Brandval",60.352455,11.973826
659960,"Norderhaug 10, Brandval",60.346883,11.988712
659961,"Norderhaug 30, Brandval",60.348883,11.991651
659962,"Tuskinvegen 173, Brandval",60.328665,11.989328
659963,"Bingenvegen 70, Brandval",60.352277,11.980193
659964,"Tuskinvegen 300, Brandval",60.338817,11.984203
659965,"Oppivegen 33, Brandval",60.337056,11.977372
659966,"Skograndvegen 9, Brandval",60.345662,11.991066
659967,"Nordsethvegen 2, Brandval",60.351408,11.969615
659968,"Tuskinvegen 250, Brandval",60.335356,11.989868
659969,"Oppivegen 20, Brandval",60.338652,11.980342
659970,"Norderhaug 4, Brandval",60.34637,11.987958
659971,"Bingenvegen 36, Brandval",60.349485,11.983257
659972,"Odalsvegen 215, Brandval",60.346603,11.982758
659973,"Snipvegen 87, Brandval",60.3615,12.00195
659974,"Nybrottsvegen 56, Brandval",60.35915,12.00654
659975,"Snipvegen 4, Brandval",60.360382,12.01917
659976,"Vestre Solørveg 2106, Brandval",60.368306,12.023586
659977,"Vestre Solørveg 2043, Brandval",60.363071,12.024607
659978,"Snipvegen 3, Brandval",60.36004,12.018793
659979,"Vestre Solørveg 2027, Brandval",60.362118,12.022632
659980,"Foseidvegen 130, Brandval",60.344284,12.036771
659981,"Foseidvegen 112, Brandval",60.342519,12.034994
659982,"Foseidvegen 237, Brandval",60.351216,12.024741
659983,"Foseidvegen 273, Brandval",60.35274,12.020548
659984,"Foseidvegen 44, Brandval",60.338688,12.027641
659985,"Foseidvegen 29, Brandval",60.342113,12.021251
659986,"Foseidvegen 103, Brandval",60.342319,12.033108
659987,"Foseidvegen 258, Brandval",60.352867,12.022881
