,Navn,Long,Lat
659324,"Vangevegen 86, Austmarka",60.126501,12.43558
659325,"Vangevegen 96, Austmarka",60.12754,12.436049
659675,"Kjerringmyrvegen 3, Austmarka",60.004546,12.36785
659676,"Brødbølfossvegen 103, Austmarka",60.032286,12.366563
659677,"Brødbølvegen 1190, Austmarka",60.008021,12.365835
659678,"Brødbølfossvegen 52, Austmarka",60.036514,12.370281
659679,"Tomtavegen 476, Austmarka",60.034222,12.435503
659680,"Tomtavegen 446, Austmarka",60.031937,12.428297
659681,"Håkerudvegen 290, Austmarka",60.034606,12.400515
659682,"Solvinvegen 17, Austmarka",60.032845,12.392449
659683,"Wictorvegen 21, Austmarka",60.023646,12.395473
659684,"Håkerudvegen 120, Austmarka",60.026389,12.388392
659685,"Håkerudvegen 160, Austmarka",60.027272,12.392523
659686,"Østgårdskogvegen 251, Austmarka",60.052633,12.426635
659687,"Tomtavegen 196, Austmarka",60.043584,12.396337
659688,"Tomtavegen 36, Austmarka",60.037912,12.377088
659689,"Åslivegen 15, Austmarka",60.041101,12.378906
659690,"Sagvegen 11, Austmarka",60.033686,12.378596
659691,"Nordhagvegen 27, Austmarka",60.011386,12.373106
659692,"Linnerudhaugvegen 89, Austmarka",59.993651,12.362687
659693,"Grensebakken 84, Austmarka",59.999384,12.375364
659694,"Linnerudhaugvegen 78, Austmarka",59.991887,12.363818
659695,"Østlivegen 16, Austmarka",60.005675,12.370801
659696,"Grensebakken 2, Austmarka",60.005111,12.36789
659697,"Utgårdsbråtenvegen 24, Austmarka",60.036552,12.365273
659698,"Utgårdsbråtenvegen 40, Austmarka",60.037157,12.362335
659699,"Brødbølvegen 942, Austmarka",60.028785,12.362866
659700,"Brødbølfossvegen 101, Austmarka",60.032588,12.367384
659701,"Magnorvegen 30, Austmarka",60.003719,12.363279
659702,"Linnerudhaugvegen 61, Austmarka",59.992999,12.360349
659703,"Grensebakken 73, Austmarka",60.00055,12.375106
659704,"Brødbølvegen 1224, Austmarka",60.005376,12.36736
659705,"Flaenvegen 336, Austmarka",60.014765,12.323622
659706,"Brødbølvegen 1089, Austmarka",60.016091,12.367266
659707,"Mitandersforsvegen 1285, Austmarka",60.094362,12.496603
659708,"Tollovegen 378, Austmarka",60.080494,12.413789
659709,"Mitandersforsvegen 1233, Austmarka",60.097531,12.489254
659710,"Brødbølvegen 526, Austmarka",60.056806,12.370986
