,Navn,Long,Lat
669919,"Braserudvegen 303, Eidskog",59.89517,12.111956
669920,"Braserudvegen 315, Eidskog",59.894604,12.113083
1781791,"Bekkeligutua 22, Eidskog",59.972079,12.065863
1781792,"Bekkeligutua 26, Eidskog",59.97254,12.066964
1781793,"Bekkeligutua 23, Eidskog",59.97158,12.066494
1784956,"Vestmarkavegen 428, Eidskog",59.973905,12.057816
1784991,"Vestmarkavegen 475, Eidskog",59.970872,12.049994
1784992,"Vestmarkavegen 470, Eidskog",59.970628,12.056887
1784993,"Vestmarkavegen 459, Eidskog",59.972076,12.052744
1784995,"Vestmarkavegen 424, Eidskog",59.974317,12.058165
1784996,"Vestmarkavegen 478, Eidskog",59.969534,12.058046
1784997,"Vestmarkavegen 483, Eidskog",59.969914,12.052674
1784998,"Vestmarkavegen 481, Eidskog",59.970061,12.053038
1784999,"Vestmarkavegen 479, Eidskog",59.970687,12.050627
1785000,"Vestmarkavegen 477, Eidskog",59.970705,12.050069
1785132,"Vestmarkavegen 392, Eidskog",59.976911,12.060791
1785133,"Vestmarkavegen 334, Eidskog",59.981753,12.065394
1785220,"Vestmarkavegen 452, Eidskog",59.971591,12.056706
1785221,"Vestmarkavegen 450, Eidskog",59.971964,12.056501
1785222,"Vestmarkavegen 448, Eidskog",59.972303,12.056577
1785223,"Vestmarkavegen 446, Eidskog",59.972048,12.057943
1785224,"Vestmarkavegen 423, Eidskog",59.974484,12.057248
1785225,"Vestmarkavegen 421, Eidskog",59.975024,12.057513
1785227,"Vestmarkavegen 388, Eidskog",59.977163,12.061193
1785229,"Vestmarkavegen 457, Eidskog",59.972149,12.05262
1785230,"Vestmarkavegen 455, Eidskog",59.972923,12.052082
1785232,"Vestmarkavegen 453, Eidskog",59.974825,12.051298
1785296,"Vestmarkavegen 587, Eidskog",59.961738,12.043455
1785298,"Vestmarkavegen 585, Eidskog",59.96216,12.043394
1785299,"Vestmarkavegen 565, Eidskog",59.964546,12.045757
1785300,"Vestmarkavegen 563, Eidskog",59.965016,12.046077
1785301,"Vestmarkavegen 556, Eidskog",59.963516,12.050567
1785302,"Vestmarkavegen 611, Eidskog",59.959873,12.040448
1785303,"Vestmarkavegen 602, Eidskog",59.960101,12.042564
1785304,"Vestmarkavegen 603, Eidskog",59.960922,12.040716
1785305,"Vestmarkavegen 601, Eidskog",59.961604,12.041185
1785306,"Vestmarkavegen 599, Eidskog",59.961058,12.041911
1785324,"Vestmarkavegen 552, Eidskog",59.964205,12.050487
1785326,"Vestmarkavegen 480, Eidskog",59.969121,12.057688
1785346,"Vestmarkavegen 554, Eidskog",59.96373,12.051273
1785397,"Vestmarkavegen 674, Eidskog",59.957241,12.028883
1785399,"Vestmarkavegen 642, Eidskog",59.957218,12.033393
1785400,"Vestmarkavegen 629, Eidskog",59.959269,12.036832
1785401,"Vestmarkavegen 618, Eidskog",59.95928,12.040633
1791774,"Ingelsrudvegen 531, Eidskog",59.923154,12.084617
1791776,"Ingelsrudvegen 520, Eidskog",59.924778,12.085768
1791778,"Ingelsrudvegen 584, Eidskog",59.919684,12.089111
1791780,"Ingelsrudvegen 560, Eidskog",59.919908,12.095259
1791783,"Ingelsrudvegen 634, Eidskog",59.915528,12.090274
1791786,"Ingelsrudvegen 488, Eidskog",59.927598,12.093435
1791787,"Ingelsrudvegen 492, Eidskog",59.927375,12.084783
1791788,"Ingelsrudvegen 490, Eidskog",59.927024,12.085653
1791790,"Ingelsrudvegen 510, Eidskog",59.92592,12.084298
1791791,"Ingelsrudvegen 508, Eidskog",59.925725,12.084832
1791796,"Ingelsrudvegen 484, Eidskog",59.928094,12.084985
1791798,"Ingelsrudvegen 472, Eidskog",59.928832,12.084057
1791802,"Ingelsrudvegen 486, Eidskog",59.9286,12.094834
1791807,"Ingelsrudvegen 425, Eidskog",59.933273,12.0832
1791809,"Ingelsrudvegen 435, Eidskog",59.932391,12.083369
1791811,"Ingelsrudvegen 434, Eidskog",59.932052,12.084334
1791813,"Ingelsrudvegen 443, Eidskog",59.931935,12.083363
1791815,"Ingelsrudvegen 442, Eidskog",59.931687,12.084085
1791817,"Ingelsrudvegen 456, Eidskog",59.930391,12.084603
1791819,"Ingelsrudvegen 450, Eidskog",59.931221,12.083899
1791857,"Ingelsrudvegen 362, Eidskog",59.938626,12.080278
1791858,"Ingelsrudvegen 360, Eidskog",59.938878,12.079383
1791859,"Ingelsrudvegen 366, Eidskog",59.938138,12.086091
1791860,"Ingelsrudvegen 364, Eidskog",59.94027,12.085163
1791861,"Ingelsrudvegen 368, Eidskog",59.938027,12.084081
1791862,"Ingelsrudvegen 894, Eidskog",59.893278,12.09835
1791863,"Ingelsrudvegen 902, Eidskog",59.892582,12.098124
1791864,"Ingelsrudvegen 900, Eidskog",59.891523,12.098791
1791876,"Ingelsrudvegen 850, Eidskog",59.897036,12.099503
1791878,"Ingelsrudvegen 843, Eidskog",59.897918,12.095331
1791881,"Ingelsrudvegen 852, Eidskog",59.896888,12.097897
1791885,"Ingelsrudvegen 636, Eidskog",59.915209,12.090508
1791886,"Ingelsrudvegen 653, Eidskog",59.913935,12.091184
1791887,"Ingelsrudvegen 645, Eidskog",59.914515,12.090592
1791889,"Ingelsrudvegen 786, Eidskog",59.906812,12.101903
1791890,"Ingelsrudvegen 777, Eidskog",59.903344,12.0941
1791892,"Ingelsrudvegen 824, Eidskog",59.89945,12.095931
1791894,"Ingelsrudvegen 785, Eidskog",59.902807,12.095835
1791912,"Børrudvegen 261, Eidskog",59.980615,12.06552
1791916,"Børrudvegen 263, Eidskog",59.979953,12.064943
1791918,"Børrudvegen 262, Eidskog",59.980126,12.066638
1791921,"Børrudvegen 272, Eidskog",59.97924,12.064594
1791928,"Ingelsrudvegen 67, Eidskog",59.95529,12.047918
1791929,"Ingelsrudvegen 33, Eidskog",59.957656,12.045074
1791930,"Ingelsrudvegen 72, Eidskog",59.954698,12.050421
1791935,"Ingelsrudvegen 11, Eidskog",59.959074,12.042572
1791937,"Ingelsrudvegen 8, Eidskog",59.95949,12.042592
