,Navn,Long,Lat
143525,"Kauserudvegen 38, Åsmarka",61.027956,10.749533
143526,"Kauserudvegen 40, Åsmarka",61.028173,10.74936
143527,"Kauserudvegen 42, Åsmarka",61.028373,10.749223
143552,"Kauserudvegen 1, Åsmarka",61.026776,10.753892
143553,"Kauserudvegen 5, Åsmarka",61.027735,10.750632
143554,"Kauserudvegen 7, Åsmarka",61.027916,10.750475
143555,"Kauserudvegen 9, Åsmarka",61.028181,10.750175
143563,"Kauserudvegen 24, Åsmarka",61.026345,10.751129
143564,"Kauserudvegen 25, Åsmarka",61.028455,10.74982
143565,"Kauserudvegen 26, Åsmarka",61.026606,10.751088
143566,"Kauserudvegen 28, Åsmarka",61.026854,10.750676
143567,"Kauserudvegen 30, Åsmarka",61.027108,10.750468
143568,"Kauserudvegen 32, Åsmarka",61.027291,10.750237
143569,"Kauserudvegen 34, Åsmarka",61.027527,10.750028
143570,"Kauserudvegen 36, Åsmarka",61.027746,10.749762
143571,"Kauserudvegen 11, Åsmarka",61.028209,10.750787
143572,"Kauserudvegen 13, Åsmarka",61.028035,10.751055
143573,"Kauserudvegen 15, Åsmarka",61.027843,10.751285
143574,"Kauserudvegen 17, Åsmarka",61.028044,10.751741
143575,"Kauserudvegen 18, Åsmarka",61.02574,10.752798
143576,"Kauserudvegen 19, Åsmarka",61.028289,10.751495
143577,"Kauserudvegen 21, Åsmarka",61.028553,10.751251
143578,"Kauserudvegen 23, Åsmarka",61.028482,10.750451
144046,"Larsåsvegen 26, Åsmarka",61.029957,10.753087
144047,"Larsåsvegen 29, Åsmarka",61.030084,10.753704
144048,"Larsåsvegen 31, Åsmarka",61.030318,10.753625
144049,"Larsåsvegen 33, Åsmarka",61.030538,10.753304
144050,"Larsåsvegen 39, Åsmarka",61.031629,10.752272
147105,"Kauserudvegen 26B, Åsmarka",61.02643,10.750874
147595,"Larsåsvegen 37A, Åsmarka",61.031328,10.752607
147598,"Larsåsvegen 37B, Åsmarka",61.031401,10.752537
150971,"Larsåsvegen 32, Åsmarka",61.030721,10.75237
153449,"Larsåsvegen 28, Åsmarka",61.030311,10.752791
156502,"Åsmarkvegen 1651, Åsmarka",61.043021,10.740049
156503,"Åsmarkvegen 1649, Åsmarka",61.042896,10.740653
156553,"Åsmarkvegen 1929, Åsmarka",61.066109,10.714073
156555,"Åsmarkvegen 1933, Åsmarka",61.063256,10.718774
156556,"Åsmarkvegen 1931, Åsmarka",61.064383,10.716296
156558,"Åsmarkvegen 1935, Åsmarka",61.063195,10.719308
156561,"Åsmarkvegen 1871, Åsmarka",61.054515,10.708463
156562,"Åsmarkvegen 1861, Åsmarka",61.053217,10.71308
156563,"Åsmarkvegen 1877, Åsmarka",61.057511,10.72076
156564,"Åsmarkvegen 1875, Åsmarka",61.054786,10.712591
156565,"Åsmarkvegen 1882, Åsmarka",61.054145,10.707165
156566,"Åsmarkvegen 1880, Åsmarka",61.053849,10.707168
156568,"Åsmarkvegen 1925, Åsmarka",61.060252,10.708513
156585,"Åsmarkvegen 1807, Åsmarka",61.052082,10.724615
156586,"Åsmarkvegen 1812, Åsmarka",61.049531,10.717641
156587,"Åsmarkvegen 1811, Åsmarka",61.050054,10.718874
156589,"Åsmarkvegen 1834, Åsmarka",61.048869,10.71605
156590,"Åsmarkvegen 1842, Åsmarka",61.050689,10.709924
156592,"Åsmarkvegen 1855, Åsmarka",61.053167,10.70991
156593,"Åsmarkvegen 1844, Åsmarka",61.050677,10.709405
156594,"Åsmarkvegen 1859, Åsmarka",61.053362,10.711569
156595,"Åsmarkvegen 1857, Åsmarka",61.053129,10.712205
156596,"Åsmarkvegen 1815, Åsmarka",61.050069,10.717022
156597,"Åsmarkvegen 1821, Åsmarka",61.051086,10.715392
156598,"Åsmarkvegen 1817, Åsmarka",61.05021,10.71653
156599,"Åsmarkvegen 1825, Åsmarka",61.051378,10.715778
156600,"Åsmarkvegen 1823, Åsmarka",61.050994,10.716257
156601,"Åsmarkvegen 1832, Åsmarka",61.049352,10.71339
156602,"Åsmarkvegen 1829, Åsmarka",61.050831,10.717804
156611,"Åsmarkvegen 1803, Åsmarka",61.050271,10.722331
156612,"Åsmarkvegen 1801, Åsmarka",61.050171,10.721714
156613,"Åsmarkvegen 1805, Åsmarka",61.050649,10.721536
156614,"Åsmarkvegen 1546, Åsmarka",61.033926,10.742716
156615,"Åsmarkvegen 1544, Åsmarka",61.034507,10.745006
156616,"Åsmarkvegen 1599, Åsmarka",61.038793,10.748297
156617,"Storsvea, Åsmarkvegen 1548, Åsmarka",61.032843,10.744673
156618,"Åsmarkvegen 1603, Åsmarka",61.040809,10.751408
156619,"Åsmarkvegen 1601, Åsmarka",61.040587,10.751211
156620,"Åsmarkvegen 1631, Åsmarka",61.040935,10.745786
156621,"Åsmarkvegen 1629, Åsmarka",61.040801,10.746445
156622,"Åsmarkvegen 1515, Åsmarka",61.03237,10.750535
156623,"Åsmarkvegen 1513, Åsmarka",61.03216,10.750802
156624,"Åsmarkvegen 1473, Åsmarka",61.027785,10.757168
156625,"Åsmarkvegen 1471, Åsmarka",61.028097,10.75663
