,Navn,Long,Lat
1267940,"Ballblomvegen 3B, Elverum",60.905227,11.550875
1267941,"Ballblomvegen 3A, Elverum",60.905329,11.551142
1267951,"Tømmervegen 34, Elverum",60.905147,11.561198
1267953,"Martensvegen 162, Elverum",60.913404,11.532177
1267955,"Martensvegen 144, Elverum",60.912398,11.53265
1267957,"Martensvegen 98, Elverum",60.908767,11.533248
1267959,"Martensvegen 90, Elverum",60.908558,11.531442
1273187,"Blåklokkevegen 12, Elverum",60.904875,11.552821
1273188,"Blåklokkevegen 11, Elverum",60.905078,11.551601
1273189,"Blåklokkevegen 10, Elverum",60.90481,11.552945
1273190,"Blåklokkevegen 9, Elverum",60.905166,11.552162
1273191,"Blåklokkevegen 16, Elverum",60.904833,11.55219
1273192,"Blåklokkevegen 15, Elverum",60.904837,11.550568
1273193,"Blåklokkevegen 14, Elverum",60.904932,11.552659
1273194,"Blåklokkevegen 13, Elverum",60.904951,11.551222
1273195,"Blåklokkevegen 20, Elverum",60.904709,11.551664
1273196,"Blåklokkevegen 19, Elverum",60.904375,11.550291
1273197,"Blåklokkevegen 18, Elverum",60.904776,11.551928
1273198,"Blåklokkevegen 17, Elverum",60.904581,11.550326
1273199,"Blåklokkevegen 24, Elverum",60.904574,11.551174
1273200,"Blåklokkevegen 23, Elverum",60.904055,11.551095
1273201,"Blåklokkevegen 22, Elverum",60.904607,11.551342
1273202,"Blåklokkevegen 21, Elverum",60.90412,11.550473
1273203,"Blåbærvegen 31, Elverum",60.906652,11.567073
1273204,"Blåbærvegen 29, Elverum",60.906805,11.567565
1273205,"Blåbærvegen 27, Elverum",60.906529,11.567893
1273206,"Blåbærvegen 25, Elverum",60.906318,11.568098
1273207,"Blåbærvegen 39, Elverum",60.906112,11.56478
1273208,"Blåbærvegen 37, Elverum",60.906246,11.565288
1273209,"Blåbærvegen 35, Elverum",60.906389,11.565798
1273210,"Blåbærvegen 33, Elverum",60.906532,11.566307
1273211,"Blåklokkevegen 4, Elverum",60.904473,11.553674
1273212,"Blåklokkevegen 3, Elverum",60.904957,11.553731
1273213,"Blåklokkevegen 2, Elverum",60.904353,11.553849
1273214,"Blåklokkevegen 1, Elverum",60.904761,11.554103
1273215,"Blåklokkevegen 8, Elverum",60.90467,11.553229
1273216,"Blåklokkevegen 7, Elverum",60.905344,11.552748
1273217,"Blåklokkevegen 6, Elverum",60.904576,11.553461
1273218,"Blåklokkevegen 5, Elverum",60.905192,11.553197
1273219,"Blåbærvegen 11, Elverum",60.905002,11.565059
1273220,"Blåbærvegen 10, Elverum",60.905857,11.566382
1273221,"Blåbærvegen 9, Elverum",60.905086,11.564439
1273222,"Blåbærvegen 8, Elverum",60.905714,11.565854
1273223,"Blåbærvegen 15, Elverum",60.905304,11.566172
1273224,"Blåbærvegen 14, Elverum",60.90609,11.567342
1273225,"Blåbærvegen 13, Elverum",60.905189,11.565628
1273226,"Blåbærvegen 12, Elverum",60.905965,11.566852
1273227,"Blåbærvegen 19, Elverum",60.905553,11.567261
