,Navn,Long,Lat
1267935,"Surtjennsvegen 55, Heradsbygd",60.810749,11.693626
1267936,"Surtjennsvegen 71, Heradsbygd",60.812266,11.689346
1273294,"Åvegen 40, Heradsbygd",60.845573,11.706064
1273343,"Surtjennsvegen 40, Heradsbygd",60.809429,11.695967
1273344,"Surtjennsvegen 38, Heradsbygd",60.809614,11.696571
1273350,"Surtjennsvegen 44, Heradsbygd",60.809715,11.695145
1273362,"Surtjennsvegen 48, Heradsbygd",60.809598,11.694234
1273373,"Surtjennsvegen 54, Heradsbygd",60.809906,11.692789
1273381,"Solørvegen 1226, Heradsbygd",60.808808,11.695142
1273383,"Surtjennsvegen 35, Heradsbygd",60.810479,11.697361
1273394,"Surtjennsvegen 36, Heradsbygd",60.809039,11.696596
1273516,"Surtjennsvegen 77, Heradsbygd",60.813061,11.693146
1273551,"Surtjennsvegen 83, Heradsbygd",60.812031,11.697014
1274252,"Hjemmovegen 3, Heradsbygd",60.806043,11.703074
1274253,"Hjemmovegen 2, Heradsbygd",60.806427,11.702757
1274254,"Hjemmovegen 1, Heradsbygd",60.806209,11.701966
1274704,"Hjemmovegen 12, Heradsbygd",60.805218,11.703464
1274705,"Hjemmovegen 11, Heradsbygd",60.80566,11.703373
1274706,"Hjemmovegen 10, Heradsbygd",60.805183,11.703847
1274707,"Hjemmovegen 9, Heradsbygd",60.805517,11.703747
1274708,"Hjemmovegen 18, Heradsbygd",60.805767,11.702076
1274709,"Hjemmovegen 16, Heradsbygd",60.805551,11.702518
1274710,"Hjemmovegen 14, Heradsbygd",60.805418,11.702893
1274711,"Hjemmovegen 13, Heradsbygd",60.805843,11.702726
1274715,"Hjemmovegen 20, Heradsbygd",60.805998,11.701728
1274720,"Hjemmovegen 8, Heradsbygd",60.806068,11.70451
1274721,"Hjemmovegen 6, Heradsbygd",60.806159,11.704022
1274722,"Hjemmovegen 5, Heradsbygd",60.805845,11.703517
1274723,"Hjemmovegen 4, Heradsbygd",60.80632,11.703594
1277037,"Melåsbergsvegen 269, Heradsbygd",60.830075,11.718592
1277087,"Åvegen 63, Heradsbygd",60.847787,11.707614
1277088,"Åvegen 53, Heradsbygd",60.846664,11.707629
1277089,"Åvegen 43, Heradsbygd",60.845165,11.707576
1277095,"Melåsbergsvegen 197A, Heradsbygd",60.822347,11.728459
1277580,"Åvegen 47, Heradsbygd",60.845943,11.707292
1375420,"Melåsbergsvegen 197B, Heradsbygd",60.822698,11.728397
1635992,"Bækkemovegen 19, Heradsbygd",60.80569,11.716578
1636516,"Bækkemovegen 37, Heradsbygd",60.804211,11.719063
1636537,"Bækkemovegen 21, Heradsbygd",60.805364,11.716697
1636541,"Bækkemovegen 24, Heradsbygd",60.805619,11.717417
1636544,"Bækkemovegen 23, Heradsbygd",60.805039,11.717203
1636546,"Bækkemovegen 27, Heradsbygd",60.804148,11.717311
1636548,"Bækkemovegen 25, Heradsbygd",60.80464,11.71739
1636551,"Bækkemovegen 31, Heradsbygd",60.804627,11.718455
1636554,"Bækkemovegen 29, Heradsbygd",60.80438,11.717827
1637984,"Flotsvegen 1, Heradsbygd",60.826714,11.720441
1637990,"Flotsvegen 17, Heradsbygd",60.82776,11.722462
1637991,"Flotsvegen 13, Heradsbygd",60.827515,11.72257
1637992,"Flotsvegen 9, Heradsbygd",60.827315,11.721357
1637994,"Flotsvegen 6, Heradsbygd",60.82767,11.721111
1637995,"Flotsvegen 21, Heradsbygd",60.826834,11.722898
1637996,"Flotsvegen 19, Heradsbygd",60.82723,11.723337
1637997,"Flotsvegen 18, Heradsbygd",60.827909,11.721297
1638000,"Flotsvegen 25, Heradsbygd",60.82619,11.724555
1638179,"Flotsvegen 73, Heradsbygd",60.829225,11.729468
1638180,"Flotsvegen 89, Heradsbygd",60.82821,11.728591
1638182,"Flotsvegen 67, Heradsbygd",60.829547,11.726018
1638183,"Flotsvegen 71, Heradsbygd",60.829479,11.728901
1638277,"Flotsvegen 81, Heradsbygd",60.826978,11.727326
1638278,"Flotsvegen 85, Heradsbygd",60.827377,11.729384
1638279,"Flotsvegen 87, Heradsbygd",60.827799,11.728059
1638280,"Flotsvegen 59, Heradsbygd",60.827541,11.723952
1638285,"Flotsvegen 63, Heradsbygd",60.827611,11.725338
1638286,"Flotsvegen 79, Heradsbygd",60.827744,11.726766
1638287,"Flotsvegen 51, Heradsbygd",60.826843,11.724702
1638288,"Flotsvegen 53, Heradsbygd",60.827459,11.724865
1638289,"Flotsvegen 57, Heradsbygd",60.827467,11.723614
1638309,"Flotsvegen 48, Heradsbygd",60.830075,11.726578
1638311,"Flotsvegen 37, Heradsbygd",60.826554,11.734485
1638312,"Flotsvegen 44, Heradsbygd",60.82989,11.725955
1638313,"Flotsvegen 45, Heradsbygd",60.82655,11.728063
1638314,"Flotsvegen 27, Heradsbygd",60.826086,11.725263
1638316,"Flotsvegen 31, Heradsbygd",60.825289,11.726907
1638317,"Flotsvegen 65, Heradsbygd",60.828805,11.724501
1638318,"Flotsvegen 26, Heradsbygd",60.828887,11.723146
1638323,"Flotsvegen 40, Heradsbygd",60.829797,11.725211
1675381,"Hornbergsenga 179, Heradsbygd",60.781636,11.715055
1675382,"Hornbergsenga 173, Heradsbygd",60.783296,11.713817
1675383,"Hornbergsenga 195, Heradsbygd",60.779811,11.715561
1675384,"Hornbergsenga 157, Heradsbygd",60.783125,11.716908
1675385,"Hornbergsenga 115, Heradsbygd",60.795072,11.708086
1675386,"Hornbergsenga 169, Heradsbygd",60.783873,11.713259
1675387,"Hornbergsenga 165, Heradsbygd",60.784342,11.714475
1675388,"Hornbergsenga 4, Heradsbygd",60.794355,11.729716
1675389,"Hornbergsenga 81, Heradsbygd",60.788199,11.712578
1675390,"Hornbergsenga 5, Heradsbygd",60.794694,11.728954
1691420,"Kvernmovegen 34, Heradsbygd",60.808594,11.710682
1691422,"Kvernmovegen 28, Heradsbygd",60.80884,11.710059
1691424,"Kvernmovegen 20, Heradsbygd",60.809551,11.709972
1691426,"Kvernmovegen 24, Heradsbygd",60.809611,11.711467
1691428,"Kvernmovegen 22, Heradsbygd",60.80974,11.710834
1691736,"Kvernmovegen 58, Heradsbygd",60.80987,11.715093
1691737,"Kvernmovegen 54, Heradsbygd",60.80982,11.713544
1691738,"Kvernmovegen 49, Heradsbygd",60.809164,11.713562
1691740,"Kvernmovegen 45, Heradsbygd",60.808875,11.712765
1691741,"Kvernmovegen 44, Heradsbygd",60.80919,11.712314
1691742,"Kvernmovegen 42, Heradsbygd",60.809059,11.711659
1691743,"Kvernmovegen 39, Heradsbygd",60.808613,11.711934
1691744,"Kvernmovegen 38, Heradsbygd",60.808958,11.711338
1702476,"Lømosundvegen 2, Heradsbygd",60.807127,11.704563
1702477,"Lømosundvegen 4, Heradsbygd",60.806863,11.703842
1702478,"Lømosundvegen 10, Heradsbygd",60.806699,11.703534
1702479,"Lømosundvegen 8, Heradsbygd",60.806481,11.704086
1702480,"Lømosundvegen 123, Heradsbygd",60.800879,11.692269
1702481,"Lømosundvegen 11, Heradsbygd",60.807257,11.701209
1702482,"Lømosundvegen 125, Heradsbygd",60.800936,11.692992
1702784,"Prærievegen 234, Heradsbygd",60.827031,11.715849
1702786,"Prærievegen 218, Heradsbygd",60.826041,11.713263
1702788,"Prærievegen 206, Heradsbygd",60.82613,11.710639
1702942,"Movoldvegen 40, Heradsbygd",60.806893,11.724145
1702944,"Movoldvegen 42, Heradsbygd",60.806613,11.723754
1702950,"Movoldvegen 39, Heradsbygd",60.807137,11.723633
1702952,"Movoldvegen 34, Heradsbygd",60.807549,11.724551
1702954,"Movoldvegen 10, Heradsbygd",60.810101,11.723905
1702956,"Movoldvegen 49, Heradsbygd",60.806147,11.724137
1702958,"Movoldvegen 38, Heradsbygd",60.807168,11.724757
1703007,"Movoldvegen 3, Heradsbygd",60.809485,11.72078
1703011,"Movoldvegen 7, Heradsbygd",60.80901,11.721199
1703012,"Movoldvegen 6, Heradsbygd",60.809786,11.722791
1709211,"Nøtåsberget 6, Heradsbygd",60.837435,11.716677
1709212,"Nøtåsberget 16, Heradsbygd",60.838006,11.716854
1709213,"Nøtåsberget 24, Heradsbygd",60.838835,11.716759
1709214,"Nøtåsberget 22, Heradsbygd",60.8388,11.716241
1709215,"Nøtåsberget 25, Heradsbygd",60.838728,11.71802
1709216,"Nøtåsberget 31, Heradsbygd",60.839256,11.717255
1709217,"Nøtåsberget 43, Heradsbygd",60.840307,11.717234
1709218,"Nøtåsberget 48, Heradsbygd",60.841111,11.715701
1709221,"Nøtåsberget 49, Heradsbygd",60.840908,11.716843
1709223,"Nøtåsberget 55, Heradsbygd",60.841386,11.717233
1709512,"Nøtåsberget 63, Heradsbygd",60.842024,11.717177
1709514,"Nøtåsberget 98, Heradsbygd",60.842735,11.708235
1709517,"Nøtåsberget 100, Heradsbygd",60.842692,11.707274
1709519,"Nøtåsberget 102, Heradsbygd",60.842449,11.707696
1709521,"Nøtåsberget 104, Heradsbygd",60.842362,11.70802
1709523,"Nøtåsberget 123, Heradsbygd",60.846467,11.720961
1709524,"Nøtåsberget 122, Heradsbygd",60.846471,11.720298
1709553,"Nøtåsberget 124, Heradsbygd",60.846666,11.720867
1709554,"Nøtåsberget 126, Heradsbygd",60.846779,11.720601
1709555,"Nøtåsberget 166, Heradsbygd",60.846191,11.726111
1710011,"Nøtåsberget 181, Heradsbygd",60.845282,11.72885
1710013,"Nøtåsberget 190, Heradsbygd",60.844737,11.730037
1721419,"Melåsbergsvegen 300, Heradsbygd",60.832799,11.715823
1721420,"Melåsbergsvegen 327, Heradsbygd",60.833071,11.718349
1721421,"Melåsbergsvegen 339, Heradsbygd",60.835847,11.718346
1721422,"Melåsbergsvegen 337, Heradsbygd",60.835729,11.717586
1721425,"Melåsbergsvegen 394, Heradsbygd",60.839313,11.708664
1721470,"Melåsbergsvegen 180, Heradsbygd",60.821959,11.720552
1721471,"Melåsbergsvegen 187A, Heradsbygd",60.82317,11.722844
1721472,"Melåsbergsvegen 193, Heradsbygd",60.823011,11.726731
1721473,"Melåsbergsvegen 195, Heradsbygd",60.821947,11.727321
1721474,"Melåsbergsvegen 170, Heradsbygd",60.821099,11.720424
1721475,"Melåsbergsvegen 181, Heradsbygd",60.822282,11.721021
1721476,"Melåsbergsvegen 161, Heradsbygd",60.820398,11.722645
1721477,"Melåsbergsvegen 157, Heradsbygd",60.819433,11.724623
1721478,"Melåsbergsvegen 126, Heradsbygd",60.816784,11.722375
1721479,"Melåsbergsvegen 125, Heradsbygd",60.817293,11.724699
1721504,"Melåsbergsvegen 231, Heradsbygd",60.826462,11.721781
1721505,"Melåsbergsvegen 217, Heradsbygd",60.825636,11.720423
1721506,"Melåsbergsvegen 219, Heradsbygd",60.825349,11.722146
1721507,"Melåsbergsvegen 221, Heradsbygd",60.82557,11.722349
1721508,"Melåsbergsvegen 214, Heradsbygd",60.825262,11.718496
1721509,"Melåsbergsvegen 201, Heradsbygd",60.823971,11.720999
1721510,"Melåsbergsvegen 200, Heradsbygd",60.823759,11.719932
1721511,"Melåsbergsvegen 194, Heradsbygd",60.823269,11.720185
1721513,"Melåsbergsvegen 199, Heradsbygd",60.823343,11.720982
1721515,"Melåsbergsvegen 185, Heradsbygd",60.822778,11.723124
1721583,"Melåsbergsvegen 127, Heradsbygd",60.816898,11.72472
1721584,"Melåsbergsvegen 81, Heradsbygd",60.813177,11.723907
1721585,"Melåsbergsvegen 115, Heradsbygd",60.816405,11.723299
1721586,"Melåsbergsvegen 4, Heradsbygd",60.807686,11.715588
1721587,"Melåsbergsvegen 21, Heradsbygd",60.80897,11.716929
1721633,"Melåsbergsvegen 299, Heradsbygd",60.83253,11.719812
1721689,"Melåsbergsvegen 293, Heradsbygd",60.83181,11.718537
1721690,"Melåsbergsvegen 272, Heradsbygd",60.829942,11.717182
1721691,"Melåsbergsvegen 297, Heradsbygd",60.832142,11.719853
1721692,"Melåsbergsvegen 279, Heradsbygd",60.831482,11.720533
1721693,"Melåsbergsvegen 274, Heradsbygd",60.829198,11.717064
1721694,"Melåsbergsvegen 275, Heradsbygd",60.830888,11.719231
1721695,"Melåsbergsvegen 283, Heradsbygd",60.831041,11.718343
1721696,"Melåsbergsvegen 266, Heradsbygd",60.829149,11.718642
1721697,"Melåsbergsvegen 267, Heradsbygd",60.830068,11.719824
1721698,"Melåsbergsvegen 259, Heradsbygd",60.829278,11.719794
1721708,"Melåsbergsvegen 323, Heradsbygd",60.835106,11.722553
1721709,"Melåsbergsvegen 319, Heradsbygd",60.834245,11.722958
1721710,"Melåsbergsvegen 317, Heradsbygd",60.834537,11.721842
1721711,"Melåsbergsvegen 284, Heradsbygd",60.83109,11.717684
1721712,"Melåsbergsvegen 286, Heradsbygd",60.831398,11.717582
1721713,"Melåsbergsvegen 309, Heradsbygd",60.83287,11.724277
1721714,"Melåsbergsvegen 290, Heradsbygd",60.83167,11.717476
1721715,"Melåsbergsvegen 307, Heradsbygd",60.832349,11.723846
1721716,"Melåsbergsvegen 296, Heradsbygd",60.832034,11.715869
1721717,"Melåsbergsvegen 301, Heradsbygd",60.832805,11.719965
1725442,"Kverndalsvegen 23, Heradsbygd",60.806992,11.705011
1725443,"Kverndalsvegen 27, Heradsbygd",60.806749,11.704605
1725444,"Kverndalsvegen 25, Heradsbygd",60.807032,11.705695
1725445,"Kverndalsvegen 29, Heradsbygd",60.806686,11.7055
1725446,"Kverndalsvegen 28, Heradsbygd",60.807351,11.705943
1725447,"Kverndalsvegen 33, Heradsbygd",60.806582,11.706172
1725448,"Kverndalsvegen 73, Heradsbygd",60.806502,11.713704
1725449,"Kverndalsvegen 31, Heradsbygd",60.806958,11.706241
1725450,"Kverndalsvegen 85, Heradsbygd",60.806633,11.716143
1725451,"Kverndalsvegen 39, Heradsbygd",60.80665,11.707741
1725452,"Kverndalsvegen 69, Heradsbygd",60.805991,11.713201
1725485,"Kverndalsvegen 126, Heradsbygd",60.804425,11.720038
1725486,"Kverndalsvegen 135, Heradsbygd",60.803669,11.720084
1725487,"Kverndalsvegen 89, Heradsbygd",60.806813,11.716986
1725488,"Kverndalsvegen 90, Heradsbygd",60.807419,11.716816
1725489,"Kverndalsvegen 153, Heradsbygd",60.802452,11.722536
1725490,"Kverndalsvegen 140, Heradsbygd",60.803896,11.720857
1725491,"Kverndalsvegen 150, Heradsbygd",60.802974,11.722911
1725622,"Kverndalsvegen 157, Heradsbygd",60.802109,11.72304
1725625,"Kverndalsvegen 159, Heradsbygd",60.801624,11.723459
1725748,"Kverndalsvegen 41, Heradsbygd",60.806435,11.708164
1725749,"Kverndalsvegen 43, Heradsbygd",60.806561,11.708597
1725751,"Kverndalsvegen 35, Heradsbygd",60.806268,11.707083
1725752,"Kverndalsvegen 40, Heradsbygd",60.807165,11.708483
1725754,"Kverndalsvegen 53, Heradsbygd",60.806318,11.709919
1725756,"Kverndalsvegen 55, Heradsbygd",60.806293,11.710303
1725757,"Kverndalsvegen 45, Heradsbygd",60.806572,11.708911
1725759,"Kverndalsvegen 47, Heradsbygd",60.806465,11.709307
1725762,"Kverndalsvegen 57, Heradsbygd",60.806302,11.711168
1726392,"Lømovegen 13, Heradsbygd",60.805635,11.708151
1726393,"Lømovegen 14, Heradsbygd",60.805026,11.708523
1726395,"Lømovegen 16, Heradsbygd",60.804842,11.708728
1726396,"Lømovegen 17, Heradsbygd",60.805214,11.707638
1726397,"Lømovegen 21, Heradsbygd",60.80497,11.707286
1726399,"Lømovegen 25, Heradsbygd",60.805226,11.706609
1726401,"Lømovegen 100, Heradsbygd",60.799751,11.697892
1726406,"Lømovegen 5, Heradsbygd",60.806093,11.708631
1726413,"Lømovegen 102, Heradsbygd",60.800027,11.697584
1732460,"Prærievegen 168, Heradsbygd",60.821636,11.70899
1732481,"Prærievegen 253, Heradsbygd",60.826496,11.718785
1732482,"Prærievegen 186, Heradsbygd",60.823363,11.711546
1732483,"Prærievegen 181, Heradsbygd",60.822772,11.712784
1732484,"Prærievegen 177, Heradsbygd",60.821209,11.713645
1732771,"Prærievegen 117, Heradsbygd",60.817228,11.710603
1732787,"Prærievegen 40, Heradsbygd",60.811753,11.709018
1732789,"Prærievegen 35, Heradsbygd",60.810488,11.709426
1732790,"Prærievegen 10, Heradsbygd",60.80938,11.7033
1732791,"Prærievegen 2, Heradsbygd",60.808621,11.701747
1732792,"Prærievegen 6, Heradsbygd",60.809109,11.702487
1732793,"Prærievegen 161, Heradsbygd",60.819554,11.716429
1732794,"Prærievegen 160, Heradsbygd",60.820827,11.708995
1732795,"Prærievegen 159, Heradsbygd",60.819457,11.715906
1732796,"Prærievegen 151, Heradsbygd",60.81984,11.716049
1732797,"Prærievegen 145, Heradsbygd",60.820563,11.712284
1732798,"Prærievegen 143, Heradsbygd",60.820092,11.71114
1732799,"Prærievegen 129, Heradsbygd",60.818403,11.710684
1732800,"Prærievegen 126, Heradsbygd",60.817615,11.705246
1732801,"Prærievegen 122, Heradsbygd",60.817723,11.708346
1732887,"Prærievegen 102, Heradsbygd",60.815822,11.709086
1732888,"Prærievegen 93, Heradsbygd",60.815204,11.710745
1732889,"Prærievegen 72, Heradsbygd",60.813214,11.710558
1732890,"Prærievegen 69, Heradsbygd",60.813399,11.713388
1732891,"Prærievegen 67, Heradsbygd",60.813126,11.713125
1734936,"Prærievegen 42, Heradsbygd",60.811982,11.708817
1734938,"Prærievegen 28, Heradsbygd",60.81272,11.705642
1734940,"Melåsbergsvegen 155, Heradsbygd",60.819549,11.722904
1737182,"Skybakkgrenda 3, Heradsbygd",60.802201,11.724703
1737183,"Skybakkgrenda 10, Heradsbygd",60.803137,11.725499
1737184,"Skybakkgrenda 9, Heradsbygd",60.802535,11.725062
1737185,"Skybakkgrenda 7, Heradsbygd",60.801658,11.724895
1737186,"Skybakkgrenda 5, Heradsbygd",60.801746,11.725436
1737187,"Skybakkgrenda 17, Heradsbygd",60.802688,11.725958
1737188,"Skybakkgrenda 15, Heradsbygd",60.802496,11.727412
1737189,"Skybakkgrenda 13, Heradsbygd",60.802015,11.725882
1737190,"Skybakkgrenda 11, Heradsbygd",60.802466,11.726711
1737191,"Skybakkgrenda 19, Heradsbygd",60.802834,11.726687
1737401,"Skybakkgrenda 70, Heradsbygd",60.80393,11.742133
1737403,"Skybakkgrenda 82, Heradsbygd",60.802805,11.737827
1737404,"Skybakkgrenda 83, Heradsbygd",60.802302,11.735633
1737406,"Skybakkgrenda 85, Heradsbygd",60.801693,11.736003
1737407,"Skybakkgrenda 91, Heradsbygd",60.800495,11.737923
1737410,"Skybakkgrenda 68, Heradsbygd",60.803856,11.741814
1737412,"Skybakkgrenda 74, Heradsbygd",60.80253,11.740745
1737413,"Skybakkgrenda 76, Heradsbygd",60.802243,11.741603
1737414,"Skybakkgrenda 78, Heradsbygd",60.802199,11.742445
1737416,"Skybakkgrenda 89, Heradsbygd",60.800707,11.737647
1737486,"Skybakkgrenda 99, Heradsbygd",60.80105,11.738872
1737487,"Skybakkgrenda 115, Heradsbygd",60.800094,11.740831
1737489,"Skybakkgrenda 144, Heradsbygd",60.800273,11.746141
1737496,"Skybakkgrenda 98, Heradsbygd",60.801608,11.740151
1755504,"Prærievegen 158, Heradsbygd",60.821038,11.709233
1757770,"Sydhallvegen 106, Heradsbygd",60.805684,11.736767
1757771,"Sydhallvegen 102, Heradsbygd",60.804892,11.736387
1757772,"Sydhallvegen 100, Heradsbygd",60.805204,11.736046
1757773,"Sydhallvegen 62, Heradsbygd",60.807957,11.731886
1757775,"Sydhallvegen 44, Heradsbygd",60.8095,11.729369
1757776,"Sydhallvegen 32, Heradsbygd",60.809995,11.728437
1757779,"Sydhallvegen 26, Heradsbygd",60.810566,11.727713
1757807,"Sydhallvegen 9, Heradsbygd",60.811089,11.724557
1757816,"Sydhallvegen 22, Heradsbygd",60.810816,11.727385
1757826,"Sydhallvegen 20, Heradsbygd",60.811091,11.727077
1757828,"Sydhallvegen 10, Heradsbygd",60.81239,11.725054
1767770,"Surtjennsvegen 24, Heradsbygd",60.80907,11.697757
1767771,"Solørvegen 1244, Heradsbygd",60.808538,11.696922
1767772,"Surtjennsvegen 26, Heradsbygd",60.809091,11.698053
1767773,"Solørvegen 1218, Heradsbygd",60.808838,11.69452
1767977,"Solørvegen 1809, Heradsbygd",60.769835,11.734315
1768065,"Surtjennsvegen 137, Heradsbygd",60.812911,11.684508
1768087,"Solørvegen 1214, Heradsbygd",60.809077,11.693448
1768089,"Surtjennsvegen 68, Heradsbygd",60.810561,11.691501
1768090,"Solørvegen 1206, Heradsbygd",60.809271,11.691761
1768092,"Solørvegen 1180, Heradsbygd",60.810135,11.687162
1768094,"Surtjennsvegen 66, Heradsbygd",60.810164,11.69202
1768099,"Surtjennsvegen 95, Heradsbygd",60.811288,11.687903
1768101,"Surtjennsvegen 80, Heradsbygd",60.810412,11.688583
1768105,"Surtjennsvegen 93, Heradsbygd",60.811334,11.686987
1768108,"Surtjennsvegen 140, Heradsbygd",60.813923,11.682677
1768120,"Solørvegen 1484, Heradsbygd",60.797355,11.727986
1768121,"Solørvegen 1494, Heradsbygd",60.796736,11.730599
1768122,"Solørvegen 1256, Heradsbygd",60.808252,11.699527
1768123,"Solørvegen 1258, Heradsbygd",60.808199,11.699964
1768124,"Solørvegen 1252, Heradsbygd",60.80845,11.698183
1768125,"Solørvegen 1254, Heradsbygd",60.808337,11.698873
1768126,"Surtjennsvegen 22, Heradsbygd",60.808948,11.698446
1768133,"Solørvegen 1506, Heradsbygd",60.796049,11.729474
1768134,"Solørvegen 1496, Heradsbygd",60.795893,11.732273
1768135,"Solørvegen 1505, Heradsbygd",60.795648,11.728447
1772785,"Flotsvegen 61, Heradsbygd",60.828037,11.724712
1793232,"Solørvegen 1230, Heradsbygd",60.808727,11.696496
1803523,"Kverndalsvegen 132, Heradsbygd",60.804195,11.720312
1805111,"Kverndalsvegen 37, Heradsbygd",60.80666,11.706694
1818064,"Borgåsvegen 358, Heradsbygd",60.801725,11.804512
1818066,"Borgåsvegen 363, Heradsbygd",60.800779,11.805514
1818067,"Borgåsvegen 367, Heradsbygd",60.800365,11.805956
1818068,"Borgåsvegen 382, Heradsbygd",60.80099,11.806599
1818069,"Borgåsvegen 354, Heradsbygd",60.801523,11.803447
1818070,"Borgåsvegen 356, Heradsbygd",60.801451,11.803863
1818071,"Borgåsvegen 357, Heradsbygd",60.801179,11.804832
1818109,"Borgåsvegen 386, Heradsbygd",60.802001,11.807662
1818110,"Borgåsvegen 390, Heradsbygd",60.801725,11.808796
1818111,"Borgåsvegen 391, Heradsbygd",60.801017,11.810444
1818441,"Borgåsvegen 392, Heradsbygd",60.802037,11.809338
1818443,"Borgåsvegen 396, Heradsbygd",60.801619,11.811288
1818445,"Borgåsvegen 398, Heradsbygd",60.801816,11.812187
1818467,"Borgåsvegen 353, Heradsbygd",60.801155,11.803894
1818468,"Borgåsvegen 348, Heradsbygd",60.802554,11.805706
1818469,"Borgåsvegen 344, Heradsbygd",60.801777,11.802016
1818470,"Borgåsvegen 292, Heradsbygd",60.802086,11.793255
1818472,"Borgåsvegen 128, Heradsbygd",60.798677,11.771319
1818473,"Borgåsvegen 22, Heradsbygd",60.801823,11.760799
1818475,"Borgåsvegen 325, Heradsbygd",60.797578,11.797899
1818476,"Borgåsvegen 323, Heradsbygd",60.797836,11.798013
1818477,"Borgåsvegen 319, Heradsbygd",60.799333,11.797298
1818478,"Borgåsvegen 300, Heradsbygd",60.802369,11.794309
1827014,"Skybakkgrenda 100, Heradsbygd",60.801562,11.740203
2013191,"Melåsbergsvegen 187B, Heradsbygd",60.823152,11.722861
2025783,"Sydhallvegen 108, Heradsbygd",60.805745,11.736386
2033401,"Melåsbergsvegen 321, Heradsbygd",60.833735,11.723301
2330453,"Hornbergsenga 167, Heradsbygd",60.784556,11.715289
2455281,"Movoldvegen 5, Heradsbygd",60.809299,11.721132
