,Navn,Long,Lat
22605,"33/152, Østby",61.260316,12.481255
22609,"31/65, Østby",61.247174,12.527234
22611,"5/63, Østby",61.160353,12.683945
22616,"16/112, Østby",61.247291,12.557839
22621,"6/13, Ljørdalen",61.22085,12.785863
22627,"17/142, Østby",61.25659,12.546614
22628,"5/29, Østby",61.225399,12.549269
22638,"15/47, Østby",61.288067,12.557715
22639,"16/46, Østby",61.275041,12.520769
22640,"37/17, Østby",61.29133,12.533652
22642,"32/23, Østby",61.239072,12.569963
22643,"17/56, Østby",61.265508,12.59221
22644,"16/15, Østby",61.23664,12.576997
22645,"33/71, Østby",61.266703,12.502624
22646,"17/3, Østby",61.270151,12.679117
22648,"6/25, Østby",61.190989,12.683745
22649,"9/80, Østby",61.248981,12.728261
22656,"6/6/2, Ljørdalen",61.224229,12.780117
22661,"9/79, Østby",61.211274,12.74856
30236,"33/57, Østby",61.253304,12.497417
31123,"16/27, Østby",61.260167,12.543145
54863,"14/157, Østby",61.32531,12.574979
1267778,"Kvernmosætervegen 565, Østby",61.315465,12.473225
1267779,"Kvernmosætervegen 691, Østby",61.322543,12.492613
1267780,"Kvernmosætervegen 683, Østby",61.322231,12.491793
1267784,"Kvernmosætervegen 673, Østby",61.321366,12.491902
1277839,"Ryskdalen hytteområde 143, Østby",61.322997,12.618991
1277840,"Ryskdalen hytteområde 138, Østby",61.321465,12.619132
1277841,"Ryskdalen hytteområde 147, Østby",61.323687,12.616341
1277842,"Ryskdalen hytteområde 134, Østby",61.32059,12.617236
1277843,"Ryskdalen hytteområde 133, Østby",61.321334,12.616967
1277844,"Ryskdalen hytteområde 144, Østby",61.323008,12.616879
1277845,"Ryskdalen hytteområde 149, Østby",61.324311,12.615889
1277846,"Ryskdalen hytteområde 137, Østby",61.321039,12.618952
1277847,"Ryskdalen hytteområde 141, Østby",61.322424,12.619243
1277848,"Ryskdalen hytteområde 145, Østby",61.323461,12.618091
1277849,"Ryskdalen hytteområde 131, Østby",61.321054,12.615682
1277850,"Ryskdalen hytteområde 140, Østby",61.322181,12.617887
1277852,"Ryskdalen hytteområde 135, Østby",61.320695,12.61837
1277854,"Ryskdalen hytteområde 136, Østby",61.321233,12.618058
1277855,"Ryskdalen hytteområde 150, Østby",61.324337,12.617612
1277856,"Ryskdalen hytteområde 148, Østby",61.323733,12.615299
1277857,"Ryskdalen hytteområde 132, Østby",61.320618,12.616192
1277858,"Ryskdalen hytteområde 146, Østby",61.323774,12.617781
1277859,"Ryskdalen hytteområde 142, Østby",61.322776,12.617844
1277943,"Ryskdalen hytteområde 84, Østby",61.318688,12.610379
1277944,"Ryskdalen hytteområde 83, Østby",61.318532,12.609152
1277945,"Ryskdalen hytteområde 112, Østby",61.317974,12.609848
1277946,"Ryskdalen hytteområde 106, Østby",61.317599,12.613787
1277947,"Ryskdalen hytteområde 128, Østby",61.3151,12.616173
1277948,"Ryskdalen hytteområde 125, Østby",61.313637,12.615107
1277949,"Ryskdalen hytteområde 113, Østby",61.317454,12.610125
1277950,"Ryskdalen hytteområde 111, Østby",61.317622,12.610892
1277951,"Ryskdalen hytteområde 116, Østby",61.317731,12.608156
1277952,"Ryskdalen hytteområde 109, Østby",61.31838,12.611148
1277953,"Ryskdalen hytteområde 114, Østby",61.317604,12.609208
1277954,"Ryskdalen hytteområde 115, Østby",61.31722,12.609126
1277955,"Ryskdalen hytteområde 107, Østby",61.3184,12.613412
1277956,"Ryskdalen hytteområde 110, Østby",61.317955,12.611847
1277957,"Ryskdalen hytteområde 129, Østby",61.315825,12.615939
1277958,"Ryskdalen hytteområde 127, Østby",61.314443,12.616228
1277959,"Ryskdalen hytteområde 117, Østby",61.317341,12.614693
1277960,"Ryskdalen hytteområde 119, Østby",61.315935,12.614194
1277961,"Ryskdalen hytteområde 102, Østby",61.319062,12.614536
1277962,"Ryskdalen hytteområde 130, Østby",61.316448,12.615861
1277963,"Ryskdalen hytteområde 121, Østby",61.31515,12.614309
1277964,"Ryskdalen hytteområde 103, Østby",61.318926,12.613567
1277965,"Ryskdalen hytteområde 118, Østby",61.316674,12.614803
1277966,"Ryskdalen hytteområde 122, Østby",61.314685,12.614218
1277967,"Ryskdalen hytteområde 108, Østby",61.318942,12.612316
1277968,"Ryskdalen hytteområde 120, Østby",61.315501,12.614948
1277969,"Ryskdalen hytteområde 126, Østby",61.314097,12.616711
1277970,"Ryskdalen hytteområde 123, Østby",61.314325,12.613578
1277971,"Ryskdalen hytteområde 45, Østby",61.323595,12.61173
1277972,"Ryskdalen hytteområde 37, Østby",61.323167,12.611587
1277973,"Ryskdalen hytteområde 32, Østby",61.322002,12.609452
1277974,"Ryskdalen hytteområde 31, Østby",61.321622,12.609521
1277975,"Ryskdalen hytteområde 105, Østby",61.318039,12.61481
1277976,"Ryskdalen hytteområde 35, Østby",61.322935,12.609485
1277977,"Ryskdalen hytteområde 104, Østby",61.318347,12.614397
1277978,"Ryskdalen hytteområde 56, Østby",61.321825,12.607655
1277979,"Ryskdalen hytteområde 42, Østby",61.324353,12.610602
1277980,"Ryskdalen hytteområde 48, Østby",61.320015,12.610476
1277981,"Ryskdalen hytteområde 34, Østby",61.322628,12.609225
1277982,"Ryskdalen hytteområde 40, Østby",61.323471,12.609266
1277983,"Ryskdalen hytteområde 41, Østby",61.323934,12.610105
1277985,"Ryskdalen hytteområde 43, Østby",61.324751,12.611153
1277987,"Ryskdalen hytteområde 71, Østby",61.321303,12.603613
1277989,"Ryskdalen hytteområde 81, Østby",61.319291,12.607962
1277990,"Ryskdalen hytteområde 86, Østby",61.319554,12.610573
1277991,"Ryskdalen hytteområde 87, Østby",61.31912,12.611027
1277992,"Ryskdalen hytteområde 33, Østby",61.32227,12.609165
1277993,"Ryskdalen hytteområde 47, Østby",61.320173,12.61128
1277994,"Ryskdalen hytteområde 74, Østby",61.320998,12.605616
1277996,"Ryskdalen hytteområde 36, Østby",61.322999,12.610481
1277998,"Ryskdalen hytteområde 80, Østby",61.319544,12.607225
1278002,"Ryskdalen hytteområde 55, Østby",61.321542,12.608464
1278003,"Ryskdalen hytteområde 4, Østby",61.320746,12.614412
1278004,"Ryskdalen hytteområde 88, Østby",61.319653,12.611575
1278087,"Kvernmosætervegen 301, Østby",61.293933,12.466191
1278088,"Kvernmosætervegen 81, Østby",61.27491,12.482648
1278089,"Kvernmosætervegen 65, Østby",61.273,12.481843
1278145,"Kvernmosætervegen 735, Østby",61.322247,12.495184
1278146,"Kvernmosætervegen 659, Østby",61.322635,12.48937
1278155,"Kvernmosætervegen 737, Østby",61.322585,12.495853
1278157,"Kvernmosætervegen 733, Østby",61.322128,12.494736
1278159,"Kvernmosætervegen 700, Østby",61.321723,12.494092
1278164,"Kvernmosætervegen 401, Østby",61.30177,12.471784
1278166,"Kvernmosætervegen 397, Østby",61.300652,12.470203
1278169,"Kvernmosætervegen 399, Østby",61.30126,12.470289
1278216,"Ryskdalen hytteområde 188, Østby",61.328732,12.600369
1278219,"Ryskdalen hytteområde 165, Østby",61.325159,12.601905
1278222,"Ryskdalen hytteområde 167, Østby",61.325563,12.60227
1278225,"Ryskdalen hytteområde 168, Østby",61.325844,12.601479
1278228,"Ryskdalen hytteområde 189, Østby",61.328494,12.601204
1278231,"Ryskdalen hytteområde 182, Østby",61.327685,12.598137
1278233,"Ryskdalen hytteområde 183, Østby",61.329027,12.59904
1278236,"Ryskdalen hytteområde 191, Østby",61.328159,12.601296
1278239,"Ryskdalen hytteområde 185, Østby",61.329241,12.60114
1278242,"Ryskdalen hytteområde 181, Østby",61.327338,12.598359
1278245,"Ryskdalen hytteområde 180, Østby",61.328613,12.599067
1278248,"Ryskdalen hytteområde 196, Østby",61.327321,12.600676
1278250,"Ryskdalen hytteområde 179, Østby",61.328334,12.599091
1278252,"Ryskdalen hytteområde 184, Østby",61.329323,12.599973
1278254,"Ryskdalen hytteområde 178, Østby",61.328051,12.599264
1278257,"Ryskdalen hytteområde 200, Østby",61.326539,12.602045
1278262,"Ryskdalen hytteområde 162, Østby",61.324912,12.602382
1278269,"Ryskdalen hytteområde 175, Østby",61.327168,12.600023
1278272,"Ryskdalen hytteområde 164, Østby",61.32496,12.600947
1278274,"Ryskdalen hytteområde 169, Østby",61.326073,12.601337
1278277,"Ryskdalen hytteområde 202, Østby",61.326021,12.602622
1278360,"Østre Trysilvegen 1039, Østby",61.285122,12.452631
1278416,"Kvernmosætervegen 59, Østby",61.272661,12.482735
1278430,"Ryskdalen hytteområde 190, Østby",61.328335,12.6004
1278431,"Ryskdalen hytteområde 172, Østby",61.326852,12.600417
1278432,"Ryskdalen hytteområde 187, Østby",61.328866,12.601249
1278433,"Ryskdalen hytteområde 170, Østby",61.326528,12.60109
1278434,"Ryskdalen hytteområde 192, Østby",61.327792,12.601217
1278435,"Ryskdalen hytteområde 199, Østby",61.326401,12.601506
1278436,"Kvernmosætervegen 101, Østby",61.276298,12.483549
1278437,"Kvernmosætervegen 131, Østby",61.278982,12.484015
1278438,"Kvernmosætervegen 63, Østby",61.273047,12.481243
1278439,"Kvernmosætervegen 305, Østby",61.293507,12.470216
1278440,"Kvernmosætervegen 73, Østby",61.273836,12.483183
1278441,"Kvernmosætervegen 299, Østby",61.292384,12.467738
1278444,"Kvernmosætervegen 35, Østby",61.270733,12.482223
1278445,"Kvernmosætervegen 34, Østby",61.270557,12.483846
1278446,"Ryskdalen hytteområde 46, Østby",61.323607,12.612947
1278447,"Ryskdalen hytteområde 44, Østby",61.324181,12.611648
1278448,"Ryskdalen hytteområde 75, Østby",61.320593,12.604952
1278449,"Ryskdalen hytteområde 79, Østby",61.319966,12.605908
1278450,"Ryskdalen hytteområde 54, Østby",61.321214,12.606295
1278451,"Ryskdalen hytteområde 21, Østby",61.323047,12.614415
1278452,"Ryskdalen hytteområde 11, Østby",61.320654,12.611802
1278453,"Ryskdalen hytteområde 91, Østby",61.318464,12.607306
1278454,"Ryskdalen hytteområde 19, Østby",61.322352,12.612821
1278455,"Ryskdalen hytteområde 65, Østby",61.322898,12.60445
1278456,"Ryskdalen hytteområde 8, Østby",61.321377,12.612989
1278457,"Ryskdalen hytteområde 73, Østby",61.321207,12.605191
1278458,"Ryskdalen hytteområde 6, Østby",61.32118,12.614649
1278459,"Ryskdalen hytteområde 82, Østby",61.319199,12.608718
1278460,"Ryskdalen hytteområde 67, Østby",61.321762,12.603235
1278461,"Ryskdalen hytteområde 2, Østby",61.320465,12.613164
1278462,"Ryskdalen hytteområde 96, Østby",61.319287,12.605419
1278463,"Ryskdalen hytteområde 72, Østby",61.320993,12.604101
1278464,"Ryskdalen hytteområde 53, Østby",61.321165,12.607449
1278465,"Ryskdalen hytteområde 89, Østby",61.318689,12.607949
1278466,"Ryskdalen hytteområde 90, Østby",61.318945,12.6068
1278467,"Ryskdalen hytteområde 78, Østby",61.320215,12.606685
1278468,"Ryskdalen hytteområde 63, Østby",61.322335,12.60433
