,Navn,Long,Lat
22604,"69/3, Plassen",61.059731,12.553118
22615,"70/42, Plassen",61.057265,12.464123
22624,"1/23, Plassen",61.092558,12.595672
22625,"3/47/1, Plassen",61.129712,12.52088
22626,"3/4, Plassen",61.113735,12.589814
30206,"1/115, Plassen",61.09066,12.663185
1277860,"Grønengvegen 470, Plassen",61.104734,12.547123
1277861,"Grønengvegen 468, Plassen",61.104961,12.547055
1277862,"Grønengvegen 13, Plassen",61.137279,12.505329
1277863,"Grønengvegen 15, Plassen",61.137408,12.505901
1278443,"Skjærbergsvegen 710, Plassen",61.080894,12.451715
1280485,"Elvdalsvegen 2441, Plassen",61.090003,12.57374
1280499,"Østaflovegen 310, Plassen",61.096276,12.586979
1280504,"Grønengvegen 80, Plassen",61.132195,12.513184
1280517,"Grønengvegen 690, Plassen",61.113275,12.578673
1281301,"Grønengvegen 345, Plassen",61.114694,12.539844
1892027,"Grønengvegen 326, Plassen",61.116217,12.538378
1905906,"Skjærbergsvegen 246, Plassen",61.111656,12.495356
1905908,"Skjærbergsvegen 16, Plassen",61.13051,12.505042
1905909,"Skjærbergsvegen 2, Plassen",61.131383,12.507425
1905910,"Skjærbergsvegen 1, Plassen",61.13119,12.507972
1905924,"Rundflovegen 2431, Plassen",61.114948,12.422575
1905927,"Rundflovegen 1830, Plassen",61.06553,12.379868
1905979,"Galåsvegen 1637, Plassen",61.13409,12.506666
1905981,"Galåsvegen 1635, Plassen",61.134947,12.503397
1905995,"Bustadvegen 163, Plassen",61.080405,12.629392
1905998,"Bustadvegen 153, Plassen",61.080343,12.621265
1906001,"Bustadvegen 151, Plassen",61.080192,12.627538
1906003,"Bustadvegen 149, Plassen",61.078523,12.62679
1906005,"Bustadvegen 148, Plassen",61.079008,12.631132
1906007,"Bustadvegen 138, Plassen",61.080737,12.631683
1906010,"Bustadvegen 107, Plassen",61.076492,12.631474
1906012,"Bustadvegen 109, Plassen",61.076982,12.630603
1906013,"Bustadvegen 111, Plassen",61.076234,12.631018
1906014,"Bustadvegen 106, Plassen",61.078969,12.644598
1906015,"Stampen 27, Plassen",61.132486,12.501838
1906016,"Stampen 37, Plassen",61.132919,12.500515
1906042,"Galåsvegen 1633, Plassen",61.135027,12.503778
1906044,"Galåsvegen 1631, Plassen",61.135205,12.503872
1906070,"Skjærbergsvegen 751, Plassen",61.078849,12.457856
1906071,"Skjærbergsvegen 741, Plassen",61.079611,12.456882
1906072,"Skjærbergsvegen 725, Plassen",61.080731,12.454574
1906073,"Skjærbergsvegen 714, Plassen",61.080789,12.452632
1906074,"Skjærbergsvegen 701, Plassen",61.081913,12.451901
1906075,"Skjærbergsvegen 673, Plassen",61.084238,12.451301
1906076,"Skjærbergsvegen 667, Plassen",61.084977,12.451938
1906077,"Skjærbergsvegen 625, Plassen",61.0887,12.453198
1906078,"Skjærbergsvegen 615, Plassen",61.0895,12.453582
1906079,"Skjærbergsvegen 590, Plassen",61.091307,12.456377
1906082,"Stampen 11, Plassen",61.131975,12.504369
1906083,"Stampen 25, Plassen",61.132315,12.502678
1906159,"Skjærbergsvegen 915, Plassen",61.066388,12.471741
1906160,"Skjærbergsvegen 815, Plassen",61.073641,12.461925
1906163,"Skjærbergsvegen 814, Plassen",61.073266,12.460419
1906165,"Skjærbergsvegen 798, Plassen",61.074609,12.459211
1906167,"Nord-Dahlsvegen 7, Plassen",61.084494,12.449028
1906168,"Skjærbergsvegen 762, Plassen",61.077545,12.458413
1906170,"Nord-Dahlsvegen 6, Plassen",61.085356,12.450124
1906172,"Nord-Dahlsvegen 27, Plassen",61.085643,12.447334
1906174,"Nord-Dahlsvegen 40, Plassen",61.086969,12.445381
1906188,"Bustadvegen 185, Plassen",61.082052,12.628233
1906189,"Bustadvegen 169, Plassen",61.080729,12.629641
1906248,"Bustadvegen 167, Plassen",61.08074,12.629304
1906287,"Bustadvegen 41, Plassen",61.070173,12.633143
1906299,"Bustadvegen 47, Plassen",61.071797,12.632284
1906302,"Synnaåvegen 110, Plassen",61.054271,12.599096
1906317,"Rundflovegen 2433, Plassen",61.114481,12.423267
1906332,"Rundflovegen 2928, Plassen",61.069366,12.518122
1906333,"Rundflovegen 2706, Plassen",61.070218,12.481453
1906334,"Rundflovegen 2682, Plassen",61.064023,12.474781
1906335,"Rundflovegen 2551, Plassen",61.074602,12.45704
1906336,"Rundflovegen 2533, Plassen",61.077386,12.45252
1906337,"Rundflovegen 2531, Plassen",61.078044,12.451739
1906338,"Rundflovegen 2483, Plassen",61.077995,12.446984
1906339,"Synnaåvegen 102, Plassen",61.054868,12.601278
1906340,"Synnaåvegen 68, Plassen",61.057863,12.604585
1906341,"Synnaåvegen 84, Plassen",61.056613,12.60257
1906342,"Synnaåvegen 62, Plassen",61.058412,12.604202
1906343,"Synnaåvegen 66, Plassen",61.057982,12.604154
1906344,"Synnaåvegen 34, Plassen",61.060602,12.605991
1906345,"Synnaåvegen 25, Plassen",61.059546,12.608856
1906347,"Synnaåvegen 10, Plassen",61.062746,12.605808
1906349,"Synnaåvegen 20, Plassen",61.061874,12.605839
1906350,"Synnaåvegen 2, Plassen",61.063372,12.606603
1906408,"Stampen 45, Plassen",61.133289,12.499069
1906409,"Stampen 51, Plassen",61.133284,12.498213
1906410,"Stampen 55, Plassen",61.133612,12.49561
1906413,"Stampen 88, Plassen",61.134682,12.491789
1906415,"Stampen 96, Plassen",61.134978,12.490762
1906464,"Vestigardsvegen 20, Plassen",61.060191,12.593297
1906465,"Vestigardsvegen 22, Plassen",61.0601,12.593999
1906466,"Vestigardsvegen 24, Plassen",61.060052,12.594715
1906467,"Borveggvegen 160, Plassen",61.063532,12.609681
1906468,"Borveggvegen 246, Plassen",61.063326,12.624735
1906469,"Borveggvegen 613, Plassen",61.077258,12.682475
1906470,"Borveggvegen 621, Plassen",61.079539,12.687119
1906472,"Vestigardsvegen 14, Plassen",61.062431,12.59101
1906473,"Vestigardsvegen 16, Plassen",61.060135,12.591889
1906474,"Vestigardsvegen 18, Plassen",61.060138,12.592807
1906527,"Østaflovegen 253, Plassen",61.085379,12.591887
1906529,"Østaflovegen 319, Plassen",61.088953,12.584886
1906530,"Østaflovegen 321, Plassen",61.089192,12.584024
1906531,"Østaflovegen 425, Plassen",61.093348,12.567249
1906532,"Østaflovegen 523, Plassen",61.100824,12.559087
1906533,"Østaflovegen 552, Plassen",61.103159,12.563268
1906558,"Vestigardsvegen 45, Plassen",61.062915,12.598465
1906559,"Vestigardsvegen 47, Plassen",61.061666,12.596765
1906560,"Vestigardsvegen 49, Plassen",61.061629,12.596835
1906562,"Vestigardsvegen 74, Plassen",61.059558,12.600346
1906563,"Vestigardsvegen 85, Plassen",61.059319,12.602544
1906565,"Vestigardsvegen 26, Plassen",61.062225,12.593342
1906566,"Vestigardsvegen 36, Plassen",61.06174,12.593343
1906567,"Vestigardsvegen 46, Plassen",61.060612,12.596182
1906568,"Vestigardsvegen 48, Plassen",61.061246,12.597033
1906569,"Vestigardsvegen 43, Plassen",61.062582,12.598483
1906697,"Østaflovegen 102, Plassen",61.074754,12.580442
1906700,"Østaflovegen 121, Plassen",61.076067,12.581796
1906702,"Østaflovegen 135, Plassen",61.076979,12.58433
1906704,"Østaflovegen 143, Plassen",61.07731,12.58472
1906706,"Østaflovegen 171, Plassen",61.07956,12.585624
1906708,"Borveggvegen 22, Plassen",61.065292,12.583786
1906709,"Borveggvegen 116, Plassen",61.063265,12.601843
1906710,"Borveggvegen 134, Plassen",61.063244,12.603992
1906711,"Borveggvegen 147, Plassen",61.063772,12.606778
1906712,"Borveggvegen 155, Plassen",61.064267,12.608095
1906727,"Østaflovegen 173, Plassen",61.080167,12.585785
1906728,"Østaflovegen 175, Plassen",61.080416,12.586261
1906729,"Østaflovegen 187, Plassen",61.081216,12.590354
1906730,"Østaflovegen 209, Plassen",61.082027,12.59186
1906731,"Østaflovegen 235, Plassen",61.0833,12.591299
1906740,"Vestigardsvegen 44, Plassen",61.06047,12.595695
1906752,"Østaflovegen 23, Plassen",61.068242,12.582339
1906770,"Borveggvegen 18, Plassen",61.065534,12.583146
1906771,"Borveggvegen 20, Plassen",61.065364,12.583442
1907250,"Elvdalsvegen 1853, Plassen",61.132259,12.507262
1907251,"Elvdalsvegen 1857, Plassen",61.131698,12.507404
1907252,"Elvdalsvegen 1861, Plassen",61.131677,12.508238
1907253,"Elvdalsvegen 1868, Plassen",61.131007,12.508759
1907281,"Elvdalsvegen 1784, Plassen",61.13507,12.496255
1907283,"Elvdalsvegen 1786, Plassen",61.135129,12.497079
1907290,"Elvdalsvegen 1806, Plassen",61.134381,12.499952
1907292,"Elvdalsvegen 1810, Plassen",61.134175,12.50097
1907293,"Elvdalsvegen 1851, Plassen",61.132387,12.50683
1907331,"Elvdalsvegen 1730, Plassen",61.138612,12.488877
1907332,"Elvdalsvegen 1566, Plassen",61.148124,12.467764
1907333,"Elvdalsvegen 1582, Plassen",61.147007,12.469631
1907335,"Elvdalsvegen 1583, Plassen",61.158752,12.484332
1907336,"Elvdalsvegen 1610, Plassen",61.145088,12.472952
1907337,"Elvdalsvegen 1691, Plassen",61.140227,12.483423
1907338,"Elvdalsvegen 1705, Plassen",61.14199,12.485764
1907339,"Elvdalsvegen 1707, Plassen",61.140695,12.488252
1907341,"Elvdalsvegen 1717, Plassen",61.140132,12.488822
1907390,"Elvdalsvegen 2028, Plassen",61.120077,12.528997
1907392,"Elvdalsvegen 2052, Plassen",61.119713,12.530411
1907393,"Elvdalsvegen 2069, Plassen",61.11824,12.531752
1907394,"Elvdalsvegen 2124, Plassen",61.113567,12.53344
1907395,"Elvdalsvegen 2134, Plassen",61.112653,12.534021
1907396,"Elvdalsvegen 2136, Plassen",61.112292,12.534431
1907397,"Elvdalsvegen 2135, Plassen",61.11256,12.535538
1907406,"Elvdalsvegen 1938, Plassen",61.126644,12.519293
1907408,"Elvdalsvegen 1943, Plassen",61.127562,12.520269
1907411,"Elvdalsvegen 2017, Plassen",61.122949,12.529324
1907449,"Elvdalsvegen 1891, Plassen",61.130072,12.51501
1907450,"Elvdalsvegen 1930, Plassen",61.127406,12.517297
1907454,"Elvdalsvegen 1936, Plassen",61.126851,12.518239
1907462,"Elvdalsvegen 2867, Plassen",61.056036,12.596238
1907465,"Elvdalsvegen 2537, Plassen",61.088324,12.580139
1907466,"Elvdalsvegen 2539, Plassen",61.085708,12.576428
1907467,"Elvdalsvegen 2541, Plassen",61.08258,12.575797
1907468,"Elvdalsvegen 2545, Plassen",61.080832,12.573336
1907470,"Elvdalsvegen 2547, Plassen",61.08038,12.572915
1907472,"Elvdalsvegen 2578, Plassen",61.077882,12.56957
1907473,"Elvdalsvegen 2621, Plassen",61.075138,12.575791
1907512,"Elvdalsvegen 2437, Plassen",61.091776,12.565179
1907513,"Elvdalsvegen 2452, Plassen",61.08844,12.562836
1907514,"Elvdalsvegen 2535, Plassen",61.082798,12.575023
1907515,"Elvdalsvegen 2389, Plassen",61.092774,12.55627
1907516,"Elvdalsvegen 2388, Plassen",61.092569,12.555207
1907517,"Elvdalsvegen 2401, Plassen",61.092074,12.557973
1907520,"Elvdalsvegen 2953, Plassen",61.048934,12.596007
1907523,"Elvdalsvegen 2957, Plassen",61.048521,12.59633
1907526,"Elvdalsvegen 2962, Plassen",61.048285,12.595475
1907528,"Elvdalsvegen 2964, Plassen",61.048055,12.595546
1907532,"Elvdalsvegen 2970, Plassen",61.047226,12.596134
1907536,"Elvdalsvegen 2969, Plassen",61.047337,12.596567
1907561,"Elvdalsvegen 2893, Plassen",61.05528,12.5963
1907562,"Elvdalsvegen 2897, Plassen",61.053653,12.594966
1907563,"Elvdalsvegen 2903, Plassen",61.05305,12.594657
1907577,"Elvdalsvegen 2215, Plassen",61.106132,12.543176
1907578,"Elvdalsvegen 2233, Plassen",61.105314,12.543864
1907579,"Elvdalsvegen 2267, Plassen",61.102596,12.546735
1907580,"Elvdalsvegen 2325, Plassen",61.09795,12.550484
1907581,"Elvdalsvegen 2327, Plassen",61.097623,12.55132
1907583,"Elvdalsvegen 2137, Plassen",61.112155,12.535567
1907584,"Elvdalsvegen 2156, Plassen",61.110688,12.53531
1907585,"Elvdalsvegen 2172, Plassen",61.109479,12.535825
1907586,"Elvdalsvegen 2191, Plassen",61.10732,12.540022
1907587,"Elvdalsvegen 2196, Plassen",61.107455,12.53831
1924407,"Elvdalsvegen 1788, Plassen",61.134865,12.497093
2046078,"Grønengvegen 560, Plassen",61.106491,12.561422
2055026,"Grønengvegen 216, Plassen",61.125375,12.531941
2055027,"Grønengvegen 692, Plassen",61.113359,12.578974
2055191,"Skjærbergsvegen 474, Plassen",61.097917,12.469846
2386537,"Østaflovegen 323, Plassen",61.089414,12.583627
