,Navn,Long,Lat
19380,"51/25, Øvre Rendal",61.835755,11.603345
19381,"Osdalen, 80/1/3, Sjøli",61.603816,11.770242
19383,"10/96, Ytre Rendal",61.732522,11.319625
19384,"11/16, Sjøli",61.602741,11.770542
19391,"10/17, Sjøli",61.603484,11.770146
31226,"3/5, Sjøli",61.425316,11.301944
31364,"12/1-2, Sjøli",61.604189,11.770183
32300,"9/181, Ytre Rendal",61.771175,11.485556
37037,"8/266, Ytre Rendal",61.661133,11.433476
38221,"8/269, Ytre Rendal",61.667059,11.434583
55572,"19/207, Ytre Rendal",61.782736,11.083123
993049,"Lomnessjøen øst 329, Ytre Rendal",61.756304,11.204404
993050,"Gamle Kongevei 2222, Ytre Rendal",61.740148,11.197112
993051,"Gamleveien 394, Ytre Rendal",61.730966,11.197897
993052,"Orrleiken 21, Ytre Rendal",61.701064,11.322117
993054,"Orrleiken 23, Ytre Rendal",61.700569,11.321842
993055,"Orrleiken 26, Ytre Rendal",61.700313,11.32428
993056,"Orrleiken 22, Ytre Rendal",61.700601,11.323715
993057,"Orrleiken 20, Ytre Rendal",61.701111,11.324321
993058,"Orrleiken 29, Ytre Rendal",61.699133,11.321845
993059,"Orrleiken 25, Ytre Rendal",61.699844,11.321766
993060,"Orrleiken 27, Ytre Rendal",61.699564,11.321859
1007857,"Sjøliveien 99, Ytre Rendal",61.687382,11.217503
1007858,"Sjøliveien 151, Ytre Rendal",61.682526,11.217306
1007859,"Slåttveien 16, Ytre Rendal",61.68676,11.219254
1007860,"Sjøliveien 92, Ytre Rendal",61.687287,11.219918
1007861,"Sjøliveien 197, Ytre Rendal",61.678407,11.214326
1007862,"Slåttveien 66, Ytre Rendal",61.683299,11.227267
1007863,"Sjøliveien 175, Ytre Rendal",61.68011,11.215658
1007864,"Sjøliveien 317, Ytre Rendal",61.668053,11.218214
1007865,"Sjøliveien 324, Ytre Rendal",61.667877,11.219618
1007866,"Sjøliveien 270, Ytre Rendal",61.672376,11.21962
1007867,"Sjøliveien 272, Ytre Rendal",61.671927,11.219115
1007868,"Engerdalsveien 68, Ytre Rendal",61.697568,11.207378
1007869,"Lomnessjøen øst 26, Ytre Rendal",61.733423,11.205968
1007871,"Nybergveien 207, Ytre Rendal",61.682598,11.236612
1007872,"Nybergveien 210, Ytre Rendal",61.682331,11.238672
1007873,"Sjøliveien 85, Ytre Rendal",61.689064,11.212897
1007874,"Søljerøsta 119, Ytre Rendal",61.689618,11.299744
1007875,"Velheimveien 33, Ytre Rendal",61.691347,11.202169
1007876,"Velheimveien 24, Ytre Rendal",61.693277,11.203327
1012223,"Sjøliveien 2017, Sjøli",61.522234,11.240025
1012225,"Sjøliveien 2019, Sjøli",61.51747,11.240848
1012226,"Sjøliveien 1036, Sjøli",61.607333,11.235875
1012227,"Rønningsåsen 719, Sjøli",61.614579,11.247959
1012228,"Storsjøveien 1232, Sjøli",61.505957,11.22158
1012229,"Rønningsåsen 715, Sjøli",61.614785,11.24807
1012230,"Rønningsåsen 713, Sjøli",61.615258,11.247689
1012231,"Rønningsåsen 705, Sjøli",61.614857,11.248603
1012233,"Byringveien 855, Sjøli",61.4975,11.384617
1012234,"Sanaveien 9, Ytre Rendal",61.693677,11.205833
1012235,"Byringveien 857, Sjøli",61.496847,11.386324
1012236,"Flendammen 4, Sjøli",61.553241,11.423289
1012237,"Flendalsveien 1939, Sjøli",61.550225,11.420136
1012240,"Flendalsveien 2082, Sjøli",61.537886,11.424614
1012241,"Flendalsveien 1963, Sjøli",61.548599,11.420179
1012242,"Flendammen 28, Sjøli",61.549837,11.423777
1012247,"Rønningsåsen 711, Sjøli",61.61556,11.247962
1012248,"Rønningsåsen 657, Sjøli",61.616248,11.248157
1012249,"Rønningsåsen 687, Sjøli",61.61561,11.247055
1012250,"Rønningsåsen 689, Sjøli",61.616097,11.24781
1012251,"Rønningsåsen 707, Sjøli",61.615134,11.248718
1012252,"Rønningsåsen 649, Sjøli",61.618525,11.246209
1012253,"Rønningsåsen 691, Sjøli",61.61561,11.248714
1012254,"Rønningsåsen 693, Sjøli",61.615348,11.248809
1012255,"Rønningsåsen 643, Sjøli",61.617546,11.247836
1012256,"Rønningsåsen 641, Sjøli",61.617726,11.248378
1012257,"Rønningsåsen 647, Sjøli",61.618383,11.246633
1012258,"Rønningsåsen 645, Sjøli",61.618164,11.246825
1012259,"Rønningsåsen 633, Sjøli",61.617731,11.24917
1012260,"Rønningsåsen 635, Sjøli",61.617334,11.249783
1012261,"Rønningsåsen 639, Sjøli",61.617475,11.248359
1012262,"Rønningsåsen 637, Sjøli",61.617331,11.248896
1012263,"Rønningsåsen 679, Sjøli",61.61483,11.246432
1012264,"Rønningsåsen 681, Sjøli",61.615313,11.246014
1012265,"Rønningsåsen 677, Sjøli",61.615056,11.246901
1012266,"Rønningsåsen 675, Sjøli",61.614926,11.246963
1012267,"Rønningsåsen 669, Sjøli",61.616046,11.245087
1012268,"Rønningsåsen 665, Sjøli",61.616256,11.245241
1012269,"Rønningsåsen 671, Sjøli",61.615134,11.245417
1012270,"Rønningsåsen 683, Sjøli",61.615835,11.245356
1012271,"Rønningsåsen 653, Sjøli",61.617121,11.245825
1012272,"Rønningsåsen 651, Sjøli",61.617368,11.246088
1012273,"Rønningsåsen 667, Sjøli",61.616507,11.244965
1012274,"Rønningsåsen 655, Sjøli",61.616972,11.246154
1012275,"Rønningsåsen 663, Sjøli",61.616437,11.246454
1012276,"Rønningsåsen 659, Sjøli",61.616488,11.247722
1012277,"Rønningsåsen 661, Sjøli",61.616688,11.24702
1012278,"Renåskarven 116, Ytre Rendal",61.733446,11.342095
1012279,"Renåskarven 126, Ytre Rendal",61.733086,11.343604
1012280,"Renåskarven 122, Ytre Rendal",61.731963,11.344255
1012281,"Renåfjellveien 318, Ytre Rendal",61.699723,11.301216
1012282,"Renåfjellveien 343, Ytre Rendal",61.699996,11.304243
1012283,"Renåskarven 130, Ytre Rendal",61.733765,11.342366
1012284,"Renåfjellveien 316, Ytre Rendal",61.698224,11.297454
1012285,"Renåfjellveien 351, Ytre Rendal",61.699668,11.305562
1012286,"Rypesteggen 13, Ytre Rendal",61.696324,11.307355
1012287,"Renåfjellveien 344, Ytre Rendal",61.700185,11.30316
1012288,"Renåfjellveien 345, Ytre Rendal",61.699906,11.304785
1012289,"Lomnessjøen øst 287, Ytre Rendal",61.753123,11.200576
1012290,"Lomnessjøen øst 257, Ytre Rendal",61.752578,11.206037
1012291,"Rypesteggen 23, Ytre Rendal",61.697751,11.305797
1012292,"Rypesteggen 27, Ytre Rendal",61.698085,11.304139
1012293,"Renåfjellveien 357, Ytre Rendal",61.698868,11.306633
1012294,"Rypesteggen 25, Ytre Rendal",61.69788,11.305069
1012295,"Renåfjellveien 355, Ytre Rendal",61.699122,11.305994
1012296,"Rypesteggen 2, Ytre Rendal",61.697203,11.305283
1012297,"Rypesteggen 4, Ytre Rendal",61.696889,11.306149
1012298,"Rypesteggen 21, Ytre Rendal",61.697554,11.306312
1012299,"Rypesteggen 19, Ytre Rendal",61.697446,11.30689
1012300,"Rypesteggen 5, Ytre Rendal",61.696763,11.304191
1012301,"Rypesteggen 7, Ytre Rendal",61.696537,11.304855
1012302,"Rypesteggen 1, Ytre Rendal",61.697463,11.303733
1012303,"Rypesteggen 3, Ytre Rendal",61.697094,11.303781
1012304,"Rypesteggen 15, Ytre Rendal",61.69671,11.307346
1012305,"Renåskarven 124, Ytre Rendal",61.732329,11.343974
1012306,"Rypesteggen 9, Ytre Rendal",61.696314,11.305427
1012307,"Rypesteggen 11, Ytre Rendal",61.696253,11.306253
1012309,"Sjøliveien 144, Ytre Rendal",61.684,11.218375
1012310,"Gamleveien 234, Ytre Rendal",61.743193,11.185832
1012312,"Engerdalsveien 58, Ytre Rendal",61.696014,11.206832
1012313,"Gamle Kongevei 2282, Ytre Rendal",61.744619,11.192676
1012315,"Gamle Kongevei 2262, Ytre Rendal",61.742725,11.194735
1012317,"Velheimveien 4, Ytre Rendal",61.695132,11.203044
1012319,"Sjøliveien 72, Ytre Rendal",61.686622,11.224992
