,Navn,Long,Lat
19402,"17/57, Brydalen",62.185816,11.001343
19404,"15/5, Tylldalen",62.206851,10.774838
19405,"9/25, Brydalen",62.186527,11.006233
19407,"125/10, Tynset",62.313793,10.506586
19410,"39/1, Tynset",62.279824,10.756949
19411,"68/11, Tynset",62.339178,10.801456
19412,"71/63, Tynset",62.296598,10.80945
19413,"75/210, Tynset",62.264284,10.889901
19414,"75/14, Tynset",62.328905,10.873548
19416,"35/85-1, Tynset",62.268621,10.733195
19417,"112/22, Tynset",62.311651,10.526776
19418,"112/66, Tynset",62.30604,10.549126
19419,"112/59, Tynset",62.310681,10.52952
19420,"112/70, Tynset",62.305222,10.552761
19421,"112/71, Tynset",62.304776,10.551453
19422,"112/68, Tynset",62.30712,10.549845
19423,"112/69, Tynset",62.305729,10.553651
19424,"113/41, Tynset",62.310703,10.534582
19425,"106/137, Tynset",62.38139,10.437192
19426,"111/74, Tynset",62.292632,10.538485
19427,"118/4/2, Tynset",62.322942,10.355167
19428,"141/49, Kvikne",62.434206,10.394181
19429,"129/2, Tynset",62.222573,10.597029
19430,"139/14, Kvikne",62.407656,10.419423
19431,"124/283, Tynset",62.310746,10.533839
19432,"124/297, Tynset",62.30461,10.529409
19433,"125/17, Tynset",62.317752,10.490787
19434,"125/19, Tynset",62.318378,10.490972
19435,"125/15, Tynset",62.317372,10.490189
19436,"125/16, Tynset",62.317398,10.491155
19437,"125/22, Tynset",62.318443,10.493291
19438,"125/23, Tynset",62.318044,10.489489
19439,"125/20, Tynset",62.317675,10.492925
19440,"125/21, Tynset",62.318174,10.49241
19441,"125/26, Tynset",62.314236,10.505393
19442,"125/27, Tynset",62.317245,10.496995
19443,"125/24, Tynset",62.317527,10.494944
19444,"125/25, Tynset",62.315142,10.503007
19445,"125/29, Tynset",62.318192,10.498238
19446,"Savalen, 125/14, Tynset",62.314956,10.504464
19447,"93/30, Tynset",62.297665,10.738798
19455,"124/316, Tynset",62.254684,10.422968
19456,"117/13, Tynset",62.291376,10.537586
19458,"113/43, Tynset",62.292496,10.537798
19461,"125/33, Tynset",62.314972,10.507977
19462,"97/7, Tynset",62.357262,10.66268
19463,"141/59, Kvikne",62.440256,10.400469
19465,"35/46, Tynset",62.221249,10.66061
19467,"113/13, Tynset",62.292584,10.536318
19468,"44/19, Tynset",62.276498,10.899519
19470,"84/1, Tynset",62.288299,10.725458
19473,"124/40, Tynset",62.286135,10.346092
19474,"153/2, Kvikne",62.45444,10.12704
19475,"153/3, Kvikne",62.456971,10.131535
19476,"124/300, Tynset",62.310469,10.533756
19479,"125/31, Tynset",62.297717,10.538851
19480,"50/68, Tynset",62.343139,10.862691
19481,"143/18, Kvikne",62.432813,10.432329
19482,"46/48, Tynset",62.277233,10.905785
19483,"112/79, Tynset",62.306561,10.550717
19484,"112/80, Tynset",62.306539,10.551796
19485,"112/78, Tynset",62.304055,10.55108
19486,"112/83, Tynset",62.306078,10.550123
19487,"112/85, Tynset",62.305351,10.550555
19488,"112/81, Tynset",62.305785,10.55223
19489,"112/82, Tynset",62.306788,10.549234
19490,"112/88, Tynset",62.306786,10.553655
19491,"112/89, Tynset",62.307276,10.554657
19492,"112/86, Tynset",62.304459,10.550902
19493,"112/87, Tynset",62.306233,10.552894
19494,"112/92, Tynset",62.30453,10.551934
19495,"112/90, Tynset",62.30663,10.554523
19496,"112/91, Tynset",62.305285,10.551593
19497,"112/75, Tynset",62.304893,10.550427
19498,"71/38, Tynset",62.343936,10.801509
19500,"124/43, Tynset",62.28583,10.349211
19501,"59/9, Tynset",62.256243,10.884798
19502,"37/13, Tynset",62.277771,10.903637
19504,"36/28, Tynset",62.27764,10.905743
19505,"25/5, Brydalen",62.202334,10.954467
19506,"44/26, Tynset",62.276249,10.90595
19507,"38/3, Tynset",62.276833,10.903634
19508,"44/52, Tynset",62.276866,10.905041
19509,"71/113, Tynset",62.278353,10.905291
19510,"46/5, Tynset",62.277102,10.905858
19511,"75/302, Tynset",62.278169,10.893773
19512,"44/188, Tynset",62.276953,10.898758
19513,"300/1, Tynset",62.281733,10.385774
19514,"106/42, Tynset",62.39323,10.443716
19515,"152/2, Kvikne",62.408044,10.195265
19516,"120/37, Tynset",62.289625,10.655674
19517,"75/37, Tynset",62.284959,10.690413
19518,"119/3, Tynset",62.295914,10.535639
19519,"111/40, Tynset",62.312347,10.512399
19520,"125/13, Tynset",62.316239,10.492044
19522,"75/15-2, Tynset",62.283154,10.752767
19523,"62/9-1, Tynset",62.332441,10.930768
19524,"63/15-2, Tynset",62.34118,10.801402
19525,"106/10-2, Tynset",62.39237,10.451374
19526,"106/10-3, Tynset",62.354663,10.367189
19527,"106/1-5, Tynset",62.376516,10.458167
19528,"91/98-1, Tynset",62.336314,10.746044
19529,"121/1-3, Tynset",62.230667,10.536747
19530,"55/25, Tynset",62.255314,10.887446
19531,"124/32-3, Tynset",62.244503,10.550387
19532,"111/7, Tynset",62.314296,10.514754
19533,"125/34, Tynset",62.316406,10.497378
19534,"124/45-3, Tynset",62.345749,10.361568
19535,"124/45-4, Tynset",62.345854,10.361863
19536,"124/45-2, Tynset",62.347479,10.364602
19537,"111/100, Tynset",62.312722,10.510951
19538,"124/98, Tynset",62.323717,10.339495
19539,"124/54-2, Tynset",62.231017,10.535899
19540,"125/35, Tynset",62.314797,10.506162
19541,"124/111-2, Tynset",62.316675,10.274985
19543,"124/111-3, Tynset",62.318744,10.274494
19544,"125/38, Tynset",62.314527,10.507063
19545,"125/1-3, Tynset",62.315668,10.499174
19546,"125/1-4, Tynset",62.235715,10.527554
19547,"125/36, Tynset",62.316613,10.495671
19548,"125/37, Tynset",62.316837,10.498229
19550,"41/1, Tynset",62.277497,10.907563
19552,"18/129-1, Brydalen",62.191374,11.003864
19554,"124/300-1, Tynset",62.310326,10.533808
19555,"124/300-4, Tynset",62.310065,10.533783
19556,"124/300-5, Tynset",62.30992,10.533751
19557,"124/300-2, Tynset",62.310269,10.533815
19558,"124/300-3, Tynset",62.310122,10.533779
19559,"125/44, Tynset",62.315618,10.501333
19560,"144/4, Kvikne",62.432892,10.261947
19561,"144/4-3, Kvikne",62.434291,10.257732
19562,"144/4-1, Kvikne",62.429355,10.257889
19565,"124/300-8, Tynset",62.309678,10.534113
19566,"124/300-6, Tynset",62.309813,10.533618
19567,"124/300-7, Tynset",62.309744,10.533865
19571,"125/43, Tynset",62.316123,10.503596
19572,"125/41, Tynset",62.317915,10.49396
19573,"111/108, Tynset",62.31057,10.52108
19574,"125/47, Tynset",62.316204,10.501073
19575,"125/46, Tynset",62.315286,10.507105
19576,"125/39, Tynset",62.317078,10.495809
19577,"119/5, Tynset",62.296656,10.538357
19578,"125/40, Tynset",62.317358,10.498197
19579,"125/42, Tynset",62.314474,10.505887
19580,"125/48, Tynset",62.318476,10.490205
19581,"111/2-1, Tynset",62.294568,10.536322
19582,"112/22-2, Tynset",62.311868,10.52769
19583,"112/22-1, Tynset",62.31175,10.526484
19584,"124/59-1, Tynset",62.255704,10.599031
19585,"111/109, Tynset",62.310481,10.522974
19586,"124/300-9, Tynset",62.309763,10.533548
19587,"124/300-10, Tynset",62.309748,10.533713
19588,"124/300-11, Tynset",62.309679,10.533961
19590,"141/59-1, Kvikne",62.440185,10.400466
19591,"36/56, Tynset",62.277801,10.906896
19592,"36/12, Tynset",62.277659,10.907019
19593,"112/168-8, Tynset",62.310966,10.53031
19594,"112/130-5, Tynset",62.310979,10.532337
19595,"72/43-1, Tynset",62.223033,10.588741
19596,"112/130-8, Tynset",62.310967,10.532625
19597,"112/130-1, Tynset",62.310975,10.531893
19598,"50/34-1, Tynset",62.280807,10.811092
19599,"112/130-6, Tynset",62.31097,10.532336
19600,"112/130-7, Tynset",62.310976,10.532626
19601,"112/130-4, Tynset",62.310963,10.532182
19602,"112/130-9, Tynset",62.310966,10.53276
19603,"112/130-2, Tynset",62.310966,10.531892
19604,"112/130-3, Tynset",62.310972,10.532182
19605,"112/130-12, Tynset",62.310972,10.53305
19606,"112/129, Tynset",62.31071,10.531526
19607,"112/130-10, Tynset",62.310975,10.532761
19608,"112/130-11, Tynset",62.31098,10.533051
19609,"71/484, Tynset",62.276143,10.903935
19610,"149/32-1, Kvikne",62.471858,10.376948
19612,"112/176-40, Tynset",62.310891,10.528611
19613,"112/176-39, Tynset",62.310889,10.528491
19614,"112/175-26, Tynset",62.310817,10.528107
19615,"112/175-25, Tynset",62.310814,10.527978
19616,"112/175-38, Tynset",62.310886,10.528354
19617,"112/175-37, Tynset",62.310883,10.528222
19618,"112/168-2, Tynset",62.310966,10.531082
19619,"112/168-3, Tynset",62.310969,10.530793
19620,"112/168-1, Tynset",62.310975,10.531082
19621,"112/168-6, Tynset",62.310963,10.530599
19622,"112/168-7, Tynset",62.310975,10.530311
19623,"112/168-4, Tynset",62.31096,10.530792
19624,"112/168-5, Tynset",62.310972,10.5306
19625,"125/49, Tynset",62.317954,10.49622
19626,"125/50, Tynset",62.317061,10.499323
19627,"123/14-1, Tynset",62.254015,10.573156
19629,"70/6-2, Tynset",62.34104,10.802552
19630,"25/5-1, Brydalen",62.202863,10.955174
19631,"63/48, Tynset",62.420815,10.618157
19632,"127/3-2, Tynset",62.231902,10.560459
19633,"50/62, Tynset",62.280277,10.811138
19634,"22/45, Brydalen",62.186921,11.000744
19635,"35/80, Tynset",62.221771,10.725217
19636,"71/213-2, Tynset",62.288073,10.846445
19637,"54/2, Tynset",62.454173,10.557791
19638,"71/64, Tynset",62.279994,10.89234
19639,"98/94, Tynset",62.447248,10.552469
19640,"113/11, Tynset",62.309164,10.534945
19641,"112/168-10, Tynset",62.310959,10.530098
19642,"112/227-11, Tynset",62.310962,10.529828
19643,"112/168-9, Tynset",62.310968,10.530098
19644,"112/227-14, Tynset",62.310955,10.529615
19645,"112/227-15, Tynset",62.310958,10.529345
19646,"112/227-12, Tynset",62.310953,10.529827
19647,"112/227-13, Tynset",62.310964,10.529616
19648,"112/227-16, Tynset",62.310941,10.529344
19650,"153/4, Kvikne",62.463441,10.126687
19651,"112/175-33, Tynset",62.310731,10.528813
19652,"112/175-34, Tynset",62.310713,10.528812
19653,"112/175-31, Tynset",62.310732,10.528678
19654,"112/175-32, Tynset",62.310714,10.528677
19655,"35/46-1, Tynset",62.221493,10.668703
19656,"112/175-35, Tynset",62.310729,10.528948
19657,"112/175-36, Tynset",62.310711,10.528947
19658,"111/117, Tynset",62.310525,10.525465
19659,"112/175-29, Tynset",62.310717,10.528484
19660,"112/175-30, Tynset",62.310699,10.528483
19661,"112/175-27, Tynset",62.310718,10.528349
19662,"112/175-28, Tynset",62.3107,10.528348
19663,"72/31, Tynset",62.390104,10.713798
19664,"124/325-1, Tynset",62.310409,10.534372
19665,"124/325-4, Tynset",62.310382,10.534409
19666,"124/325-5, Tynset",62.310257,10.534383
19667,"124/325-2, Tynset",62.310409,10.534411
19668,"124/325-3, Tynset",62.310382,10.534371
19669,"124/325-7, Tynset",62.309816,10.5344
19670,"124/325-8, Tynset",62.309816,10.534457
19671,"71/248, Tynset",62.2807,10.890682
19672,"124/325-6, Tynset",62.310265,10.534423
19673,"112/176-42, Tynset",62.310895,10.528877
19674,"112/176-41, Tynset",62.310894,10.528746
19675,"112/161, Tynset",62.31054,10.547259
19676,"113/59, Tynset",62.308117,10.547589
19677,"113/62, Tynset",62.308638,10.549617
19678,"30/24, Tynset",62.248014,10.674789
