,Navn,Long,Lat
7481,"20/6, Vingrom",61.088396,10.361362
611469,"Søre Vingromslia 3, Vingrom",61.032476,10.415256
611790,"Burmavegen 148, Vingrom",61.051096,10.408677
612296,"Burmavegen 169, Vingrom",61.052178,10.405706
612585,"Burmavegen 170, Vingrom",61.051655,10.405887
613233,"Burmavegen 173, Vingrom",61.052481,10.405886
613558,"Burmavegen 295, Vingrom",61.059902,10.381167
613824,"Burmavegen 161, Vingrom",61.051914,10.407787
613887,"Burmavegen 162, Vingrom",61.051381,10.408949
614438,"Burmavegen 164, Vingrom",61.051303,10.409557
614501,"Burmavegen 165, Vingrom",61.052126,10.406389
614665,"Burmavegen 311, Vingrom",61.059298,10.381418
614763,"Burmavegen 657, Vingrom",61.074838,10.33711
614983,"Ovrenvegen 153, Vingrom",61.058755,10.414797
615414,"Ovrenvegen 160, Vingrom",61.058628,10.41318
615597,"Døsvegen 481, Vingrom",61.069372,10.379689
615820,"Døsvegen 381, Vingrom",61.06238,10.388223
615862,"Døsvegen 383, Vingrom",61.062705,10.387996
616107,"Døsvegen 385, Vingrom",61.062961,10.387618
616366,"Døsvegen 390, Vingrom",61.063033,10.384027
617206,"Burmavegen 137, Vingrom",61.051551,10.410679
617496,"Burmavegen 150, Vingrom",61.051136,10.40829
617581,"Burmavegen 152, Vingrom",61.051206,10.407608
617765,"Dikevegen 3, Vingrom",61.04558,10.425229
617766,"Dikevegen 2, Vingrom",61.045429,10.425889
617767,"Dikevegen 1, Vingrom",61.045648,10.425602
617770,"Dikevegen 6, Vingrom",61.045223,10.425009
617771,"Dikevegen 5, Vingrom",61.04554,10.424764
617772,"Dikevegen 4, Vingrom",61.045326,10.425458
617892,"Jakobavegen 2, Vingrom",61.045937,10.426282
617893,"Jakobavegen 1, Vingrom",61.045823,10.426869
617896,"Jakobavegen 6, Vingrom",61.046198,10.427109
617897,"Jakobavegen 5, Vingrom",61.046082,10.427881
617898,"Jakobavegen 4, Vingrom",61.046094,10.426715
617899,"Jakobavegen 3, Vingrom",61.045927,10.427263
617914,"Burmavegen 158, Vingrom",61.051492,10.407769
618310,"Elveskaret 3B, Vingrom",61.046207,10.42624
618312,"Elveskaret 3A, Vingrom",61.046275,10.426129
618314,"Elveskaret 1B, Vingrom",61.046075,10.425908
618316,"Elveskaret 1A, Vingrom",61.046156,10.42582
618318,"Elveskaret 7B, Vingrom",61.04655,10.425811
618320,"Elveskaret 7A, Vingrom",61.046459,10.425846
618322,"Elveskaret 5B, Vingrom",61.046328,10.426581
618324,"Elveskaret 5A, Vingrom",61.046385,10.426443
618330,"Elveskaret 9B, Vingrom",61.046402,10.425532
618332,"Elveskaret 9A, Vingrom",61.046331,10.425608
618334,"Dikevegen 12, Vingrom",61.045058,10.423631
618336,"Dikevegen 10, Vingrom",61.045116,10.424097
618338,"Dikevegen 8, Vingrom",61.045165,10.424562
618342,"Dikevegen 7, Vingrom",61.045437,10.424334
618344,"Dikevegen 9, Vingrom",61.045443,10.42376
618346,"Dikevegen 11, Vingrom",61.045431,10.423204
618348,"Dikevegen 14, Vingrom",61.045162,10.423155
618473,"Elveskaret 17, Vingrom",61.04708,10.424333
618474,"Elveskaret 13, Vingrom",61.046601,10.424664
618701,"Gaustumsetervegen 510, Saksumdal",61.118146,10.045241
618744,"Burmavegen 160, Vingrom",61.051432,10.408396
618808,"Burmavegen 674, Vingrom",61.077169,10.328273
618810,"Burmavegen 672, Vingrom",61.073432,10.303614
618868,"Burmavegen 144, Vingrom",61.05092,10.410096
619015,"Burmavegen 146, Vingrom",61.050998,10.409543
619200,"Moabakken 10, Vingrom",61.044317,10.429228
619201,"Moabakken 12, Vingrom",61.044169,10.429628
619202,"Moabakken 19, Vingrom",61.044519,10.428755
619203,"Moabakken 14, Vingrom",61.044144,10.428572
619204,"Moabakken 7, Vingrom",61.045527,10.428578
619205,"Moabakken 3, Vingrom",61.045059,10.429548
619206,"Moabakken 35, Vingrom",61.044969,10.427647
619207,"Moabakken 37, Vingrom",61.044904,10.427712
619208,"Moabakken 27, Vingrom",61.045225,10.427306
619209,"Moabakken 29, Vingrom",61.045157,10.427385
619210,"Moabakken 31, Vingrom",61.045097,10.427479
619211,"Moabakken 33, Vingrom",61.045029,10.427537
619232,"Burmavegen 65, Vingrom",61.050687,10.424625
619233,"Burmavegen 91, Vingrom",61.050714,10.420329
619234,"Burmavegen 116, Vingrom",61.050671,10.412474
619235,"Burmavegen 125, Vingrom",61.051181,10.413478
619236,"Burmavegen 33, Vingrom",61.049741,10.430009
619237,"Burmavegen 35, Vingrom",61.050957,10.43136
619238,"Burmavegen 45, Vingrom",61.049879,10.428811
619239,"Burmavegen 63, Vingrom",61.050617,10.42527
619240,"Burmavegen 138, Vingrom",61.051041,10.411397
619241,"Burmavegen 139, Vingrom",61.051657,10.410017
619242,"Burmavegen 140, Vingrom",61.050774,10.4112
619243,"Burmavegen 142, Vingrom",61.050816,10.410591
619244,"Burmavegen 129, Vingrom",61.051329,10.41217
619245,"Burmavegen 132, Vingrom",61.050786,10.411794
619246,"Burmavegen 136, Vingrom",61.051146,10.410791
619247,"Burmavegen 615, Vingrom",61.073816,10.338679
619248,"Burmavegen 301, Vingrom",61.060041,10.384285
619249,"Burmavegen 304, Vingrom",61.057169,10.383197
619250,"Burmavegen 308, Vingrom",61.057397,10.382002
619251,"Burmavegen 309, Vingrom",61.059391,10.381033
619252,"Nersveenga 10, Vingrom",61.053274,10.414238
619253,"Nersveenga 12, Vingrom",61.053337,10.413407
619254,"Nersveenga 14, Vingrom",61.053262,10.41283
619255,"Nersveenga 16, Vingrom",61.053296,10.412128
619256,"Nersveenga 2, Vingrom",61.05369,10.414016
619257,"Nersveenga 4, Vingrom",61.053741,10.413388
619258,"Nersveenga 6, Vingrom",61.053632,10.412643
619259,"Nersveenga 7, Vingrom",61.053905,10.411488
619260,"Ovrenvegen 5, Vingrom",61.053664,10.415589
619261,"Ovrenvegen 6, Vingrom",61.054016,10.415383
619262,"Ovrenvegen 34, Vingrom",61.05481,10.41677
619263,"Ovrenvegen 41, Vingrom",61.054233,10.422932
619264,"Nersveenga 18, Vingrom",61.053481,10.411599
619265,"Burmavegen 147, Vingrom",61.051854,10.408759
619266,"Nersveenga 24, Vingrom",61.053751,10.410703
619267,"Nersveenga 26, Vingrom",61.053928,10.410118
619269,"Ovrenvegen 49, Vingrom",61.054809,10.422846
619270,"Ovrenvegen 60, Vingrom",61.055113,10.420415
619271,"Ovrenvegen 65, Vingrom",61.055618,10.420196
619272,"Ovrenvegen 76, Vingrom",61.055931,10.417784
619273,"Ovrenvegen 43, Vingrom",61.054268,10.423933
