,Navn,Long,Lat
612346,"Ekrebakken 5, Nordre Ål",61.138861,10.450159
612347,"Ekrebakken 4, Nordre Ål",61.139581,10.448298
612348,"Ekrebakken 2, Nordre Ål",61.139363,10.448585
612349,"Ekrebakken 1, Nordre Ål",61.139035,10.449053
612350,"Ekrebakken 9, Nordre Ål",61.139254,10.450326
612351,"Ekrebakken 8, Nordre Ål",61.139349,10.449049
612352,"Ekrebakken 7, Nordre Ål",61.139161,10.449783
612353,"Ekrebakken 6, Nordre Ål",61.139712,10.448657
612354,"Ekrebakken 14, Nordre Ål",61.139847,10.449499
612355,"Ekrebakken 12, Nordre Ål",61.139753,10.44903
612356,"Ekrebakken 11, Nordre Ål",61.139177,10.450861
612357,"Ekrebakken 10, Nordre Ål",61.139425,10.449461
612358,"Ekrelykkja 2, Nordre Ål",61.138484,10.447616
612359,"Ekrebakken 24, Nordre Ål",61.139667,10.4504
612360,"Ekrebakken 23, Nordre Ål",61.139796,10.450945
612361,"Ekrebakken 21, Nordre Ål",61.139624,10.450993
612362,"Ekrelykkja 9, Nordre Ål",61.139663,10.44741
612363,"Ekrelykkja 8, Nordre Ål",61.139395,10.446413
612364,"Ekrelykkja 6, Nordre Ål",61.139156,10.446904
612365,"Ekrelykkja 4, Nordre Ål",61.138918,10.44732
612366,"Ekromskogen 1B, Nordre Ål",61.136847,10.4538
612367,"Ekromskogen 1A, Nordre Ål",61.136892,10.453709
612368,"Ekrelykkja 11, Nordre Ål",61.139748,10.447005
612369,"Ekrelykkja 10, Nordre Ål",61.13957,10.446031
612370,"Ekromskogen 3B, Nordre Ål",61.137077,10.453235
612371,"Ekromskogen 3A, Nordre Ål",61.137114,10.453144
612372,"Ekromskogen 2B, Nordre Ål",61.136948,10.453582
612373,"Ekromskogen 2A, Nordre Ål",61.136994,10.453454
612374,"Ekromskogen 4D, Nordre Ål",61.137224,10.452963
612375,"Ekromskogen 4C, Nordre Ål",61.137261,10.452872
612376,"Ekromskogen 4B, Nordre Ål",61.137316,10.452744
612377,"Ekromskogen 4A, Nordre Ål",61.137362,10.452653
612378,"Ekromskogen 5D, Nordre Ål",61.137553,10.452384
612379,"Ekromskogen 5C, Nordre Ål",61.137608,10.452293
612380,"Ekromskogen 5B, Nordre Ål",61.137654,10.452184
612381,"Ekromskogen 5A, Nordre Ål",61.137709,10.452094
612382,"Ekromskogen 7B, Nordre Ål",61.137902,10.451657
612383,"Ekromskogen 7A, Nordre Ål",61.137948,10.451585
612384,"Ekromskogen 6B, Nordre Ål",61.137792,10.451856
612385,"Ekromskogen 6A, Nordre Ål",61.137838,10.451784
612386,"Ekromskogen 8D, Nordre Ål",61.13814,10.451222
612387,"Ekromskogen 8C, Nordre Ål",61.138177,10.451131
612388,"Ekromskogen 8B, Nordre Ål",61.138232,10.45104
612389,"Ekromskogen 8A, Nordre Ål",61.138287,10.450969
612390,"Ekromskogen 10B, Nordre Ål",61.138678,10.450504
612391,"Ekromskogen 10A, Nordre Ål",61.138704,10.450598
612392,"Ekromskogen 9B, Nordre Ål",61.138398,10.450639
612393,"Ekromskogen 9A, Nordre Ål",61.138452,10.450586
612394,"Ekromskogen 11B, Nordre Ål",61.138762,10.451028
612395,"Ekromskogen 11A, Nordre Ål",61.138826,10.450956
612396,"Ekromskogen 10D, Nordre Ål",61.138609,10.450259
612397,"Ekromskogen 10C, Nordre Ål",61.138643,10.450372
612398,"Ekromskogen 13B, Nordre Ål",61.13847,10.451423
612399,"Ekromskogen 13A, Nordre Ål",61.138525,10.451332
612400,"Ekromskogen 12B, Nordre Ål",61.138626,10.451133
612401,"Ekromskogen 12A, Nordre Ål",61.13869,10.451061
612402,"Ekromskogen 15B, Nordre Ål",61.138205,10.451931
612403,"Ekromskogen 15A, Nordre Ål",61.138241,10.451839
612404,"Ekromskogen 14B, Nordre Ål",61.138343,10.451603
612405,"Ekromskogen 14A, Nordre Ål",61.138389,10.451512
612406,"Ekromskogen 16D, Nordre Ål",61.137965,10.452458
612407,"Ekromskogen 16C, Nordre Ål",61.138021,10.452331
612408,"Ekromskogen 16B, Nordre Ål",61.138058,10.45224
612409,"Ekromskogen 16A, Nordre Ål",61.138112,10.452149
612410,"Ekromskogen 18B, Nordre Ål",61.137701,10.452873
612411,"Ekromskogen 18A, Nordre Ål",61.137764,10.452783
612412,"Ekromskogen 17B, Nordre Ål",61.137811,10.452674
612413,"Ekromskogen 17A, Nordre Ål",61.137856,10.452583
612414,"Ekromskogen 20B, Nordre Ål",61.13737,10.453582
612415,"Ekromskogen 20A, Nordre Ål",61.137416,10.453473
612416,"Ekromskogen 19B, Nordre Ål",61.137481,10.453253
612417,"Ekromskogen 19A, Nordre Ål",61.137527,10.453162
612418,"Ekromskogen 21B, Nordre Ål",61.137122,10.454054
612419,"Ekromskogen 21A, Nordre Ål",61.137159,10.453944
612420,"Ekromskogen 20D, Nordre Ål",61.137269,10.453782
612421,"Ekromskogen 20C, Nordre Ål",61.137315,10.453673
612422,"Ekromskogen 23B, Nordre Ål",61.137196,10.454726
612423,"Ekromskogen 23A, Nordre Ål",61.137233,10.454616
612424,"Ekromskogen 22B, Nordre Ål",61.137012,10.454253
612425,"Ekromskogen 22A, Nordre Ål",61.137067,10.454163
612426,"Ekromskogen 24B, Nordre Ål",61.137288,10.45447
612427,"Ekromskogen 24A, Nordre Ål",61.137334,10.454361
612428,"Ekromskogen 26B, Nordre Ål",61.137571,10.454056
612429,"Ekromskogen 26A, Nordre Ål",61.137617,10.453947
612430,"Ekromskogen 25B, Nordre Ål",61.137453,10.454218
612431,"Ekromskogen 25A, Nordre Ål",61.137499,10.454127
612432,"Ekromskogen 28B, Nordre Ål",61.138158,10.452894
612433,"Ekromskogen 28A, Nordre Ål",61.138205,10.452766
612434,"Ekromskogen 27B, Nordre Ål",61.138057,10.453113
612435,"Ekromskogen 27A, Nordre Ål",61.138103,10.453003
612436,"Ekromskogen 30B, Nordre Ål",61.138416,10.452349
612437,"Ekromskogen 30A, Nordre Ål",61.13847,10.452259
612438,"Ekromskogen 29B, Nordre Ål",61.138297,10.452566
612439,"Ekromskogen 29A, Nordre Ål",61.138352,10.452457
612440,"Ekromskogen 32B, Nordre Ål",61.138725,10.451955
612441,"Ekromskogen 32A, Nordre Ål",61.138771,10.451845
612442,"Ekromskogen 31B, Nordre Ål",61.138597,10.452134
612443,"Ekromskogen 31A, Nordre Ål",61.138661,10.452044
612444,"Ekromskogen 34B, Nordre Ål",61.139085,10.45186
612445,"Ekromskogen 34A, Nordre Ål",61.139149,10.451788
612446,"Ekromskogen 33B, Nordre Ål",61.138958,10.452002
612447,"Ekromskogen 33A, Nordre Ål",61.139013,10.451912
612448,"Ekromskogen 36B, Nordre Ål",61.138482,10.452891
612449,"Ekromskogen 36A, Nordre Ål",61.138447,10.452778
612450,"Ekromskogen 35B, Nordre Ål",61.138746,10.45255
612451,"Ekromskogen 35A, Nordre Ål",61.138693,10.452455
612452,"Ekromskogen 37C, Nordre Ål",61.138269,10.453494
612453,"Ekromskogen 37B, Nordre Ål",61.138306,10.453384
612454,"Ekromskogen 37A, Nordre Ål",61.138361,10.453275
612455,"Ekromskogen 36C, Nordre Ål",61.138525,10.453004
612456,"Ekromskogen 38D, Nordre Ål",61.138158,10.453804
612457,"Ekromskogen 38C, Nordre Ål",61.138114,10.453691
612458,"Ekromskogen 38B, Nordre Ål",61.138052,10.453614
612459,"Ekromskogen 38A, Nordre Ål",61.138008,10.453519
612460,"Ekromskogen 40A, Nordre Ål",61.137791,10.454475
612461,"Ekromskogen 39C, Nordre Ål",61.137974,10.454186
612462,"Ekromskogen 39B, Nordre Ål",61.13793,10.45411
612463,"Ekromskogen 39A, Nordre Ål",61.137886,10.454015
612464,"Ekromskogen 41A, Nordre Ål",61.137508,10.454889
612465,"Ekromskogen 40D, Nordre Ål",61.137663,10.454747
612466,"Ekromskogen 40C, Nordre Ål",61.137708,10.454675
