,Navn,Long,Lat
851514,"Goppollivegen 97, Ringebu",61.413074,10.480118
858845,"Norddølumsgeilen 8, Ringebu",61.482557,10.363501
858986,"Segelstadvegen 51, Ringebu",61.438641,10.169423
858987,"Segelstadvegen 55, Ringebu",61.438643,10.170465
860059,"Sjurstuguvegen 8, Fåvang",61.423118,10.362631
860073,"Goppollivegen 89, Ringebu",61.413428,10.484725
860075,"Goppollvegen 1021, Fåvang",61.421296,10.357173
860136,"Tjønndalsvegen 12, Ringebu",61.472127,10.222169
860175,"Gullhaugvegen 135, Ringebu",61.490467,10.049968
860188,"Knausen 5, Ringebu",61.460336,10.193975
860217,"Tromsnesvegen 59, Fåvang",61.452332,10.198621
860340,"Goppollvegen 926, Fåvang",61.413943,10.347205
860374,"Goppollvegen 889, Fåvang",61.410571,10.346797
860375,"Øygardsvegen 122, Fåvang",61.408171,10.263443
860395,"Goppollivegen 107, Ringebu",61.412542,10.482791
860424,"Bakkestulsvegen 22, Fåvang",61.425217,10.372713
860488,"Goppollvegen 1237, Fåvang",61.420507,10.38827
860537,"Slåttvegen 39, Fåvang",61.365106,10.19656
860554,"Vesltannvegen 495, Ringebu",61.44146,10.435722
860569,"Karidalvegen 6, Ringebu",61.474947,10.127255
860686,"Goppollvegen 896, Fåvang",61.410563,10.343069
860701,"Bjønnliskardet 137, Ringebu",61.460218,10.107487
860809,"Småtjønnvegen 177, Ringebu",61.467356,10.03611
860810,"Bustulvegen 66, Ringebu",61.454292,10.113584
860862,"Svartskardvegen 388, Ringebu",61.460333,10.113837
861047,"Bustulvegen 24, Ringebu",61.451378,10.113834
861048,"Bustulvegen 26, Ringebu",61.451178,10.114658
861066,"Øygardsvegen 91, Fåvang",61.408691,10.270337
861086,"Bakkestulsvegen 125, Fåvang",61.429461,10.362196
861113,"Bjønnliskardet 42, Ringebu",61.458375,10.101759
861114,"Lindalsvegen 8, Ringebu",61.463711,10.19204
861115,"Skogvegen 2, Ringebu",61.459099,10.189687
1268133,"Kvitfjelltoppen 62, Ringebu",61.466136,10.113545
1303303,"Svartskardvegen 321, Ringebu",61.462474,10.109368
1303304,"Svartskardvegen 323, Ringebu",61.462509,10.109199
1303305,"Svartskardvegen 319, Ringebu",61.462519,10.109573
1371913,"Svartskardvegen 434, Ringebu",61.457468,10.110673
1373092,"Hestknappen 105, Ringebu",61.480172,10.096352
1373093,"Gammelseteråsen 27, Ringebu",61.473428,10.120474
1373925,"Bjønnliskardet 12, Ringebu",61.455401,10.096011
1374216,"Hestknappen 107, Ringebu",61.480338,10.095763
1374217,"Bjønnliskardet 22, Ringebu",61.456147,10.099752
1374218,"Kvitfjellsetervegen 39, Ringebu",61.472607,10.118808
1446686,"Svinslåvegen 365, Ringebu",61.453852,10.06851
1446724,"Bustulvegen 23, Ringebu",61.453545,10.114214
1446812,"Svinslåvegen 318, Ringebu",61.454275,10.075
1446999,"Svinslåvegen 378, Ringebu",61.450893,10.064809
1447179,"Myrsetervegen 410, Ringebu",61.428169,10.108836
1447294,"Myrsetervegen 415, Ringebu",61.42721,10.108229
1447649,"Strandsetervegen 76, Ringebu",61.482202,10.106127
1447966,"Nysetervegen-Svinslåa 208, Ringebu",61.488068,10.083706
1447967,"Nørdre Annolsetervegen 123, Ringebu",61.485915,10.364519
1448167,"Haustsetervegen 226, Ringebu",61.509011,10.098871
1448207,"Tannsvegen 160, Ringebu",61.468964,10.376445
1448409,"Småtjønnvegen 32, Ringebu",61.457327,10.050316
1448445,"Småtjønnvegen 28, Ringebu",61.457119,10.052439
1450147,"Mykkelsetervegen 186, Fåvang",61.406728,10.312534
1541338,"Bustulvegen 42, Ringebu",61.453225,10.11318
1644180,"Perslettvegen 100, Ringebu",61.460416,10.388839
1645799,"Goppollvegen 601, Fåvang",61.401142,10.298164
1646943,"Tromsnesvegen 21, Ringebu",61.456911,10.192474
1667205,"Stasjonsvegen 9, Fåvang",61.454047,10.190478
1668854,"Dalvegen 7B, Ringebu",61.461422,10.190785
1673732,"Svartskardvegen 307, Ringebu",61.463014,10.109001
1673734,"Svartskardvegen 303, Ringebu",61.462961,10.109361
1673735,"Svartskardvegen 309, Ringebu",61.462973,10.108971
1673772,"Svartskardvegen 305, Ringebu",61.462916,10.109335
1680143,"Årnesfeltet 26, Fåvang",61.402325,10.154554
1680144,"Kvitfjelltoppen 54, Ringebu",61.465954,10.112895
1688195,"Tiurmyra 18A, Ringebu",61.453321,10.098251
1690944,"Bjønnliskardet 14, Ringebu",61.455622,10.096752
1690976,"Bjønnlitjønnvegen 78, Ringebu",61.458256,10.096599
1691166,"Akebakkevegen 4, Ringebu",61.476892,10.371013
1694542,"Bjønnlitjønnvegen 22, Ringebu",61.455613,10.091345
1696024,"Pålsøygardsgeilen 13, Ringebu",61.470335,10.372847
1696189,"Svartskardvegen 387, Ringebu",61.458402,10.109154
1722392,"Svartskardvegen 301, Ringebu",61.463015,10.109695
1722536,"Svartskardvegen 295, Ringebu",61.463014,10.110153
1722537,"Svartskardvegen 297, Ringebu",61.462957,10.110119
1722538,"Svartskardvegen 299, Ringebu",61.463068,10.109739
1729846,"Segelstadseterlia 47, Ringebu",61.452467,10.119566
1729978,"Kvitfjelltoppen 71, Ringebu",61.463439,10.116321
1733790,"Svartskardvegen 291, Ringebu",61.463144,10.110447
1733791,"Svartskardvegen 289, Ringebu",61.463087,10.110888
1733792,"Svartskardvegen 287, Ringebu",61.463135,10.110889
1733793,"Svartskardvegen 293, Ringebu",61.463084,10.110437
1733961,"Svartskardvegen 315, Ringebu",61.462641,10.109885
1733962,"Svartskardvegen 311, Ringebu",61.462639,10.110279
1733963,"Svartskardvegen 317, Ringebu",61.462579,10.109875
1733964,"Svartskardvegen 313, Ringebu",61.462591,10.110277
1769880,"Kvitfjelltoppen 86, Ringebu",61.463587,10.119164
1772002,"Bjønnlitjønnvegen 70, Ringebu",61.458712,10.099236
1772003,"Bjønnlitjønnvegen 59, Ringebu",61.458945,10.100078
1772004,"Bustulvegen 21, Ringebu",61.452729,10.115938
1772005,"Raudskuttvegen 2, Ringebu",61.459059,10.096226
1772038,"Bjønnlitjønnvegen 47, Ringebu",61.457697,10.094685
1772039,"Morketjønnsvegen 71, Ringebu",61.486397,10.309383
1772119,"Veslesetervegen 404, Fåvang",61.365724,10.205157
1772160,"Svartskardvegen 372, Ringebu",61.461539,10.116724
1772196,"Svartskardvegen 378, Ringebu",61.460953,10.118306
1772415,"Bjønnlitjønnvegen 35, Ringebu",61.456663,10.093596
1772416,"Bjønnlitjønnvegen 24, Ringebu",61.455909,10.090872
1772418,"Bjønnlitjønnvegen 54, Ringebu",61.457598,10.09145
1772419,"Bjønnlitjønnvegen 26, Ringebu",61.45659,10.089976
1772420,"Tiurmyra 7, Ringebu",61.452428,10.102256
1788632,"Hestknappen 43, Ringebu",61.48151,10.097706
1797102,"Gammelseterlia 15, Ringebu",61.477786,10.124767
1807907,"Svartskardvegen 390, Ringebu",61.460509,10.113109
1818938,"Brekkomsvegen 753, Ringebu",61.470791,10.263336
1852121,"Flye, Flyevegen 6, Ringebu",61.46225,10.199978
1873199,"Kvitfjelltoppen 57, Ringebu",61.464782,10.11475
1873200,"Kvitfjelltoppen 59, Ringebu",61.46475,10.114681
1873201,"Kvitfjelltoppen 61, Ringebu",61.464643,10.115058
1882123,"Kvitfjelltoppen 77, Ringebu",61.464071,10.11731
1885862,"Myrevegen 43, Ringebu",61.453553,10.164413
1885863,"Myrevegen 139, Ringebu",61.452772,10.159113
1885864,"Myrevegen 177, Ringebu",61.45605,10.158034
1885865,"Myrevegen 41, Ringebu",61.453843,10.16418
1886595,"Vekkomsvegen 972, Ringebu",61.472353,10.218893
1886648,"Baklivegen 117, Fåvang",61.459563,10.212446
1886649,"Baklivegen 78, Fåvang",61.46083,10.207279
1886650,"Baklivegen 54, Fåvang",61.458382,10.204914
1886651,"Trøståkervegen 46, Ringebu",61.477662,10.193906
1886681,"Mjogdalsvegen 61, Fåvang",61.453772,10.214329
1886682,"Mjogdalsvegen 59, Fåvang",61.453952,10.214423
1886683,"Mjogdalsvegen 125, Fåvang",61.451245,10.219888
1886712,"Kilgardsvegen 169, Fåvang",61.436643,10.2112
1886731,"Kilgardsvegen 98, Fåvang",61.438149,10.208427
1886732,"Kilgardsvegen 96, Fåvang",61.437693,10.20824
1886733,"Kilgardsvegen 94, Fåvang",61.437979,10.20737
1886734,"Kilgardsvegen 107, Fåvang",61.438214,10.205204
1886735,"Kilgardsvegen 104, Fåvang",61.43901,10.208554
