,Navn,Long,Lat
7876,"33/30, Vestre Gausdal",61.242304,9.59477
7903,"68/69, Aulstad",61.265189,9.948389
7913,"238/1/185, Vestre Gausdal",61.178747,9.869366
7919,"16/13, Vestre Gausdal",61.113396,10.175504
7929,"238/1/524, Vestre Gausdal",61.219654,9.808766
7930,"238/1/256, Vestre Gausdal",61.226883,9.803228
7931,"238/1/48, Vestre Gausdal",61.226591,9.771463
7932,"238/1/591, Vestre Gausdal",61.256957,9.831223
7933,"238/1/258, Vestre Gausdal",61.178007,9.869941
7934,"238/1/456, Vestre Gausdal",61.228257,9.898929
7935,"238/1/229, Vestre Gausdal",61.17661,9.869326
7936,"238/1/452, Vestre Gausdal",61.220944,9.918457
7937,"238/1/75, Vestre Gausdal",61.177279,9.883834
7938,"238/1/453, Vestre Gausdal",61.220173,9.923444
7939,"232/2, Vestre Gausdal",61.21177,9.823164
7940,"238/1/454, Vestre Gausdal",61.214842,9.943413
7941,"238/1/348, Vestre Gausdal",61.160675,9.988255
7942,"238/1/514, Vestre Gausdal",61.178342,9.785385
7943,"238/1/349, Vestre Gausdal",61.161992,9.986085
7944,"238/1/251, Vestre Gausdal",61.181714,9.871655
7945,"238/1/351, Vestre Gausdal",61.16501,9.984065
7946,"238/1/250, Vestre Gausdal",61.179522,9.87136
7947,"238/1/350, Vestre Gausdal",61.163618,9.983589
7948,"238/1/429, Vestre Gausdal",61.178664,9.939467
7949,"238/1/432, Vestre Gausdal",61.17901,9.932318
7950,"238/1/345, Vestre Gausdal",61.158764,9.986839
7951,"238/1/346, Vestre Gausdal",61.161001,9.984177
7952,"238/1/435, Vestre Gausdal",61.179719,9.929791
7953,"238/1/434, Vestre Gausdal",61.17965,9.931984
7954,"238/1/430, Vestre Gausdal",61.179254,9.934724
7955,"238/1/431, Vestre Gausdal",61.179447,9.93804
7956,"238/1/339, Vestre Gausdal",61.117838,9.985938
7957,"238/1/341, Vestre Gausdal",61.118677,9.990192
7958,"238/1/342, Vestre Gausdal",61.119527,9.990608
7959,"238/1/371, Vestre Gausdal",61.176354,9.892189
7960,"238/1/338, Vestre Gausdal",61.117665,9.982495
7961,"238/1/337, Vestre Gausdal",61.117398,9.982134
7962,"238/1/340, Vestre Gausdal",61.118549,9.983172
7963,"238/1/336, Vestre Gausdal",61.115127,9.987018
7964,"238/1/455, Vestre Gausdal",61.236193,9.864525
7965,"238/1/359, Vestre Gausdal",61.141708,9.997469
7966,"238/1/344, Vestre Gausdal",61.140913,9.998057
7967,"238/1/577-1, Vestre Gausdal",61.138276,10.000041
7968,"238/1/9, Vestre Gausdal",61.174292,9.954315
7969,"238/1/66, Vestre Gausdal",61.175889,9.948301
7970,"238/1/43, Vestre Gausdal",61.17615,9.945796
7971,"238/1/192, Vestre Gausdal",61.173542,9.958167
7972,"238/1/325, Vestre Gausdal",61.172363,9.959607
7973,"238/1/60, Vestre Gausdal",61.175955,9.947164
7974,"238/1/225, Vestre Gausdal",61.173072,9.96177
7975,"238/1/246, Vestre Gausdal",61.174758,9.965102
7976,"238/1/54, Vestre Gausdal",61.176113,9.961387
7977,"238/1/302, Vestre Gausdal",61.124664,10.14607
