,Navn,Long,Lat
290855,"Grimsdalsvegen 2312, Dovre",62.089188,9.702151
290858,"Grimsdalsvegen 2724, Dovre",62.095101,9.762748
290860,"Grimsdalsvegen 2722, Dovre",62.09523,9.764639
290861,"Grimsdalsvegen 2320, Dovre",62.087845,9.697969
290863,"Grimsdalsvegen 2326, Dovre",62.089105,9.694728
290881,"Grimsdalsvegen 2138, Dovre",62.091072,9.642129
290883,"Grimsdalsvegen 632, Dovre",62.029555,9.425072
290890,"Grimsdalsvegen 2728, Dovre",62.092853,9.76098
290891,"Grimsdalsvegen 3421, Dovre",62.065725,9.865166
290892,"Grimsdalsvegen 2416, Dovre",62.087189,9.702746
290896,"Grimsdalsvegen 2418, Dovre",62.087446,9.702739
291061,"Grimsdalsvegen 2130, Dovre",62.0893,9.636721
291062,"Grimsdalsvegen 2136, Dovre",62.090075,9.63897
291063,"Grimsdalsvegen 2126, Dovre",62.089924,9.639693
291064,"Grimsdalsvegen 2092, Dovre",62.088142,9.642692
291066,"Grimsdalsvegen 1637, Dovre",62.058525,9.587765
291083,"Jøndalsvegen 101, Dovre",61.982393,9.230152
291084,"Jøndalsvegen 99, Dovre",61.98224,9.230969
291085,"Einbuggkanten 2, Dovre",61.994197,9.235918
291086,"Jøndalsvegen 97, Dovre",61.981055,9.231424
291087,"Grimsdalsvegen 2716, Dovre",62.099024,9.770791
291088,"Grimsdalsvegen 2708, Dovre",62.096331,9.763402
291089,"Grimsdalsvegen 2726, Dovre",62.094176,9.760173
291090,"Grimsdalsvegen 3008, Dovre",62.091725,9.82075
291091,"Grimsdalsvegen 2120, Dovre",62.089358,9.64495
291092,"Grimsdalsvegen 2330, Dovre",62.088788,9.694306
291093,"Grimsdalsvegen 1344, Dovre",62.061826,9.542375
291094,"Grimsdalsvegen 1346, Dovre",62.062528,9.543904
291095,"Haverdalsvegen 1708, Dovre",62.03362,9.663829
291096,"Grimsdalsvegen 2318, Dovre",62.088861,9.700221
291097,"Grimsdalsvegen 1342, Dovre",62.061426,9.540395
291143,"Tjønnvegen 6, Dovre",61.980361,9.24369
291144,"Tjønnvegen 5, Dovre",61.980995,9.243317
291145,"Tjønnvegen 7, Dovre",61.979866,9.242846
291146,"Mjogdalsvegen 3, Dovre",61.980325,9.242297
291147,"Høyveg 34, Dovre",61.981145,9.256344
291150,"Åsagrende 134, Dovre",61.988901,9.357254
291151,"Slåvikvegen 37, Dovre",61.989296,9.25395
291152,"Solsidevegen 1030, Dovre",61.985458,9.258131
291153,"Vangvegen 39, Dovre",61.992471,9.249592
291154,"Vangvegen 25, Dovre",61.991771,9.25225
291155,"Vangvegen 14, Dovre",61.989498,9.247313
291156,"Vangvegen 5, Dovre",61.990162,9.253053
291157,"Vangvegen 53, Dovre",61.993748,9.248884
