,Navn,Long,Lat
1591,"116/1, Bøverdalen",61.684445,8.232973
1592,"133/11, Bøverdalen",61.713,8.315662
31941,"128/54, Bøverdalen",61.725546,8.39405
41781,"155/1/73, Bøverdalen",61.636184,8.312699
41788,"155/1/257, Bøverdalen",61.679433,8.234118
41789,"155/1-1, Bøverdalen",61.62679,8.183018
293941,"Galdhøpiggvegen 455, Bøverdalen",61.717864,8.387519
294131,"Sognefjellsvegen 2797, Bøverdalen",61.683986,8.237676
1669481,"Bøverdalsvegen 315, Bøverdalen",61.725618,8.278142
1669482,"Bøverdalsvegen 365, Bøverdalen",61.722055,8.264791
1673432,"Langdrågje 9, Bøverdalen",61.721635,8.355194
1715365,"Storhaugsvegen 70, Bøverdalen",61.712937,8.345115
1715366,"Storhaugsvegen 56, Bøverdalen",61.714357,8.351374
1715367,"Storhaugsvegen 54, Bøverdalen",61.714441,8.35101
1715368,"Jørginevegen 10, Bøverdalen",61.715843,8.337845
1715369,"Storhaugsvegen 53, Bøverdalen",61.714174,8.345842
1715370,"Storhaugsvegen 61, Bøverdalen",61.713794,8.34521
1715371,"Storhaugsvegen 52, Bøverdalen",61.714596,8.349058
1715372,"Storhaugsvegen 51, Bøverdalen",61.714426,8.346502
1715373,"Jørginevegen 53, Bøverdalen",61.713966,8.33868
1715374,"Galdhøpiggvegen 16, Bøverdalen",61.721233,8.352866
1715476,"Galdhøpiggvegen 422, Bøverdalen",61.722434,8.395982
1715657,"Galdhøpiggvegen 460, Bøverdalen",61.717297,8.391494
1715808,"Leiråsen 289, Bøverdalen",61.703871,8.223704
1715809,"Leiråsen 301, Bøverdalen",61.703899,8.221316
1715810,"Bøvertjønnsvegen 5, Bøverdalen",61.645575,8.101899
1715917,"Mytingsvegen 270, Bøverdalen",61.69851,8.313895
1716046,"Leiråsen 244, Bøverdalen",61.705184,8.241252
1716085,"Mundgjelsvegen 48, Bøverdalen",61.723827,8.346112
1716245,"Leirmoskogen 14, Bøverdalen",61.713377,8.321223
1716388,"Leirdalsvegen 86, Bøverdalen",61.656137,8.183897
1719328,"Bøverdalsvegen 28, Bøverdalen",61.713996,8.308357
1719329,"Bøverdalsvegen 48, Bøverdalen",61.714357,8.30695
1719461,"Bøverdalsvegen 29, Bøverdalen",61.714484,8.309065
1719642,"Bøverdalsvegen 357, Bøverdalen",61.723396,8.272139
1719643,"Bøverdalsvegen 402, Bøverdalen",61.719038,8.261306
1719807,"Bøverdalsvegen 737, Bøverdalen",61.715814,8.206429
1719843,"Bøverdalsvegen 936, Bøverdalen",61.701982,8.192482
1719844,"Bøverdalsvegen 920, Bøverdalen",61.703366,8.193247
1778376,"Sognefjellsvegen 2150, Bøverdalen",61.713746,8.319467
1781975,"Sognefjellsvegen 3497, Bøverdalen",61.65118,8.121833
1781976,"Sognefjellsvegen 3495, Bøverdalen",61.651633,8.123878
1781977,"Sognefjellsvegen 3499, Bøverdalen",61.651747,8.120722
1781978,"Sognefjellsvegen 1824, Bøverdalen",61.727225,8.363206
1784675,"Sognefjellsvegen 3255, Bøverdalen",61.658719,8.163445
1801390,"Sognefjellsvegen 3288, Bøverdalen",61.657029,8.15386
1801490,"Sognefjellsvegen 3604, Bøverdalen",61.645293,8.109694
1863300,"Sognefjellsvegen 3950, Bøverdalen",61.63634,8.05161
1880056,"Sognefjellsvegen 2681, Bøverdalen",61.685966,8.247861
1901786,"Sognefjellsvegen 3259, Bøverdalen",61.660026,8.165149
1972341,"Mundgjelsvegen 52, Bøverdalen",61.724035,8.346986
2011381,"Burmavegen 2, Bøverdalen",61.655532,8.132108
2011382,"Burmavegen 6, Bøverdalen",61.655839,8.130839
2011383,"Sognefjellsvegen 3465, Bøverdalen",61.654887,8.129918
2020107,"Leirmoskogen 18, Bøverdalen",61.713136,8.320228
2022687,"Sognefjellsvegen 2775, Bøverdalen",61.682107,8.231403
2034333,"Storhaugsvegen 60, Bøverdalen",61.714015,8.350596
2035952,"Sognefjellsvegen 1950, Bøverdalen",61.719639,8.345549
2067523,"Sognefjellsvegen 4682A, Bøverdalen",61.574518,8.036226
2082912,"Galdhøpiggvegen 146, Bøverdalen",61.71673,8.357337
2087348,"Galdhøpiggvegen 1357, Bøverdalen",61.676413,8.352537
2088845,"Sognefjellsvegen 2078, Bøverdalen",61.711362,8.338935
2090748,"Bøverdalsvegen 713, Bøverdalen",61.716732,8.210644
2090749,"Bøverdalsvegen 717, Bøverdalen",61.717363,8.211542
2090937,"Bøverdalsvegen 723, Bøverdalen",61.717499,8.215227
2097785,"Storvassvegen 26, Bøverdalen",61.561395,7.95291
2188469,"Gamle Raudbergstulsvegen 27, Bøverdalen",61.717245,8.356299
2188495,"Gamle Raudbergstulsvegen 18, Bøverdalen",61.718049,8.355411
2188512,"Gamle Raudbergstulsvegen 22, Bøverdalen",61.717847,8.356286
2197283,"Galdhøpiggvegen 11, Bøverdalen",61.720862,8.35032
2226857,"Bøverdalsvegen 313, Bøverdalen",61.724998,8.279727
2258122,"Sognefjellsvegen 2161, Bøverdalen",61.713802,8.317279
2258123,"Sognefjellsvegen 2158, Bøverdalen",61.713202,8.318325
2258124,"Sognefjellsvegen 2154, Bøverdalen",61.713502,8.319056
2258125,"Sognefjellsvegen 2155, Bøverdalen",61.713596,8.318127
2258126,"Sognefjellsvegen 2172, Bøverdalen",61.712425,8.315486
2258127,"Sognefjellsvegen 2291, Bøverdalen",61.707636,8.300653
2258128,"Sognefjellsvegen 2143, Bøverdalen",61.714296,8.319517
2258129,"Sognefjellsvegen 2170, Bøverdalen",61.712632,8.315765
2258130,"Sognefjellsvegen 2168, Bøverdalen",61.712691,8.316766
2258287,"Bøvertjønnsvegen 164, Bøverdalen",61.655485,8.122561
2258288,"Bøvertjønnsvegen 172, Bøverdalen",61.655889,8.124022
2258289,"Bøverdalsvegen 400, Bøverdalen",61.719944,8.262912
2258290,"Bøverdalsvegen 633, Bøverdalen",61.716416,8.226939
2258291,"Bøverdalsvegen 496, Bøverdalen",61.720275,8.242792
2258300,"Bakkebergsvegen 4, Bøverdalen",61.719425,8.342631
2258302,"Bakkebergsvegen 21, Bøverdalen",61.720515,8.339656
2258303,"Bakkebergsvegen 33, Bøverdalen",61.720345,8.33616
2258304,"Bakkebergsvegen 31, Bøverdalen",61.720311,8.336558
2258305,"Bakkebergsvegen 35, Bøverdalen",61.720881,8.328202
2258314,"Mytingsvegen 85, Bøverdalen",61.709878,8.317831
2258317,"Bakkebergsvegen 39, Bøverdalen",61.722983,8.332111
2258318,"Bakkebergsvegen 41, Bøverdalen",61.723136,8.332183
2258319,"Bakkebergsvegen 43, Bøverdalen",61.723997,8.335741
2258323,"Bakkebergsvegen 2, Bøverdalen",61.719509,8.343272
2258324,"Bakkebergsvegen 3, Bøverdalen",61.71977,8.344195
2258327,"Leiråsen 356, Bøverdalen",61.697774,8.228192
2258328,"Leiråsen 251, Bøverdalen",61.705991,8.229455
2258329,"Leiråsen 257, Bøverdalen",61.70591,8.227676
2258331,"Langdrågje 8, Bøverdalen",61.722668,8.356242
2258332,"Langdrågje 7, Bøverdalen",61.721927,8.355252
2258333,"Leiråsen 280, Bøverdalen",61.702219,8.239207
2258334,"Langdrågje 6, Bøverdalen",61.72243,8.355433
2258335,"Leiråsen 292, Bøverdalen",61.701455,8.237566
2258336,"Langdrågje 5, Bøverdalen",61.721952,8.354857
2258338,"Leiråsen 298, Bøverdalen",61.701178,8.235999
2258339,"Leiråsen 296, Bøverdalen",61.699768,8.23714
2258340,"Leiråsen 358, Bøverdalen",61.697472,8.228264
2258341,"Langdrågje 10, Bøverdalen",61.722117,8.355667
2258353,"Bøverdalsvegen 721, Bøverdalen",61.717529,8.214425
2258354,"Sognefjellsvegen 2789, Bøverdalen",61.684599,8.233272
2258360,"Bøverdalsvegen 1171, Bøverdalen",61.688331,8.158868
2258367,"Bøverdalsvegen 39, Bøverdalen",61.714747,8.307716
2258368,"Bøverdalsvegen 110, Bøverdalen",61.719811,8.303493
2258369,"Bøverdalsvegen 50, Bøverdalen",61.714622,8.306092
2258370,"Bøverdalsvegen 114, Bøverdalen",61.717887,8.300742
2258371,"Bøverdalsvegen 112, Bøverdalen",61.717958,8.300814
2258373,"Bøverdalsvegen 218, Bøverdalen",61.725466,8.29775
2258375,"Bøverdalsvegen 216, Bøverdalen",61.725448,8.297907
2258378,"Bøverdalsvegen 268, Bøverdalen",61.726038,8.28801
2258386,"Langdrågje 4, Bøverdalen",61.722507,8.354448
2258387,"Langdrågje 3, Bøverdalen",61.722293,8.35485
2258388,"Langdrågje 2, Bøverdalen",61.722214,8.353356
2258389,"Langdrågje 1, Bøverdalen",61.722043,8.353322
2258390,"Bøverdalsvegen 645, Bøverdalen",61.716977,8.223047
2258391,"Bøvertjønnsvegen 18, Bøverdalen",61.646086,8.102872
2258392,"Bøvertjønnsvegen 36, Bøverdalen",61.648272,8.105361
2258393,"Bøverdalsvegen 671, Bøverdalen",61.716167,8.219511
2258394,"Bøverdalsvegen 662, Bøverdalen",61.715262,8.221444
2258395,"Bøverdalsvegen 697, Bøverdalen",61.715361,8.213497
2258396,"Bøverdalsvegen 681, Bøverdalen",61.715756,8.21517
2258397,"Bøverdalsvegen 709, Bøverdalen",61.715482,8.211242
2258398,"Bøverdalsvegen 708, Bøverdalen",61.713948,8.214535
2258399,"Bøverdalsvegen 731, Bøverdalen",61.714761,8.207652
2258400,"Bøverdalsvegen 733, Bøverdalen",61.714705,8.205991
2258401,"Galdhøpiggvegen 18, Bøverdalen",61.721369,8.35309
2258402,"Galdhøpiggvegen 41, Bøverdalen",61.721124,8.35514
2258403,"Galdhøpiggvegen 8, Bøverdalen",61.72107,8.350694
2258404,"Jørginevegen 63, Bøverdalen",61.712153,8.340729
2258405,"Galdhøpiggvegen 14, Bøverdalen",61.721131,8.351741
2258419,"Høydalsvegen 588, Bøverdalen",61.663216,8.028922
2258425,"Leirmoskogen 8, Bøverdalen",61.714219,8.322464
2258426,"Leirmoskogen 6, Bøverdalen",61.714256,8.322652
2258427,"Leirmoskogen 1, Bøverdalen",61.713892,8.319842
2258428,"Leirmoskogen 3, Bøverdalen",61.713584,8.32025
2258429,"Leirmoskogen 9, Bøverdalen",61.71369,8.320811
2258430,"Leirmoskogen 7, Bøverdalen",61.71382,8.321412
2258431,"Leirmoskogen 5, Bøverdalen",61.714041,8.321863
2258432,"Leirmoskogen 16, Bøverdalen",61.713195,8.320673
2258433,"Høydalsvegen 632, Bøverdalen",61.662336,8.021352
2258434,"Leirmoskogen 2, Bøverdalen",61.714124,8.320646
2258435,"Høydalsvegen 596, Bøverdalen",61.662753,8.027589
2258436,"Leirmoskogen 4, Bøverdalen",61.714266,8.321139
2258437,"Bøvertjønnsvegen 602, Bøverdalen",61.662893,8.024576
2258438,"Høydalsvegen 646, Bøverdalen",61.661638,8.018515
2258439,"Høydalsvegen 639, Bøverdalen",61.662239,8.019936
2258440,"Leirdalsvegen 70, Bøverdalen",61.659019,8.184509
2258441,"Høydalsvegen 648, Bøverdalen",61.66158,8.018249
2258442,"Galdhøpiggvegen 43, Bøverdalen",61.719914,8.354937
2258443,"Galdhøpiggvegen 140, Bøverdalen",61.716598,8.356193
2258444,"Galdhøpiggvegen 138, Bøverdalen",61.716906,8.355926
2258445,"Galdhøpiggvegen 428, Bøverdalen",61.719453,8.403866
2258446,"Galdhøpiggvegen 430, Bøverdalen",61.719683,8.403848
2258447,"Galdhøpiggvegen 432, Bøverdalen",61.720347,8.404945
2258448,"Galdhøpiggvegen 392, Bøverdalen",61.721927,8.390365
2258449,"Galdhøpiggvegen 148, Bøverdalen",61.716773,8.357678
2258450,"Galdhøpiggvegen 426, Bøverdalen",61.719587,8.401727
2258458,"Jørginevegen 55, Bøverdalen",61.71365,8.338403
2258460,"Jørginevegen 64, Bøverdalen",61.713921,8.340478
2258462,"Jørginevegen 54, Bøverdalen",61.714229,8.339337
2258473,"Bøverdalsvegen 1272, Bøverdalen",61.683,8.152261
2258475,"Bøverdalsvegen 1271, Bøverdalen",61.680877,8.144517
2258476,"Bøverdalsvegen 223, Bøverdalen",61.685784,8.152431
2258477,"Bøverdalsvegen 1316, Bøverdalen",61.677669,8.146251
2258478,"Bøverdalsvegen 1305, Bøverdalen",61.678791,8.14531
2258479,"Bøverdalsvegen 1274, Bøverdalen",61.688404,8.169861
2258480,"Bøverdalsvegen 1276, Bøverdalen",61.687969,8.17352
2258481,"Bøverdalsvegen 1438, Bøverdalen",61.666624,8.136373
2258482,"Bøverdalsvegen 1369, Bøverdalen",61.674371,8.137669
2258483,"Bøverdalsvegen 1418, Bøverdalen",61.670419,8.14165
2258484,"Bøverdalsvegen 739, Bøverdalen",61.716182,8.208027
2258485,"Bøverdalsvegen 735, Bøverdalen",61.715281,8.202905
2258487,"Bøverdalsvegen 743, Bøverdalen",61.717731,8.203589
2258488,"Bøverdalsvegen 747, Bøverdalen",61.718638,8.204063
2258489,"Bøverdalsvegen 741, Bøverdalen",61.716835,8.202997
2258490,"Bøverdalsvegen 745, Bøverdalen",61.717233,8.201928
2258491,"Bøverdalsvegen 919, Bøverdalen",61.703789,8.19195
2258492,"Hovdestulvegen 2, Bøverdalen",61.705085,8.184388
2258493,"Leirdalsvegen 1440, Bøverdalen",61.548605,8.247451
2258494,"Hovdestulvegen 4, Bøverdalen",61.704982,8.184147
2258499,"Mytingsvegen 283, Bøverdalen",61.696912,8.311878
2258500,"Slåligrenda 2, Bøverdalen",61.717436,8.306937
2258501,"Slåligrenda 4, Bøverdalen",61.717168,8.307322
2258502,"Slåligrenda 6, Bøverdalen",61.71613,8.307799
2258505,"Slåligrenda 8, Bøverdalen",61.716105,8.308235
2258507,"Slåligrenda 10, Bøverdalen",61.715518,8.311142
2258510,"Mytingsvegen 214, Bøverdalen",61.701567,8.318132
2258511,"Sognefjellsvegen 2107, Bøverdalen",61.715028,8.330069
2258512,"Bøverdalsvegen 1104, Bøverdalen",61.691266,8.170043
