,Navn,Long,Lat
418243,"Haukåsen 21, Grua-Harestua",60.21251,10.717195
418244,"Røsslyngen 1, Grua-Harestua",60.211475,10.720101
418245,"Haukåsen 18, Grua-Harestua",60.2121,10.716957
418246,"Haukåsen 19, Grua-Harestua",60.212484,10.717753
418247,"Haukåsen 16, Grua-Harestua",60.212067,10.717388
418248,"Haukåsen 17, Grua-Harestua",60.212443,10.718202
418249,"Haukåsen 14, Grua-Harestua",60.212035,10.717784
418250,"Haukåsen 15, Grua-Harestua",60.212179,10.718459
418251,"Røsslyngen 8, Grua-Harestua",60.211684,10.719245
418252,"Røsslyngen 9, Grua-Harestua",60.21253,10.719777
418253,"Røsslyngen 6, Grua-Harestua",60.211431,10.719358
418254,"Røsslyngen 7, Grua-Harestua",60.212341,10.719839
418255,"Røsslyngen 4, Grua-Harestua",60.211212,10.719618
418256,"Røsslyngen 5, Grua-Harestua",60.212061,10.719897
418257,"Røsslyngen 2, Grua-Harestua",60.211002,10.719859
418258,"Haukåsen 4, Grua-Harestua",60.210518,10.719112
418259,"Haukåsen 5, Grua-Harestua",60.21111,10.719179
418260,"Haukåsen 2, Grua-Harestua",60.210335,10.719337
418261,"Haukåsen 3, Grua-Harestua",60.210927,10.719386
418262,"Viustien 10, Grua-Harestua",60.21072,10.716668
418263,"Haukåsen 1, Grua-Harestua",60.210753,10.719702
418264,"Viustien 6, Grua-Harestua",60.21078,10.717592
418265,"Viustien 8, Grua-Harestua",60.210732,10.717138
418266,"Haukåsen 12, Grua-Harestua",60.211792,10.717843
418267,"Haukåsen 13, Grua-Harestua",60.211899,10.718571
418268,"Haukåsen 10, Grua-Harestua",60.211585,10.717887
418269,"Haukåsen 11, Grua-Harestua",60.211655,10.718684
418270,"Haukåsen 8, Grua-Harestua",60.211295,10.718088
418271,"Haukåsen 9, Grua-Harestua",60.211457,10.71871
418272,"Haukåsen 6, Grua-Harestua",60.21071,10.718815
418273,"Haukåsen 7, Grua-Harestua",60.211276,10.718863
418274,"Steinbrøttet 18, Grua-Harestua",60.210287,10.715455
418275,"Steinbrøttet 19, Grua-Harestua",60.211279,10.715849
418276,"Røsslyngen 3, Grua-Harestua",60.211835,10.71988
418277,"Steinbrøttet 16, Grua-Harestua",60.210366,10.714881
418278,"Steinbrøttet 17, Grua-Harestua",60.211104,10.716147
418279,"Steinbrøttet 13, Grua-Harestua",60.21043,10.716184
418280,"Steinbrøttet 15, Grua-Harestua",60.210637,10.716123
418281,"Steinbrøttet 11, Grua-Harestua",60.210468,10.716727
418282,"Steinbrøttet 12, Grua-Harestua",60.209983,10.715312
418283,"Viustien 4, Grua-Harestua",60.210828,10.718028
418284,"Viustien 5, Grua-Harestua",60.211061,10.71674
418285,"Viustien 2, Grua-Harestua",60.210939,10.718521
418286,"Viustien 3, Grua-Harestua",60.211091,10.717193
418287,"Steinbrøttet 24, Grua-Harestua",60.211096,10.715352
418288,"Viustien 1, Grua-Harestua",60.211111,10.717717
418289,"Steinbrøttet 20, Grua-Harestua",60.210568,10.715253
418290,"Steinbrøttet 22, Grua-Harestua",60.210772,10.715408
418291,"Harestumoen 16, Grua-Harestua",60.21104,10.709953
418292,"Steinbrøttet 2, Grua-Harestua",60.210074,10.718024
418293,"Harestumoen 12, Grua-Harestua",60.210757,10.708946
418294,"Harestumoen 14, Grua-Harestua",60.211158,10.70922
418295,"Elvefaret 2B, Grua-Harestua",60.207665,10.712647
418296,"Harestumoen 4, Grua-Harestua",60.209465,10.713029
418297,"Elvefaret 2, Grua-Harestua",60.20737,10.713191
418298,"Elvefaret 2A, Grua-Harestua",60.207462,10.712348
418299,"Steinbrøttet 9, Grua-Harestua",60.210452,10.717268
418300,"Steinbrøttet 10, Grua-Harestua",60.210021,10.715838
418301,"Steinbrøttet 7, Grua-Harestua",60.210463,10.717774
418302,"Steinbrøttet 8, Grua-Harestua",60.210041,10.71638
418303,"Steinbrøttet 5, Grua-Harestua",60.210465,10.718315
418304,"Steinbrøttet 6, Grua-Harestua",60.210043,10.71694
418305,"Steinbrøttet 3, Grua-Harestua",60.210281,10.718685
418306,"Steinbrøttet 4, Grua-Harestua",60.21009,10.717466
418307,"Røyskattlia 15, Grua-Harestua",60.214904,10.718132
418308,"Røyskattlia 16, Grua-Harestua",60.214809,10.717153
418309,"Røyskattlia 13, Grua-Harestua",60.214914,10.718783
418310,"Røyskattlia 14, Grua-Harestua",60.214626,10.717432
418311,"Røyskattlia 9, Grua-Harestua",60.214872,10.7199
418312,"Røyskattlia 11, Grua-Harestua",60.214889,10.719341
418313,"Røyskattlia 7, Grua-Harestua",60.214795,10.720347
