,Navn,Long,Lat
3371,"107/135, Moen/Ål",60.407665,10.531568
3386,"150/11, Moen/Ål",60.43219,10.613775
3387,"150/9, Moen/Ål",60.432548,10.613884
3388,"150/3, Moen/Ål",60.432151,10.612538
3402,"86/2, Moen/Ål",60.441178,10.574892
3412,"158/19, Moen/Ål",60.406923,10.610472
3413,"283/13, Moen/Ål",60.413014,10.643387
3414,"280/31, Moen/Ål",60.407072,10.614492
3415,"277/43, Moen/Ål",60.401635,10.617
3416,"84/19, Brandbu",60.499228,10.647695
3419,"299/1/1, Moen/Ål",60.462444,10.636755
3450,"152/105, Moen/Ål",60.400113,10.573179
3451,"152/70, Moen/Ål",60.399013,10.568189
3452,"84/13, Brandbu",60.498897,10.650518
3454,"84/5, Brandbu",60.479762,10.666924
3455,"84/6, Brandbu",60.481745,10.664878
3457,"158/6, Moen/Ål",60.407375,10.61251
3473,"86/1, Moen/Ål",60.440118,10.574931
3474,"86/3, Moen/Ål",60.442107,10.573792
3502,"298/1/117, Moen/Ål",60.412565,10.691467
3503,"298/1/118, Moen/Ål",60.412288,10.684261
3504,"298/1/114, Moen/Ål",60.413931,10.69635
3505,"298/1/116, Moen/Ål",60.413387,10.693216
3529,"299/1/3, Brandbu",60.492005,10.656594
3531,"298/1/127, Moen/Ål",60.407038,10.658953
3533,"298/1/121, Moen/Ål",60.410256,10.681614
3534,"298/1/122, Moen/Ål",60.410205,10.679977
3535,"298/1/119, Moen/Ål",60.411431,10.684598
3536,"298/1/120, Moen/Ål",60.410789,10.682786
3537,"298/1/126, Moen/Ål",60.405632,10.662948
3538,"298/1/125, Moen/Ål",60.408086,10.665634
3539,"298/1/123, Moen/Ål",60.411433,10.678733
3540,"298/1/124, Moen/Ål",60.410999,10.668942
3552,"299/1/37, Moen/Ål",60.461248,10.636113
3553,"299/1/38, Moen/Ål",60.431476,10.680984
3566,"299/1/14, Moen/Ål",60.463968,10.685283
3568,"299/1/8, Brandbu",60.488193,10.653341
3569,"299/1/9, Moen/Ål",60.418525,10.68531
3570,"299/1/13, Moen/Ål",60.418927,10.668349
3571,"299/1/31, Brandbu",60.477227,10.632296
3572,"299/1/31-1, Brandbu",60.477277,10.632553
3573,"299/1/30, Moen/Ål",60.421247,10.688103
3574,"299/1/36, Brandbu",60.478269,10.60189
