,Navn,Long,Lat
282581,"Kallrustadskauen 33, Nordlien",60.740681,10.756089
283226,"Ringvegen 24, Nordlien",60.746858,10.757582
283227,"Ringvegen 22, Nordlien",60.746812,10.756956
283236,"Ringvegen 8, Nordlien",60.747519,10.757857
283237,"Ringvegen 6, Nordlien",60.747317,10.758213
283238,"Ringvegen 12, Nordlien",60.747549,10.756941
283239,"Ringvegen 10, Nordlien",60.747516,10.757398
283240,"Ringvegen 16, Nordlien",60.74728,10.756174
283241,"Ringvegen 14, Nordlien",60.747454,10.756624
283242,"Ringvegen 20, Nordlien",60.746924,10.756632
283243,"Ringvegen 18, Nordlien",60.747045,10.75629
283244,"Livegen 3A, Nordlien",60.746271,10.757128
283245,"Livegen 2, Nordlien",60.746222,10.756116
283246,"Livegen 5, Nordlien",60.746022,10.756968
283247,"Livegen 4, Nordlien",60.746136,10.75646
283248,"Meierivegen 12, Nordlien",60.746877,10.75817
283249,"Ringvegen 1, Nordlien",60.747152,10.757066
283250,"Ringvegen 4, Nordlien",60.747156,10.758131
283251,"Ringvegen 3, Nordlien",60.747263,10.757494
283252,"Meierivegen 23, Nordlien",60.746439,10.760055
283253,"Meierivegen 22, Nordlien",60.745607,10.759165
283254,"Meierivegen 26A, Nordlien",60.7455,10.760299
283255,"Meierivegen 24, Nordlien",60.74539,10.759979
283256,"Meierivegen 29, Nordlien",60.745917,10.759457
283257,"Meierivegen 27, Nordlien",60.746011,10.759829
283258,"Livegen 1, Nordlien",60.746412,10.756695
283259,"Meierivegen 31, Nordlien",60.745745,10.760237
283260,"Meierivegen 15, Nordlien",60.746949,10.75889
283261,"Meierivegen 14, Nordlien",60.746503,10.758645
283262,"Meierivegen 17, Nordlien",60.746701,10.759262
283263,"Meierivegen 16, Nordlien",60.746244,10.758539
283264,"Meierivegen 19, Nordlien",60.746394,10.759392
283265,"Meierivegen 18, Nordlien",60.74608,10.758677
283266,"Meierivegen 21, Nordlien",60.746596,10.759733
283267,"Meierivegen 20, Nordlien",60.745881,10.758776
283268,"Kvennhusvegen 25, Nordlien",60.744946,10.760285
283269,"Kvennhusvegen 24, Nordlien",60.744613,10.759624
283270,"Meierivegen 1, Nordlien",60.748232,10.757584
283271,"Kvennhusvegen 26, Nordlien",60.74476,10.760036
283272,"Meierivegen 6, Nordlien",60.747819,10.757598
283273,"Meierivegen 2, Nordlien",60.747742,10.756585
283274,"Askegårdsvegen 6, Nordlien",60.746598,10.758229
283275,"Meierivegen 8, Nordlien",60.747649,10.758176
283276,"Kvennhusvegen 17, Nordlien",60.745516,10.758591
283277,"Kvennhusvegen 15, Nordlien",60.745673,10.758233
283279,"Kvennhusvegen 19, Nordlien",60.745385,10.758951
283280,"Kvennhusvegen 18, Nordlien",60.745089,10.758238
283281,"Kvennhusvegen 21, Nordlien",60.744992,10.759517
283282,"Kvennhusvegen 20, Nordlien",60.744858,10.758775
283283,"Kvennhusvegen 23, Nordlien",60.745122,10.759872
283284,"Kvennhusvegen 22, Nordlien",60.74477,10.759303
283410,"Frydenlundstoppen 5, Nordlien",60.744214,10.754447
283417,"Sveomsvegen 2, Nordlien",60.743582,10.756027
283468,"Kvennhusvegen 8, Nordlien",60.745512,10.756133
283469,"Kvennhusvegen 7, Nordlien",60.745818,10.756791
283470,"Kvennhusvegen 10, Nordlien",60.74546,10.756643
283471,"Kvennhusvegen 9, Nordlien",60.745892,10.757309
283472,"Kvennhusvegen 12, Nordlien",60.745313,10.756947
283473,"Kvennhusvegen 11, Nordlien",60.745734,10.757668
283474,"Kvennhusvegen 14, Nordlien",60.745209,10.757327
283476,"Kvennhusvegen 13, Nordlien",60.745525,10.757895
283478,"Askegårdsvegen 9, Nordlien",60.746688,10.756178
283479,"Askegårdsvegen 7, Nordlien",60.746656,10.755846
283481,"Kvennhusvegen 2, Nordlien",60.745888,10.754832
283482,"Kvennhusvegen 1, Nordlien",60.746111,10.755633
283483,"Kvennhusvegen 4, Nordlien",60.745802,10.755249
283484,"Kvennhusvegen 3, Nordlien",60.74598,10.75603
283485,"Kvennhusvegen 6, Nordlien",60.745661,10.755755
283486,"Kvennhusvegen 5, Nordlien",60.74586,10.756317
283494,"Askegårdsvegen 3, Nordlien",60.74644,10.755229
283495,"Askegårdsvegen 2, Nordlien",60.746438,10.757431
283497,"Askegårdsvegen 5, Nordlien",60.746571,10.755512
283498,"Askegårdsvegen 4, Nordlien",60.746369,10.757867
283526,"Frydenlundstoppen 4, Nordlien",60.744027,10.754987
283550,"Frydenlundstoppen 3, Nordlien",60.743789,10.755341
283552,"Frydenlundstoppen 2, Nordlien",60.743694,10.755721
283944,"Meierivegen 10, Nordlien",60.747484,10.758479
284144,"Sveomsvegen 77, Nordlien",60.738347,10.748726
284224,"Meierivegen 11A, Nordlien",60.747439,10.759192
284226,"Breilibakken 8, Nordlien",60.747412,10.759833
284227,"Meierivegen 13, Nordlien",60.747097,10.75911
284242,"Breilibakken 5A, Nordlien",60.74676,10.760256
284243,"Breilibakken 3, Nordlien",60.746674,10.760618
284244,"Breilibakken 5B, Nordlien",60.746806,10.760203
284250,"Steinsjåvegen 78, Nordlien",60.758071,10.72046
284252,"Steinsjåvegen 76, Nordlien",60.757858,10.720944
284254,"Steinsjåvegen 89, Nordlien",60.759336,10.719848
