,Navn,Long,Lat
284853,"Vestsidevegen 756, Fluberg",60.72527,10.245938
285036,"Vikersætervegen 886, Fluberg",60.760441,10.141763
285038,"Vikersætervegen 940, Fluberg",60.759825,10.147071
285048,"Liåsvegen 21, Skute",60.68836,10.183656
285275,"Skjellingsvegen 2053, Fluberg",60.710831,10.012619
285293,"Lomsjøvegen 1542, Skute",60.655398,10.11438
285301,"Skjellingsvegen 1748, Fluberg",60.680673,10.071115
285318,"Bredvikavegen 176, Skute",60.625386,10.195368
285324,"Lomsjøvegen 878, Skute",60.648604,10.156851
285343,"Vikersætervegen 901, Fluberg",60.763954,10.14475
285580,"Vestsidevegen 1993, Skute",60.620507,10.315411
285581,"Vestsidevegen 1928, Skute",60.6359,10.344139
285641,"Vestsidevegen 1559, Skute",60.666086,10.270917
285665,"Totjernsvegen 450, Skute",60.700618,10.188845
286432,"Totjernsvegen 228, Fluberg",60.711556,10.194004
286464,"Smålandsvegen 5, Skute",60.689965,10.303376
286788,"Bølbekkvegen 1, Skute",60.599636,10.309211
286793,"Bølbekkvegen 8, Skute",60.600326,10.308472
286794,"Bølbekkvegen 7, Skute",60.599728,10.31168
286795,"Bølbekkvegen 5, Skute",60.59962,10.310836
286796,"Bølbekkvegen 3, Skute",60.599629,10.309959
286797,"Ligutua 2, Skute",60.698556,10.281302
286798,"Bølbekkvegen 13, Skute",60.59985,10.315812
286799,"Bølbekkvegen 12, Skute",60.600219,10.312942
286800,"Bølbekkvegen 10, Skute",60.600441,10.312275
286801,"Ligutua 10, Skute",60.692955,10.287563
286802,"Ligutua 8, Skute",60.693227,10.287281
286803,"Ligutua 7, Skute",60.693394,10.285785
286804,"Ligutua 6, Skute",60.693743,10.286825
286813,"Liåsvegen 4, Skute",60.703915,10.270065
286814,"Liåsvegen 3, Skute",60.710331,10.25432
287042,"Vestsidevegen 708, Fluberg",60.728679,10.245426
287043,"Vestsidevegen 712, Fluberg",60.729873,10.244466
287044,"Haugsvegen 19, Skute",60.701306,10.266792
287048,"Vestsidevegen 710, Fluberg",60.729212,10.24556
287049,"Lomsjøvegen 22, Skute",60.602015,10.300102
287052,"Sørengvegen 1, Skute",60.704197,10.273483
287053,"Lomsjøvegen 110, Skute",60.604347,10.291438
287054,"Lomsjøvegen 78, Skute",60.603338,10.294183
287055,"Lomsjøvegen 27, Skute",60.603819,10.315718
287056,"Lomsjøvegen 24, Skute",60.607986,10.292725
287076,"Smålandsvegen 16, Skute",60.689898,10.304728
287077,"Smålandsvegen 14, Skute",60.690241,10.304541
287078,"Smålandsvegen 10, Skute",60.690676,10.305987
287079,"Smålandsvegen 8, Skute",60.690936,10.306016
287080,"Ligarda Grendeveg 5, Skute",60.703311,10.273174
287081,"Ligarda Grendeveg 3, Skute",60.702886,10.273293
287082,"Ligarda Grendeveg 2, Skute",60.702056,10.274864
287083,"Ligarda Grendeveg 1, Skute",60.702582,10.274281
287084,"Ligarda Grendeveg 12, Skute",60.703287,10.272
287085,"Ligarda Grendeveg 10, Skute",60.702072,10.267555
287086,"Ligarda Grendeveg 8, Skute",60.702603,10.271149
287087,"Ligarda Grendeveg 6, Skute",60.702724,10.272564
287088,"Lefsegata 10, Skute",60.700305,10.275803
287089,"Lefsegata 8, Skute",60.700039,10.27636
287090,"Lefsegata 6, Skute",60.699595,10.276874
287091,"Ligarda Grendeveg 14, Skute",60.703487,10.271697
287092,"Vestsidevegen 47, Fluberg",60.78358,10.19784
287093,"Vestsidevegen 2, Fluberg",60.786836,10.203215
287094,"Lefsegata 12, Skute",60.700481,10.275278
287095,"Lefsegata 11, Skute",60.700765,10.275638
287096,"Vestsidevegen 124, Fluberg",60.775781,10.209677
287097,"Vestsidevegen 123, Fluberg",60.776636,10.206266
287098,"Vestsidevegen 62, Fluberg",60.782167,10.207264
287099,"Vestsidevegen 49, Fluberg",60.78377,10.196727
287100,"Vestsidevegen 147, Fluberg",60.774192,10.207368
287101,"Vestsidevegen 145, Fluberg",60.774518,10.20705
287102,"Vestsidevegen 142, Fluberg",60.774604,10.208559
287103,"Vestsidevegen 137, Fluberg",60.77529,10.207171
287104,"Vestsidevegen 198, Fluberg",60.770362,10.211961
287105,"Vestsidevegen 173, Fluberg",60.772819,10.209263
287106,"Vestsidevegen 162, Fluberg",60.773395,10.210147
287107,"Vestsidevegen 157, Fluberg",60.773262,10.208673
287108,"Vestsidevegen 212, Fluberg",60.768974,10.212514
287109,"Vestsidevegen 208, Fluberg",60.769745,10.213645
287110,"Vestsidevegen 201, Fluberg",60.770643,10.206665
287111,"Vestsidevegen 199, Fluberg",60.770951,10.208311
287112,"Vestsidevegen 229, Fluberg",60.767202,10.212814
287113,"Vestsidevegen 226, Fluberg",60.767994,10.214031
287114,"Vestsidevegen 221, Fluberg",60.768233,10.211966
287115,"Vestsidevegen 215, Fluberg",60.768623,10.211638
287116,"Vestsidevegen 261, Fluberg",60.76513,10.215544
287117,"Vestsidevegen 251, Fluberg",60.765528,10.213247
