,Navn,Long,Lat
1371,"133/109, Østsinni",60.80105,10.10617
1378,"39/42/1, Nordsinni",60.831669,10.052451
1379,"38/34, Nordsinni",60.876111,9.986464
1380,"34/47, Nordsinni",60.899679,9.955599
1381,"41/75, Nordsinni",60.841727,10.054438
1382,"39/72, Nordsinni",60.832283,10.049676
1383,"25/18, Nordsinni",60.848029,9.781
1384,"16/40, Nordsinni",60.924438,9.889268
1385,"34/28, Nordsinni",60.859706,9.991554
1386,"35/18, Nordsinni",60.862059,9.991388
1387,"35/16, Nordsinni",60.901819,9.835016
1388,"41/44, Nordsinni",60.879509,10.001766
1389,"50/41, Lunde",60.94721,9.865518
1390,"45/31, Nordsinni",60.888913,10.025167
1391,"57/11, Lunde",60.954829,10.022394
1392,"113/29, Østsinni",60.85706,10.053673
1395,"8/3, Nordsinni",60.738698,9.840221
1396,"12/17, Nordsinni",60.803092,9.906722
1398,"26/19, Nordsinni",60.923996,9.87603
1399,"28/27, Nordsinni",60.868148,9.912635
1400,"27/22, Nordsinni",60.923262,9.877229
1401,"9/31, Nordsinni",60.787508,9.942884
1423,"31/21, Nordsinni",60.892401,9.924237
1425,"122/81, Østsinni",60.840963,10.080558
1427,"19/52, Nordsinni",60.884239,9.921643
1431,"142/3, Østsinni",60.7974,10.133642
1432,"128/8, Østsinni",60.814209,10.060313
1433,"117/44, Østsinni",60.853487,10.109455
1434,"118/39, Østsinni",60.873303,10.203558
1443,"126/48, Østsinni",60.828799,10.06902
1448,"119/41, Østsinni",60.844306,10.13934
1453,"113/85, Østsinni",60.854962,10.054432
1455,"143/1-2, Østsinni",60.772538,10.104325
1456,"45/18, Nordsinni",60.885197,10.039143
1458,"57/14, Lunde",60.955261,10.021097
1462,"56/1-1, Lunde",60.954438,10.023102
1463,"119/37, Østsinni",60.845229,10.137996
1465,"39/27-1, Nordsinni",60.879335,9.988848
1466,"49/1-2, Lunde",60.956262,10.035883
1469,"28/12-1, Nordsinni",60.89091,9.898522
1470,"28/11-2, Nordsinni",60.890797,9.897121
1479,"41/304, Nordsinni",60.845602,10.050407
1490,"43/37, Nordsinni",60.868864,10.009397
21064,"12/5-1, Nordsinni",60.806946,9.913952
29007,"43/7, Nordsinni",60.865303,10.020969
29612,"15/9, Nordsinni",60.836025,10.030164
30422,"12/9-1, Nordsinni",60.813873,9.934617
31116,"41/196, Nordsinni",60.892862,9.996397
33601,"32/44, Nordsinni",60.85287,9.982566
33718,"41/22, Østsinni",60.835785,10.068583
34314,"1/25, Nordsinni",60.828678,9.788516
34759,"16/68, Nordsinni",60.79213,9.985818
34779,"8/8, Nordsinni",60.750074,9.856486
34787,"8/7, Nordsinni",60.75076,9.855431
35534,"8/9, Nordsinni",60.747146,9.850323
38082,"41/311, Nordsinni",60.847236,10.053742
256438,"Hombsvegen 448, Østsinni",60.828826,10.180259
256443,"Flesvegen 681, Østsinni",60.758976,9.936301
256471,"Brasetvegen 174, Østsinni",60.880097,10.193194
256473,"Hovdemyrvegen 234, Østsinni",60.885445,10.096502
256482,"Barsokvegen 18, Østsinni",60.834792,10.086475
256486,"Barsokvegen 1, Østsinni",60.832716,10.090028
256493,"Barsokvegen 15, Østsinni",60.834354,10.086258
256494,"Barsokvegen 14, Østsinni",60.834501,10.086944
256496,"Barsokvegen 17, Østsinni",60.834636,10.085771
256497,"Barsokvegen 16, Østsinni",60.834601,10.086763
256499,"Barsokvegen 5, Østsinni",60.833164,10.089069
256501,"Barsokvegen 3, Østsinni",60.832873,10.089482
256503,"Barsokvegen 13, Østsinni",60.834163,10.086509
256504,"Barsokvegen 7, Østsinni",60.833204,10.088573
256522,"Sollibakkevegen 277, Lunde",60.959409,9.945765
256525,"Vestergardsvegen 1075, Torpa",60.978167,9.826431
256526,"Langeråkvegen 99, Torpa",60.973848,9.807893
256527,"Sollibakkevegen 281, Lunde",60.960159,9.946453
256528,"Sollibakkevegen 275, Lunde",60.95828,9.953006
256531,"Vestersætervegen 231, Lunde",60.907057,10.021064
256532,"Vestersætervegen 199, Lunde",60.911577,10.025085
256537,"Tyndrumssætervegen 41, Nordsinni",60.901112,9.835823
256538,"Baggerudsætervegen 413, Nordsinni",60.906096,9.865059
256539,"Domsjøvegen 755, Nordsinni",60.901121,9.956763
256540,"Domsjøvegen 757, Nordsinni",60.902,9.956234
256541,"Domsjøvegen 769, Nordsinni",60.9049,9.955376
256542,"Gladheimvegen 28, Nordsinni",60.885146,10.003659
256543,"Ulvasvevegen 3, Nordsinni",60.831507,10.05022
256544,"Gladheimvegen 14, Nordsinni",60.883966,10.003649
256545,"Ulvasvevegen 1, Nordsinni",60.83112,10.05144
256546,"Ertjernsvegen 7, Nordsinni",60.885131,9.994851
