,Navn,Long,Lat
20175,"85/78, Tingnes",60.973739,9.294105
20187,"85/78-2, Tingnes",60.973416,9.293769
20188,"85/78-3, Tingnes",60.973739,9.294105
20191,"85/78-4, Tingnes",60.973755,9.295103
1049573,"Sylvsmedvegen 52, Tingnes",60.967051,9.305975
1049574,"Steinsrudmoen 2, Tingnes",60.966645,9.306599
1050898,"Lovegen 610, Svenes",60.96717,9.188426
1050900,"Lovegen 630, Svenes",60.967042,9.18671
1050918,"Lovegen 405, Svenes",60.967628,9.223915
1050919,"Heggjisvegen 62, Svenes",60.966139,9.226205
1050920,"Lovegen 393, Svenes",60.968169,9.226236
1050935,"Breisetvegen 410, Svenes",60.93423,9.127053
1050945,"Breisetvegen 580, Svenes",60.931087,9.116347
1050946,"Håvrudvegen 73, Svenes",60.966355,9.175698
1050953,"Håvrudvegen 322, Svenes",60.961144,9.166023
1050954,"Håvrudvegen 354, Svenes",60.9593,9.162688
1050955,"Håvrudvegen 263, Svenes",60.962979,9.169287
1050956,"Håvrudvegen 304, Svenes",60.962387,9.166172
1050958,"Håvrudvegen 205, Svenes",60.962898,9.176615
1050959,"Håvrudvegen 1, Svenes",60.967585,9.17937
1050960,"Lovegen 486, Svenes",60.966345,9.209521
1050961,"Lovegen 492, Svenes",60.966184,9.208808
1050962,"Heggjisvegen 177, Svenes",60.964496,9.209641
1050963,"Håvrudvegen 274, Svenes",60.963523,9.168001
1050964,"Håvrudvegen 345, Svenes",60.960316,9.162715
1050965,"Håvrudvegen 357, Svenes",60.959221,9.160913
1050967,"Heggjisvegen 151, Svenes",60.964479,9.212643
1050970,"Heggjisvegen 127, Svenes",60.964672,9.217544
1050971,"Heggjisvegen 108, Svenes",60.965071,9.22071
1050972,"Heggjisvegen 111, Svenes",60.96534,9.219339
1050974,"Ristevegen 65, Svenes",60.96654,9.234392
1050978,"Lovegen 446, Svenes",60.966978,9.217496
1050979,"Lovegen 411, Svenes",60.967563,9.222674
1050980,"Lovegen 455, Svenes",60.96686,9.214959
1050982,"Lovegen 168, Svenes",60.967097,9.264007
1050983,"Lovegen 365, Svenes",60.969113,9.229938
1050984,"Lovegen 246, Svenes",60.96992,9.252388
1050985,"Ristevegen 48, Svenes",60.967008,9.237114
1050986,"Lovegen 318, Svenes",60.968988,9.238111
1050987,"Lovegen 105, Svenes",60.963846,9.271156
1050988,"Lovegen 113, Svenes",60.96439,9.26985
1050989,"Lovegen 186, Svenes",60.968677,9.261174
1050990,"Lovegen 125, Svenes",60.967025,9.268444
1050994,"Lovegen 172, Svenes",60.967333,9.26169
1050996,"Lovegen 154, Svenes",60.966307,9.264903
1050997,"Lovegen 94, Svenes",60.962783,9.271823
1050999,"Lovegen 100, Svenes",60.963115,9.271032
1051000,"Lovegen 91, Svenes",60.962889,9.27266
1051001,"Lovegen 84, Svenes",60.959877,9.270253
1051002,"Lovegen 102, Svenes",60.962859,9.271233
1051003,"Golsvegen 256, Svenes",60.950476,9.290918
1051004,"Golsvegen 81, Svenes",60.964847,9.286089
1051005,"Vestringslinna 970, Svenes",60.951492,9.292877
1051006,"Golsvegen 118, Svenes",60.961648,9.288145
1051007,"Golsvegen 100, Svenes",60.963706,9.287961
1051008,"Lovegen 89, Svenes",60.962722,9.272924
1051009,"Lovegen 78, Svenes",60.962184,9.271912
1051010,"Skaveldbakkatn 4, Aurdal",60.964345,9.314147
1051011,"Golsvegen 17, Tingnes",60.970154,9.289527
1051012,"Golsvegen 23, Tingnes",60.969623,9.288808
1051013,"Oslovegen 487, Aurdal",60.96023,9.317535
1051014,"Skaveldbakkatn 53, Aurdal",60.96106,9.322641
1051015,"Månovegen 329, Aurdal",60.961785,9.327756
1051016,"Månovegen 385, Aurdal",60.957829,9.332548
1051017,"Turtlitvegen 286, Skrautvål",60.973784,9.351391
1051018,"Oslovegen 526, Aurdal",60.959199,9.322676
1051019,"Oslovegen 508, Aurdal",60.960432,9.321093
1051020,"Oslovegen 465, Aurdal",60.963514,9.314606
1051021,"Skaveldbakkatn 41, Aurdal",60.961262,9.321166
1051022,"Oslovegen 510, Aurdal",60.959957,9.321599
1051023,"Oslovegen 449, Aurdal",60.963933,9.313061
1051024,"Oslovegen 445, Aurdal",60.964116,9.312319
1051025,"Oslovegen 569, Aurdal",60.955308,9.328456
1051026,"Oslovegen 438, Aurdal",60.96439,9.313174
1051027,"Månovegen 337, Aurdal",60.962275,9.327897
1051028,"Månovegen 344, Aurdal",60.962267,9.329101
1051029,"Skaveldbakkatn 95, Aurdal",60.959821,9.32726
1051030,"Månovegen 341, Aurdal",60.961197,9.328886
1051031,"Oslovegen 506, Aurdal",60.960726,9.320672
1051032,"Månovegen 316, Aurdal",60.964548,9.32577
1051033,"Månovegen 346, Aurdal",60.961624,9.330119
1051034,"Månovegen 340, Aurdal",60.963749,9.3275
1051035,"Månovegen 382, Aurdal",60.960449,9.334744
1051036,"Skaveldbakkatn 2, Aurdal",60.96399,9.315327
1051037,"Månovegen 339, Aurdal",60.961732,9.328823
1051040,"Oslovegen 621, Aurdal",60.95222,9.336184
1051041,"Oslovegen 653, Aurdal",60.950877,9.338313
1051042,"Oslovegen 641, Aurdal",60.951822,9.336938
1051043,"Oslovegen 665, Aurdal",60.950321,9.340611
1051044,"Oslovegen 655, Aurdal",60.95044,9.339218
1051452,"Vestringslinna 939, Aurdal",60.951415,9.297056
1051575,"Månovegen 97, Tingnes",60.973288,9.300828
1051579,"Pilsetvegen 809, Skrautvål",60.99599,9.375015
1051680,"Nilsebrøtin 3, Tingnes",60.975687,9.281652
1051681,"Nilsebrøtin 4, Tingnes",60.975472,9.281225
1051683,"Nilsebrøtin 2, Tingnes",60.975599,9.280875
1051688,"Nilsebrøtin 12, Tingnes",60.975843,9.280028
1051689,"Nilsebrøtin 13, Tingnes",60.974974,9.283438
1051690,"Nilsebrøtin 9, Tingnes",60.975351,9.283515
1051691,"Nilsebrøtin 11, Tingnes",60.97508,9.284048
1051692,"Nilsebrøtin 7, Tingnes",60.97528,9.282757
1051693,"Nilsebrøtin 8, Tingnes",60.975212,9.280909
1051694,"Nilsebrøtin 5, Tingnes",60.975479,9.28202
1051698,"Nilsebrøtin 17, Tingnes",60.974976,9.282348
1051699,"Nilsebrøtin 19, Tingnes",60.975015,9.281942
1051700,"Nilsebrøtin 14, Tingnes",60.975194,9.281075
1051701,"Nilsebrøtin 15, Tingnes",60.974853,9.28276
1051733,"Pilsetvegen 639, Skrautvål",60.991565,9.35125
1051736,"Lovegen 612, Svenes",60.967341,9.188058
1051779,"Håvrudvegen 42, Svenes",60.966696,9.184602
1051891,"Håvrudstølvegen 67, Svenes",60.932617,9.140729
1051919,"Skarshaugvegen 911, Svenes",60.926561,9.194306
1051941,"Breisetvegen 479, Svenes",60.939856,9.115963
1051962,"Lovegen 413, Svenes",60.968354,9.223381
1052005,"Håvrudstølvegen 71, Svenes",60.933357,9.140126
1052132,"Middalstølvegen 134, Svenes",60.936504,9.169085
1052145,"Oslovegen 469, Aurdal",60.962246,9.316637
1052158,"Oslovegen 654, Aurdal",60.951042,9.339684
1052274,"Håvrudstølvegen 73, Svenes",60.9337,9.13894
1052308,"Håvrudstølvegen 83, Svenes",60.93405,9.142967
1052320,"Smørlivegen 168, Skrautvål",61.01593,9.384354
1052324,"Krøssånvegen 515, Svenes",60.930776,9.199159
1052333,"Breisetvegen 451, Svenes",60.936851,9.119945
1052450,"Lovegen 87, Svenes",60.962347,9.274133
1052705,"Middalstølvegen 99, Svenes",60.938119,9.167623
1052874,"Skarshaugvegen 900, Svenes",60.926411,9.197217
1052877,"Skarshaugvegen 898, Svenes",60.926912,9.196318
1052880,"Håvrudstølvegen 7, Svenes",60.935874,9.12842
1052881,"Håvrudstølvegen 19, Svenes",60.93536,9.129553
1052882,"Håvrudstølvegen 22, Svenes",60.935861,9.131743
1052883,"Håvrudstølvegen 20, Svenes",60.93558,9.130793
1052884,"Breisetvegen 368, Svenes",60.938105,9.133889
1052885,"Håvrudstølvegen 26, Svenes",60.935588,9.132946
1052886,"Lovegen 592, Svenes",60.966522,9.190928
1052887,"Lovegen 604, Svenes",60.966449,9.189024
1052888,"Håvrudstølvegen 74, Svenes",60.934424,9.138426
1052889,"Håvrudstølvegen 77, Svenes",60.934119,9.140087
1052890,"Håvrudstølvegen 84, Svenes",60.934838,9.140385
1052891,"Håvrudstølvegen 78, Svenes",60.934533,9.139851
1052892,"Håvrudstølvegen 55, Svenes",60.933993,9.134171
1052893,"Håvrudstølvegen 86, Svenes",60.935114,9.140941
1052894,"Håvrudstølvegen 23, Svenes",60.934927,9.130893
1052895,"Håvrudstølvegen 35, Svenes",60.934319,9.132921
1052896,"Breisetvegen 596, Svenes",60.931408,9.119696
1052897,"Breisetvegen 527, Svenes",60.932265,9.108422
1052898,"Breisetvegen 418, Svenes",60.934233,9.123332
1052899,"Breisetvegen 420, Svenes",60.934315,9.122405
1052900,"Håvrudstølvegen 61, Svenes",60.933591,9.137844
1052901,"Håvrudstølvegen 65, Svenes",60.933075,9.139692
1052902,"Håvrudstølvegen 75, Svenes",60.934037,9.140639
1052903,"Håvrudstølvegen 81, Svenes",60.933607,9.141957
1052904,"Midtløovegen 30, Svenes",60.936549,9.158982
1052905,"Middalstølvegen 129, Svenes",60.937547,9.166924
1052906,"Breisetvegen 511, Svenes",60.939133,9.109299
