,Navn,Long,Lat
20181,"102/12, Aurdal",60.861499,9.556786
20182,"102/32, Aurdal",60.861568,9.555406
1054204,"Oslovegen 2172, Aurdal",60.855151,9.513159
1055817,"Oslovegen 2170, Aurdal",60.855436,9.512949
1056093,"Oslovegen 2160, Aurdal",60.858131,9.506215
1056659,"Oslovegen 2166, Aurdal",60.856264,9.510363
1817975,"Fjellreksla 44, Bagn",60.786388,9.468379
1817976,"Fjellreksla 35, Bagn",60.785648,9.467714
1817977,"Fjellreksla 46, Bagn",60.786539,9.467955
1817978,"Fjellreksla 62, Bagn",60.786416,9.4672
1817979,"Fjellreksla 64, Bagn",60.786195,9.466235
1817980,"Fjellreksla 56, Bagn",60.786965,9.467393
1817981,"Fjellreksla 52, Bagn",60.787109,9.46828
1817982,"Fjellreksla 66, Bagn",60.787525,9.468412
1817983,"Fjellreksla 38, Bagn",60.786153,9.467627
1817984,"Bøhnsetervegen 213, Reinli",60.789845,9.468005
1817985,"Bøhnsetervegen 211, Reinli",60.790077,9.467621
1817986,"Bøhnsetervegen 209, Reinli",60.790361,9.467193
1817987,"Fjellreksla 68, Bagn",60.787732,9.467912
1817988,"Bøhnsetervegen 295, Reinli",60.794943,9.471911
1817989,"Bøhnsetervegen 290, Reinli",60.794287,9.471684
1817990,"Bøhnsetervegen 221, Reinli",60.790027,9.469399
1817992,"Bøhnsetervegen 217, Reinli",60.789462,9.47015
1817993,"Bøhnsetervegen 215, Reinli",60.789581,9.469011
1818003,"Fjellreksla 72, Bagn",60.787922,9.467047
1818005,"Fjellreksla 78, Bagn",60.787637,9.466841
1818006,"Fjellreksla 82, Bagn",60.787211,9.466447
1818007,"Fjellreksla 90, Bagn",60.78701,9.464499
1818008,"Fjellreksla 92, Bagn",60.787186,9.463754
1818009,"Fjellreksla 71, Bagn",60.788379,9.467758
1818010,"Fjellreksla 75, Bagn",60.788777,9.466721
1818486,"Skarovegen 441, Leirskogen",60.788261,9.665473
1818487,"Muggedølavegen 656, Begnadalen",60.689484,9.651513
1818488,"Skarovegen 437, Leirskogen",60.794549,9.652297
1818489,"Muggedølavegen 122, Begnadalen",60.677629,9.729369
1818491,"Finnhertvegen 96, Leirskogen",60.800195,9.605262
1818492,"Muggedølavegen 637, Begnadalen",60.703244,9.672903
1818495,"Skarovegen 561, Leirskogen",60.793306,9.667788
1818496,"Skarovegen 592, Leirskogen",60.799682,9.662417
1818497,"Muggedølavegen 51, Begnadalen",60.672132,9.734956
1818498,"Skarovegen 564, Leirskogen",60.797596,9.665579
1818499,"Skarovegen 443, Leirskogen",60.787982,9.666085
1818500,"Muggedølavegen 93, Begnadalen",60.675714,9.732068
1818501,"Skarovegen 594, Leirskogen",60.799853,9.661842
1818502,"Muggedølavegen 75, Begnadalen",60.673755,9.732855
1818503,"Skarovegen 449, Leirskogen",60.7885,9.673199
1818504,"Muggedølavegen 107, Begnadalen",60.67683,9.731278
1818505,"Skarovegen 447, Leirskogen",60.786118,9.672263
1818506,"Muggedølavegen 95, Begnadalen",60.675732,9.731446
1820137,"Leirskogvegen 1086, Bruflat",60.826004,9.720405
1820138,"Leirskogvegen 1088, Bruflat",60.81891,9.730729
1837213,"Austsidevegen 743, Begnadalen",60.708855,9.717177
1837214,"Austsidevegen 815, Begnadalen",60.703823,9.724108
1837215,"Austsidevegen 755, Begnadalen",60.707936,9.719207
1837216,"Austsidevegen 883, Begnadalen",60.697577,9.730045
1837217,"Austsidevegen 960, Begnadalen",60.693536,9.743742
1837219,"Austsidevegen 914, Begnadalen",60.696116,9.73612
1837220,"Austsidevegen 978, Begnadalen",60.692733,9.744951
1837221,"Austsidevegen 976, Begnadalen",60.693112,9.743749
1837222,"Austsidevegen 994, Begnadalen",60.692565,9.745671
1837234,"Austsidevegen 996, Begnadalen",60.693564,9.745339
1837732,"Prestgardshagin 8, Bagn",60.820585,9.567747
1837773,"Prestgardshagin 9, Bagn",60.820303,9.56856
1837778,"Skulejordet 1, Bagn",60.821646,9.562083
1838064,"Skulejordet 3, Bagn",60.821729,9.562693
1838066,"Skulejordet 7, Bagn",60.822096,9.563697
1838068,"Skulejordet 9, Bagn",60.82233,9.564244
1838070,"Skulejordet 11, Bagn",60.822575,9.564918
1838072,"Skulejordet 2, Bagn",60.821876,9.561873
1838073,"Skulejordet 4, Bagn",60.822098,9.562343
1838075,"Skulejordet 8, Bagn",60.822446,9.563285
1838164,"Spangrudvegen 22, Bagn",60.82627,9.560573
1838165,"Spangrudvegen 27, Bagn",60.826375,9.561736
1838166,"Spangrudvegen 20, Bagn",60.825933,9.560494
1838167,"Spangrudvegen 18, Bagn",60.825921,9.561131
1838168,"Spangrudvegen 16, Bagn",60.825962,9.561558
1838169,"Spangrudvegen 12, Bagn",60.82562,9.561522
1838170,"Spangrudvegen 6, Bagn",60.825009,9.560669
1838171,"Spangrudvegen 4, Bagn",60.82492,9.560809
1838172,"Spangrudvegen 2, Bagn",60.824827,9.560127
1838173,"Spangrudvegen 29, Bagn",60.826704,9.561428
1838180,"Spangrudvegen 8, Bagn",60.825338,9.561177
1838181,"Spangrudvegen 45, Bagn",60.82763,9.563882
1838182,"Spangrudvegen 44, Bagn",60.827755,9.561727
1838183,"Spangrudvegen 42, Bagn",60.827637,9.561938
1838184,"Spangrudvegen 38, Bagn",60.8275,9.561114
1838186,"Spangrudvegen 32, Bagn",60.827062,9.559299
1838187,"Spangrudvegen 30, Bagn",60.826912,9.56032
1838208,"Spangrudvegen 53, Bagn",60.828089,9.561903
1838209,"Spangrudvegen 19, Bagn",60.826811,9.56492
1838210,"Spangrudvegen 10, Bagn",60.825346,9.561359
1838236,"Dønhaugvegen 25, Bagn",60.826393,9.559961
1838247,"Dønhaugvegen 2, Bagn",60.824632,9.559147
1838249,"Dønhaugvegen 23, Bagn",60.826581,9.560162
1838251,"Dønhaugvegen 9, Bagn",60.825075,9.559617
1838253,"Dønhaugvegen 7, Bagn",60.825197,9.559121
