,Navn,Long,Lat
1051301,"Nystølvegen 316, Aurdal",60.874128,9.362743
1051557,"Liaåsvegen 642, Aurdal",60.860019,9.371807
1051558,"Dusandisvegen 41, Aurdal",60.862838,9.368725
1051560,"Dusandisvegen 23, Aurdal",60.862009,9.370581
1051567,"Søreistølvegen 15, Aurdal",60.862475,9.376416
1051610,"Søreistølvegen 11, Aurdal",60.861948,9.375403
1051612,"Dusandisvegen 16, Aurdal",60.861278,9.36829
1051615,"Søreistølvegen 6, Aurdal",60.862357,9.371141
1051776,"Slettevegen 12, Aurdal",60.87273,9.395976
1051835,"Liagrendvegen 699, Aurdal",60.880262,9.43421
1051836,"Liaåsvegen 610, Aurdal",60.861094,9.377402
1051837,"Liagrendvegen 725, Aurdal",60.883316,9.430992
1051838,"Liagrendvegen 624, Aurdal",60.87482,9.440149
1051839,"Liagrendvegen 726, Aurdal",60.880353,9.429061
1051840,"Liagrendvegen 680, Aurdal",60.878443,9.432962
1051841,"Liagrendvegen 701, Aurdal",60.882199,9.436083
1051848,"Liagrendvegen 697, Aurdal",60.879688,9.433728
1051961,"Dusandisvegen 98, Aurdal",60.867199,9.363972
1051987,"Skålebakkvegen 105, Aurdal",60.87495,9.398441
1052143,"Skålebakkvegen 143, Aurdal",60.87598,9.396105
1052161,"Haraldstølvegen 22, Aurdal",60.859581,9.362882
1052280,"Dusandisvegen 76, Aurdal",60.86438,9.36095
1052350,"Tevassvegen 143, Aurdal",60.871856,9.415947
1052556,"Slettevegen 83, Aurdal",60.869193,9.387645
1053091,"Slettevegen 74, Aurdal",60.869338,9.388839
1053256,"Skålebakkvegen 137, Aurdal",60.874794,9.396856
1053257,"Skålebakkvegen 103, Aurdal",60.874644,9.397534
1053259,"Skålebakkvegen 139, Aurdal",60.875484,9.396458
1053260,"Skålebakkvegen 101, Aurdal",60.875185,9.397786
1053262,"Skålebakkvegen 145, Aurdal",60.875459,9.393704
1053263,"Liaåsvegen 307, Aurdal",60.868016,9.417942
1053266,"Tevassvegen 131, Aurdal",60.87242,9.415628
1053267,"Liaåsvegen 291, Aurdal",60.869887,9.419383
1053268,"Skålebakkvegen 61, Aurdal",60.871459,9.40813
1053269,"Skålebakkvegen 29, Aurdal",60.870178,9.409474
1053270,"Skålebakkvegen 57, Aurdal",60.871559,9.40494
1053271,"Skålebakkvegen 59, Aurdal",60.871922,9.406251
1053272,"Skålebakkvegen 78, Aurdal",60.872127,9.401199
1053273,"Skålebakkvegen 64, Aurdal",60.871478,9.403426
1053274,"Liaåsvegen 286, Aurdal",60.868806,9.421536
1053275,"Liaåsvegen 305, Aurdal",60.868105,9.418835
1053276,"Liaåsvegen 287, Aurdal",60.869238,9.420627
1053277,"Liaåsvegen 297, Aurdal",60.868914,9.419696
1053278,"Liaåsvegen 295, Aurdal",60.869359,9.419364
1053279,"Liaåsvegen 301, Aurdal",60.86891,9.418484
1053280,"Liaåsvegen 293, Aurdal",60.869631,9.418604
1053281,"Liaåsvegen 289, Aurdal",60.869678,9.419968
1053282,"Ørmekulevegen 80, Aurdal",60.865348,9.386394
1053284,"Slettevegen 90, Aurdal",60.868521,9.387498
1053285,"Ørmekulevegen 76, Aurdal",60.865671,9.387483
1053286,"Slettevegen 75, Aurdal",60.869708,9.388121
1053287,"Haraldstølvegen 27, Aurdal",60.860295,9.364199
1053288,"Haraldstølvegen 16, Aurdal",60.859101,9.364183
1053289,"Liaåsvegen 738, Aurdal",60.859628,9.35822
1053290,"Liaåsvegen 736, Aurdal",60.859237,9.358838
1053291,"Haraldstølvegen 44, Aurdal",60.861567,9.359798
1053292,"Liaåsvegen 743, Aurdal",60.860108,9.357755
1053295,"Liaåsvegen 659, Aurdal",60.859321,9.369433
