,Navn,Long,Lat
1059852,"Ulvhildvegen 41, Lomen",61.17573,8.880427
1059971,"Brennebakkin 3C, Hegge",61.142985,9.073028
1059973,"Brennebakkin 3D, Hegge",61.143012,9.073195
1059975,"Brennebakkin 3A, Hegge",61.143137,9.07301
1059976,"Brennebakkin 3B, Hegge",61.143048,9.072954
1059983,"Føssevegen 15, Volbu",61.135834,9.081051
1059984,"Føssevegen 13, Volbu",61.136184,9.081238
1060002,"Brennebakkin 5A, Hegge",61.143384,9.073662
1060004,"Brennebakkin 5B, Hegge",61.143311,9.073769
1060022,"Føssevegen 1, Volbu",61.13707,9.085715
1060051,"Stampevegen 3, Volbu",61.136415,9.084692
1060052,"Kvednavegen 11, Volbu",61.135293,9.084931
1060129,"Kvednavegen 17, Volbu",61.135142,9.082275
1060131,"Kvednavegen 18, Volbu",61.134765,9.081494
1060133,"Kvednavegen 15, Volbu",61.135142,9.082832
1060135,"Kvednavegen 16, Volbu",61.134747,9.082794
1060137,"Kvednavegen 21, Volbu",61.135125,9.080975
1060140,"Kvednavegen 19, Volbu",61.135151,9.081718
1060141,"Kvednavegen 20, Volbu",61.134793,9.080919
1060145,"Bjødnavegen 6, Volbu",61.133992,9.082959
1060147,"Bjødnavegen 8, Volbu",61.133813,9.08216
1060150,"Kvednavegen 14, Volbu",61.134773,9.083425
1060156,"Bjødnavegen 1, Volbu",61.134549,9.083313
1060158,"Kvednavegen 1, Volbu",61.134763,9.085041
1060159,"Stampevegen 4, Volbu",61.136406,9.085509
1060160,"Bjødnavegen 9, Volbu",61.134245,9.081177
1060161,"Vindevegen 4, Volbu",61.131864,9.084216
1060164,"Bjødnavegen 4, Volbu",61.134127,9.083368
1060166,"Bjødnavegen 5, Volbu",61.13419,9.082143
1060168,"Bjødnavegen 2, Volbu",61.134279,9.084
1060170,"Bjødnavegen 3, Volbu",61.134378,9.082923
1060183,"Vindevegen 2, Volbu",61.131568,9.083918
1060193,"Brennebakkin 13, Hegge",61.144025,9.074832
1060198,"Vindevegen 5, Volbu",61.133927,9.086171
1060199,"Vindevegen 1, Volbu",61.132527,9.085963
1060206,"Brennebakkin 6, Hegge",61.143855,9.073308
1060208,"Brennebakkin 1, Hegge",61.143524,9.072472
1060209,"Brennebakkin 2, Hegge",61.143622,9.073066
1060212,"Brennebakkin 12, Hegge",61.144142,9.073718
1060214,"Brennebakkin 7, Hegge",61.143478,9.07405
1060215,"Brennebakkin 9, Hegge",61.14363,9.074348
1060217,"Moagoto 5, Hegge",61.144071,9.073012
1060219,"Moagoto 6, Hegge",61.144574,9.0724
1060221,"Moagoto 3, Hegge",61.143874,9.072621
1060222,"Moagoto 4, Hegge",61.144278,9.072362
1060223,"Moagoto 12, Hegge",61.144879,9.072939
1060224,"Moagoto 14, Hegge",61.144609,9.073384
1060225,"Moagoto 8, Hegge",61.144754,9.071936
1060226,"Moagoto 10, Hegge",61.145023,9.072364
1060229,"Stampevegen 10, Volbu",61.135716,9.082295
1060230,"Stampevegen 7, Volbu",61.135922,9.083818
1060234,"Moagoto 1, Hegge",61.143398,9.071636
1060236,"Moagoto 2, Hegge",61.143955,9.071878
1060258,"Stampevegen 5, Volbu",61.136083,9.084376
1060259,"Stampevegen 6, Volbu",61.135661,9.084598
1060260,"Føssevegen 5, Volbu",61.136471,9.082297
1060261,"Stampevegen 8, Volbu",61.135446,9.083817
1060262,"Stampevegen 9, Volbu",61.135797,9.083317
1060263,"Føssevegen 17, Volbu",61.135564,9.081459
1060264,"Føssevegen 2, Volbu",61.136568,9.084117
1060391,"Dalsvegen 206, Hegge",61.167868,8.963811
1060392,"Dalsvegen 194, Hegge",61.168066,8.967565
1060398,"Dalsvegen 413, Hegge",61.175926,8.93041
1060400,"Dalsvegen 369, Hegge",61.177393,8.937955
1060401,"Dalsvegen 415, Hegge",61.176904,8.929404
1060409,"Dalsvegen 401, Hegge",61.176017,8.932697
1060410,"Dalsvegen 373, Hegge",61.178675,8.935759
1060413,"Bergabygdvegen 157, Hegge",61.169642,9.046991
1060414,"Gamle Kyrkjevegen 99, Hegge",61.161046,9.032911
1060415,"Bergabygdvegen 96, Hegge",61.166988,9.03775
1060416,"Kyrkjevegen 78, Hegge",61.157438,9.027333
1060417,"Bergabygdvegen 197, Hegge",61.171488,9.055118
1060418,"Bergabygdvegen 33, Hegge",61.162335,9.044249
1060419,"Gamle Kyrkjevegen 140, Hegge",61.158434,9.027055
1060420,"Bergabygdvegen 170, Hegge",61.170809,9.046157
1060421,"Dalsvegen 73, Hegge",61.166839,8.985372
1060422,"Bygdinvegen 2512, Hegge",61.1599,9.009421
1060425,"Bergabygdvegen 100, Hegge",61.167661,9.037342
1060426,"Bergabygdvegen 118, Hegge",61.167795,9.040334
1060427,"Kyrkjevegen 32, Hegge",61.159441,9.017765
1060428,"Bygdinvegen 2471, Hegge",61.158427,9.01821
1060429,"Bygdinvegen 2635, Hegge",61.164838,8.99987
1060432,"Bygdinvegen 2534, Hegge",61.159577,9.003679
1060438,"Dalsvegen 167, Hegge",61.168229,8.972918
1060439,"Dalsvegen 229, Hegge",61.169304,8.963158
1060440,"Skøltevegen 358, Hegge",61.171027,8.961242
1060443,"Dalsvegen 247, Hegge",61.169707,8.960983
1060445,"Bygdinvegen 2099, Hegge",61.141136,9.071371
1060446,"Bygdinvegen 2191, Hegge",61.146878,9.060703
1060447,"Gullbakkvegen 83, Hegge",61.147411,9.072518
1060448,"Robølsvegen 21, Hegge",61.14207,9.071948
1060449,"Gullbakkvegen 35, Hegge",61.147406,9.06401
1060450,"Robølsvegen 18, Hegge",61.143156,9.071802
1060451,"Robølsvegen 7, Hegge",61.143085,9.070706
1060452,"Sælshagadn 49, Hegge",61.153707,9.046057
1060453,"Gullbakkvegen 52, Hegge",61.147853,9.067745
1060454,"Gullbakkvegen 41, Hegge",61.147523,9.065014
1060455,"Robølsvegen 476, Hegge",61.164541,9.071405
1060456,"Sælshagadn 42, Hegge",61.154435,9.045074
1060457,"Nordstadvegen 63, Hegge",61.170412,9.072998
1060458,"Gullbakkvegen 72, Hegge",61.147834,9.071107
1060459,"Sælshagadn 43, Hegge",61.154048,9.045129
1060460,"Sælshagadn 32, Hegge",61.155207,9.043793
1060461,"Sælshagadn 5, Hegge",61.153448,9.04301
1060462,"Bergabygdvegen 7, Hegge",61.161049,9.049673
1060463,"Bergabygdvegen 9, Hegge",61.161095,9.048986
1060464,"Nordstadvegen 68, Hegge",61.170017,9.071808
1060465,"Nordstadvegen 90, Hegge",61.171688,9.069971
1060466,"Gullbakkvegen 82, Hegge",61.153449,9.062815
