,Navn,Long,Lat
19864,"58/73, Slidre",61.049325,8.906577
19907,"58/46, Slidre",61.047006,8.903381
20204,"58/38, Slidre",61.048894,8.906671
20205,"58/39, Slidre",61.048121,8.905433
20206,"58/74, Slidre",61.048535,8.90608
20207,"58/72, Slidre",61.047644,8.90436
20208,"58/37, Slidre",61.049209,8.907393
20209,"58/40, Slidre",61.05,8.908742
20213,"74/13-1, Røn",61.032042,9.063075
20215,"58/142, Slidre",61.050431,8.909296
29195,"58/150, Slidre",61.049709,8.906648
37312,"94/1/1201, Røn",60.983999,8.959127
38251,"65/48, Røn",61.026867,8.941533
38252,"65/50, Røn",61.027022,8.942558
40548,"65/47, Røn",61.026075,8.942478
40549,"65/56, Røn",61.025688,8.942468
40645,"94/1/1214, Røn",60.983216,8.962838
41421,"94/1/1213, Røn",60.98385,8.964807
41422,"94/1/1206, Røn",60.983242,8.963869
41424,"94/1/1203, Røn",60.983977,8.965584
41425,"94/1/1208, Røn",60.983841,8.9552
41426,"94/1/1200, Røn",60.983821,8.957232
41427,"94/1/1204, Røn",60.984695,8.963742
41594,"94/1/1215, Røn",60.985582,8.963236
41941,"94/1/1217, Røn",60.985146,8.965127
42620,"94/1/1219, Røn",60.98544,8.964235
42621,"94/1/1220, Røn",60.984279,8.963255
44294,"94/1/1224, Røn",60.982904,8.963019
44667,"65/63, Røn",61.025139,8.940381
44669,"65/64, Røn",61.026422,8.939403
44687,"65/60, Røn",61.027884,8.950044
44837,"94/1/1225, Røn",60.98421,8.9557
44838,"94/1/1226, Røn",60.985619,8.964892
44847,"65/68, Røn",61.026014,8.939356
45801,"94/1/1218, Røn",60.98484,8.9651
54595,"94/1/1232, Røn",60.985004,8.963576
54699,"72/98, Røn",60.994613,8.997324
54700,"72/99, Røn",60.994976,8.999574
54869,"94/1/1222, Røn",60.984534,8.965905
55559,"65/61, Røn",61.028237,8.949414
1048240,"Tildheimvegen 45, Røn",60.991395,8.998165
1048241,"Båtånvegen 72, Røn",60.990443,8.992315
1048242,"Tildheimvegen 32, Røn",60.990934,8.995777
1048243,"Tildheimvegen 34, Røn",60.991267,8.996616
1048244,"Båtånvegen 49, Røn",60.991939,8.988305
1048245,"Båtånvegen 47, Røn",60.992227,8.989296
1048246,"Båtånvegen 65, Røn",60.990505,8.99063
1048247,"Båtånvegen 51, Røn",60.99179,8.989331
1048248,"Båtånvegen 5, Røn",60.993823,8.986874
1048249,"Båtånvegen 43, Røn",60.993061,8.990064
1048250,"Båtånvegen 37, Røn",60.993529,8.989526
1048251,"Tyinvegen 1760, Slidre",61.06169,9.027695
1048252,"Vasetlivegen 30, Røn",60.987622,8.976319
1048253,"Hagabekkvegen 195, Røn",61.025911,9.092299
1050735,"Valtjednvegen 168, Ulnes",60.980444,8.98877
1050749,"Valtjednvegen 119, Ulnes",60.983232,8.989907
1050752,"Valtjednvegen 167, Ulnes",60.980631,8.985736
1051564,"Semlevegen 64, Ulnes",60.982385,9.001916
1051749,"Skørvestølsvegen 138, Ulnes",60.977835,9.010664
1051754,"Skørvestølsvegen 131, Ulnes",60.977401,9.008893
1051757,"Huldervegen 12, Ulnes",60.981915,8.987078
1051760,"Valtjednvegen 151, Ulnes",60.981644,8.986654
1051775,"Rugnusnystøl 117, Ulnes",60.963965,9.010828
1051899,"Skørvestølsvegen 125, Ulnes",60.97769,9.008302
1051901,"Valtjednvegen 248, Ulnes",60.973313,8.995588
1051911,"Semlevegen 77, Ulnes",60.983969,9.000955
1051927,"Båtånbakkin 7, Ulnes",60.983256,8.992452
1051964,"Semlevegen 111, Ulnes",60.985206,9.004274
1051984,"Semlevegen 93, Ulnes",60.984587,9.000746
1052002,"Mattisbakkvegen 11, Ulnes",60.977085,9.006852
1052003,"Mattisbakkvegen 24, Ulnes",60.976651,9.009217
1052004,"Mattisbakkvegen 47, Ulnes",60.974635,9.009187
1052007,"Mattisbakkvegen 23, Ulnes",60.976066,9.008194
1052127,"Semlevegen 88, Ulnes",60.984363,8.998747
1052135,"Semlevegen 82, Ulnes",60.984044,8.999745
1052139,"Valtjednvegen 252, Ulnes",60.973053,8.994885
1052259,"Semlevegen 69, Ulnes",60.983164,9.001687
1052263,"Mattisbakkvegen 36, Ulnes",60.975735,9.011
1052271,"Valtjednvegen 146, Ulnes",60.981185,8.988815
1052272,"Skørvestølsvegen 13, Ulnes",60.980632,8.989454
1052279,"Semlevegen 76, Ulnes",60.982908,9.000079
1052283,"Semlevegen 78, Ulnes",60.983381,8.999628
1052290,"Semlevegen 47, Ulnes",60.982838,9.006952
1052300,"Semlevegen 96, Ulnes",60.984777,9.000036
1052317,"Semlevegen 39, Ulnes",60.981801,9.007467
1052319,"Semlevegen 75, Ulnes",60.983588,9.001732
1052357,"Semlevegen 100, Ulnes",60.985206,9.001088
1052384,"Båtånbakkin 1, Ulnes",60.982926,8.991759
1052417,"Rugnusnystøl 212, Ulnes",60.967333,9.020088
1052418,"Rugnusnystøl 205, Ulnes",60.966866,9.0193
1052464,"Panoramavegen 694, Ulnes",61.005609,9.020233
1052714,"Valtjednvegen 250, Ulnes",60.97329,8.994111
1052721,"Bjødnafaret 23, Ulnes",60.975675,8.999116
1052722,"Bjødnafaret 21, Ulnes",60.976108,8.99931
1052723,"Jørnstølvegen 45, Ulnes",60.97547,8.991726
1052724,"Jørnstølvegen 33, Ulnes",60.975941,8.990866
1052725,"Bjødnafaret 25, Ulnes",60.974242,8.997741
1052726,"Jørnstølvegen 42, Ulnes",60.975906,8.992464
1052727,"Valtjednvegen 246, Ulnes",60.973637,8.995977
1052728,"Valtjednvegen 244, Ulnes",60.973538,8.994774
1052729,"Skørvestølsvegen 66, Ulnes",60.978413,8.99877
1052730,"Skørvestølsvegen 72, Ulnes",60.978198,8.99952
1052731,"Bjødnafaret 5, Ulnes",60.977609,8.998676
1052732,"Bjødnafaret 14, Ulnes",60.976984,8.999921
1052733,"Bjødnafaret 24, Ulnes",60.97642,9.001773
1052734,"Bjødnafaret 18, Ulnes",60.976617,9.000804
1052735,"Bjødnafaret 31, Ulnes",60.975917,9.001697
1052736,"Bjødnafaret 30, Ulnes",60.976079,9.002538
1052737,"Mattisbakkvegen 12, Ulnes",60.977333,9.008179
1052738,"Mattisbakkvegen 18, Ulnes",60.976997,9.008425
1052739,"Mattisbakkvegen 1, Ulnes",60.977667,9.006337
1052740,"Mattisbakkvegen 2, Ulnes",60.977813,9.007337
1052741,"Skørvestølsvegen 99, Ulnes",60.977893,9.003925
1052742,"Skørvestølsvegen 98, Ulnes",60.978563,9.003732
1052743,"Skørvestølsvegen 87, Ulnes",60.977611,9.002444
1052744,"Skørvestølsvegen 91, Ulnes",60.977736,9.003168
1052745,"Skørvestølsvegen 130, Ulnes",60.978136,9.009752
1052746,"Skørvestølsvegen 124, Ulnes",60.978276,9.007111
1052747,"Mattisbakkvegen 44, Ulnes",60.975925,9.012272
1052748,"Skørvestølsvegen 140, Ulnes",60.977954,9.011386
1052749,"Mattisbakkvegen 51, Ulnes",60.974966,9.010728
1052750,"Mattisbakkvegen 46, Ulnes",60.975509,9.012655
1052751,"Mattisbakkvegen 15, Ulnes",60.976641,9.007627
1052752,"Mattisbakkvegen 19, Ulnes",60.976348,9.008147
1052753,"Semlevegen 27, Ulnes",60.981067,9.006724
1052754,"Semlevegen 31, Ulnes",60.981011,9.005845
1052755,"Semlevegen 9, Ulnes",60.97932,9.005399
1052756,"Semlevegen 20, Ulnes",60.980436,9.004602
1052757,"Skørvestølsvegen 120, Ulnes",60.978695,9.008911
1052758,"Skørvestølsvegen 112, Ulnes",60.979094,9.006509
1052759,"Skørvestølsvegen 110, Ulnes",60.978377,9.005987
1052760,"Skørvestølsvegen 116, Ulnes",60.979059,9.008956
1052761,"Semlevegen 108, Ulnes",60.985658,9.002036
1052762,"Semlevegen 117, Ulnes",60.986006,9.002852
1052763,"Semlevegen 92, Ulnes",60.984966,8.998194
1052764,"Semlevegen 106, Ulnes",60.985768,9.000872
1052765,"Semlevegen 109, Ulnes",60.984674,9.003749
1052766,"Semlevegen 101, Ulnes",60.984966,9.00174
1052767,"Semlevegen 46, Ulnes",60.981208,9.003656
1052768,"Semlevegen 97, Ulnes",60.984546,9.001533
1052769,"Valtjednvegen 157, Ulnes",60.981189,8.985943
1052770,"Valtjednvegen 153, Ulnes",60.981977,8.98652
1052771,"Skørvestølsvegen 46, Ulnes",60.979455,8.99595
1052772,"Skørvestølsvegen 49, Ulnes",60.978764,8.995499
1052773,"Skørvestølsvegen 52, Ulnes",60.979245,8.996649
1052774,"Semlevegen 119, Ulnes",60.986422,9.002902
1052775,"Skørvestølsvegen 47, Ulnes",60.978599,8.994807
1052776,"Valtjednvegen 164, Ulnes",60.980853,8.988177
1052777,"Skørvestølsvegen 11, Ulnes",60.980928,8.98958
1052778,"Valtjednvegen 158, Ulnes",60.980899,8.986942
1052779,"Valtjednvegen 162, Ulnes",60.980996,8.987521
1052780,"Valtjednvegen 127, Ulnes",60.982839,8.990123
1052781,"Skørvestølsvegen 15, Ulnes",60.981139,8.990644
1052782,"Skørvestølsvegen 25, Ulnes",60.980091,8.991135
1052783,"Skørvestølsvegen 28, Ulnes",60.980351,8.993006
1052784,"Huldervegen 13, Ulnes",60.982805,8.988921
1052785,"Valtjednvegen 130, Ulnes",60.98239,8.990877
1052786,"Huldervegen 17, Ulnes",60.982722,8.987614
1052787,"Huldervegen 7, Ulnes",60.982438,8.98831
1052788,"Skørvestølsvegen 4, Ulnes",60.981875,8.990617
1052789,"Skørvestølsvegen 2, Ulnes",60.982069,8.990277
1052790,"Skørvestølsvegen 7, Ulnes",60.981485,8.990028
1052791,"Valtjednvegen 141, Ulnes",60.981747,8.988383
1052792,"Oskarsbakkin 2, Ulnes",60.983599,8.990446
1052793,"Valtjednvegen 120, Ulnes",60.983252,8.991075
1052794,"Huldervegen 23, Ulnes",60.98326,8.986773
1052795,"Valtjednvegen 126, Ulnes",60.982706,8.991349
