,Navn,Long,Lat
798851,"Neversvingen 23, Strømsgodset",59.739045,10.161018
798852,"Neversvingen 20, Strømsgodset",59.739555,10.162299
798953,"Skogliveien 109, Strømsgodset",59.740647,10.157586
799356,"Skogliveien 114B, Strømsgodset",59.741188,10.158334
799357,"Skogliveien 114A, Strømsgodset",59.740973,10.158238
799559,"Neversvingen 48T, Strømsgodset",59.738883,10.158984
799593,"Skogliveien 153, Strømsgodset",59.742021,10.145286
1837309,"Helge Ingstads gate 5, Strømsgodset",59.742763,10.142326
1959529,"Skogliveien 182B, Strømsgodset",59.742907,10.144174
1959558,"Skogliveien 180A, Strømsgodset",59.742974,10.144056
1959559,"Skogliveien 178B, Strømsgodset",59.742958,10.143863
1959560,"Skogliveien 182A, Strømsgodset",59.742954,10.144183
1959561,"Skogliveien 180B, Strømsgodset",59.742927,10.144036
1959562,"Skogliveien 174, Strømsgodset",59.743084,10.143535
1959563,"Skogliveien 172, Strømsgodset",59.742893,10.143462
1959705,"Skogliveien 194A, Strømsgodset",59.742752,10.145562
1959706,"Skogliveien 192A, Strømsgodset",59.74278,10.145426
1959707,"Skogliveien 192B, Strømsgodset",59.742727,10.145406
1959743,"Skogliveien 188A, Strømsgodset",59.74285,10.144886
1959812,"Skogliveien 196A, Strømsgodset",59.742741,10.145729
1959813,"Skogliveien 196B, Strømsgodset",59.742701,10.145715
1959814,"Skogliveien 194B, Strømsgodset",59.742706,10.145527
1959888,"Skogliveien 154B, Strømsgodset",59.742427,10.145277
2042022,"Skogfaret 5, Strømsgodset",59.738879,10.170706
2061930,"Skogfaret 6, Strømsgodset",59.738975,10.170275
2113847,"Skogliveien 101B, Strømsgodset",59.740268,10.15998
2117058,"Skogliveien 101A, Strømsgodset",59.740437,10.159963
2117688,"Strømliveien 71B, Strømsgodset",59.736864,10.170376
2117691,"Strømliveien 71A, Strømsgodset",59.736884,10.170209
2190470,"Skogliveien 112B, Strømsgodset",59.74108,10.158733
2210073,"Bjørkelia 30, Strømsgodset",59.738554,10.164772
2210080,"Bjørkelia 10, Strømsgodset",59.740079,10.160893
2210081,"Bjørkelia 10A, Strømsgodset",59.740069,10.161
2210082,"Bjørkelia 11A, Strømsgodset",59.739327,10.163696
2210083,"Bjørkelia 11B, Strømsgodset",59.7394,10.163538
2210084,"Bjørkelia 11C, Strømsgodset",59.739473,10.163416
2210085,"Bjørkelia 11D, Strømsgodset",59.739555,10.163295
2210086,"Bjørkelia 11E, Strømsgodset",59.73961,10.163172
2210087,"Bjørkelia 12, Strømsgodset",59.739958,10.161334
2210088,"Bjørkelia 12A, Strømsgodset",59.739921,10.16144
2210089,"Bjørkelia 15, Strømsgodset",59.738848,10.164996
2210090,"Bjørkelia 17, Strømsgodset",59.738701,10.165501
2210091,"Bjørkelia 19, Strømsgodset",59.738513,10.16639
2210092,"Bjørkelia 21, Strømsgodset",59.738664,10.166555
2210093,"Bjørkelia 26, Strømsgodset",59.738574,10.164559
2210094,"Bjørkelia 28, Strømsgodset",59.738573,10.164666
2210104,"Bjørkelia 2, Strømsgodset",59.740246,10.159262
2210105,"Bjørkelia 4, Strømsgodset",59.740038,10.159451
2210106,"Bjørkelia 5, Strømsgodset",59.739967,10.162402
2210107,"Bjørkelia 6, Strømsgodset",59.740069,10.160004
2210108,"Bjørkelia 8, Strømsgodset",59.740155,10.160362
2210109,"Bjørkelia 8A, Strømsgodset",59.740136,10.160486
2210110,"Bjørkelia 9, Strømsgodset",59.739667,10.162765
2210375,"Bulows vei 14, Strømsgodset",59.741596,10.142514
2210376,"Bulows vei 11, Strømsgodset",59.741842,10.143163
2210798,"Bulows vei 16, Strømsgodset",59.741529,10.142974
2210799,"Bulows vei 13, Strømsgodset",59.741832,10.143323
2210800,"Bulows vei 20, Strømsgodset",59.74148,10.143453
2210801,"Bulows vei 18, Strømsgodset",59.741491,10.143293
2210802,"Bulows vei 22, Strømsgodset",59.741423,10.143825
2210818,"Bulows vei 1, Strømsgodset",59.74233,10.142235
2210819,"Skogliveien 175, Strømsgodset",59.742316,10.142361
2210820,"Bulows vei 2, Strømsgodset",59.74252,10.141656
2210822,"Bulows vei 4, Strømsgodset",59.742305,10.141542
2210823,"Bulows vei 6, Strømsgodset",59.742052,10.141693
2210824,"Bulows vei 10, Strømsgodset",59.741712,10.141611
2210825,"Bulows vei 8, Strømsgodset",59.741864,10.141598
2210826,"Bulows vei 7, Strømsgodset",59.742111,10.142122
