,Navn,Long,Lat
1074022,"Kaldmovannet 5, Sande",59.609318,10.122054
1074023,"Kaldmovannet 2, Sande",59.609902,10.121045
1074024,"Kaldmovannet 7, Sande",59.610252,10.123253
1074161,"Prestegårdsalleen 6, Sande",59.5897,10.20838
1074162,"Prestegårdsalleen 8, Sande",59.589924,10.208423
1074163,"Prestegårdsalleen 10, Sande",59.590217,10.20877
1074164,"Prestegårdsalleen 12, Sande",59.59055,10.208765
1074165,"Prestegårdsalleen 14, Sande",59.590739,10.208683
1074166,"Prestegårdsalleen 15, Sande",59.590996,10.208055
1074167,"Prestegårdsalleen 16, Sande",59.590972,10.208709
1074168,"Prestegårdsalleen 17A, Sande",59.591366,10.207873
1074169,"Prestegårdsalleen 17B, Sande",59.591421,10.207804
1074170,"Prestegårdsalleen 17C, Sande",59.591638,10.207652
1074171,"Prestegårdsalleen 17D, Sande",59.591701,10.207637
1074172,"Prestegårdsalleen 17E, Sande",59.591516,10.208144
1074173,"Prestegårdsalleen 17F, Sande",59.591588,10.208147
1074334,"Prestegårdsjordet 1, Sande",59.591874,10.211186
1074335,"Prestegårdsjordet 3, Sande",59.592322,10.21129
1074336,"Prestegårdsjordet 4, Sande",59.591395,10.209645
1074337,"Prestegårdsjordet 5, Sande",59.592745,10.211252
1074338,"Prestegårdsjordet 6, Sande",59.59108,10.209669
1074339,"Prestegårdsjordet 7, Sande",59.593005,10.211297
1074340,"Prestegårdsjordet 8, Sande",59.590758,10.209587
1074341,"Prestegårdsjordet 9, Sande",59.593264,10.211395
1074342,"Prestegårdsjordet 10, Sande",59.592622,10.211957
1074343,"Prestegårdsjordet 11, Sande",59.59374,10.211465
1074344,"Prestegårdsjordet 12, Sande",59.592999,10.211952
1074345,"Prestegårdsjordet 13, Sande",59.594041,10.211954
1074346,"Prestegårdsjordet 14, Sande",59.593222,10.212067
1074436,"Prestegårdsjordet 15, Sande",59.594126,10.211515
1074437,"Prestegårdsjordet 16, Sande",59.593437,10.212198
1074438,"Prestegårdsjordet 17, Sande",59.59423,10.210952
1074439,"Prestegårdsjordet 18, Sande",59.593695,10.21242
1074440,"Prestegårdsjordet 19, Sande",59.593816,10.211008
1074441,"Prestegårdsjordet 20, Sande",59.593954,10.212624
1074442,"Prestegårdsjordet 21, Sande",59.593519,10.21105
1074443,"Prestegårdsjordet 22, Sande",59.594187,10.212686
1074444,"Prestegårdsjordet 24, Sande",59.594474,10.212714
1074445,"Prestegårdsjordet 26, Sande",59.594507,10.212078
1074446,"Prestegårdsjordet 28, Sande",59.594591,10.211638
1074447,"Prestegårdsjordet 30, Sande",59.594668,10.211162
1074448,"Prestegårdsjordet 32, Sande",59.594671,10.210755
1074449,"Prestegårdsjordet 34, Sande",59.594727,10.210544
1074450,"Prestegårdsjordet 38, Sande",59.594408,10.210143
1074451,"Prestegårdsjordet 40, Sande",59.594183,10.210153
1074452,"Prestegårdsjordet 42, Sande",59.593967,10.210234
1074453,"Prestegårdsjordet 44, Sande",59.593661,10.210258
1074454,"Prestegårdsjordet 46, Sande",59.593427,10.210303
1074455,"Prestegårdsjordet 48, Sande",59.593175,10.210382
1074456,"Prestegårdsjordet 50, Sande",59.592923,10.210497
1074457,"Prestegårdsjordet 52, Sande",59.592671,10.210524
1074458,"Prestegårdsjordet 54, Sande",59.592446,10.210533
1074459,"Prestegårdsjordet 56, Sande",59.592265,10.210668
1074465,"Dyegata 17, Sande",59.588378,10.199796
1074466,"Dyegata 19, Sande",59.588627,10.199114
1074467,"Dyegata 21, Sande",59.588692,10.198798
1074468,"Dyegata 22, Sande",59.592349,10.190709
1074469,"Dyegata 23, Sande",59.588958,10.198223
1074470,"Dyegata 25, Sande",59.589402,10.196804
1074471,"Dyegata 27, Sande",59.589631,10.196334
1074472,"Dyegata 29, Sande",59.589814,10.195951
1074473,"Dyegata 31, Sande",59.590072,10.195198
1074474,"Dyegata 33, Sande",59.589979,10.194593
1074475,"Dyegata 35, Sande",59.589902,10.194165
1074476,"Dyegata 37, Sande",59.589835,10.193613
1074477,"Dyegata 39, Sande",59.590152,10.193394
1074478,"Dyegata 41, Sande",59.590281,10.193984
1074479,"Dyegata 43, Sande",59.590294,10.194586
1074480,"Dyegata 45, Sande",59.590522,10.194098
1074481,"Dyegata 47, Sande",59.590395,10.193315
1074482,"Dyegata 49, Sande",59.590594,10.193127
1074483,"Dyegata 51, Sande",59.590742,10.193681
1074484,"Dyegata 53, Sande",59.590934,10.193316
1074485,"Dyegata 55, Sande",59.590886,10.192659
1074486,"Dyegata 57, Sande",59.591175,10.19251
1074487,"Dyegata 59, Sande",59.59126,10.192956
1074488,"Dyegata 61, Sande",59.591507,10.192468
1074489,"Dyegata 63, Sande",59.591421,10.192076
1074490,"Dyegata 65, Sande",59.591684,10.191819
1074500,"Prestegårdsalleen 18, Sande",59.591195,10.208876
1074501,"Prestegårdsalleen 20, Sande",59.591499,10.209011
1074502,"Prestegårdsalleen 21, Sande",59.591956,10.20816
1074503,"Prestegårdsalleen 22, Sande",59.591797,10.208916
1074504,"Prestegårdsalleen 23A, Sande",59.592467,10.208284
1074505,"Prestegårdsalleen 23B, Sande",59.592385,10.208388
1074506,"Prestegårdsalleen 24, Sande",59.592137,10.208999
1074507,"Prestegårdsalleen 25, Sande",59.592817,10.207358
1074508,"Prestegårdsalleen 26, Sande",59.592523,10.209013
1074509,"Prestegårdsalleen 35, Sande",59.593719,10.207809
1074510,"Prestegårdsalleen 41, Sande",59.593954,10.206779
1074511,"Prestegårdsalleen 43, Sande",59.594164,10.208328
1074512,"Prestegårdsalleen 45, Sande",59.594587,10.208254
1074513,"Prestegårdsalleen 47, Sande",59.594588,10.208148
1074514,"Prestegårdsalleen 49, Sande",59.594589,10.207971
1074515,"Prestegårdsalleen 51, Sande",59.594586,10.207351
1074516,"Prestegårdsalleen 65, Sande",59.594825,10.207696
1074517,"Prestegårdsalleen 67, Sande",59.594824,10.20782
1074518,"Prestegårdsalleen 69, Sande",59.594824,10.207891
1074533,"Olasdal 1, Sande",59.615785,10.112432
1074534,"Glaneren 1, Sande",59.613758,10.117818
1074535,"Kaldmovannet 8, Sande",59.611522,10.126877
1074536,"Gransnarås 2, Sande",59.624471,10.102755
1074537,"Gransnarås 1, Sande",59.627448,10.103261
1074538,"Kaldmovannet 6, Sande",59.609965,10.123032
1074539,"Kaldmovannet 3, Sande",59.610218,10.121835
1074540,"Kaldmovannet 4, Sande",59.608994,10.122184
1074541,"Solbergsetra 1, Sande",59.6185,10.147014
1074542,"Guriløkkaveien 146, Sande",59.618498,10.142362
1074543,"Guriløkkaveien 144, Sande",59.617694,10.142133
1074548,"Øyvannet 2, Sande",59.639246,10.106805
1074588,"Stokkeveien 66, Sande",59.567419,10.209263
1074607,"Kaldmovannet 10, Sande",59.606164,10.12753
1074608,"Kaldmovannet 11, Sande",59.605912,10.126494
1074609,"Kaldmovannet 12, Sande",59.60551,10.126339
1074610,"Kabrettaveien 760, Sande",59.625777,10.077373
1074625,"Valleveien 24, Sande",59.587256,10.196816
1074628,"Revåveien 48, Sande",59.582259,10.209866
1074629,"Valleveien 26, Sande",59.58693,10.196061
1074630,"Revåveien 50, Sande",59.582707,10.210024
1074631,"Valleveien 28, Sande",59.586802,10.19533
1074632,"Stokkeveien 10, Sande",59.573337,10.195667
1074633,"Valleveien 30, Sande",59.586657,10.194493
1074634,"Prestegårdsalleen 11, Sande",59.590754,10.20801
1074635,"Valleveien 32, Sande",59.587009,10.194363
1074636,"Valleveien 34, Sande",59.586987,10.193796
1074637,"Valleveien 36, Sande",59.586708,10.193892
1074638,"Valleveien 38, Sande",59.586604,10.193393
1074639,"Valleveien 39, Sande",59.586224,10.193716
1074640,"Valleveien 40, Sande",59.58683,10.193312
1074641,"Valleveien 42, Sande",59.586499,10.193106
1074642,"Valleveien 44, Sande",59.586342,10.192569
1074644,"Valleveien 46, Sande",59.586284,10.192035
1074646,"Valleveien 47, Sande",59.585624,10.192508
1074668,"Revåveien 10, Sande",59.586948,10.207821
1074669,"Prestegårdsalleen 63, Sande",59.594817,10.207589
1074670,"Revåveien 12, Sande",59.586903,10.207819
1074672,"Revåveien 14, Sande",59.586813,10.207816
1074674,"Revåveien 20, Sande",59.586192,10.207778
1074675,"Dyegata 20A, Sande",59.592045,10.191637
1074677,"Dyegata 20B, Sande",59.592136,10.191446
1074679,"Prestegårdsalleen 2, Sande",59.588776,10.208258
1074692,"Nylinna 3, Sande",59.581341,10.200307
1074695,"Nylinna 5, Sande",59.581366,10.200538
1074697,"Nylinna 9, Sande",59.581822,10.20082
1074699,"Nylinna 11, Sande",59.581994,10.20107
1074701,"Nylinna 13, Sande",59.582158,10.201292
1074703,"Nylinna 15, Sande",59.582327,10.201546
1074705,"Nylinna 17, Sande",59.582522,10.201854
1074707,"Nylinna 19, Sande",59.582663,10.202054
1074709,"Nylinna 21, Sande",59.582939,10.2024
1074711,"Nylinna 42, Sande",59.583707,10.204783
1074712,"Nylinna 23, Sande",59.583125,10.202672
1074713,"Nylinna 40, Sande",59.583504,10.204368
1074714,"Revåveien 52, Sande",59.582462,10.210281
1074715,"Nylinna 25, Sande",59.583319,10.20298
1074717,"Nylinna 38, Sande",59.583354,10.204133
1074719,"Nylinna 27, Sande",59.583504,10.203277
1074721,"Nylinna 36, Sande",59.583115,10.203752
1074723,"Nylinna 29, Sande",59.583719,10.203526
