,Navn,Long,Lat
1126534,"Astreaveien 24, Søndre Slagen",59.26776,10.463703
1126535,"Astreaveien 30, Søndre Slagen",59.268252,10.465444
1126536,"Astreaveien 32, Søndre Slagen",59.267821,10.465478
1126538,"Astreaveien 8, Søndre Slagen",59.267065,10.456831
1126539,"Astreaveien 9, Søndre Slagen",59.266645,10.457445
1126540,"Astreaveien 20, Søndre Slagen",59.26759,10.462082
1126541,"Astreaveien 21, Søndre Slagen",59.267036,10.463409
1126542,"Astreaveien 1, Søndre Slagen",59.266885,10.454402
1126543,"Astreaveien 2, Søndre Slagen",59.267165,10.455064
1126544,"Astreaveien 4, Søndre Slagen",59.267169,10.455555
1126545,"Astreaveien 6, Søndre Slagen",59.267126,10.45615
1127087,"Bergstien 10A, Søndre Slagen",59.260979,10.452467
1127088,"Bergstien 10B, Søndre Slagen",59.260772,10.452528
1127091,"Bergstien 6, Søndre Slagen",59.2616,10.452335
1127479,"Elverhøiveien 10, Søndre Slagen",59.262589,10.440957
1127480,"Elverhøiveien 12, Søndre Slagen",59.262843,10.44074
1127481,"Elverhøiveien 14, Søndre Slagen",59.263097,10.44126
1127635,"Ceres vei 6, Søndre Slagen",59.26337,10.44506
1127671,"Ceres vei 1, Søndre Slagen",59.263513,10.443452
1127963,"Globusveien 5B, Søndre Slagen",59.267421,10.455495
1127964,"Globusveien 6, Søndre Slagen",59.267856,10.455163
1127965,"Globusveien 8, Søndre Slagen",59.26785,10.455672
1127966,"Globusveien 9, Søndre Slagen",59.267576,10.456081
1127967,"Globusveien 1, Søndre Slagen",59.267434,10.454303
1127968,"Globusveien 2, Søndre Slagen",59.267642,10.454224
1127969,"Globusveien 3, Søndre Slagen",59.267417,10.455039
1127970,"Globusveien 4, Søndre Slagen",59.267735,10.454719
1128130,"Føniks vei 4, Søndre Slagen",59.26849,10.455453
1128131,"Føniks vei 5, Søndre Slagen",59.268255,10.455636
1128132,"Føniks vei 6, Søndre Slagen",59.268683,10.455865
1128133,"Føniks vei 8, Søndre Slagen",59.268858,10.456311
1128135,"Føniks vei 1, Søndre Slagen",59.268033,10.454592
1128136,"Føniks vei 2, Søndre Slagen",59.268424,10.454942
1128137,"Føniks vei 3, Søndre Slagen",59.268126,10.455087
1128911,"Husvikveien 103, Søndre Slagen",59.25323,10.450681
1128912,"Husvikveien 105, Søndre Slagen",59.25301,10.451058
1128915,"Husvikveien 97, Søndre Slagen",59.254367,10.450204
1128916,"Husvikveien 98, Søndre Slagen",59.254393,10.451099
1128917,"Husvikveien 100, Søndre Slagen",59.254059,10.45126
1128918,"Husvikveien 91, Søndre Slagen",59.254909,10.449928
1128919,"Husvikveien 92, Søndre Slagen",59.255178,10.449905
1128920,"Husvikveien 94, Søndre Slagen",59.25506,10.45004
1128921,"Husvikveien 95, Søndre Slagen",59.254673,10.450094
1128922,"Husvikveien 99, Søndre Slagen",59.25412,10.449921
1128923,"Husvikveien 84, Søndre Slagen",59.255634,10.449328
1128924,"Husvikveien 86, Søndre Slagen",59.255515,10.449533
1128925,"Husvikveien 88, Søndre Slagen",59.255397,10.449669
1128926,"Husvikveien 90, Søndre Slagen",59.255305,10.449787
1128927,"Husvikveien 66, Søndre Slagen",59.260891,10.448271
1128928,"Husvikveien 76, Søndre Slagen",59.257255,10.448923
1128929,"Husvikveien 80, Søndre Slagen",59.256074,10.449311
1128930,"Husvikveien 82, Søndre Slagen",59.25585,10.449249
1128931,"Husvikveien 60, Søndre Slagen",59.261953,10.445649
1129108,"Jupiterveien 10, Søndre Slagen",59.267212,10.446013
1129146,"Jupiterveien 4, Søndre Slagen",59.267083,10.444726
1129262,"Kometveien 12, Søndre Slagen",59.26383,10.444852
1129292,"Kometveien 8, Søndre Slagen",59.264423,10.444859
1129293,"Kometveien 10, Søndre Slagen",59.264116,10.444934
1129294,"Kometveien 2, Søndre Slagen",59.265509,10.445747
1129378,"Karlsebakken 39B, Søndre Slagen",59.254138,10.452211
1129379,"Karlsebakken 39C, Søndre Slagen",59.253788,10.452196
1129380,"Karlsebakken 41, Søndre Slagen",59.25375,10.451563
1129382,"Karlsebakken 35A, Søndre Slagen",59.254763,10.454149
1129383,"Karlsebakken 35B, Søndre Slagen",59.254558,10.453947
1129384,"Karlsebakken 37, Søndre Slagen",59.254062,10.4534
1129385,"Karlsebakken 39A, Søndre Slagen",59.253969,10.452817
1129386,"Karlsebakken 31, Søndre Slagen",59.255484,10.454688
1129387,"Karlsebakken 32, Søndre Slagen",59.253436,10.452304
1129388,"Karlsebakken 33A, Søndre Slagen",59.255136,10.454463
1129389,"Karlsebakken 33B, Søndre Slagen",59.254914,10.454347
1129390,"Karlsebakken 28B, Søndre Slagen",59.25342,10.453741
1129391,"Karlsebakken 29A, Søndre Slagen",59.255796,10.454877
1129392,"Karlsebakken 29B, Søndre Slagen",59.255734,10.454857
1129394,"Karlsebakken 30A, Søndre Slagen",59.253538,10.452869
1129395,"Karlsebakken 26B, Søndre Slagen",59.253702,10.454244
1129396,"Karlsebakken 27A, Søndre Slagen",59.256077,10.454865
1129397,"Karlsebakken 27B, Søndre Slagen",59.256047,10.454856
1129398,"Karlsebakken 28A, Søndre Slagen",59.253683,10.453559
1129399,"Karlsebakken 24B, Søndre Slagen",59.254017,10.454959
1129400,"Karlsebakken 25A, Søndre Slagen",59.256415,10.455026
1129401,"Karlsebakken 25B, Søndre Slagen",59.256335,10.454953
1129402,"Karlsebakken 26A, Søndre Slagen",59.253702,10.455016
1129403,"Karlsebakken 22A, Søndre Slagen",59.255154,10.455288
1129404,"Karlsebakken 23, Søndre Slagen",59.256722,10.454864
1129405,"Karlsebakken 24A, Søndre Slagen",59.253972,10.45415
1129406,"Karlsebakken 20A, Søndre Slagen",59.255431,10.455475
1129407,"Karlsebakken 20B, Søndre Slagen",59.255385,10.455508
1129408,"Karlsebakken 21A, Søndre Slagen",59.256944,10.454224
1129409,"Karlsebakken 21B, Søndre Slagen",59.256956,10.454804
1129410,"Karlsebakken 17, Søndre Slagen",59.257258,10.454273
1129411,"Karlsebakken 18A, Søndre Slagen",59.255725,10.455628
1129412,"Karlsebakken 18B, Søndre Slagen",59.255644,10.455677
1129413,"Karlsebakken 19, Søndre Slagen",59.257298,10.454766
1129414,"Karlsebakken 12, Søndre Slagen",59.256631,10.455737
1129415,"Karlsebakken 14A, Søndre Slagen",59.25637,10.455831
1129416,"Karlsebakken 16A, Søndre Slagen",59.256064,10.455818
1129417,"Karlsebakken 16B, Søndre Slagen",59.255956,10.455866
1129418,"Karlsebakken 7, Søndre Slagen",59.258329,10.45495
1129419,"Karlsebakken 8, Søndre Slagen",59.25727,10.455624
1129420,"Karlsebakken 9, Søndre Slagen",59.25807,10.454799
1129421,"Karlsebakken 10, Søndre Slagen",59.257045,10.455719
1129422,"Karlsebakken 4, Søndre Slagen",59.257774,10.455523
1129423,"Karlsebakken 5, Søndre Slagen",59.258552,10.455082
1129424,"Karlsebakken 6, Søndre Slagen",59.257523,10.455477
1129426,"Karlsebakken 1, Søndre Slagen",59.25911,10.454983
1129427,"Karlsebakken 2B, Søndre Slagen",59.258062,10.455482
1129442,"Karlsebakken 2A, Søndre Slagen",59.258336,10.455628
1129519,"Liabakken 30, Søndre Slagen",59.261291,10.448603
1129520,"Liabakken 34, Søndre Slagen",59.261056,10.447979
1129523,"Liabakken 24, Søndre Slagen",59.260561,10.448871
1129524,"Liabakken 25, Søndre Slagen",59.261274,10.447761
1129525,"Liabakken 26, Søndre Slagen",59.260849,10.44883
1129526,"Liabakken 28, Søndre Slagen",59.261084,10.4487
1129527,"Liabakken 17, Søndre Slagen",59.262306,10.448629
1129528,"Liabakken 20, Søndre Slagen",59.26168,10.449216
1129529,"Liabakken 21, Søndre Slagen",59.261634,10.447671
1129530,"Liabakken 22, Søndre Slagen",59.261376,10.449098
1129531,"Liabakken 10, Søndre Slagen",59.26367,10.450318
1129532,"Liabakken 11, Søndre Slagen",59.263715,10.449531
1129533,"Liabakken 12, Søndre Slagen",59.262747,10.449367
1129534,"Liabakken 16, Søndre Slagen",59.262137,10.449232
1129535,"Liabakken 7A, Søndre Slagen",59.264188,10.45141
1129536,"Liabakken 7B, Søndre Slagen",59.264103,10.450968
1129537,"Liabakken 8, Søndre Slagen",59.263747,10.450743
1129538,"Liabakken 9, Søndre Slagen",59.264074,10.450371
1129539,"Liabakken 4A, Søndre Slagen",59.26397,10.452436
1129540,"Liabakken 4B, Søndre Slagen",59.263719,10.452373
1129541,"Liabakken 5, Søndre Slagen",59.264345,10.451821
1129542,"Liabakken 6A, Søndre Slagen",59.263439,10.451747
1129546,"Liabakken 2A, Søndre Slagen",59.264307,10.452836
1129719,"Miras vei 2, Søndre Slagen",59.262413,10.455913
1129720,"Miras vei 3, Søndre Slagen",59.262153,10.456744
1129721,"Miras vei 4, Søndre Slagen",59.262507,10.456338
1129938,"Lunas vei 5, Søndre Slagen",59.266843,10.451734
1129939,"Lunas vei 7, Søndre Slagen",59.266712,10.451413
